List of importing markets for a product exported by Malawi (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	480,141	483,075	559,413	530,809	664,799	584,615	914,231	786,321	966,429	1,063,011	1,285,445	1,101,437	1,003,163	
Albania	0	0	0	27	0	0	4	1	2	1	2	0	0	
Algeria	1,105	3,120	1,479	1,295	981	1,639	2,327	4,616	1	2,572	3,697	3,891	1,418	
Antigua and Barbuda					0		0		12	0	0	0	0	
Argentina	1,449	1,088	1,304	1,154	1,492	2,054	1,775	992	4,117	1,342	2,776	6,390	4,439	
Armenia	0	0	0	0	0	161	212	0	65	800	974	3,828	3,052	
Australia	5,989	4,337	6,150	926	7,924	9,490	6,888	728	2,183	4,288	1,257	169	278	
Austria	3,822	1,687	7,739	3,574	3,708	2,801	3,802	2,377	1,408	2,429	1,333	1	0	
Azerbaijan	0	85	7	0	0	21	69	111	0	584	331	539		
Bahamas	0	0	0	0	0	0	0	0	0	0	2	4		
Bahrain	0	5	6	0	6	0	0	18	7	13	385			
Bangladesh	187	335	0	1,451	719	1,069	1,098							
Barbados	24	23	22	12	36	33	17	0	0	0	8	27	0	
Belarus	264	20	0	3	90	196	707	327	923	2,342	2,770	6,226	2,465	
Belgium	4,381	8,537	10,014	15,774	7,263	5,679	16,765	11,576	27,842	23,691	39,390	27,927	30,919	
Benin	144	0	0	1	16	0	0	0	0	0	0	0	0	
Bermuda												0	1	
Bolivia	3	0	0	0	0	0	0	9	0	0	0	1		
Bosnia and Herzegovina			967	0	670	461	838	651	1,849	1,244	2,327	434	8	
Botswana	704	1,156	458	698	1,276	769	886	2,343	1,336	1,010	1,917	3,287	6,148	
Brazil	1,805	1	2,586	3,419	4,481	2,173	4,659	260	4,734	3,243	2,146	8,417	1,011	
Brunei Darussalam	1	0	3	32		40				125	145	209	185	
