List of importing markets for a product exported by Malaysia Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	88,004,487	94,058,291	104,707,229	126,639,701	141,624,046	160,669,231	175,961,863	198,702,475	157,194,832	198,790,691	226,992,682	227,449,500	228,515,734	
Afghanistan	2,351	2,308	1,827	3,344	5,436	4,208	3,879	4,719	10,313	20,339	17,231	20,304	41,453	
Albania	461	165	374	1,144	227	758	664	2,084	3,024	2,167	3,356	2,194	2,340	
Algeria	30,692	113,684	75,225	91,417	51,333	66,830	112,174	138,351	129,734	157,204	184,387	133,539	143,404	
Andorra	85	93	102	63	28	36	40	222	43	101	78	134	242	
Angola	3,601	6,304	14,025	21,728	23,070	41,613	55,139	82,389	47,280	93,895	282,618	179,777	466,877	
Anguilla	0	5	42	76	1	71	37	30	403	2	1	122	3	
Antigua and Barbuda	326	15,270	843	720	924	886	889	431	332	778	1,248	1,437	9,339	
Area Nes	28,520	18,768	24,567	43,867	51,123	59,473	69,874	82,594	62,323	78,459	106,118	63,827	77,619	
Argentina	54,937	21,363	46,037	66,798	102,775	130,689	179,382	176,287	129,911	192,535	262,662	295,043	234,602	
Armenia	1,003	644	485	1,083	660	649	526	943	1,015	907	1,736	867	911	
Aruba	52	153	499	369	154	774	415	518	312	500	460	1,094	533	
Australia	2,052,045	2,133,766	2,611,563	4,156,723	4,790,396	4,558,867	5,927,779	7,302,303	5,681,913	7,467,064	8,206,252	9,418,819	9,259,064	
Austria	141,411	219,507	229,630	236,857	246,618	283,431	114,017	126,506	70,197	82,035	127,816	66,051	150,664	
Azerbaijan	1,035	1,660	78,504	104,274	2,306	6,053	1,755	1,795	1,624	5,617	9,155	7,583	15,294	
Bahamas	704	231	398	639	1,250	1,940	2,640	2,362	2,393	3,945	11,400	12,420	37,752	
Bahrain	27,116	32,119	33,361	34,745	41,714	54,548	60,101	83,038	82,997	68,645	79,479	68,726	61,033	
Bangladesh	171,328	225,886	320,184	364,606	409,399	422,460	407,931	684,896	803,495	1,259,325	1,776,463	1,504,735	1,589,879	
Barbados	1,026	890	1,108	2,097	1,529	1,334	1,475	2,202	1,631	2,278	2,076	1,996	2,243	
Belarus	2,516	3	142	133	44	14,786	19,456	13,388	6,134	6,624	12,918	10,089	2,916	
Belgium	667,410	536,603	511,662	557,851	567,232	614,898	772,669	700,905	456,426	592,131	973,283	738,267	789,551	
Belize	351	394	604	1,112	412	810	545	914	1,692	1,901	2,383	2,822	1,757	
