List of importing markets for a product exported by Malaysia (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	108,215,307	114,907,121	132,152,390	156,907,791	175,106,726	197,612,935	221,584,146	247,403,257	195,715,468	259,396,246	297,329,099	293,056,683	275,169,587	
Afghanistan								78,261	23,472	53,284	59,922	0		
Albania	2,320	273	320	1,527	1,870	1,623	2,544	5,234	5,407	4,125	6,447	5,007	4,964	
Algeria	36,610	66,377	102,887	134,267	82,401	78,393	126,999	181,587	154,016	243,229	274,013	198,140	200,546	
Andorra	3,578	4,353	3,013	3,105										
Antigua and Barbuda					649		1,512		613	423	535	1,004	811	
Argentina	142,627	42,804	84,619	131,001	89,055	223,526	325,387	396,783	284,840	328,060	434,221	449,693	487,311	
Armenia	458	630	622	901	1,247	8,951	9,508	14,403	10,441	13,919	20,060	16,066	16,495	
Aruba					890				0	0	0	0		
Australia	2,016,446	2,130,177	2,828,080	4,077,990	4,648,030	5,055,256	6,037,588	7,595,449	5,984,718	8,195,997	8,779,593	9,928,191	8,846,118	
Austria	519,064	448,029	265,528	256,202	318,328	459,941	460,511	468,853	183,993	234,416	244,473	190,101	242,596	
Azerbaijan	2,396	4,206	100,283	125,401	22,452	4,069	16,533	36,769	41,375	39,350	37,308	19,000		
Bahamas	0	0	0	4	56	0	0	0	0	0	0	139		
Bahrain	39,392	46,149	50,102	52,398	65,811	56,881	82,187	143,453	95,462	113,861	104,359			
Bangladesh	229,618	274,176	400,179	388,559	474,579	559,619	561,709							
Barbados	2,224	2,757	2,419	4,958	4,313	3,301	3,170	4,639	4,373	2,912	4,028	3,103	3,754	
Belarus	6,584	5,781	5,745	19,037	53,560	97,358	90,100	78,901	50,187	63,102	85,709	105,336	103,451	
Belgium	619,792	554,723	586,215	583,668	616,591	705,893	811,899	901,577	650,225	748,259	833,606	804,257	992,608	
Belize	320	506	714	657	896	886	851	997	1,647	1,140	2,504	2,202	3,365	
Benin	1,885	2,936	12,476	8,821	5,444	16,820	41,905	48,598	50,314	69,100	86,678	61,600	74,987	
Bermuda												1,097	270	
Bhutan					3,974	7,752	3,782	4,799	7,731	3,603	1,512			
Bolivia	2,066	1,422	1,555	1,594	2,816	4,502	5,267	7,448	5,955	7,561	11,418	12,497		
Bosnia and Herzegovina			1,940	2,111	4,232	6,174	8,863	16,631	10,772	8,766	9,997	9,625	9,790	
Botswana	1,593	3,503	4,211	3,307	4,201	2,129	3,349	4,181	6,302	4,291	4,703	6,270	3,527	
Brazil	346,908	357,437	444,096	515,471	637,076	901,218	1,279,927	1,637,098	1,225,629	1,748,506	2,287,408	2,083,632	2,211,670	
Brunei Darussalam	228,880	224,640	251,714	287,349		362,530				607,763	677,017	709,924	804,796	
Bulgaria	12,382	18,651	21,092	31,948	42,085	50,485	99,447	105,381	25,255	38,230	41,980	29,495	40,152	
Burkina Faso	1,236	4,005	1,883	2,505	1,708		18,475	14,920	10,834	13,143	12,743	14,347		
Burundi	252	415	169	413	745	1,051	1,009	647	1,332	561	2,330	1,861	801	
Cabo Verde	105	231	375	239	0	170	391		324	135	143	129	206	
Cambodia	57,568	58,229	78,265	77,280	92,618	89,489	107,516	122,441	132,214	165,548	209,723	175,416		
Cameroon	3,539	3,820	8,577	7,360	10,008	23,377	25,530	35,865	33,086	31,967	54,328	74,569		
Canada	1,227,001	1,287,493	1,629,007	2,026,751	2,155,555	2,594,547	2,726,038	2,755,728	2,036,074	2,225,107	2,161,741	2,228,187	2,116,672	
Central African Republic	50	105	45			54	1,707	2,091	3,056	2,319	2,158	3,361	2,040	
Chile	104,019	71,251	81,571	118,062	143,380	196,839	181,979	199,259	147,991	141,201	165,769	208,950	261,660	
China	6,203,976	9,296,295	13,986,408	18,174,737	20,093,205	23,572,434	28,723,283	32,101,396	32,330,691	50,430,150	62,136,640	58,304,935	60,071,067	
Colombia	33,210	34,865	61,915	82,746	74,684	139,696	160,542	173,916	107,675	139,171	214,360	204,405	198,370	
Comoros	63	440	25	29	260	434	167	2,152	3,547					
Congo							5,114	9,476	15,159	15,771	39,733	97,508	75,899	
Cook Islands					110									
Costa Rica	5,367	4,844	7,342	23,084	46,388	39,431	116,481	50,392	37,150	35,854	51,177	51,660	46,611	
Côte d'Ivoire	6,712	5,559	20,961	10,037	10,034	10,724	18,838	21,100	27,040	37,074	68,035	53,570		
Croatia	33,908	41,601	44,241	41,640	51,999	57,642	69,216	81,787	56,915	50,420	73,028	50,303	12,516	
Cuba	12,012	9,409	9,953	9,461	8,888	8,523								
Cyprus	17,169	15,124	16,092	18,883	19,797	23,434	28,809	37,045	21,066	27,534	19,889	15,688	11,698	
Czech Republic	317,921	478,210	661,829	575,658	415,120	656,833	870,697	929,555	751,554	939,355	1,274,179	894,763	824,984	
Denmark	181,141	173,214	199,009	243,589	335,893	244,239	306,919	349,127	238,115	273,916	268,622	256,045	227,238	
Djibouti									3,167					
Dominica	228	504	86	60	84	103	148	172	292	147	152	215		
Dominican Republic	1,322	2,392	2,184	2,513	2,956	6,913	15,297	19,281	14,756	97,389	43,628	32,910	35,565	
Ecuador	20,937	6,573	38,167	40,480	10,319	15,738	15,766	21,857	13,036	32,387	111,214	36,333	100,385	
Egypt	111,792	130,314	72,803	261,569	348,997	233,061	151,485	559,840	518,140	784,618	768,666	557,657	552,572	
El Salvador	3,547	3,460	5,048	7,529	11,915	17,632	21,835	20,631	12,794	13,055	16,857	17,240	19,732	
Eritrea			1,508											
Estonia	34,565	38,476	54,427	53,197	59,564	59,521	65,018	71,416	39,510	44,099	80,959	74,590	73,995	
Ethiopia	12,119	7,309	29,166	23,368	29,665	35,547	85,785	203,949	215,441	229,081	274,119	174,503		
Faroe Islands	909	995	973	1,486	1,006	1,314	1,457	1,447	1,048					
Fiji		11,969	17,310	17,661	23,422	30,431	23,190	38,788	28,532	34,980	43,113	49,414		
Finland	231,854	226,527	244,096	335,699	376,520	464,372	494,866	432,049	146,752	136,467	160,357	103,831	103,473	
France	1,766,835	1,902,096	1,840,211	1,932,533	1,843,832	2,111,609	2,330,633	2,651,998	1,840,136	2,546,185	3,133,308	2,930,997	2,578,443	
French Polynesia	5,252	7,613	6,462	10,786	7,671	7,294	7,427	9,350	8,163	8,193	9,034	9,162	10,472	
Gabon	663	0	946	1,005	4,736	8,069	8,256	16,750	11,650					
Gambia	26	0	0	54	1,874	3,065	1,883	3,916	13,611	5,203	12,348			
Georgia	52	3	98	269	424	742	3,175	4,608	3,194	3,530	5,007	26,959	19,827	
Germany	3,167,067	3,237,282	3,959,083	4,616,722	4,654,265	5,099,172	6,002,341	6,496,831	5,598,704	7,520,143	8,574,760	7,062,448	7,555,645	
Ghana	10,947		19,900		41,848	39,154	58,425	80,423	61,403	74,297	117,394	122,945		
Greece	97,538	80,127	104,439	114,010	85,178	109,817	145,730	179,704	149,323	129,989	126,323	131,368	136,258	
Greenland	0	0	340	0	0	418	18	524	337	310	337	413	344	
Grenada	121	186	359	321	505	680	735	637						
Guatemala	9,868	15,336	5,007	9,593	27,673	21,821	21,364	20,351	40,104	26,314	36,698	30,390	26,717	
Guinea	2,696	630		8,651	4,553	13,833	4,634	7,845		25,492	28,323	46,169		
