List of importing markets for a product exported by Maldives Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	76,688	90,757	112,963	169,741	154,175	135,603	108,171	126,363	76,665	74,203	83,279	161,607	168,403	
Area Nes	3	0	0	0	0	0	0	0	0	0	0	0	0	
Argentina	1	0	0	0	0	0	0	0	0	0	0	0	0	
Australia	0	0	0	21	98	0	0	0	0	0	0	869	616	
Austria	0	0	0	0	6	1	38	2	0	13	0	0	0	
Bahamas	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bahrain	0	0	0	0	0	1	0	0	0	0	0	0	0	
Bangladesh	0	0	0	0	0	0	0	0	0	0	0	0	0	
Belarus	0	0	0	0	0	0	0	0	0	0	0	0	0	
Belgium	3	11	46	4	0	6	0	11	2	259	130	58	25	
Bermuda	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bhutan	0	0	0	0	9	0	0	0	0	0	0	0	0	
Brazil	0	0	0	0	0	0	0	0	0	0	0	0	1	
Brunei Darussalam	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulgaria	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cambodia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Canada	978	47	98	439	78	75	31	6	3	3	15	295	192	
Chile	0	0	0	0	0	0	0	0	0	0	0	0	0	
China	6	0	22	52	132	588	12	0	0	299	1	3,881	134	
Colombia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Costa Rica	0	0	0	0	0	65	0	0	0	0	0	0	0	
Croatia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cuba	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cyprus	0	0	0	0	0	0	0	0	0	0	0	0	16	
Czech Republic	0	0	0	0	0	1	0	1	2	10	0	66	0	
Denmark	0	0	0	0	193	189	109	507	370	39	402	695	288	
Ecuador	0	0	0	0	0	0	0	0	0	0	0	0	0	
Egypt	0	0	0	0	0	0	0	0	0	0	0	0	0	
Estonia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fiji	0	0	0	0	0	0	0	0	0	0	0	0	0	
Finland	0	0	0	27	22	0	0	0	0	0	0	0	0	
France	7	143	568	2,836	4,123	6,887	7,978	11,051	8,621	8,077	14,709	26,732	22,735	
Germany	4,651	3,035	4,307	6,046	5,609	5,182	1,718	3,372	2,648	2,097	2,049	5,519	10,117	
Ghana	0	0	0	0	0	0	0	0	0	0	0	0	0	
Greece	379	619	353	125	42	83	234	0	5	42	2	0	0	
Guatemala	0	0	0	0	0	0	0	0	0	0	0	0	0	
Hong Kong, China	3,169	1,731	2,064	751	827	948	669	1,071	838	1,021	694	2,499	1,716	
Hungary	0	0	0	0	0	0	0	0	0	0	0	0	0	
Iceland	0	0	0	0	0	0	0	0	0	0	0	0	0	
India	284	118	348	477	1,111	1,260	1,980	1,955	1,730	2,509	1,773	2,846	2,551	
Indonesia	0	0	4,798	976	91	0	0	0	0	0	0	0	0	
Iran (Islamic Republic of)	0	0	0	0	0	2,363	3,051	3,604	4,486	2,214	1,701	4,982	10,913	
Ireland	0	0	1	1	0	3	0	21	0	5	3,416	7,036	6,124	
Israel	0	1	0	0	0	0	0	0	0	0	0	0	0	
Italy	26	33	898	2,432	2,074	4,986	4,555	10,502	9,817	6,880	8,717	12,397	8,335	
Jamaica	0	0	1	0	0	0	34	0	0	0	0	828	632	
Japan	3,521	10,422	11,691	14,384	22,557	20,406	4,928	3,615	3,046	1,288	2,550	3,340	5,178	
Jordan	0	0	0	0	0	0	4	1	0	0	0	0	0	
Kenya	0	0	0	0	0	0	0	0	0	0	0	0	0	
Korea, Republic of	0	119	252	170	1,720	3,937	1,789	95	0	0	496	4,151	134	
Kuwait	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lao People's Democratic Republic	0	0	0	0	0	0	0	0	0	0	0	0	0	
Latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lebanon	0	0	0	0	0	0	0	0	0	0	0	0	0	
Liberia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Libya	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lithuania	0	0	0	0	0	0	0	0	0	0	0	0	0	
Luxembourg	0	0	0	0	0	0	0	11	0	0	0	0	0	
Malaysia	764	767	1,035	662	510	124	55	63	68	337	835	232	132	
Malta	0	0	0	0	0	0	0	5	38	16	6	0	0	
Mauritius	0	0	0	0	3	0	0	0	1,712	0	0	0	0	
Mexico	0	3	0	124	0	0	0	0	0	0	0	0	0	
Morocco	0	0	0	0	0	0	0	0	0	0	0	0	0	
Myanmar	0	0	0	0	0	0	0	0	0	0	0	0	0	
Nepal	0	0	0	0	0	0	0	0	0	0	0	0	0	
Netherlands	341	264	495	593	1,312	2,597	4,484	2,074	1,773	335	2,357	3,964	2,672	
New Zealand	0	0	0	0	1	14	0	0	0	0	5	0	0	
Norway	0	0	0	0	1	0	0	0	0	0	0	12	0	
Oman	0	0	0	0	1	852	1,037	0	0	0	4	0	0	
Pakistan	0	0	0	3	0	0	0	0	0	0	0	0	0	
Panama	36	10	1,021	0	0	0	0	0	0	0	0	0	0	
Papua New Guinea	0	0	0	0	0	0	0	0	0	0	0	0	0	
Paraguay	0	0	0	0	0	0	0	0	0	0	0	0	0	
Peru	0	0	0	0	0	0	0	0	0	0	0	0	0	
Philippines	0	0	0	0	0	0	0	0	0	0	0	42	20	
Poland	0	0	0	0	0	0	0	0	0	2	1	0	1	
Portugal	0	0	0	0	0	0	0	0	0	0	0	0	0	
Qatar	0	0	0	0	5	0	0	0	0	0	0	1	0	
Romania	0	0	0	0	0	0	0	0	0	0	0	0	0	
Russian Federation	0	0	0	2	0	0	0	0	0	1	0	1	117	
Saudi Arabia	0	8	8	82	45	0	0	0	0	0	0	64	0	
Senegal	0	0	0	0	0	0	0	0	0	0	0	0	0	
Serbia and Montenegro	5	0	0	0	0	0	0	0	0	0	0	0	0	
Seychelles	0	0	0	18	1,338	654	0	0	0	19	0	0	0	
Singapore	2,048	2,525	3,264	12,021	8,970	4,676	812	241	66	142	67	188	123	
Slovakia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Slovenia	0	0	0	0	0	0	59	0	0	0	0	0	0	
South Africa	31	1	0	118	8	0	1	33	0	0	0	0	23	
Spain	743	1	4	29	10	239	66	1,964	1,617	587	2,182	3,747	2,126	
Sri Lanka	14,803	13,941	15,344	17,281	18,870	17,413	16,166	12,027	13,107	14,526	9,755	11,653	9,595	
Sudan (North + South)	0	0	0	0	0	0	0	0	0	0	0	0	0	
Swaziland	0	0	0	1	0	0	0	0	0	0	0	0	0	
Sweden	0	0	0	0	0	0	27	45	11	121	20	6	1	
Switzerland	0	0	160	220	9	4	1	0	389	785	353	1,179	2,106	
Syrian Arab Republic	0	0	0	0	0	0	0	0	0	0	0	0	0	
Taipei, Chinese	161	77	40	5	4,471	7,382	102	469	1,954	2,374	6,070	2,575	2,020	
Tanzania, United Republic of	0	0	0	0	5	0	0	0	0	0	0	0	0	
Thailand	6,570	13,278	18,512	29,522	23,539	35,322	44,259	61,904	15,904	22,160	16,878	44,293	62,369	
Tunisia	0	0	0	0	0	0	160	82	198	382	142	0	0	
Turkey	0	0	0	0	0	0	0	0	0	0	0	0	71	
Ukraine	0	0	0	0	0	0	0	0	0	0	0	0	8	
United Arab Emirates	21	123	1	34,655	37,308	5,067	136	70	4	82	163	520	740	
United Kingdom	6,932	8,630	10,955	12,461	14,549	13,193	12,386	9,644	7,663	7,077	6,848	11,991	9,190	
United States of America	31,205	34,832	36,470	33,205	4,529	1,086	1,248	1,512	594	501	651	4,938	7,327	
Uruguay	0	0	0	0	0	0	0	0	0	0	0	0	0	
Venezuela	0	0	0	0	0	0	0	0	0	0	0	0	0	
Viet Nam	0	18	205	0	0	0	43	407	0	0	284	6	55	
Yemen	0	0	0	0	0	0	0	0	0	0	0	0	0	
