List of importing markets for a product exported by Mali (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	217,468	179,619	228,218	347,395	289,418	435,325	273,626	235,173	191,361	369,237	555,532	684,553	401,508	
Albania	0	356	0	64	133	28	19	59	7	47	2	1	135	
Algeria	0	0	0	0	2	230	163	1	2	0	106	2,503	8	
Andorra	6	0	1	4										
Antigua and Barbuda					4		0		0	0	0	0	0	
Argentina	0	0	0	0	0	4	0	0	1	1	0	1	0	
Armenia	0	0	0	0	0	0	0	0	0	2	5	0	0	
Australia	473	671	878	406	6,646	14,047	7,938	3,925	2,562	5,899	2,337	1,662	1,413	
Austria	226	1,677	688	487	2,046	2,114	616	116	20	9	14	781	3,020	
Bahrain	0	0	0	0	0	0	0	0	0	55	521			
Bangladesh	105	3,823	19,264	26,918	25,522	13,849	15,565							
Barbados	10	29	86	39	62	46	18	4	7	37	11	6	4	
Belarus	0	0	0	0	0	4	0	10	0	54	217	15	63	
Belgium	2,941	5,769	4,851	6,260	3,096	2,859	5,912	5,812	5,885	6,808	6,114	4,082	17,007	
Belize	0	0	59	0	0	0	0	0	0	0	0	0	0	
Benin	24	1	139	114	8	95	374	141	191	187	181	221	389	
Bermuda												0	2	
Bolivia	6	104	13	0	0	0	3	2	1	2	7	0		
Bosnia and Herzegovina			241	449	219	66	0	323	15	88	2	34	11	
Botswana	0	18	2	7	684	1	36	1	0	1	6	126	5	
Brazil	8,740	955	5	3	33	4,519	11,285	48	0	3	64	312	656	
Brunei Darussalam	0	0	0	0		0				10	0	16	2	
Bulgaria	1	0	0	1	5	1	150	0	5	6	0	0	0	
Burkina Faso	1,354	1,046	3,448	4,592	6,316		2,179	11,857	22,438	20,482	51,059	74,094		
Burundi	1	1	0	14	20	52	52	2	4	83	43	72	91	
Cabo Verde	0	0	18	1	3	0	0		8	0	0	1	0	
Cambodia	0	0	0	0	0	4	0	172	4	12	657	0		
Cameroon	0	1	17	0	5	13	5	13	36	42	60	40		
Canada	2,078	1,992	782	316	179	353	426	376	305	586	887	1,237	398	
Central African Republic	0	1	2			0	0	0	0	3	2	0	0	
Chile	0	0	5	71	0	6	0	0	0	0	0	0	1	
China	1,019	1,730	28,390	106,755	79,250	114,240	35,895	62,952	37,049	70,411	149,595	331,685	153,682	
Colombia	0	83	0	26	355	42	86	4	0	212	27	19	51	
Congo							2	1	2	1	5	92	0	
Cook Islands					30									
Costa Rica	0	0	0	0	1	0	0	0	2	0	0	0	5	
Côte d'Ivoire	2,313	1,983	60	135	505	394	440	1,057	870	1,098	381	11,309		
Croatia	22	46	4	24	3	85	7	7	6	13	11	5	53	
Cuba	0	0	9	61	7	0								
Cyprus	0	0	5	105	19	9	16	0	66	27	72	18	0	
Czech Republic	4,655	5,320	3,756	4,933	4,061	3,451	3,466	6,281	1,114	1,761	1,347	1,521	973	
