List of importing markets for a product exported by Malta Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	1,957,850	2,126,263	2,467,058	2,631,728	2,430,592	2,847,260	3,158,339	3,028,516	2,868,426	3,584,246	4,376,860	4,257,788	3,486,287	
Afghanistan	0	0	0	7	513	22	0	0	3,067	935	1,787	4,324	0	
Albania	0	130	230	144	241	0	18	238	1,839	377	0	1,296	1,487	
Algeria	398	433	901	1,615	767	1,683	8,202	4,733	84	143	307	8,607	391	
Andorra	24	0	0	254	2	204	0	0	0	0	0	0	0	
Angola	491	953	2,783	4,414	3,521	4,036	3,988	5,222	4,603	7,625	10,929	9,419	10,209	
Antigua and Barbuda	9	24	0	103	51	0	0	0	0	39	3	346	151	
Area Nes	215	243	213	0	0	0	0	0	0	0	0	0	0	
Argentina	110	236	398	237	92	261	118	147	97	489	580	801	755	
Armenia	0	1	0	0	0	0	0	62	59	55	1	1	11	
Aruba	0	98	0	0	3	13	0	0	0	0	0	0	0	
Australia	1,221	1,130	1,110	2,422	3,565	4,896	7,461	5,450	5,224	13,715	3,968	4,948	10,219	
Austria	2,703	2,080	3,422	4,462	4,090	9,941	7,873	11,000	8,730	10,038	9,982	9,387	6,239	
Azerbaijan	15	0	0	6	627	36	117	16	2	236	217	73	56	
Bahamas	93	0	0	1	165	113	115	99	121	1	196	10	4	
Bahrain	484	708	785	552	1,393	1,448	1,396	1,759	1,373	2,023	2,255	2,974	1,166	
Bangladesh	375	15	7	15	0	13	0	32	11	176	1,007	5,098	1,522	
Barbados	13	38	1	0	624	10	0	0	0	0	0	5	114	
Belarus	3	0	0	0	0	0	0	15	0	0	0	207	27	
Belgium	60,823	70,902	68,067	33,724	53,907	30,289	20,112	8,643	7,331	13,275	15,749	19,431	11,341	
Belize	0	0	0	0	0	0	0	0	0	0	1,822	78	24	
Benin	1,309	52	118	196	0	147	125	83	1	30	49	49	0	
Bermuda	0	0	0	0	0	0	0	0	0	0	46	0	0	
Bhutan	0	0	0	0	85	0	0	0	0	0	23	1,025	0	
Bolivia	0	0	0	21	0	0	0	0	0	0	0	0	0	
Bosnia and Herzegovina	0	0	74	305	0	0	0	508	97	189	400	15	45	
Botswana	0	925	0	840	839	785	822	0	1,835	2,299	0	3,269	0	
Brazil	1,810	1,190	15,233	6,293	14,940	7,043	8,095	7,377	6,822	7,188	9,891	8,175	6,614	
British Indian Ocean Territories	0	0	0	4	0	0	0	0	0	0	0	0	0	
British Virgin Islands	0	0	0	0	32	166	0	0	0	0	0	10	1	
Brunei Darussalam	0	0	0	0	0	0	0	0	0	0	0	1	10	
Bulgaria	266	253	318	320	529	2,086	1,874	1,547	3,958	3,394	8,323	5,314	5,106	
Burkina Faso	0	0	0	0	51	364	0	0	66	98	77	68	77	
Burundi	0	28	0	172	1,269	954	1,953	991	0	0	0	0	0	
Cabo Verde	0	201	90	748	1,861	2,256	1,861	2,017	1,211	1,384	362	235	505	
Cambodia	0	10	0	8	0	0	0	0	0	0	0	30	9	
Cameroon	16	234	875	644	1,063	1,361	1,038	764	704	671	1,438	835	3,476	
Canada	4,020	3,687	5,434	10,587	18,172	12,887	15,392	18,670	15,477	13,576	23,440	33,895	36,901	
Cayman Islands	2	0	0	0	0	0	80	83	29	0	111	2	1	
Central African Republic	0	0	0	0	36	26	49	36	69	33	40	36	0	
Chad	0	0	0	0	0	244	612	1,011	1,848	2,657	2,698	3,199	2,556	
Chile	35	33	30	13	1,418	642	580	192	782	218	366	534	292	
China	1,291	5,027	9,286	19,319	21,926	67,214	37,768	36,227	37,640	81,305	101,483	78,300	62,035	
Colombia	63	172	60	133	1,289	61	176	59	58	75	63	43	112	
Congo	0	82	27	305	174	344	408	63	392	232	464	821	1,189	
Cook Islands	0	4	0	0	0	0	0	0	0	0	0	0	0	
Costa Rica	2	84	23	130	296	53	21	7	368	217	11	6	21	
Côte d'Ivoire	0	0	140	612	174	0	0	0	474	63	0	280	216	
Croatia	623	460	511	566	1,460	1,286	2,642	2,369	1,905	2,238	4,694	3,576	22,543	
Cuba	61	69	49	0	8	286	0	0	0	0	0	0	0	
Cyprus	1,063	349	815	1,799	3,352	4,474	4,672	8,091	80,700	102,396	5,148	2,616	1,845	
Czech Republic	2,877	3,868	3,279	4,154	16,140	21,002	15,525	3,086	2,427	5,958	8,222	7,526	7,202	
Democratic Republic of the Congo	0	0	0	0	0	28	456	144	150	91	238	415	68	
Denmark	4,817	3,804	5,367	4,782	6,285	12,052	17,387	19,597	10,577	16,386	12,072	17,884	13,600	
Djibouti	1,484	2,033	1,844	1,904	1,507	1,975	1,638	1,878	3,297	3,636	6,637	6,552	5,613	
Dominica	185	0	32	39	0	87	0	0	0	0	0	50	0	
Dominican Republic	0	255	706	3,398	878	1,655	2,078	2,300	1,822	2,135	9,137	2,594	1,842	
Ecuador	71	48	74	773	39	12	17	46	25	103	39	63	6	
Egypt	3,804	5,930	3,782	5,041	6,857	10,414	5,935	4,413	3,284	790	1,999	27,918	12,091	
El Salvador	0	0	0	0	32	0	1	0	0	0	0	0	0	
Equatorial Guinea	0	0	0	0	0	15	11	0	0	0	0	0	22	
Eritrea	0	240	78	166	24	28	0	0	54	0	31	101	413	
Estonia	1,353	2,719	5,727	7,071	1,082	490	0	57	75	75	67	61	76	
Ethiopia	97	3	114	69	18	590	449	2	0	111	2	426	4	
Europe Othr. Nes	0	0	0	353	3,452	786	2,291	6,748	0	0	0	0	0	
Falkland Islands (Malvinas)	0	0	0	0	0	0	0	0	0	0	0	1	0	
Faroe Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fiji	128	2	0	0	2	0	0	0	0	0	0	1,573	217	
Finland	16,235	8,724	11,036	12,945	6,144	56,190	66,165	28,259	20,811	8,032	6,724	10,196	2,981	
France	182,716	277,610	319,430	408,077	352,111	412,153	374,597	348,322	262,158	294,558	338,585	379,477	244,358	
French Polynesia	0	0	0	0	0	0	1	0	0	0	0	0	0	
French South Antarctic Territories	0	0	0	0	2	18	1,469	0	0	0	1	0	0	
Gabon	0	0	0	153	306	296	224	208	94	146	110	245	78	
Gambia	0	380	343	446	643	315	366	124	71	692	290	1,706	1,849	
Georgia	21	0	3	0	0	290	0	173	0	15	18	3	7,727	
Germany	255,701	216,257	253,026	284,439	293,126	357,107	421,471	389,413	310,721	373,445	450,846	460,151	434,893	
Ghana	5,422	1,611	1,635	510	764	320	10,711	3,430	312	3,856	2,696	3,103	16,349	
Gibraltar	0	377	2	1	0	28	0	4,804	0	31	31	129	9,856	
Greece	678	1,900	1,794	1,859	5,098	3,584	3,099	4,242	2,057	49,092	247,283	15,836	84,482	
Greenland	0	0	0	0	0	0	0	0	0	0	0	4	0	
Guatemala	0	27	81	12	8	13	820	602	16	8	63	10	19	
Guinea	0	1	174	155	2,826	1,204	4,207	325	139	5,699	231	11,968	2,351	
Guinea-Bissau	0	111	382	411	667	975	1,370	884	32	0	17	528	751	
