List of importing markets for a product exported by Malta (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	2,329,941	2,635,915	3,219,983	3,525,475	3,360,969	4,181,424	5,429,475	8,023,464	4,811,158	6,196,825	6,212,767	6,360,857	6,059,066	
Albania	260	290	256	82	6	6	29	1,510	3,585	2,342	1,725	2,613	3,184	
Algeria	455	4,573	678	442	1,435	425	2,821	5,119	1,207	33,804	568	62,374	68,739	
Andorra	5	3	0	1										
Antigua and Barbuda					0		4		1	97	0	105	170	
Argentina	829	415	685	799	7	1,995	2,673	2,407	1,457	7,650	7,222	7,391	4,418	
Armenia	0	29	120	146	219	2	0	3	3	11	6	15	35	
Aruba					73				0	0	0	0		
Australia	2,839	2,571	6,987	7,235	8,785	11,243	12,811	12,682	11,522	14,462	11,571	12,379	19,575	
Austria	7,894	8,774	9,380	12,407	14,403	13,753	29,056	21,180	19,723	21,450	16,820	15,927	28,169	
Azerbaijan	200	0	0	0	111	133	475	183	196	537	364	307		
Bahamas	0	0	0	0	0	0	4	20	2	19	1	0		
Bahrain	504	789	1,372	721	1,046	1,176	1,952	2,166	1,262	1,791	1,484			
Bangladesh	3,856	58	51	5,381	50	70	189							
Barbados	32	28	27	46	1	14	1	14	256	291	2	0	2	
Belarus	1	5	90	449	340	83	469	624	332	312	642	2,254	1,158	
Belgium	70,531	78,668	69,334	34,344	69,744	23,313	31,473	58,533	95,298	103,742	94,876	104,737	59,720	
Belize	12	0	4	0	0	0	0	0	49	0	0	46	0	
Benin	2	0	75	0	0	0	0	0	0	0	0	47	0	
Bolivia	1	18	4	1	66	78	2	166	38	626	29	29		
Bosnia and Herzegovina			112	23	2,616	376	41	78	419	661	1,166	773	933	
Botswana	0	0	0	0	0	0	793	0	0	1	4	36	0	
Brazil	24,786	21,767	25,834	15,685	18,100	30,157	33,887	44,105	23,104	45,138	49,417	54,732	76,563	
Brunei Darussalam	3	2	1	0		15				18	2	505	1	
Bulgaria	187	250	3,454	190	11,476	2,768	3,177	6,305	10,321	35,426	18,937	56,680	8,817	
Burkina Faso	0	0	0	0	0		11	0	0	107	7,676	5,149		
Cabo Verde	93	366	799	4,178	2,113	1,159	1,398		1,462	1,692	31,147	17,293	439	
Cambodia	0	0	0	0	0	0	13	0	1	0	0	0		
Cameroon	11	95	494	467	510	842	754	792	657	785	673	756		
Canada	6,912	8,513	18,190	20,009	22,769	20,778	23,777	21,049	20,300	17,132	25,953	35,648	48,966	
Central African Republic	0	0	0			0	16	17	16	33	1	16	0	
Chile	176	106	114	257	909	602	1,396	36,081	657	744	5,213	813	1,172	
China	71,491	179,605	227,558	252,182	237,935	350,582	375,981	449,899	400,005	569,312	851,729	884,707	725,210	
Colombia	75	44	43	146	862	409	168	400	1,164	1,021	1,084	1,393	1,175	
Comoros	0	0	0	0	0	0	0	9	0					
Congo							80	213,320	107	110	135	54,430	209	
Cook Islands					23									
Costa Rica	0	0	2	41	21	38	40	26	42	274	177	52	57	
Côte d'Ivoire	0	2	102	226	130	45	15	19	192	32	4	240		
Croatia	1,468	1,175	470	811	1,970	36,917	158,390	143,043	48,150	52,765	53,136	56,187	22,248	
Cuba	113	38	7,965	0	0	0								
Cyprus	18,237	2,928	1,079	996	8,935	4,045	48,912	216,355	109,735	134,151	5,928	9,883	6,894	
Czech Republic	8,332	12,861	5,196	6,889	21,198	23,758	25,080	12,776	13,233	14,980	22,919	66,000	71,944	
Denmark	3,202	2,388	4,255	7,745	5,804	8,472	11,750	17,800	22,256	13,063	15,493	79,548	64,606	
Djibouti									1,079					
Dominican Republic	0	138	148	641	1,136	973	1,584	1,964	2,025	2,112	2,604	2,666	1,827	
Ecuador	47	42	46	76	59	2,713	32,963	24	26	0	37	40	85	
Egypt	11,523	2,495	473	1,814	1,474	20,741	314	197,374	352,252	1,053,845	208,279	226,161	311,592	
El Salvador	4	0	0	0	34	1	1	1	1	0	4	0	0	
Eritrea			113											
Estonia	2,457	2,973	3,154	12,881	2,923	1,379	420	725	685	766	839	731	2,357	
Ethiopia	0	2	195	79	13	130	597	385	580	475	117	175		
Faroe Islands	12	21	50	62	44	8	5	8	7					
Fiji		4	1	0	0	2	0	0	34	8	2	1		
Finland	24,015	26,218	12,689	20,193	6,464	56,538	95,695	43,886	22,990	21,044	5,094	3,701	7,478	
France	202,566	221,887	219,402	368,936	378,513	416,846	385,317	481,100	373,245	481,434	361,689	269,195	212,732	
French Polynesia	30	18	51	42	68	102	195	311	314	454	493	525	630	
Gabon	0	0	2,070	168	345	284	212	186	65					
Gambia	0	0	5	18	6	5	7	0	11	12	62			
Georgia	30	2	2	1	0	804	2,231	3,965	1,130	547	140	122	976	
Germany	309,369	237,933	289,330	271,980	282,079	409,300	543,391	980,776	358,466	404,037	585,333	416,662	643,392	
Ghana	16,583		410		1,023	442	493	177	16,009	3,978	824	313		
Greece	9,666	30,968	2,283	23,275	9,977	3,695	4,722	11,794	6,421	37,506	92,766	44,983	151,678	
Greenland	0	0	23	0	0	2	0	0	0	0	2	0	5	
Grenada	18	0	0	0	3	10	57	39						
Guatemala	3,871	458	17	70	63	71	65	658	32	0	23	57	16	
Guinea	210	0		49	0	0	0	0		3,306	35,189	23,114		
Guinea-Bissau			17	0	0									
Guyana	154	37	121	8	52	0	160	366	136	143	49	119	102	
Honduras	27	116	2	35	15	5	3	0	0	2	0	1	1,276	
Hong Kong, China	52,791	66,692	75,348	81,855	63,524	125,618	211,248	269,035	193,208	238,344	421,070	283,786		
Hungary	30,416	26,186	58,522	84,917	168,876	79,317	26,167	10,504	10,281	20,931	19,936	17,132	18,764	
Iceland	301	1,052	985	3,571	4,032	5,422	1,661	3,586	4,146	6,727	6,823	6,370	11,094	
India	136	4	772	732	38,306	27,721	2,329	10,300	8,666	34,622	36,865	41,661	39,429	
Indonesia	1,189	181	5,429	216	1,002	2,530	374	1,143	1,820	9,973	16,401	3,905	2,963	
Iran (Islamic Republic of)	54	72	159	418	137	75				12,224	554			
Ireland	2,414	5,157	4,840	3,700	3,609	3,379	11,526	9,832	9,360	14,699	14,002	14,081	14,546	
Israel	4,501	3,098	36,881	12,058	12,348	5,377	26,065	35,530	10,392	25,526	79,542	296,524	7,353	
Italy	150,783	163,716	83,871	145,120	251,541	250,609	248,014	430,114	304,960	333,535	365,359	278,780	280,390	
Jamaica	571	593	580	211	584	335	474	621	1,663	354	867	5,633		
Japan	30,268	47,605	42,986	60,959	68,466	124,607	92,522	189,604	131,243	90,976	122,870	99,646	267,583	
Jordan	328	354	392	539		717	827	1,205	964	612	2,594	2,621	70,100	
Kazakhstan	412	13	7	5	7	754	769	5,136	386	1,090	555	1,346	1,063	
Kenya	61	30	1	57	598	52	1,194	341	1,670	1,288	467			
Korea, Republic of	51,044	60,806	78,111	79,740	52,999	45,412	145,436	128,671	119,634	196,795	179,324	295,525	785,748	
Kuwait	1,398	2,319	4,069	3,043		3,277	4,405	3,119						
Kyrgyzstan	0	0	1	0	0	50	0	0	48	437	707	745		
Latvia	88	127	69	111	1,263	344	415	1,087	858	689	451	478	901	
Lebanon	7,813	9,339	10,513	12,661	33,943	70,366	32,465	245,837	57,390	6,000	8,879	19,404	1,547	
Lesotho	0	0	15					0	0	0				
Libya							27,377	17,570	37,003	27,085				
Lithuania	965	4,545	4,939	331	538	3,910	3,571	2,696	1,644	1,269	2,049	2,057	3,905	
Luxembourg	153	101	11	3	374	639	412	913	1,177	1,751	1,786	1,207	1,135	
Macao, China	5	0	9	3	0	0	2	0	1	4		24		
Macedonia, The Former Yugoslav Republic of	104	120	50	87	58	6	12		28	56	7,378	541	264	
Madagascar	108	188	256	145	62	113	68	54	36	24	37	253	30	
Malawi	0	0	0	0	107	0	0	0	0	0	0	0	0	
Malaysia	28,893	25,718	24,285	33,209	48,977	41,369	75,973	77,955	64,079	12,567	11,472	24,028	29,702	
Maldives	329	523	303	578	297	1,102	361	402	315	375	567	315	891	
Mali	0	0	17	4	0	501	447	1,867		777	18	6		
Mauritania	100	264	45	0	0		102	60	21	2,285	0	2		
Mauritius	32	15	17	61	100	79	128	154	209	205	220	364	606	
Mayotte	0	0	33	21	0	71	63	72	34					
Mexico	147,536	154,839	293,865	326,062	207,620	158,937	143,424	107,498	108,875	108,937	145,333	105,343	129,613	
Mongolia	0		0	23	29	1	0						2,458	
Montenegro						224	20	36	6	13	3	15	18	
Morocco	179	317	1,572	8,004	9,534	2,869	7,672	8,807	23,080	38,460	32,116	33,500	1,793	
Mozambique	1,164	61	4	0	0	0	0	73	17	0	0	1	167	
Myanmar										47				
Namibia	0	24	1	0	5	2,969	0	1	9	0	0	0	1	
Nepal			103						52	5	153			
Netherland Antilles					24	0	0	0						
Netherlands	13,052	13,685	18,036	14,427	31,359	29,488	18,222	22,870	61,698	122,297	72,399	135,274	106,571	
New Caledonia	17	56	41	10	7	28	23	45	93	94	209	306	456	
New Zealand	301	459	359	360	568	917	1,031	2,149	1,786	2,268	2,677	4,355	3,324	
Nicaragua	0	1	0	0	3	388	1	2	0	1	2	4	3	
Niger	39	55	25	132	222	357	558	441	115	217	270	596	552	
Nigeria	1,141	1,166	3,047			9,689	4,562	1,192	1,455	2,543	2,367	1,803		
Norway	3,851	6,206	6,385	6,286	15,081	6,287	7,797	44,808	4,969	9,100	11,674	11,445	11,398	
Oman	1,613	729	562	2,085	3,005	1,936	2,543	3,366	3,418	3,931	4,298	3,893	81,610	
Pakistan			8,065	20,144	405	4,334	109	476	65	58	44,319	312	211	
Palestine, State of							64	23	43	45	50	104		
Panama	0	0	0		0	0	51	906	6	34	0			
Papua New Guinea	15	12	14	22							5	22		
Paraguay	0	31	11	0	1,552	0	5	3	1	2,900	6	6	5	
Peru	5	28	19	42	103	53	122	286	122	386	596	5,198		
Philippines	1,397	1,333	1,376	1,553	380	692	308	24	72	163	3,915	3,158	3,319	
Poland	23,530	13,124	28,098	39,985	9,779	12,997	22,530	43,297	23,989	44,817	52,239	34,775	33,785	
Portugal	7,421	5,288	6,620	4,244	16,092	9,347	10,776	6,369	17,314	29,863	26,845	17,100	26,748	
Qatar	793	670	801	280	958	1,161	9,848	1,710	1,779	3,455	9,031	3,225	3,028	
Republic of Moldova	14	46	36	68	8	5	25	63	991	1,652	344	1,107	182	
Romania	15,390	1,006	2,124	14,009	3,481	4,571	35,755	40,075	79,246	28,859	25,370	35,842	59,841	
Russian Federation	1,851	2,817	3,298	9,423	22,143	84,683	16,450	150,169	6,391	13,152	38,114	34,316	51,587	
Rwanda	0	0	0	0	0	0	70	0	763	0	0	0	0	
Saint Lucia	5	0	1	20	6	1	1	0						
Saint Vincent and the Grenadines	0	8	0	1	26	1	0	131	0	0	0	1		
Sao Tome and Principe	0	0	0	0	0	0	0	0	25	28	0	0	0	
Saudi Arabia	9,127	4,433	11,115	12,245	11,918	14,893	15,587	17,717	18,934	22,605	21,300	20,455		
Senegal	578	496	1,960	2,035	2,226	21,848	8,919	2,419	1,583	429	371	2,090	1,931	
Serbia					21	306	726	687	809	2,737	1,971	6,714	5,122	
Serbia and Montenegro	209	227		270										
Seychelles	0	2	2		0	0		862						
Singapore	284,096	476,076	564,546	510,754	375,062	448,917	521,438	512,801	378,415	382,579	522,896	666,096	499,105	
Slovakia	1,122	744	1,190	2,556	1,560	3,277	7,435	3,109	4,011	3,537	8,106	4,057	7,165	
Slovenia	5,337	1,862	2,654	3,742	594	18,358	23,633	21,203	2,523	2,776	3,022	1,556	16,768	
South Africa	945	4,427	5,183	3,821	4,741	19,588	11,552	14,253	17,182	19,974	22,541	19,456	18,188	
Spain	22,071	37,417	56,159	26,281	24,545	27,498	40,439	103,468	102,375	138,823	89,013	95,989	87,777	
Sri Lanka	24	234	320	1,061	434	564	319	9,556	407	477	502	7,750		
Sudan (North + South)	392	210	1,169	453	13	96		76	1,057	617	576			
Suriname	4			19	21	11	28		39	63	0			
Swaziland	0	0	0	0	0	3,890	0							
Sweden	3,534	4,265	5,411	11,125	18,354	12,488	10,644	10,713	42,358	13,601	21,749	22,251	66,190	
