List of importing markets for a product exported by Mauritania Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	
World	346,909	319,914	320,792	435,222	556,397		1,353,710	1,627,128	1,164,530	725,370	2,457,999	2,623,807	
Afghanistan	0	0	0	0	0		0	0	0	0	0	0	
Africa not elsewhere specified	0	0	0	0	0		0	0	0	0	0	0	
Albania	0	0	0	0	0		0	0	53	21	0	0	
Algeria	2,448	3,248	7,701	15,265	13,963		3,766	0	0	34	0	17	
America not elsewhere specified	0	0	0	0	0		0	0	0	0	0	0	
Andorra	0	0	126	25	6		0	67	0	187	0	123	
Angola	0	0	0	0	0		16	191	573	582	1,956	2,081	
Anguilla	0	0	0	0	0		0	0	0	0	0	569	
Antigua and Barbuda	0	0	0	0	0		0	0	0	0	248	56	
Area Nes	662	1,244	3,424	1,707	3,677		548,039	464,130	157,789	2,502	0	0	
Argentina	0	0	0	0	0		0	0	0	0	0	0	
Armenia	0	0	0	0	0		0	0	0	19	0	0	
Australia	0	2	0	17	0		0	0	4	18	1	3	
Austria	0	0	0	0	0		0	0	0	0	0	0	
Azerbaijan	0	0	0	0	0		0	0	0	0	0	0	
Bahamas	0	0	0	0	0		0	0	0	0	0	0	
Bahrain	0	0	0	0	0		0	0	0	0	0	0	
Bangladesh	0	0	0	0	0		0	0	0	0	0	0	
Barbados	0	0	0	0	0		0	0	0	0	0	0	
Belarus	0	0	0	0	0		0	0	0	2,125	3,507	5,919	
Belgium	42,408	52,095	46,927	48,590	76,519		73,783	83,120	124	0	110,897	37,322	
Belize	0	0	0	116	0		0	0	0	0	0	0	
Benin	126	62	272	38	52		0	16	253	184	2,228	1,777	
Bhutan	0	0	0	0	0		0	0	0	0	0	0	
Bolivia	0	0	0	0	0		0	0	0	0	0	0	
Bosnia and Herzegovina	0	0	0	0	0		0	0	0	113	0	0	
Botswana	0	0	0	0	0		0	0	0	0	0	0	
Brazil	353	48	491	0	0		0	0	0	0	0	92	
Brunei Darussalam	0	0	0	0	0		0	0	0	0	326	0	
Bulgaria	0	0	0	0	0		0	0	0	41	0	0	
Burkina Faso	0	0	0	0	0		0	0	0	0	0	2	
Burundi	0	0	0	0	0		0	0	0	10	325	67	
Cabo Verde	0	0	0	4	0		0	0	0	0	0	0	
Cambodia	0	0	0	0	0		0	0	0	0	0	0	
Cameroon	601	214	265	292	1		0	333	34	362	626	3,131	
Canada	0	37	27	8	14		0	0	276	0	1	0	
Central African Republic	0	0	0	0	0		0	0	0	0	0	0	
