List of importing markets for a product exported by Mauritius Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	1,521,351	1,754,900	1,862,056	2,004,668	2,143,866	2,333,369	2,228,669	2,401,466	1,765,792	1,849,522	2,255,421	2,257,737	2,344,575	
Afghanistan	0	0	0	34	0	0	15	0	0	0	0	0	0	
Albania	0	0	0	0	0	0	0	0	0	17	0	0	0	
Algeria	0	0	0	0	1	20	0	0	15	216	0	1	0	
Andorra	0	3	0	0	0	151	0	0	7	24	25	44	0	
Angola	12	55	3	1,002	50	2,855	2,307	590	2,319	2,083	897	217	104	
Anguilla	0	0	0	0	0	0	0	0	0	1	0	0	1	
Antigua and Barbuda	0	0	0	0	0	0	1,270	0	0	0	0	53	8	
Area Nes	423	426	451	0	4	6	59	21	0	0	0	0	0	
Argentina	100	10	23	135	26	30	56	73	23	80	64	12	159	
Armenia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Australia	3,856	3,231	3,793	5,055	3,932	3,941	4,359	7,093	5,370	7,371	8,565	8,596	9,006	
Austria	4,059	3,168	3,620	2,595	7,015	4,374	6,320	7,556	10,036	10,855	14,715	13,035	10,617	
Azerbaijan	0	26	0	0	0	0	313	0	334	0	14	0	0	
Bahamas	9	2	0	0	9	17	2	1	92	0	10	0	0	
Bahrain	1,105	4	3	312	5	69	3	3	1	7	11	16	71	
Bangladesh	256	396	17	1,250	2,572	3,349	1,953	1,755	2,147	2,404	3,463	5,709	13,796	
Barbados	0	9	0	7	555	0	377	1,436	1,375	1,918	456	66	2	
Belarus	0	0	0	0	0	0	0	0	0	1	3	0	0	
Belgium	25,258	29,300	34,118	49,504	52,601	58,039	67,006	68,639	45,726	43,025	50,704	65,264	71,822	
Belize	7	0	753	281	0	0	0	0	0	30	2	9	18	
Benin	42	58	165	312	345	444	535	622	459	415	214	352	300	
Bermuda	5	0	1	3	0	0	0	1	1	0	0	0	0	
Bhutan	0	0	0	2	0	0	0	0	0	0	0	0	0	
Bolivia	0	0	0	2	0	0	0	0	0	0	0	2	0	
Bosnia and Herzegovina	0	0	17	43	77	101	182	0	69	119	160	169	138	
Botswana	563	430	565	662	367	169	120	236	122	110	69	253	3,531	
Brazil	47	261	99	102	484	180	65	18	33	69	122	547	1,021	
British Indian Ocean Territories	0	0	5	24	613	111	119	1	0	66	0	0	0	
British Virgin Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Brunei Darussalam	41	46	0	0	34	119	48	23	28	0	0	0	0	
Bulgaria	1	0	21	9	67	178	880	487	522	532	563	560	984	
Burkina Faso	154	525	41	68	8	559	237	205	34	18	47	81	7	
Burundi	328	385	1,087	628	385	183	230	357	52	1,513	1,697	1,807	1,141	
Cabo Verde	0	0	0	0	0	0	0	3	55	0	0	0	0	
Cambodia	11	52	52	13	0	43	12	40	0	0	0	0	3	
Cameroon	298	268	685	82	63	1,420	871	500	1,010	1,140	109	21	29	
Canada	7,789	8,313	6,942	5,203	3,003	4,368	3,925	4,801	6,849	3,898	4,722	6,083	7,293	
Cayman Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Central African Republic	6	2	0	0	0	0	0	1	0	0	1	0	13	
Chad	0	0	0	0	2	0	0	271	0	3	1	0	76	
Chile	564	58	97	223	171	118	241	258	362	285	959	346	277	
China	1,543	9,448	7,498	6,436	6,323	5,228	4,208	9,380	6,362	7,218	6,397	8,705	13,498	
Christmas Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cocos (Keeling) Islands	35	0	0	0	0	0	0	0	0	0	0	0	0	
Colombia	0	0	35	0	2	0	5	0	0	0	2	0	3	
