List of importing markets for a product exported by Mayotte Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	
World	3,504	5,635	4,996	4,898	6,430	7,402	7,813	7,742	6,780	
Afghanistan	0	0	0	0	0	0	0	0	0	
Albania	0	0	0	0	0	0	0	0	0	
Algeria	0	0	0	0	0	0	0	0	0	
Andorra	0	0	0	0	0	0	0	0	0	
Angola	0	0	0	0	0	0	22	0	0	
Anguilla	0	0	0	0	0	0	0	0	0	
Antigua and Barbuda	0	0	0	0	0	0	0	0	0	
Area Nes	0	0	4	0	0	22	5	478	0	
Argentina	0	0	0	0	0	0	0	0	0	
Australia	0	0	0	0	0	0	0	0	0	
Austria	0	0	0	0	0	0	0	0	0	
Azerbaijan	0	0	0	0	0	0	0	0	0	
Bahamas	0	0	0	0	0	0	0	0	0	
Bahrain	0	0	0	0	0	0	0	0	0	
Bangladesh	0	0	0	0	0	0	0	0	0	
Barbados	0	0	0	0	0	0	0	0	0	
Belarus	0	0	0	0	0	0	0	0	0	
Belgium	0	1	0	0	0	5	0	0	0	
Benin	0	0	0	0	0	0	0	0	134	
Bermuda	0	0	0	0	0	0	0	0	0	
Bhutan	0	0	0	0	0	0	0	0	0	
Bolivia	0	0	0	0	0	0	0	0	0	
Bosnia and Herzegovina	0	0	0	0	0	0	0	0	0	
Botswana	0	0	0	0	0	0	0	0	0	
Brazil	0	0	0	0	0	0	0	0	0	
Brunei Darussalam	0	0	0	0	0	0	0	0	0	
Bulgaria	0	0	0	0	0	0	0	0	0	
Burkina Faso	0	0	0	0	0	0	0	0	0	
Burundi	0	0	0	0	0	0	0	0	0	
Cabo Verde	0	0	0	0	0	0	0	0	0	
Cambodia	0	0	0	0	0	0	0	0	0	
Cameroon	0	0	3	0	0	0	0	0	0	
Canada	0	0	0	1	0	0	0	2	0	
Cayman Islands	0	0	0	0	0	0	0	0	0	
Central African Republic	0	0	0	0	0	0	0	0	0	
Chad	0	0	0	0	0	0	0	0	0	
Chile	0	0	0	0	0	0	0	0	0	
China	0	0	0	31	0	0	0	146	99	
Colombia	0	0	0	0	0	0	0	0	0	
Comoros	1,532	1,317	1,239	877	2,321	1,878	1,404	1,219	1,069	
Congo	0	0	0	0	0	0	0	0	0	
Costa Rica	0	0	0	0	0	0	0	0	0	
Côte d'Ivoire	0	0	0	0	0	0	0	0	0	
Croatia	0	0	0	0	0	0	0	0	0	
Cuba	0	0	0	0	0	0	0	0	0	
Cyprus	0	0	0	0	0	0	0	0	0	
Czech Republic	0	0	0	0	0	0	0	0	0	
Democratic Republic of the Congo	0	0	10	0	0	0	0	0	0	
Denmark	0	0	0	0	0	0	0	0	0	
Djibouti	0	0	0	3	8	18	0	6	32	
Dominica	0	0	0	0	0	0	0	0	0	
Dominican Republic	0	0	0	0	0	0	0	0	0	
Ecuador	0	0	0	0	0	0	0	0	0	
Egypt	0	0	0	0	0	0	0	0	0	
El Salvador	0	0	0	0	0	0	0	0	0	
Eritrea	0	0	0	0	0	0	0	0	0	
Estonia	0	0	0	0	0	0	0	0	0	
Ethiopia	0	0	0	0	0	0	0	0	0	
Europe Othr. Nes	0	0	0	0	0	0	0	1	0	
Falkland Islands (Malvinas)	0	0	0	0	0	0	0	0	0	
Faroe Islands	0	0	0	0	0	0	0	0	0	
Finland	0	0	0	0	0	0	0	7	0	
France	1,697	3,821	3,413	3,417	3,749	5,086	5,891	4,403	3,553	
French Polynesia	0	0	0	0	0	0	0	0	5	
Gabon	0	0	0	0	0	0	0	0	0	
Gambia	0	0	1	0	0	0	0	0	0	
Georgia	0	0	0	0	0	0	0	0	0	
Germany	6	27	0	6	0	2	0	1	18	
Ghana	0	0	0	0	0	0	0	0	0	
Gibraltar	0	0	0	0	0	0	1	0	0	
Greece	0	15	0	0	0	0	0	0	0	
Greenland	0	0	0	0	0	0	0	0	0	
Guatemala	0	0	0	0	0	0	0	0	0	
Guinea	0	0	0	0	0	0	0	0	0	
Guyana	0	0	0	0	0	0	0	36	0	
Honduras	0	0	0	0	0	0	0	0	0	
Hong Kong, China	0	14	29	29	0	0	0	0	0	
Hungary	0	0	0	0	0	0	0	0	0	
Iceland	0	0	0	0	0	0	0	0	0	
India	0	0	0	0	0	79	53	144	147	
Indonesia	0	0	0	21	0	0	29	61	282	
Iran (Islamic Republic of)	0	0	0	0	0	1	0	52	0	
Ireland	0	0	0	0	0	0	0	0	0	
Israel	0	0	0	0	0	0	0	0	0	
Italy	18	31	0	0	19	0	1	0	0	
Jamaica	0	0	0	0	0	0	0	0	0	
Japan	0	0	0	18	0	0	9	18	77	
Kenya	0	0	0	0	1	3	0	0	0	
Korea, Democratic People's Republic of	0	0	0	0	0	0	0	0	0	
Korea, Republic of	0	0	0	0	0	0	53	0	0	
Kuwait	0	0	0	0	0	0	0	0	0	
Kyrgyzstan	0	0	0	0	0	0	0	0	0	
Lao People's Democratic Republic	0	0	0	0	0	0	0	0	0	
Latvia	0	0	0	0	0	0	0	0	0	
Lebanon	0	0	0	0	0	0	0	0	0	
Lesotho	0	0	0	0	0	0	0	0	0	
Liberia	0	0	0	0	0	0	0	0	0	
Libya	0	0	0	0	0	0	0	0	0	
Lithuania	0	0	0	0	0	0	0	0	0	
Luxembourg	0	0	0	0	0	0	0	0	0	
Macao, China	0	0	0	0	0	0	0	0	0	
Macedonia, The Former Yugoslav Republic of	0	0	0	0	0	0	0	0	0	
Madagascar	148	160	211	325	201	170	266	407	965	
Malaysia	0	0	0	3	0	0	0	0	0	
Mali	0	0	0	10	0	0	0	0	0	
Malta	0	0	0	0	0	0	0	0	1	
Marshall Islands	0	0	0	0	0	0	0	0	0	
Mauritania	0	0	0	0	8	0	12	17	0	
Mauritius	67	131	25	46	52	16	23	364	197	
Mayotte	0	0	0	0	0	0	0	0	0	
Mexico	0	0	0	0	0	0	0	0	0	
Micronesia (Federated States of)	2	0	0	0	0	0	0	0	0	
Montserrat	0	0	0	0	0	0	0	0	0	
Morocco	0	0	0	5	0	0	0	29	0	
Mozambique	0	97	0	0	0	0	0	0	0	
Myanmar	0	0	0	0	0	0	0	0	0	
Namibia	0	0	0	0	0	0	0	0	0	
Nauru	0	0	0	0	0	0	0	0	0	
Nepal	0	0	0	0	0	0	0	0	0	
Netherland Antilles	0	0	0	0	0	0	0	0	25	
Netherlands	0	0	23	0	0	32	0	0	0	
New Caledonia	0	0	0	0	0	0	2	0	0	
New Zealand	0	1	0	0	0	0	0	0	0	
Nicaragua	0	0	0	0	0	0	0	0	0	
Niger	0	0	0	0	0	0	0	0	0	
Nigeria	0	0	0	0	0	0	0	0	13	
Northern Mariana Islands	0	0	0	11	0	0	0	0	0	
Norway	0	0	0	0	0	0	0	0	0	
Oman	0	0	0	0	0	0	0	0	0	
Pakistan	0	0	0	0	0	0	0	23	0	
Panama	0	0	0	0	0	0	0	0	0	
Papua New Guinea	0	0	0	1	0	0	0	0	0	
Paraguay	0	0	0	0	0	0	0	0	0	
Peru	0	0	0	0	0	0	0	0	0	
Philippines	0	0	0	0	0	0	0	0	0	
Poland	0	0	0	0	0	0	0	0	0	
Portugal	0	0	0	0	0	0	0	0	0	
Republic of Moldova	1	0	0	0	0	0	0	0	0	
Romania	0	0	0	0	0	0	0	0	0	
Russian Federation	0	0	0	31	44	32	0	67	0	
Rwanda	0	0	0	0	0	0	0	0	0	
Saint Helena	0	0	0	0	0	0	0	0	0	
Saint Kitts and Nevis	0	0	0	0	0	0	0	0	0	
Saudi Arabia	0	0	0	0	0	0	0	0	0	
Senegal	0	0	0	0	0	0	0	0	0	
Serbia	0	0	0	0	0	0	0	0	0	
Serbia and Montenegro	0	0	0	0	0	0	0	0	0	
Seychelles	0	1	0	0	0	0	0	0	0	
Sierra Leone	0	0	0	0	0	0	0	0	0	
Singapore	0	0	23	36	0	0	31	126	70	
Slovakia	0	0	0	0	0	0	0	0	0	
Slovenia	0	0	0	0	0	0	0	0	0	
Solomon Islands	0	0	0	0	0	0	0	0	0	
Somalia	0	0	0	0	0	0	0	0	0	
South Africa	5	7	2	15	1	0	0	104	0	
Spain	1	2	1	0	0	15	0	0	0	
Sri Lanka	0	0	0	0	0	0	0	0	0	
Suriname	0	0	0	0	0	0	0	0	0	
Swaziland	0	0	0	0	0	0	0	0	0	
Sweden	0	0	0	0	10	0	0	0	35	
Switzerland	0	0	0	0	0	0	0	0	0	
Syrian Arab Republic	0	0	0	0	0	0	0	0	0	
Taipei, Chinese	0	0	0	0	0	0	0	0	0	
Tajikistan	0	0	0	0	0	0	0	0	0	
Tanzania, United Republic of	6	4	1	0	0	0	0	0	6	
Thailand	0	0	0	0	0	0	0	8	0	
Togo	0	0	0	0	0	0	0	0	0	
Tonga	0	0	0	0	0	0	2	0	0	
