List of importing markets for a product exported by Mayotte (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	2,343	30,712	5,222	5,027	4,286	3,768	7,289	13,723	11,589	9,166	15,468	28,449	26,782	
Andorra	0	0	0	8										
Argentina	0	0	0	0	0	0	0	0	0	0	0	0	0	
Austria	0	0	0	0	0	0	0	0	0	0	0	0	0	
Belgium	0	0	45	26	166	41	5	0	7	18	447	57	1	
Benin	0	0	0	0	0	0	0	0	0	0	0	0	6	
Bolivia	0	0	0	0	0	0	0	0	0	0	0	1		
Bosnia and Herzegovina			0	0	0	7	0	0	0	0	0	0	0	
Bulgaria	0	0	0	0	0	0	0	0	0	0	0	0	0	
Burkina Faso	0	0	0	0	0		0	0	0	0	0	0		
Cambodia	0	0	0	0	0	0	0	0	0	0	0	0		
Cameroon	0	0	0	0	5	0	0	0	0	0	0	0		
China	0	0	0	0	0	0	0	0	1	4	0	112	1	
Comoros	173	672	642	524	0	0	0	535	897					
Costa Rica	0	0	0	9	0	0	0	2	0	0	0	0	1	
Côte d'Ivoire	0	0	0	0	0	0	0	0	0	0	0	0		
Croatia	0	3	0	1	1	24	23	3	1	3	1	13	0	
Cyprus	0	0	0	0	0	0	0	0	0	0	0	0	0	
Czech Republic	0	0	0	47	715	0	0	3	1	0	0	0	0	
Denmark	0	0	0	0	0	1	0	0	0	28	15	2	0	
Dominican Republic	0	0	0	0	0	0	18	5	67	57	14	4	2	
Ecuador	0	60	0	0	0	0	0	0	0	0	0	0	0	
Estonia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Faroe Islands	0	0	0	2	0	0	1	1	0					
Finland	0	0	0	0	0	1	0	7	8	15	1	0	0	
France	1,648	29,077	3,589	3,677	2,964	2,679	3,004	3,640	3,092	2,533	6,103	9,814	7,814	
French Polynesia	0	0	0	0	0	0	0	0	0	0	2	0	0	
