List of importing markets for a product exported by Mexico Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	158,386,217	160,750,540	164,906,509	187,980,442	214,207,306	249,960,546	271,821,215	291,264,809	229,712,337	298,305,075	349,569,049	370,642,552	380,095,885	
Afghanistan	329	220	129	19,602	165	120	29	2,125	439	730	182	401	78	
Albania	107	101	283	311	370	491	438	1,195	689	814	1,006	703	1,406	
Algeria	94,559	38,957	86,875	15,317	97,110	86,788	94,597	399,228	265,834	99,554	201,698	157,738	145,117	
Andorra	0	23	2,004	12	45	81	127	5	15	23	46	36	5	
Angola	25	631	1,419	145	31,113	22,492	13,591	32,044	56,618	17,803	69,538	44,922	69,014	
Anguilla	102	61	75	1,017	256	313	657	694	608	62	88	119	245	
Antigua and Barbuda	1,455	1,348	915	610	1,654	2,491	2,552	5,134	3,808	1,824	1,701	2,568	2,467	
Area Nes	2,735,604	3,893,570	36,253	30,456	73,458	74,655	207,940	199,301	151,852	180,366	192,366	243,335	73,900	
Argentina	304,168	125,031	235,054	417,487	672,287	952,155	1,130,043	1,315,076	1,072,736	1,768,791	1,958,140	1,932,399	1,965,926	
Armenia	23	0	82	162	66	131	37	394	5	203	265	939	1,185	
Aruba	29,664	167,351	783,818	1,398,518	1,447,590	1,471,365	1,517,813	1,494,555	104,044	25,448	9,710	9,479	14,338	
Australia	161,826	169,278	199,013	164,488	340,814	438,752	560,808	670,894	515,045	657,150	894,571	1,086,320	988,267	
Austria	88,392	60,951	15,795	27,639	52,522	51,195	59,899	45,424	35,558	39,063	47,775	88,780	102,221	
Azerbaijan	2,281	8	385	2	22	21	6,346	1,418	787	1,538	4,274	3,497	1,622	
Bahamas	12,758	9,296	13,632	34,581	13,740	12,379	18,726	55,134	16,788	63,013	134,029	58,156	12,491	
Bahrain	626	2,567	373	200	439	942	2,020	5,479	4,544	58,228	17,522	27,443	14,816	
Bangladesh	1,301	416	1,220	1,001	1,574	4,566	1,090	12,800	12,724	2,066	7,354	2,168	2,191	
Barbados	21,755	31,356	2,947	5,441	7,472	7,905	8,249	13,326	11,414	19,306	25,575	26,151	12,895	
Belarus	397	325	382	362	225	367	668	1,030	688	630	306	1,796	3,150	
