List of importing markets for a product exported by Mongolia Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	448,474		615,866	856,009	1,064,385	1,542,321	1,886,553						4,269,056	
Afghanistan	0		0	0	0	0	0						0	
Albania	0		0	0	0	0	0						0	
Angola	0		0	0	0	0	0						176	
Anguilla	0		0	0	0	0	0						0	
Area Nes	49		190	0	16	17	18						0	
Argentina	0		198	386	236	0	0						0	
Armenia	0		9	0	0	3	10						0	
Aruba	68		0	0	1	0	0						0	
Australia	106		34,462	89	14,246	387	897						8,279	
Austria	5		1	1	126	255	557						2,155	
Azerbaijan	1		0	0	0	0	0						1,192	
Bahamas	0		0	0	0	0	0						0	
Bangladesh	0		0	0	0	0	0						21	
Belarus	0		12	0	6	74	5						698	
Belgium	1,337		530	718	1,095	971	274						236	
Bosnia and Herzegovina	0		0	0	0	0	0						0	
Brazil	0		0	0	0	36	0						1	
British Virgin Islands	0		0	0	0	0	0						0	
Bulgaria	0		5	13	122	30	10						5	
Burkina Faso	0		0	0	0	0	0						0	
Burundi	0		0	0	0	0	0						0	
Cambodia	0		0	0	0	29	259						0	
Canada	994		707	14,690	122,053	171,190	178,489						135,514	
Chile	0		0	17	86	109	7						0	
China	231,530		284,240	407,199	512,380	1,046,079	1,399,796						3,700,269	
Colombia	0		0	35	426	0	0						34	
Costa Rica	0		0	0	0	0	0						0	
Croatia	148		0	0	0	0	0						0	
Cuba	0		0	0	63	62	0						0	
Cyprus	0		0	0	0	0	0						0	
Czech Republic	72		53	37	160	789	65						141	
Denmark	6		0	8	6	18	28						105	
Dominica	0		0	0	0	0	0						0	
Dominican Republic	0		0	0	0	0	0						0	
Ecuador	0		0	0	0	0	0						0	
Egypt	0		0	106	52	13	370						0	
El Salvador	0		0	0	0	0	0						0	
Estonia	0		0	3	0	0	3,906						0	
