List of importing markets for a product exported by Mongolia (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	497,217	514,886	588,251	874,745	949,658	1,603,249	1,850,792	2,056,951	1,689,090	3,122,609	4,386,872	4,474,914	3,879,174	
Albania	0	0	103	0	0	0	0	0	1	1	0	1	1	
Algeria	31	25	8	119	45	349	25	22	3	12	0	50	2	
Antigua and Barbuda					1		0		0	0	0	0	0	
Argentina	0	0	295	450	605	67	0	1	1	0	3	11	0	
Armenia	0	0	0	0	0	0	10	49	0	4	0	0	0	
Australia	1	104	268	196	119	305	487	138	279	121	601	876	449	
Austria	253	333	514	590	290	429	773	1,331	1,137	1,308	3,856	6,576	7,233	
Azerbaijan	0	0	0	0	47	99	0	21	57	0	83	0		
Bahrain	0	0	3	0	0	0	1	2	0	0	1			
Bangladesh	0	9	14	153	129	619	155							
Barbados	0	0	0	0	0	1	0	0	1	0	4	0	0	
Belarus	0	0	5	0	13	54	0	38	44	0	2	0	25	
Belgium	1,646	1,013	915	927	1,260	1,057	10,642	521	1,062	3,061	4,156	2,581	3,487	
Belize	61	0	0	0	0	0	0	0	0	0	0	0	0	
Benin	0	0	0	7	0	0	0	0	0	0	63	0	2	
Bolivia	0	0	0	0	2	0	6	1	5	585	0	0		
Bosnia and Herzegovina			0	1	0	2	0	4	7	1	0	13	55	
Botswana	0	1	11	0	0	70	0	0	3	0	0	0	0	
Brazil	0	1	25	10	0	43	2	3	0	16	15	333	135	
Brunei Darussalam	0	0	0	0		0				0	0	0	0	
Bulgaria	4	38	4	6	22	61	132	209	4	893	22	30	100	
Burundi	0	0	0	0	0	0	0	0	0	0	43	0	1	
Cambodia	21	1	6	23	0	208	31	4	0	24	627	32		
Cameroon	0	0	0	0	0	0	0	0	0	0	0	250		
Canada	3,014	6,361	11,798	43,095	130,328	171,620	180,139	178,468	139,725	225,045	244,729	166,629	126,197	
Central African Republic	0	0	3			0	0	0	0	0	0	0	0	
Chile	0	952	0	0	48	92	33	7,755	8	1,896	5,279	1,308	0	
