List of importing markets for a product exported by Montenegro Product: TOTAL All products
"Importers"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	556,459	626,289	616,616	387,540	436,575	627,532	468,788	494,376	
Afghanistan	99	115	769	365	0	0	71	66	
Albania	5,228	8,854	8,395	8,513	10,871	14,397	9,807	15,887	
Algeria	0	0	0	0	0	195	0	0	
Andorra	0	0	0	0	0	0	0	0	
Angola	0	0	0	0	0	0	0	0	
Area Nes	0	0	1,316	779	568	33,528	30,226	26,166	
Argentina	0	0	0	0	0	0	0	0	
Armenia	0	0	1	1,734	795	64	0	0	
Aruba	0	0	0	0	0	0	0	0	
Australia	25	10	10	0	54	153	61	86	
Austria	2,523	1,770	2,279	2,199	3,726	3,348	5,421	4,116	
Azerbaijan	0	0	0	0	71	0	0	0	
Bahamas	0	0	0	0	0	132	54	9	
Bahrain	0	0	0	0	0	0	0	0	
Bangladesh	0	0	0	0	0	0	1	5	
Barbados	0	0	0	0	0	0	0	0	
Belarus	0	0	115	0	0	249	1	0	
Belgium	168	739	204	80	201	510	226	763	
Belize	0	0	0	0	0	35	0	0	
Benin	0	0	0	0	0	0	0	0	
Bermuda	0	0	0	0	0	0	0	0	
Bolivia	0	0	0	0	0	0	0	0	
Bosnia and Herzegovina	23,224	22,688	29,398	24,925	31,865	31,145	35,217	24,395	
Botswana	0	0	0	0	0	0	0	0	
Brazil	0	0	140	0	41	1	0	4	
British Indian Ocean Territories	0	0	0	0	0	0	0	0	
British Virgin Islands	20	0	31	86	4	0	0	19	
Bulgaria	80	597	181	182	163	14	544	1,878	
Burkina Faso	0	0	0	0	0	0	0	0	
Burundi	0	0	0	122	0	0	0	400	
Cabo Verde	0	0	0	0	0	0	0	0	
Cambodia	0	0	0	0	0	0	0	0	
Cameroon	0	299	0	0	21	0	0	0	
Canada	138	136	131	117	140	77	306	223	
Cayman Islands	0	0	0	9	21	0	1	0	
Central African Republic	0	0	0	0	0	0	0	0	
Chad	0	0	0	0	0	0	0	0	
Chile	0	0	0	0	0	0	0	0	
China	0	85	226	133	197	1,039	4,884	5,184	
Christmas Islands	0	0	0	0	0	0	0	0	
Cocos (Keeling) Islands	0	0	0	0	0	0	0	0	
Colombia	322	0	0	0	0	0	0	0	
Congo	0	0	0	0	0	0	4	0	
Costa Rica	0	0	0	0	0	0	0	0	
Côte d'Ivoire	15	0	0	0	0	0	0	0	
Croatia	9,445	8,008	7,277	12,762	5,344	63,772	107,331	79,013	
Cuba	0	0	0	0	0	0	0	0	
Cyprus	233	1,034	208	816	227	262	25	161	
Czech Republic	1,851	3,906	6,529	1,463	6,786	7,741	3,457	6,160	
Democratic Republic of the Congo	0	0	0	0	0	0	0	0	
Denmark	86	14	16	15	8	30	11	1,392	
Dominica	0	0	0	0	0	0	0	0	
Ecuador	0	0	0	0	0	0	0	0	
Egypt	1,768	921	1,363	930	864	13,652	167	127	
El Salvador	0	0	0	0	0	0	0	0	
Equatorial Guinea	0	0	0	288	0	0	0	0	
Eritrea	0	0	0	0	0	0	0	0	
Estonia	0	0	0	0	0	0	71	0	
Ethiopia	0	0	0	0	0	0	0	0	
Falkland Islands (Malvinas)	0	0	0	0	0	0	0	0	
Faroe Islands	0	0	0	0	0	0	0	0	
Fiji	0	0	0	0	0	0	0	0	
Finland	0	0	2,669	1,426	15	2,217	1,579	0	
France	777	297	437	1,202	2,408	2,436	3,158	4,395	
Free Zones	0	2,010	1,377	0	0	0	0	0	
French Polynesia	0	0	0	0	0	0	0	0	
French South Antarctic Territories	0	0	0	0	0	0	0	0	
Gabon	0	0	0	0	0	0	0	0	
Gambia	0	0	0	0	0	0	0	0	
Georgia	0	0	0	9	0	105	0	0	
Germany	4,594	6,841	16,085	3,610	4,129	28,498	15,874	14,655	
Ghana	0	0	0	0	0	0	0	3	
Gibraltar	521	5	167	48	17	14	0	48	
Greece	63,675	83,265	78,862	66,869	74,535	54,592	4,592	4,769	
Greenland	0	0	0	0	0	0	0	0	
Grenada	0	0	0	0	0	14	0	0	
Guatemala	0	0	0	0	0	0	0	0	
Guinea	0	0	275	0	0	0	0	0	
Guinea-Bissau	0	0	0	0	0	0	0	0	
Guyana	0	0	0	0	0	0	0	0	
Haiti	0	0	0	0	0	0	0	0	
Honduras	0	0	0	0	0	0	0	0	
Hong Kong, China	5	0	27	0	89	383	21	8	
Hungary	40,162	87,232	13,703	16,312	38,278	106,805	23,200	1,501	
Iceland	0	0	0	0	0	0	0	0	
India	0	0	0	0	0	0	0	0	
Indonesia	0	0	0	0	0	0	0	0	
Iran (Islamic Republic of)	0	0	0	0	0	0	0	0	
Iraq	1,203	16	1,295	0	0	0	0	0	
Ireland	245	490	0	0	8	0	1	3	
Israel	126	2	23	907	10	24	243	6	
Italy	226,300	199,611	191,755	46,094	64,536	43,167	15,922	20,862	
Jamaica	0	47	4	0	0	0	1	16	
Japan	2	47	215	17	719	1,573	2,526	3,045	
Jordan	0	0	0	0	0	0	20	31	
Kazakhstan	0	716	0	139	0	0	0	250	
Kenya	0	0	0	0	0	0	0	9	
Kiribati	0	0	0	0	0	0	0	0	
Korea, Democratic People's Republic of	0	0	0	0	0	0	0	0	
Korea, Republic of	23	2	2	1	0	1	0	27	
Kuwait	0	0	0	0	0	8	0	0	
Kyrgyzstan	0	123	229	0	0	0	0	0	
Lao People's Democratic Republic	0	0	0	0	0	0	0	0	
Latvia	16	9	0	0	0	0	251	0	
Lebanon	0	0	0	0	0	0	93	1	
Lesotho	0	0	0	0	0	0	0	0	
Liberia	0	0	0	0	0	0	37	18	
Libya	128	199	3	0	59	0	2,438	7,749	
Lithuania	29	95	33	3	0	76	251	4	
Luxembourg	0	4	9	20	104	603	109	54	
Macao, China	0	0	0	0	0	0	0	0	
Macedonia, The Former Yugoslav Republic of	1,501	1,029	1,301	1,909	1,435	1,966	2,945	3,665	
Madagascar	0	0	0	0	0	0	0	0	
Malawi	0	0	0	0	0	0	0	0	
Malaysia	0	63	0	9	0	44	9	151	
Maldives	0	0	0	0	1	0	0	0	
Mali	0	0	0	0	0	0	0	90	
Malta	217	1	0	337	586	246	139	416	
Marshall Islands	0	0	0	0	175	0	0	0	
Mauritania	0	0	0	0	0	0	0	0	
Mauritius	0	0	0	0	0	0	0	0	
Mayotte	0	0	0	0	0	0	0	0	
Mexico	0	0	0	0	0	0	0	0	
Mongolia	0	0	0	0	0	0	0	0	
