List of importing markets for a product exported by Montserrat (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	5,606	3,700	9,956	4,367	4,382	3,608	3,472	4,823	5,982	5,222	3,471	3,001	4,204	
Albania	0	0	0	0	0	0	0	0	0	0	0	0	0	
Anguilla	3	12	8											
Antigua and Barbuda					48		51		93	6	4	5	92	
Armenia	0	0	0	0	0	0	0	0	6	0	0	0	0	
Australia	0	3	3	25	18	16	172	255	462	334	68	42	12	
Austria	3	3	1	3	2	59	99	76	3	0	10	0	131	
Bahamas	0	0	23	0	0	0	217	0	0	1	0	3		
Bangladesh	0	3	0	0	0	16	0							
Barbados	1	0	0	1	19	1	1	0	1	2	2	0	4	
Belgium	136	0	0	92	21	53	377	109	25	2	187	142	104	
Belize	0	0	0	0	5	0	0	0	0	0	0	0	0	
Benin	5	0	2	0	14	0	2	0	0	0	1	15	0	
Bolivia	0	0	0	4	0	0	0	0	0	0	2	0		
Bosnia and Herzegovina			0	0	0	0	0	0	1	0	0	0	0	
Botswana	0	0	0	0	0	0	0	0	0	0	0	0	0	
Brazil	1	4	0	0	0	1	1	0	0	0	0	20	5	
Bulgaria	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cambodia	0	12	0	0	0	0	20	12	0	3	0	0		
Cameroon	0	0	0	0	0	0	0	0	0	0	0	2		
Canada	69	170	324	183	85	478	208	131	61	318	294	197	35	
Chile	0	0	0	0	0	0	0	0	1	0	6	0	0	
China	0	0	541	3	0	0	4	24	133	24	85	39	22	
Colombia	0	30	0	0	0	0	1	0	0	0	0	0	1	
Costa Rica	8	0	0	0	0	0	0	0	0	0	0	1	10	
Côte d'Ivoire	0	0	55	0	0	0	0	0	0	0	0	0		
Croatia	7	2	2	0	0	0	28	1	7	0	1	0	0	
Cuba	55	0	0	0	0	23								
Cyprus	0	0	345	426	0	0	0	0	0	0	0	4	0	
Czech Republic	0	7	0	1	0	0	1	3	3	3	1	3	2	
Denmark	6	4	0	5	26	3	0	7	31	0	0	17	0	
Dominica	17	6	0	1	1	2	46	12	4	0	6	1		
Dominican Republic	12	0	0	0	0	0	0	0	0	1	351	2	0	
Ecuador	284	158	0	6	0	0	0	0	0	0	1	0	1	
Egypt	0	0	0	0	0	0	0	0	32	1	8	5	4	
El Salvador	0	0	0	0	2	0	0	51	29	38	49	0	0	
Estonia	0	0	1	0	46	0	0	0	0	0	0	0	0	
Ethiopia	67	382	6	2	2	0	0	0	0	0	0	0		
Fiji		0	0	0	0	0	0	0	0	0	96	0		
Finland	0	0	0	0	1	0	10	2	0	0	0	0	0	
France	53	40	48	11	153	98	113	32	89	367	164	180	6	
French Polynesia	0	0	0	0	2	0	0	0	0	0	0	0	0	
Germany	3	153	1,055	391	110	58	55	68	49	111	1	4	5	
Ghana	22		0		26	0	4	1	0	0	11	1		
Greece	0	5	0	5	0	14	0	0	0	0	0	0	0	
Grenada	0	0	0	0	0	0	0	0						
Guatemala	0	0	0	0	16	1	0	0	0	0	0	0	0	
Guinea	0	0		0	0	0	0	0		9	0	0		
Guinea-Bissau			1,465	0	0									
Guyana	0	0	0	1	13	0	0	0	0	1	0	0	0	
Honduras	0	3	1	14	1	111	17	63	212	0	0	0	0	
Hungary	3	0	3	0	0	2	0	0	0	0	0	0	0	
Iceland	0	0	0	0	0	0	0	0	0	0	0	0	0	
India	0	0	18	23	22	80	102	13	2	3	0	0	3	
Indonesia	0	174	40	0	0	1	4	10	1,258	108	54	0	5	
Ireland	76	69	10	35	0	3	52	0	4	90	31	56	58	
Italy	74	6	168	276	36	229	2	1,127	4	4	2	0	0	
Jamaica	0	0	0	10	0	0	0	32	0	0	0	0		
Japan	0	2	5	33	13	0	25	9	0	0	0	0	4	
Kazakhstan	0	0	0	0	0	0	7	1	0	0	0	0	0	
Kenya	0	0	3	0	1	0	0	7	0	0	0			
Korea, Republic of	96	11	33	18	24	185	35	26	66	77	507	54	63	
Kuwait	0	0	0	0		0	2	8						
Lebanon	4	0	48	0	2	6	1	6	7	1	12	0	3	
Lithuania	0	0	0	10	0	0	0	0	0	0	0	0	0	
Luxembourg	0	0	0	4	0	0	0	0	0	1	1	0	0	
Macao, China	0	0	0	6	0	0	0	0	0	0		0		
Macedonia, The Former Yugoslav Republic of	35	38	10	0	3	0	1		0	0	0	23	0	
Madagascar	0	0	1	63	0	0	0	0	0	0	0	0	0	
Malawi	0	0	0	0	0	0	0	0	0	0	0	62	0	
Malaysia	0	0	0	0	1	0	0	0	0	0	0	0	0	
Malta	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mauritania	0	0	0	0	0		0	0	0	0	0	6		
Mauritius	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mayotte	0	0	0	0	0	0	0	1	0					
Mexico	4	0	0	10	4	7	392	689	1,221	1,509	134	59	85	
Montenegro						138	0	0	0	0	0	0	35	
Mozambique	0	6	0	0	0	1	0	0	0	0	0	0	0	
Namibia	0	0	0	0	1	0	0	0	0	0	0	0	0	
Netherland Antilles					0	0	13	0						
Netherlands	148	139	193	82	14	79	62	77	342	152	27	40	57	
New Caledonia	0	0	0	0	0	0	0	3	0	0	0	0	0	
New Zealand	2	0	0	0	0	0	1	4	6	0	1	24	12	
Nicaragua	1	0	0	0	0	1	8	2	0	0	0	0	0	
Nigeria	1,094	156	78			69	0	951	0	0	0	0		
Norway	0	0	0	0	0	0	1	0	0	0	0	0	0	
Pakistan			0	6	18	79	11	22	7	1	138	4	9	
Papua New Guinea	14	0	0	5							0	0		
Paraguay	0	0	0	1	19	0	0	0	0	0	2	0	0	
