List of importing markets for a product exported by Namibia Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	1,404,472	1,282,913	1,303,668	2,544,642	2,725,999	3,375,927	4,040,274	4,729,337	5,870,620	5,848,292	5,900,941	5,376,995	6,337,216	
Afghanistan	0	0	0	0	0	90	0	0	0	0	0	0	0	
Albania	0	0	2	72	15	0	46	0	0	0	0	0	1	
Algeria	0	0	0	179	399	28	304	0	131	0	0	1	88	
Andorra	3	1	103	24	41	58	80	81	305	6	25	161	65	
Angola	82,089	186,538	324,761	244,578	194,520	192,865	260,861	405,617	663,748	558,965	492,014	500,914	466,225	
Anguilla	7	6	17	45	4	8	110	59	10	69	47	42	37	
Antigua and Barbuda	1	205	1	2	19	27	0	43	144	945	1,869	557	287	
Area Nes	653	452	3,754	615	1,565	1,982	4,125	23,342	135,066	282,621	265,194	245,362	254,130	
Argentina	291	114	28	34	23	3	5	37	19	67	25	649	99	
Armenia	0	0	0	0	0	1	0	1	41	0	0	13	15	
Aruba	0	0	0	0	0	0	0	0	0	0	0	0	0	
Australia	3,485	5,089	5,247	8,440	11,082	7,592	7,905	7,585	7,951	9,112	6,044	8,917	8,185	
Austria	128	168	287	286	444	695	445	406	643	1,141	1,155	781	880	
Azerbaijan	0	0	0	8	3	0	2	0	0	4	758	0	0	
Bahamas	8	11	2	1	0	1	6	5	10,210	253	1,840	380	7,656	
Bahrain	0	0	0	0	0	20	0	0	0	83	20	37	0	
Bangladesh	0	0	0	0	675	0	467	0	0	0	0	0	7	
Barbados	0	4	0	0	0	9	0	2	0	0	1	0	0	
Belarus	0	0	0	0	0	0	0	3	0	0	19	0	0	
Belgium	7,673	7,535	7,112	8,000	9,993	12,225	12,912	50,771	55,963	90,042	327,786	439,207	174,546	
Belize	96	44	127	225	10	240	0	316	147	3,619	5,547	5,764	2,256	
Benin	0	0	46	34	0	0	7	0	4	0	0	6	494	
Bermuda	0	0	0	8	0	0	0	0	0	19	0	2	0	
Bhutan	0	0	0	0	0	7	3	57	80	24	17	4	1	
Bolivia	0	0	0	0	2	1	1	0	1	45	268	0	36	
Bosnia and Herzegovina	0	1	0	15	3	23	6	4	0	0	0	0	1	
Botswana	6,345	6,070	9,078	12,240	11,844	15,180	22,129	24,599	50,525	39,160	39,758	364,686	868,597	
Brazil	134	39	180	74	76	20	54	116	54	74	185	652	379	
British Antarctic Territories	0	0	0	0	0	0	0	0	0	0	0	0	0	
British Indian Ocean Territories	0	0	0	0	10	1	26	6	58	0	9	21	33	
British Virgin Islands	0	1,118	0	4	6,457	688	130	92	0	129	4	0	0	
Brunei Darussalam	0	2	0	1	2	0	0	0	0	0	0	5	0	
Bulgaria	21	19	39	46	11	14	32	45	2,379	183	291	267	268	
Burkina Faso	0	0	0	7	0	0	0	12	0	0	0	1,327	0	
Burundi	0	0	0	0	3	23	40	0	0	0	22	0	0	
Cabo Verde	1	0	104	10	4	0	0	0	0	0	0	0	0	
Cambodia	186	2	1	47	14	23	16	6	110	283	450	42	386	
Cameroon	117	219	581	2,844	407	973	395	264	1,756	2,126	4,940	7,951	8,861	
Canada	465	4,079	12,890	53,802	80,300	127,584	199,266	334,175	254,377	246,631	280,476	214,197	197,465	
Cayman Islands	0	0	0	0	0	0	0	0	0	0	192	0	2	
Central African Republic	0	41	0	31	122	1	2	2	0	908	328	523	288	
Chad	0	0	0	0	0	0	0	131	0	33,523	88	0	0	
Chile	14	1	12	0	175	74	14	489	4	135	34	773	215	
China	6,550	3,719	5,730	31,857	45,445	48,972	123,108	247,726	289,379	170,277	127,116	147,516	143,265	
Colombia	457	850	0	391	4	1,775	275	3	14	42	6,875	92	2	
Comoros	0	30	5	0	0	0	0	0	0	0	3	43	326	
Congo	5,000	9,129	33,762	7,815	15,467	3,500	2,543	1,803	1,825	669	1,030	2,491	1,141	
Cook Islands	2	0	0	0	9	0	0	2	0	1	45	3	2	
Costa Rica	155	0	0	0	0	0	1	67	0	0	6	0	0	
Côte d'Ivoire	178	46	149	282	196	0	121	150	8	0	6	89	99	
Croatia	12	3	12	159	72	20	132	386	68	73	24	7	14	
Cuba	54	54	145	221	255	240	165	198	171	263	2,910	229	81	
Cyprus	77	153	208	1,332	288	1,314	293	117	2,988	1,633	1,036	6,212	1,232	
Czech Republic	11	32	21	26	48	450	698	717	182	275	336	153	60	
Democratic Republic of the Congo	4,275	55	0	10,244	11,804	45,731	43,124	51,196	65,395	68,846	92,656	99,775	147,730	
Denmark	4,087	329	1,053	1,173	1,438	484	300	384	1,993	1,381	4,194	12,114	124,454	
Djibouti	2	0	60	0	5	3	0	1	6	0	21	5	0	
Dominica	0	0	0	0	0	1	0	0	0	0	0	0	0	
Dominican Republic	0	0	0	0	0	1	0	0	6	0	0	0	204	
Ecuador	2	0	131	310	2	0	118	685	0	0	21	0	0	
Egypt	4	4	6	8	209	38	3	34	11	36	5	142	6	
El Salvador	0	0	0	0	0	43	0	0	0	0	2	0	4	
Equatorial Guinea	0	0	0	0	0	27	16	0	3	3	0	40	1,196	
Eritrea	0	0	1	2	0	0	1	0	0	1	929	0	0	
Estonia	0	0	0	88	108	7	8	8	7	11	42	13	32	
Ethiopia	4	64	3	10	10	44	4	117	70	1	9	0	30	
Falkland Islands (Malvinas)	9	0	0	0	0	0	0	0	0	377	8	7	1,255	
Faroe Islands	0	0	0	26	0	0	0	0	10	18	0	30	369	
Fiji	0	0	0	6	0	0	0	313	532	310	0	0	0	
Finland	63	64	99	31	127	129	240	130	435	63	136	191	167	
