List of importing markets for a product exported by Namibia (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	908,716	864,729	933,345	1,465,480	1,776,247	2,633,089	2,505,676	1,947,767	2,209,134	3,038,970	3,653,268	3,450,091	3,696,177	
Albania	0	0	0	0	0	71	77	2	32	18	184	13	39	
Algeria	0	0	11	128	154	70	112	9	123	7	0	54	144	
Andorra	5	0	0	0										
Anguilla	0	1	0											
Antigua and Barbuda					67		81		23	25	1	0	2	
Argentina	398	122	31	2	0	1	6	2	2	1	21	13	8,143	
Armenia	0	0	0	0	0	0	0	1	0	0	0	0	0	
Australia	3,575	4,950	5,103	7,105	5,912	8,189	7,558	6,761	6,546	8,087	5,439	7,478	7,293	
Austria	5,168	856	2,233	4,309	2,316	8,601	38,162	9,022	634	812	669	923	736	
Azerbaijan	0	0	4	1	0	3	1	0	2	0	0	0		
Bahrain	0	0	0	0	0	0	0	0	0	0	0			
Bangladesh	0	55	0	19	1	1	381							
Barbados	2	1	0	0	45	33	112	41	35	14	56	32	4	
Belarus	0	1	4	45	49	46	70	66	199	98	132	92	139	
Belgium	14,763	13,459	15,254	18,384	21,398	14,169	14,025	50,579	38,150	110,358	383,360	444,284	403,801	
Belize	2	23	55,691	15,766	141	85	32	40	2	224	60	0	0	
Benin	0	0	120	46	0	0	0	0	25	3	0	4,496	7,214	
Bermuda												0	3	
Bolivia	0	11	0	0	0	0	0	6	26	0	0	41		
Bosnia and Herzegovina			23	151	32	47	35	29	4	69	7	6	8	
Botswana	6,028	13,708	9,564	14,449	15,475	19,569	24,277	29,167	28,371	68,638	61,787	453,568	528,087	
Brazil	99	3	158	89	19	112	67	66	2	219	1,263	93	30	
Bulgaria	0	2	12	62	39	48	161	140	36	52	55	15	289	
Burkina Faso	0	0	0	0	0		0	0	0	0	0	141		
Burundi	0	1	0	0	0	0	0	0	0	0	0	0	0	
Cabo Verde	0	0	0	0	0	0	0		0	1	0	0	0	
Cambodia	0	0	0	0	2	0	0	5	9	18	0	148		
Cameroon	2,835	2,791	4,043	3,821	1,604	6,340	1,895	7,147	11,185	6,724	12,623	14,813		
Canada	230	12,797	12,534	31,568	46,466	112,822	126,595	231,636	218,377	227,620	232,751	195,957	155,763	
Central African Republic	628	714	595			0	1,992	2,120	2,607	4,293	2,767	3,037	2,182	
Chile	0	0	9	1	0	0	1	0	5	5	10	25	11	
China	11,263	28,930	36,951	46,576	76,389	121,857	157,659	282,178	312,381	481,495	224,481	241,268	248,100	
Colombia	0	0	4	0	0	1	13	0	784	472	886	2,910	3,517	
Comoros	0	0	3	0	0	0	0	0	0					
Congo							119,604	6,936	63,988	60,505	131,657	147,779	130,348	
Costa Rica	0	0	0	0	0	2	0	0	19	0	9	2	1	
Côte d'Ivoire	0	0	0	557	155	3	5	1,530	28	8	34	539		
Croatia	35	92	248	102	524	1,719	2,269	2,415	441	607	123	397	133	
Cuba	17	0	548	0	12	16								
Cyprus	5	9	25	272	497	162	468	14	507	786	254	1,020	1,084	
Czech Republic	21	406	224	148	619	1,441	1,616	1,795	2,052	2,984	5,884	5,453	3,769	
Denmark	2,161	2,913	3,676	1,817	3,068	5,839	8,158	6,569	5,593	6,428	9,530	8,801	9,879	
Dominica	0	0	0	0	1	0	1	0	0	0	7	7		
Dominican Republic	0	545	756	450	1,574	1,075	1,027	160	128	1	1	4	1	
Ecuador	0	1	0	6	3	0	381	1,288	204	0	49	0	0	
Egypt	0	76	1	19	770	0	0	185	191	518	602	0	237	
El Salvador	0	0	0	0	0	46	54	23	0	31	170	4	7	
Eritrea			171											
Estonia	9	1	134	186	110	30	64	114	126	49	34	89	56	
Ethiopia	30	73	67	26	40	40	135	27	299	19	19	66		
Faroe Islands	0	1	0	2	0	4	0	0	1					
Fiji		22	38	636	38	52	21	36	41	393	13	304		
Finland	10	20	86	35	69	170	205	119	320	44	33	121	96	
France	20,228	64,865	71,006	86,409	94,164	83,676	72,911	28,627	78,403	265,847	119,212	161,499	171,085	
