List of importing markets for a product exported by Nauru (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	18,150	15,192	32,539	18,177	4,412	9,762	23,931	126,795	23,619	57,721	75,953	99,870	66,631	
Albania	21	0	1	6	0	0	0	0	0	0	0	0	0	
Andorra	0	0	8	1										
Argentina	0	0	0	3	0	0	0	0	0	0	2	0	17	
Armenia	0	0	0	0	0	0	0	0	0	1	3	0	0	
Australia	2,247	1,943	56	52	152	217	3,432	10,349	462	4,304	9,090	9,013	14,918	
Austria	7	2	31	1	11	246	1	1	0	0	0	0	0	
Azerbaijan	0	1	0	10	0	0	0	0	0	0	24	0		
Bahrain	0	5	0	0	0	0	0	0	0	76	7			
Bangladesh	15	0	69	0	12	39	100							
Barbados	0	0	0	9	0	1	0	0	0	0	0	0	0	
Belarus	8	0	0	0	0	0	0	0	0	0	0	12	19	
Belgium	0	0	232	0	0	0	0	308	0	0	0	0	0	
Benin	14	0	0	0	0	215	0	0	0	3	0	33	2	
Bermuda												21	0	
Bolivia	0	4	0	0	0	0	0	0	0	0	1	1		
Bosnia and Herzegovina			0	0	78	1	7	1	0	35	4	0	0	
Botswana	0	21	0	0	0	0	0	0	0	0	0	0	0	
Brazil	0	0	0	0	0	0	0	0	5	0	7	4	0	
Brunei Darussalam	0	0	0	0		0				0	0	0	0	
Bulgaria	0	2	0	0	3	2	303	115	0	0	0	0	0	
Burkina Faso	0	0	0	0	0		0	0	0	0	0	0		
Burundi	0	0	0	0	1	0	0	0	0	10	0	1	0	
Cabo Verde	9	6	2	0	0	0	16		0	0	0	0	0	
Cambodia	0	0	0	0	0	1	0	0	0	0	0	0		
Cameroon	0	0	0	0	0	0	3	0	0	0	0	0		
Canada	75	53	214	55	878	36	54	123	119	59	42	125	256	
Chile	0	0	0	0	46	0	0	0	0	0	1	0	0	
China	0	0	0	0	0	0	0	0	0	0	9	62	37	
Colombia	0	0	0	0	20	0	6	6	7	8	70	1	88	
Costa Rica	26	0	0	0	0	0	0	0	0	0	0	1	1	
Côte d'Ivoire	0	0	0	0	0	0	0	0	0	1	0	0		
Croatia	20	35	1	1	6	2	0	14	0	1	26	0	0	
Cuba	0	0	6	2	0	0								
Cyprus	0	0	0	0	199	0	1	0	0	0	0	0	0	
Czech Republic	8	11	0	28	92	10	30	137	28	61	171	147	74	
Denmark	12	0	0	0	0	0	0	0	0	1	55	5	6	
Dominican Republic	178	21	20	20	1	29	4	0	25	2	11	14	0	
Ecuador	0	0	0	0	0	0	0	0	0	0	9	0	7	
El Salvador	0	0	0	0	0	24	0	0	0	0	0	0	0	
Estonia	0	0	0	0	0	17	0	18	0	0	0	0	0	
Ethiopia	158	101	46	124	57	27	0	0	0	0	0	0		
Faroe Islands	0	0	0	0	0	1	0	0	0					
Fiji		25	8	7	6	19	1	0	6	4	9	133		
Finland	0	0	0	0	0	1	1	0	0	0	0	0	0	
France	341	46	143	62	107	105	612	532	600	648	381	576	602	
Gabon	0	0	0	0	22	0	0	0	0					
Gambia	0	0	0	0	0	0	0	0	0	16	0			
Georgia	0	0	0	0	0	2	0	0	0	0	0	0	5	
Germany	11	53	46	3,574	166	29	0	4	40	0	0	0	22	
Ghana	0		8		0	0	0	2	0	0	0	0		
Greece	0	0	76	26	1	2	0	2	3	0	0	0	2	
Grenada	0	15	0	0	0	0	0	0						
Guatemala	0	1	11	2	1	0	0	0	15	0	0	0	0	
Hong Kong, China	0	0	1	0	1	0	0	0	0	0	123	10		
Hungary	0	67	16	54	0	3	0	0	0	0	0	0	0	
India	3,640	107	5,865	1,673	113	825	348	24,377	14,281	7,097	10,099	26,343	5,109	
Indonesia	1,944	9	3	0	0	0	9	469	7	42	1	11	62	
Ireland	69	2,413	86	549	47	66	587	155	142	2,748	73	110	114	
Israel	0	1	0	0	0	0	82	0	0	0	0	0	0	
Italy	0	4	0	17	0	0	0	233	17	6	0	12	2	
Japan	685	157	11,459	1,374	225	440	331	40	132	6,211	1,651	3,452	3,818	
Kazakhstan	0	0	48	0	0	0	6	0	0	14	75	20	4	
Kenya	0	0	7	211	23	2	0	6	0	0	0			
Kiribati					0		0	3	0	0	1	3		
Korea, Republic of	1,208	3,638	1,743	483	1,092	1,846	9,883	87,111	3,777	25,045	44,724	43,098	23,127	
Kuwait	0	0	0	0		0	244	9						
Lebanon	1	0	0	3	122	0	0	0	6	0	8	0	0	
Luxembourg	0	0	0	0	0	0	0	0	4	5	0	51	35	
Macedonia, The Former Yugoslav Republic of	0	0	0	0	0	0	0		0	6	0	0	0	
Madagascar	0	1	0	12	5	0	2	0	0	0	0	0	0	
Malawi	0	0	2	2	0	0	0	0	31	137	0	0	0	
Malaysia	190	5	18	4	6	18	144	203	13	0	0	0	0	
