List of importing markets for a product exported by Nepal Product: TOTAL All products
"Importers"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	
World	652,695						885,999	874,201	907,634	
Afghanistan	0						30	14	117	
Albania	0						0	0	0	
Algeria	4						52	0	0	
Andorra	15						6	6	18	
Angola	0						0	0	0	
Anguilla	0						4	5	0	
Antigua and Barbuda	0						0	31	0	
Area Nes	115						0	0	0	
Argentina	4						32	210	134	
Armenia	0						0	15	0	
Aruba	0						0	0	0	
Australia	876						5,589	4,035	4,639	
Austria	574						1,012	2,252	2,247	
Azerbaijan	0						7	0	47	
Bahamas	0						0	0	7	
Bahrain	396						131	121	408	
Bangladesh	6,107						60,840	59,994	26,037	
Barbados	0						0	0	0	
Belarus	0						0	44	2	
Belgium	3,026						4,047	3,226	3,740	
Belize	0						34	0	0	
Bermuda	0						38	8	17	
Bhutan	1,366						2,516	18,644	3,209	
Bolivia	0						0	2	0	
Bosnia and Herzegovina	0						5	22	92	
Brazil	60						947	951	1,405	
British Indian Ocean Territories	0						0	3	0	
Brunei Darussalam	0						14	351	10	
Bulgaria	214						70	26	42	
Cambodia	10						0	4	4	
Cameroon	0						0	0	0	
Canada	5,540						10,273	11,333	11,627	
Cayman Islands	0						0	0	0	
Central African Republic	0						0	0	2	
Chad	0						1	0	0	
Chile	27						69	199	218	
China	22,431						23,868	13,628	10,214	
Christmas Islands	0						0	0	0	
Cocos (Keeling) Islands	0						0	0	0	
Colombia	0						28	29	47	
Comoros	0						0	0	0	
Congo	0						0	0	1	
Costa Rica	0						110	55	7	
Croatia	0						85	131	176	
Cuba	0						0	0	1	
Cyprus	17						28	10	32	
Czech Republic	80						645	718	662	
Democratic Republic of the Congo	0						0	0	0	
Denmark	262						2,780	2,716	2,448	
Dominica	0						2	35	0	
Dominican Republic	0						1	0	0	
Ecuador	3						4	17	6	
Egypt	373						3,404	16	17	
El Salvador	0						8	2	0	
Eritrea	0						0	0	1	
Estonia	0						6	11	26	
Ethiopia	0						0	0	0	
Fiji	0						0	2	0	
Finland	111						315	252	779	
France	5,991						14,957	16,682	15,632	
Gambia	0						132	9	0	
Georgia	0						40	207	108	
Germany	22,118						35,972	35,733	40,902	
Ghana	19						2	0	22	
Gibraltar	0						4	20	0	
Greece	207						336	260	270	
Grenada	0						15	0	0	
Guatemala	0						0	2	7	
Guinea	4						0	0	21	
Haiti	0						0	2	61	
Honduras	5						16	0	0	
Hong Kong, China	776						3,920	4,322	3,262	
Hungary	35						325	317	549	
Iceland	18						65	145	105	
India	341,799						562,810	570,594	614,379	
Indonesia	71						7	63	28	
Iran (Islamic Republic of)	1						30	175	43	
Iraq	0						0	0	10	
Ireland	152						598	196	216	
Israel	98						86	167	432	
Italy	5,949						10,999	9,528	10,629	
Jamaica	0						4	0	0	
Japan	5,985						7,396	8,188	9,180	
Jordan	1						2	283	26	
Kazakhstan	0						1	141	419	
Kenya	60						4	52	82	
Kiribati	0						0	0	0	
Korea, Democratic People's Republic of	215						250	130	523	
Korea, Republic of	400						724	482	1,191	
Kuwait	13						756	24	1,074	
Kyrgyzstan	0						0	0	0	
Lao People's Democratic Republic	0						0	0	0	
Latvia	0						2	5	20	
Lebanon	14						228	315	688	
Lesotho	0						0	0	0	
Liberia	0						161	1	97	
Libya	0						0	0	90	
Lithuania	0						49	52	14	
Luxembourg	97						148	125	109	
Macao, China	0						5	25	0	
Macedonia, The Former Yugoslav Republic of	0						2	1	0	
Madagascar	24						0	0	242	
Malawi	0						0	2	6	
Malaysia	93						1,050	430	1,376	
Maldives	0						52	1	22	
Mali	0						1	6	0	
Malta	0						6	1	10	
Mauritania	0						0	1	1	
Mauritius	0						26	3	4	
Mexico	370						89	288	299	
Micronesia (Federated States of)	0						0	0	0	
Mongolia	0						16	19	35	
Morocco	2						124	0	79	
Mozambique	0						0	2	0	
Myanmar	6						9	12	20	
Namibia	0						0	0	0	
Nauru	0						1	0	0	
Netherland Antilles	0						13	99	0	
Netherlands	1,724						3,220	3,938	4,892	
New Caledonia	0						11	7	38	
New Zealand	176						343	375	362	
Nicaragua	0						0	19	6	
Niger	183						5	4	0	
Nigeria	0						1	3	0	
Norfolk Island	0						0	0	0	
Norway	198						626	547	910	
Oman	1						59	2	15	
Pakistan	994						1,111	1,515	2,641	
Panama	0						112	45	161	
Papua New Guinea	0						7	11	70	
Paraguay	0						0	9	72	
Peru	0						3	4	3	
Philippines	58						39	209	21	
Pitcairn	0						0	0	0	
Poland	15						122	167	187	
Portugal	5,754						580	322	380	
Qatar	0						218	738	850	
Romania	0						62	13	10	
Russian Federation	86						713	660	2,113	
Rwanda	0						0	0	0	
Saint Helena	0						0	0	0	
Saint Kitts and Nevis	0						0	0	0	
Saint Vincent and the Grenadines	0						0	0	0	
Sao Tome and Principe	0						1	0	0	
Saudi Arabia	11						1,455	59	103	
Senegal	0						190	15	0	
Serbia	0						57	0	1	
Serbia and Montenegro	10						0	0	0	
Seychelles	0						49	0	0	
Sierra Leone	0						512	32	172	
Singapore	1,387						6,577	3,094	3,716	
Slovakia	0						43	48	54	
Slovenia	0						159	473	152	
Solomon Islands	0						115	0	0	
Somalia	0						0	1	0	
South Africa	1,610						926	707	776	
Spain	2,307						2,766	2,979	4,287	
Sri Lanka	1,189						2,087	89	208	
St. Pierre and Miquelon	0						2	0	0	
Sudan (North + South)	9						909	61	54	
Suriname	0						1,069	0	0	
Swaziland	0						693	0	0	
Sweden	395						756	909	913	
Switzerland	3,103						3,254	2,905	2,993	
Syrian Arab Republic	0						0	0	0	
Taipei, Chinese	593						711	1,034	1,178	
Tajikistan	0						0	0	0	
Tanzania, United Republic of	0						3	74	45	
Thailand	1,332						286	240	2,189	
Timor-Leste	0						0	2	1	
Togo	0						0	0	0	
Tokelau	0						439	115	0	
Trinidad and Tobago	0						0	0	7	
Tunisia	0						0	2	1	
Turkey	1,063						6,102	8,818	7,493	
Turks and Caicos Islands	0						94	1	0	
Tuvalu	0						21	0	0	
Uganda	0						3	6	12	
Ukraine	1						167	252	393	
