List of importing markets for a product exported by Nepal (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	750,122	567,535	628,240	682,256	684,879	615,956	773,353	966,125	663,613	783,874	819,882	622,840	699,059	
Afghanistan								0	6	0	25	0		
Albania	2	0	0	0	0	4	0	6	0	0	0	0	0	
Algeria	0	0	0	0	0	0	0	0	0	0	1	0	109	
Andorra	15	11	2	6										
Antigua and Barbuda					0		0		0	0	1	0	0	
Argentina	57	0	0	2	3	64	16	65	122	162	257	417	204	
Armenia	1	3	3	0	2	17	13	2	10	22	0	2	78	
Australia	1,156	1,432	1,456	1,706	2,205	2,106	2,870	4,201	3,462	6,803	4,460	5,103	6,101	
Austria	2,523	1,881	1,576	2,472	2,275	2,276	2,365	3,451	1,884	2,911	3,580	2,576	2,778	
Azerbaijan	0	0	0	0	0	0	0	0	0	0	69	5		
Bahrain	22	302	1	0	1	0	0	139	108	10	88			
Bangladesh	99	2,311	1,743	129	47	126	152							
Barbados	21	0	6	3	0	0	0	0	1	1	1	0	1	
Belarus	18	12	19	24	29	31	47	36	18	30	38	41	29	
Belgium	5,143	4,090	4,741	4,308	5,729	4,354	4,959	4,477	4,723	3,867	4,470	3,016	3,015	
Belize	0	0	0	0	1	0	0	0	0	0	0	0	0	
Benin	0	18	0	34	0	0	0	0	0	0	0	0	0	
Bermuda												19	5	
Bhutan					2,265	3,816	2,447	2,975	7,634	12,793	3,000			
Bolivia	0	8	0	0	0	0	2	5	1	2	1	0		
Bosnia and Herzegovina			0	77	65	36	26	241	19	33	17	4	8	
Botswana	0	0	0	0	0	0	48	3	0	0	0	0	8	
Brazil	376	35	21	124	151	224	378	507	789	714	757	895	710	
Brunei Darussalam	170	222	3	30		146				13	13	55	20	
Bulgaria	3	0	14	12	32	38	38	62	14	11	55	12	20	
Burkina Faso	0	0	0	0	0		0	0	3	0	0	0		
Burundi	0	0	0	0	0	5,783	126	0	0	0	0	0	0	
Cabo Verde	0	0	0	0	0	0	0		0	0	3	0	0	
Cambodia	0	27	8	0	11	77	31	511	6	0	9	9		
Cameroon	0	0	0	0	0	0	0	0	0	1	3	0		
Canada	6,079	5,629	6,995	11,328	10,432	11,575	13,142	14,537	11,678	14,937	15,886	12,304	11,845	
Central African Republic	0	0	0			0	0	0	4	0	0	0	0	
Chile	25	23	7	27	32	231	109	192	209	271	257	317	328	
China	4,632	5,277	5,350	8,231	8,495	8,285	14,790	5,976	5,290	11,416	13,865	29,520	43,241	
Colombia	4	1	0	3	9	13	24	67	0	45	44	41	102	
Costa Rica	2	3	17	13	14	30	44	29	7	8	4	1	1	
Côte d'Ivoire	0	0	0	0	2	0	5	10	24	0	56	0		
Croatia	101	261	364	463	411	445	664	641	877	691	770	550	147	
Cuba	3	0	0	11	15	4								
Cyprus	0	5	13	30	30	7	15	10	19	27	48	46	35	
Czech Republic	440	393	469	979	1,144	887	1,261	1,796	1,137	1,221	1,594	1,816	3,535	
Denmark	949	909	1,317	1,767	2,271	2,058	2,378	2,615	2,234	3,118	3,325	2,517	3,247	
Dominican Republic	0	15	0	1	0	0	1	0	1	300	3	5	38	
Ecuador	2	0	0	13	5	6	2	2	1	0	59	1	229	
Egypt	16	32	0	276	86	156	72	5,591	1,387	0	22	35	11	
El Salvador	0	0	0	0	0	0	0	0	0	16	0	0	0	
Estonia	12	7	28	17	18	35	37	25	33	11	36	81	66	
