List of importing markets for a product exported by Netherlands Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	216,157,869	219,820,522	264,796,482	318,040,303	349,813,023	400,685,883	477,640,554	545,853,405	498,719,735	574,838,492	667,420,951	654,803,197	664,177,528	
Afghanistan	2,691	17,830	14,141	14,112	79,482	29,926	32,452	56,171	103,411	103,151	132,937	108,847	83,601	
Africa not elsewhere specified	129,263	141,466	132,134	90,528	69,674	80,175	158,202	104,108	0	0	0	0	0	
Albania	15,918	8,184	11,031	22,121	23,417	26,760	41,231	52,869	62,646	66,244	48,784	49,322	56,815	
Algeria	174,588	233,937	242,254	300,601	277,757	332,807	508,792	532,709	497,967	562,708	662,045	977,707	1,558,472	
America not elsewhere specified	48	26	16	4	167	109	14,567	7	0	0	0	0	0	
Andorra	6,638	11,204	15,994	16,657	20,631	15,787	16,803	12,564	16,124	16,987	19,907	22,559	21,749	
Angola	106,751	115,346	476,105	162,706	182,648	234,614	349,313	529,074	365,576	329,750	352,647	559,825	476,413	
Anguilla	256	524	697	627	861	838	740	640	522	851	375	968	759	
Antigua and Barbuda	1,796	16,680	5,870	8,556	4,294	4,201	4,501	3,610	8,290	5,696	4,137	40,797	4,654	
Area Nes	1,124,120	1,101,976	435,866	371,763	51,608	333,015	161,859	271,948	0	0	0	0	0	
Argentina	176,947	85,616	142,118	252,784	277,189	299,694	482,721	401,717	370,380	878,177	671,379	870,646	1,277,809	
Armenia	6,095	8,480	8,726	9,209	12,015	16,314	26,888	37,956	59,587	43,646	61,843	54,375	63,466	
Aruba	62,314	83,005	108,702	137,752	88,512	94,185	111,218	89,925	78,053	84,809	96,957	105,058	108,089	
Australia	601,867	699,687	874,873	1,158,019	1,270,018	1,370,767	1,638,595	2,045,360	1,505,474	1,745,144	2,429,608	2,804,566	2,844,191	
Austria	3,429,962	3,158,838	4,028,777	4,660,922	4,701,240	5,476,393	6,744,899	7,172,979	6,479,309	7,615,021	8,477,103	7,905,361	7,939,134	
Azerbaijan	14,176	24,848	56,708	182,527	220,373	152,139	130,223	156,434	118,585	128,832	227,563	209,194	279,513	
Bahamas	65,443	6,689	12,207	19,414	46,645	99,826	109,959	98,376	141,870	166,929	73,739	144,821	52,059	
Bahrain	65,870	66,077	75,631	99,242	115,198	138,946	152,747	170,225	151,060	159,558	184,718	178,198	175,491	
Bangladesh	58,317	65,587	47,416	85,161	56,884	54,348	56,858	70,698	81,420	153,323	182,534	159,609	195,428	
Barbados	8,752	16,180	11,819	10,668	13,144	9,346	35,139	16,525	14,965	13,932	18,106	11,186	9,420	
Belarus	90,019	85,751	111,052	134,101	166,318	233,680	338,180	431,361	281,720	352,813	394,362	394,093	434,728	
Belgium	25,530,576	25,964,662	31,037,426	36,606,944	40,914,697	49,767,758	56,823,199	63,312,897	59,252,080	69,741,327	86,120,709	84,718,387	81,841,782	
Belize	4,926	8,400	5,072	6,298	7,651	5,089	6,415	7,253	5,708	6,920	6,150	6,109	11,105	
Benin	48,138	49,935	53,800	41,966	46,685	71,044	82,326	204,358	256,106	345,753	805,959	191,065	146,699	
Bermuda	3,944	41,072	54,037	31,326	73,232	80,983	95,737	9,197	10,485	9,622	11,479	15,690	6,672	
Bhutan	185	184	141	328	623	1,300	404	619	704	540	625	659	2,375	
Bolivia	4,945	5,815	9,496	7,631	12,721	12,234	16,360	27,720	21,260	36,575	45,632	67,759	181,011	
Bosnia and Herzegovina	40,972	53,137	55,303	76,584	98,837	89,400	116,109	150,240	114,730	114,306	126,874	128,201	145,700	
Botswana	17,091	16,128	18,631	6,019	8,200	5,710	8,945	15,281	12,876	8,628	18,747	6,917	11,591	
Brazil	718,179	685,441	650,424	794,296	928,796	1,111,681	1,663,311	1,814,460	1,416,607	2,228,761	2,930,523	3,565,017	2,648,623	
British Indian Ocean Territories	4	0	97	6	5	74	173	1	1,128	2	0	66	66	
British Virgin Islands	3,307	2,930	3,047	191,041	43,358	65,266	72,233	136,375	40,305	92,363	248,600	28,599	49,528	
Brunei Darussalam	9,499	7,787	5,496	12,057	9,604	9,637	14,029	15,781	21,899	19,571	19,388	21,580	38,584	
Bulgaria	150,433	194,760	258,834	357,645	378,612	444,124	683,803	816,433	596,387	656,326	890,525	1,044,593	983,617	
Burkina Faso	7,602	9,549	15,511	13,939	16,184	16,856	15,893	22,258	30,033	38,930	46,774	59,654	66,727	
Burundi	4,803	2,284	2,078	7,601	7,547	4,444	4,021	5,124	5,033	4,827	8,520	9,047	12,559	
Cabo Verde	22,810	19,934	28,842	34,216	31,940	60,984	84,554	107,414	107,626	148,234	243,288	158,270	202,427	
Cambodia	1,142	633	1,412	1,617	4,542	3,380	6,466	3,836	4,959	6,815	13,887	15,207	14,909	
Cameroon	42,945	56,406	63,681	71,974	58,090	65,803	72,827	98,036	103,081	86,626	142,379	200,669	139,452	
Canada	884,918	886,853	1,066,992	1,210,970	1,361,908	1,521,819	2,068,177	2,542,424	1,519,996	1,738,808	2,273,424	2,250,290	3,128,555	
Cayman Islands	69,288	162,656	119,667	105,946	156,263	256,792	250,933	202,832	231,580	250,106	449,443	292,804	326,742	
Central African Republic	1,612	1,749	1,691	3,373	20,625	40,443	38,412	24,217	27,359	129,704	82,063	102,430	74,901	
Chad	8,812	8,199	13,769	12,499	16,823	13,028	18,935	31,823	35,759	25,697	22,081	25,379	29,618	
Chile	170,114	140,576	192,375	266,612	281,614	423,799	648,675	326,038	337,549	454,373	511,998	602,960	682,708	
China	1,092,287	1,437,288	1,837,535	2,879,072	3,179,432	4,098,818	5,016,584	5,676,591	6,446,667	7,092,753	9,312,434	10,122,738	10,965,427	
Christmas Islands	0	65	21	0	602	308	92	0	15	1	4	0	15	
Cocos (Keeling) Islands	48	3,283	2,550	284	1,326	465	772	889	289	0	13	140	281	
Colombia	80,919	77,986	148,877	176,386	384,674	329,624	381,688	385,668	250,917	371,136	429,881	383,550	543,523	
Comoros	1,697	2,367	1,582	2,074	1,800	2,195	1,636	2,423	1,748	2,772	4,521	7,719	4,142	
Congo	35,893	33,882	32,206	43,910	52,361	55,377	72,062	106,975	118,437	115,288	159,596	135,235	144,858	
Cook Islands	4	13	5	719	35	5	11	152	26	1	69	809	495	
Costa Rica	54,906	114,066	153,231	141,577	92,636	155,017	158,840	288,209	123,201	125,170	125,502	96,862	113,293	
Côte d'Ivoire	63,755	72,288	87,517	78,291	113,363	100,553	124,938	140,804	262,344	197,020	149,297	206,747	250,514	
Croatia	215,922	259,514	354,821	416,226	483,895	547,669	651,469	780,322	643,819	662,742	697,936	606,806	575,060	
Cuba	53,514	51,152	57,073	61,804	123,525	88,802	98,228	136,165	89,347	108,443	125,136	138,817	143,316	
Cyprus	102,674	128,040	153,210	209,183	232,199	340,271	394,671	544,371	468,983	524,880	655,735	617,640	674,951	
Czech Republic	1,159,615	1,422,239	1,827,241	2,953,606	4,266,220	5,081,692	6,646,995	6,602,033	6,147,880	8,149,636	9,469,423	8,794,780	8,637,176	
Democratic Republic of the Congo	29,232	42,021	37,618	34,812	58,452	65,222	78,780	130,655	130,180	142,263	162,971	146,425	157,705	
Denmark	3,072,432	3,202,899	3,692,900	4,488,784	5,318,378	5,449,787	6,553,127	7,457,642	6,066,942	6,793,181	8,079,443	7,920,087	8,584,326	
Djibouti	17,414	25,371	17,391	18,128	19,481	33,097	36,983	33,014	28,142	25,803	34,076	33,913	36,830	
Dominica	2,810	2,583	2,463	2,390	2,275	2,258	2,405	2,576	3,777	3,244	3,870	3,632	3,637	
Dominican Republic	50,448	59,530	56,449	52,831	65,344	77,855	70,968	75,153	66,278	105,310	108,803	109,095	121,228	
Ecuador	40,873	51,891	74,579	120,996	153,359	146,766	110,444	129,419	145,667	117,656	186,218	180,195	235,807	
Egypt	334,826	358,270	372,079	529,740	776,220	889,070	1,059,660	1,353,452	1,138,537	1,465,798	1,457,611	1,733,281	1,643,869	
El Salvador	10,905	16,144	14,546	15,611	16,232	31,986	24,440	25,515	21,723	29,214	38,493	31,056	40,628	
Equatorial Guinea	11,932	17,258	20,406	23,130	24,347	38,364	48,929	34,345	52,669	48,525	69,949	51,072	67,775	
Eritrea	9,813	7,426	7,931	6,696	4,779	15,660	3,370	1,754	1,929	2,477	4,583	3,391	5,667	
Estonia	108,909	134,499	191,591	257,730	391,854	649,331	589,762	526,500	366,389	435,592	550,074	822,271	1,069,612	
Ethiopia	20,016	17,932	61,789	66,936	51,183	43,918	51,739	51,883	74,498	79,298	72,167	119,512	134,873	
Europe Othr. Nes	357,033	388,648	421,357	508,177	355,714	335,574	195,022	587,869	0	0	0	0	0	
Falkland Islands (Malvinas)	407	64	144	95	277,442	105	11,105	202	5,710	10,886	56,763	9,677	237	
Faroe Islands	2,209	1,980	8,509	8,566	5,575	21,387	14,972	10,311	17,283	13,916	24,182	14,631	27,486	
Fiji	4,173	1,295	1,818	5,351	4,103	15,207	3,665	5,486	2,462	1,400	7,380	2,692	2,440	
Finland	2,132,278	2,330,070	2,804,749	3,318,919	4,033,197	4,563,783	5,259,309	5,431,900	4,167,982	5,420,167	6,376,995	6,282,937	6,300,228	
