List of importing markets for a product exported by Netherlands (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	181,696,219	186,847,641	227,710,203	279,388,874	310,343,276	354,700,629	419,116,209	480,556,919	370,971,051	427,946,133	512,291,927	500,798,784	500,794,002	
Afghanistan								714	3,572	10,152	5,210	0		
Albania	10,084	8,588	12,776	18,598	23,209	16,213	22,568	29,166	52,238	44,742	44,365	22,623	32,027	
Algeria	153,401	215,513	217,857	237,666	232,677	271,104	340,180	460,965	394,117	481,008	701,636	964,332	1,120,472	
Andorra	10,998	11,682	16,617	15,371										
Anguilla	383	542	589											
Antigua and Barbuda					2,266		2,561		3,424	3,102	3,017	3,311	3,898	
Argentina	131,497	74,243	106,308	172,207	381,933	207,028	236,895	256,711	231,210	394,127	435,195	1,130,041	1,072,243	
Armenia	6,711	9,806	10,469	9,558	11,593	11,359	20,708	22,071	26,193	23,035	36,248	36,039	33,991	
Aruba					129,773				177,784	120,883	139,719	144,584		
Australia	525,473	650,696	787,252	922,951	974,848	1,054,410	1,208,247	1,544,881	1,208,731	1,171,295	1,570,508	1,999,158	1,654,825	
Austria	2,059,504	2,410,304	2,744,999	3,119,539	3,363,903	3,858,464	4,648,488	4,914,700	5,572,666	6,367,195	7,467,866	6,814,285	6,987,151	
Azerbaijan	13,383	15,895	43,956	152,655	160,435	90,938	100,737	80,292	54,532	46,417	141,174	150,086		
Bahamas	2,564	2,840	13,650	13,037	4,074	4,591	3,804	3,242	2,023	1,424	1,387	27,759		
Bahrain	51,371	53,593	58,786	69,085	92,391	63,710	97,320	179,938	101,361	142,504	132,203			
Bangladesh	44,213	50,574	55,719	105,274	63,157	50,728	67,502							
Barbados	9,709	18,607	12,708	16,091	10,815	12,141	11,485	15,551	12,637	13,060	18,883	15,280	13,206	
Belarus	81,953	84,118	93,399	118,697	161,260	219,966	250,307	363,959	232,283	316,306	398,046	447,817	442,420	
Belgium	30,583,811	31,282,391	37,976,341	47,204,934	56,047,309	64,259,232	72,258,770	89,845,871	63,459,540	72,764,479	91,279,405	90,805,748	99,766,382	
