List of importing markets for a product exported by New Caledonia (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	482,901	484,974	647,707	985,296	1,059,945	1,479,389	2,557,814	1,449,782	1,010,951	1,475,758	1,818,670	1,450,238	1,425,400	
Albania	0	0	0	3	5	0	0	0	0	0	0	0	0	
Algeria	1	0	0	0	143	20	0	6	0	0	1	0	201	
Andorra	0	0	1	0										
Antigua and Barbuda					0		0		0	0	0	1	0	
Armenia	0	0	0	0	0	0	0	0	0	0	2	0	0	
Australia	25,968	26,490	40,213	41,017	37,508	70,408	90,302	73,610	55,231	109,724	222,961	117,148	125,989	
Austria	17	54	70	129	27	49	106	85	26	11	112	5	29	
Azerbaijan	0	0	0	0	0	19	0	0	0	0	30	0		
Bahrain	0	0	0	0	0	0	0	0	0	4	4			
Bangladesh	3	71	0	9	1	205	87							
Barbados	0	0	4	1	0	0	0	0	35	1	0	0	0	
Belarus	0	0	0	0	0	0	0	0	0	0	0	0	2	
Belgium	11,028	558	3,954	15,152	49,095	110,478	269,071	91,540	50,092	49,896	99,145	75,122	96,259	
Belize	4	6	4	0	2	0	0	0	0	0	2	0	0	
Benin	1	0	0	0	0	0	0	0	0	6	0	0	0	
Bolivia	0	0	3	0	7	1	3	2	2	7	1	2		
Bosnia and Herzegovina			0	0	0	0	0	0	0	0	0	0	7	
Botswana	0	7	6	0	0	0	0	38	0	0	0	0	0	
Brazil	0	0	0	3	49	14	0	1	34	3	1,079	19	52	
Brunei Darussalam	0	0	0	0		0				0	0	0	0	
Bulgaria	0	0	0	0	0	0	9	16	0	0	4	0	3	
Burkina Faso	0	0	0	0	0		0	0	2	0	109	0		
Burundi	0	0	0	0	0	0	25	0	0	136	0	0	5	
Cabo Verde	0	115	0	0	0	0	0		0	0	0	0	0	
Cambodia	0	18	18	306	0	0	0	23	31	0	0	0		
Cameroon	0	2	0	0	0	0	22	1,929	0	0	0	1		
Canada	109	224	294	375	631	417	191	248	283	155	171	376	320	
Central African Republic	0	0	0			0	0	0	0	0	0	3	0	
Chile	0	0	0	0	1	9	0	1	13	0	16	3	4	
China	614	10	6,166	57,782	78,413	163,674	378,740	111,204	131,891	56,727	80,846	149,365	135,450	
Colombia	0	0	9	80	0	2	10	2	6	0	134	95	4	
