List of importing markets for a product exported by New Zealand Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	13,729,685	14,382,444	16,526,851	20,344,023	21,728,544	22,409,180	26,930,933	30,577,985	24,932,601	30,931,878	37,633,151	37,304,685	39,206,358	
Afghanistan	77	410	690	508	290	303	335	636	382	268	956	421	719	
Albania	74	626	352	74	21	433	948	1,586	1,468	1,767	2,348	398	316	
Algeria	37,436	64,775	52,193	72,325	95,835	138,743	180,973	230,564	164,274	164,973	394,870	343,764	237,171	
Andorra	0	0	0	0	3	0	0	0	0	0	0	0	0	
Angola	1,120	1,374	1,733	4,342	8,712	13,208	11,648	18,185	10,974	16,258	30,805	26,523	34,244	
Anguilla	0	0	0	0	0	1	0	0	10	8	0	1	1	
Antigua and Barbuda	278	168	344	686	803	719	1,054	1,068	929	1,227	1,827	764	878	
Area Nes	0	0	0	519	0	50	24	0	0	0	4,307	5	0	
Argentina	14,296	7,172	5,926	11,004	12,704	10,605	17,057	19,937	16,440	15,546	19,559	19,139	15,811	
Armenia	0	0	87	2,879	6,000	7,266	9,266	9,303	10,579	18,729	17,341	15,593	15,718	
Aruba	379	170	132	115	207	261	505	1,220	572	1,043	1,250	879	750	
Australia	2,597,594	2,883,271	3,560,987	4,239,423	4,645,546	4,583,028	5,910,750	7,124,894	5,739,721	7,124,588	8,537,887	8,023,927	7,462,482	
Austria	7,934	4,269	7,899	11,306	13,507	12,286	17,810	19,623	18,060	12,666	13,177	13,699	15,176	
Azerbaijan	32	80	2,559	10,201	33,965	19,838	36,949	49,620	26,932	47,677	53,483	60,928	53,653	
Bahamas	814	1,118	554	1,555	847	13,773	1,187	1,721	876	1,011	1,703	2,824	2,122	
Bahrain	7,834	7,481	8,317	11,668	11,639	10,546	16,082	50,652	47,234	51,436	54,196	44,931	35,980	
Bangladesh	9,945	12,509	11,170	18,043	13,325	16,952	27,670	28,847	44,563	61,712	125,519	111,790	93,472	
Barbados	8,604	10,275	11,382	13,146	12,922	11,862	15,552	23,951	14,817	20,743	20,862	19,828	22,457	
Belarus	11	25	105	397	538	209	628	888	396	387	257	515	794	
Belgium	229,678	290,295	367,585	344,098	363,174	406,191	396,672	361,286	307,875	256,033	317,287	270,543	318,690	
Belize	203	186	128	145	145	399	439	351	281	517	2,369	385	410	
Benin	2	381	1,485	2,695	3,726	1,417	739	1,667	769	623	740	2,044	660	
Bermuda	1,934	2,102	1,977	2,746	3,453	3,060	2,872	3,785	3,170	3,546	4,731	43,170	3,666	
Bhutan	3	10	1	0	36	1	68	51	56	60	73	83	65	
Bolivia	119	972	109	442	862	1,591	2,340	1,608	924	551	1,061	549	1,480	
Bosnia and Herzegovina	126	36	106	8	1	0	4	914	494	505	0	2	0	
Botswana	15	20	7	31	12	22	154	103	105	74	55	66	196	
Brazil	30,987	35,914	19,228	22,373	61,819	74,393	31,466	64,040	40,703	38,346	44,454	65,715	164,679	
British Indian Ocean Territories	0	0	0	0	0	113	0	0	0	0	0	0	0	
British Virgin Islands	170	5,591	88	17	8	23	16,082	62,028	23	34,177	47	31	728	
Brunei Darussalam	1,322	1,544	1,479	2,355	2,318	64,479	2,192	2,752	2,667	2,573	4,093	4,717	5,675	
Bulgaria	198	205	426	996	3,655	4,982	2,585	3,583	4,297	2,577	4,433	6,127	4,992	
Burkina Faso	0	1	11	7	8	335	60	28	37	406	259	619	1,336	
Burundi	23	2	39	116	709	46	34	14	8	130	8	40	6	
Cabo Verde	0	0	1	20	7	30	2	440	1	0	0	0	2	
Cambodia	1,323	348	421	499	1,302	614	1,298	2,669	2,266	3,825	4,423	4,223	4,851	
Cameroon	32	365	114	203	2,303	2,585	4,453	6,194	4,708	5,562	12,293	16,841	20,093	
Canada	265,366	300,529	318,753	345,148	369,190	358,423	395,989	364,569	314,983	353,660	472,362	457,649	428,748	
Cayman Islands	60	15,624	10,699	10,967	23,651	13,267	556	627	14,386	456	1,621	493	496	
Central African Republic	0	0	0	0	0	0	23	20	0	0	0	0	143	
