List of importing markets for a product exported by New Zealand (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	15,010,526	14,615,713	17,479,752	20,590,309	22,222,618	22,865,651	26,646,411	31,028,912	25,232,759	30,740,015	38,035,994	37,486,850	36,558,379	
Afghanistan								95	54	71	180	0		
Albania	147	318	309	215	478	745	932	1,129	1,120	1,188	894	409	577	
Algeria	51,285	62,902	47,161	79,340	115,782	160,978	176,765	238,836	217,140	188,697	364,103	371,352	368,048	
Andorra	39	42	31	38										
Antigua and Barbuda					6,464		757		916	865	1,554	383	582	
Argentina	19,213	6,900	6,819	12,226	13,073	11,717	14,686	16,091	14,037	13,408	15,789	21,431	16,204	
Armenia	0	58	0	25	2	836	818	7,646	7,664	10,675	11,595	16,631	17,604	
Aruba					240				0	0	0	0		
Australia	2,452,028	2,655,712	3,265,199	3,819,562	4,125,695	4,144,870	5,186,837	6,447,129	5,200,516	6,469,129	7,829,937	7,528,441	6,996,420	
Austria	26,041	27,452	34,690	44,708	46,474	55,256	61,562	95,765	31,378	26,258	67,889	31,903	32,801	
Azerbaijan	8,521	9,018	7,942	5,909	2,850	4,098	6,678	6,277	11,814	18,642	16,552	17,556		
Bahamas	376	5	0	263	228	234	236	24	53	20	314	146		
Bahrain	9,580	9,715	10,642	12,131	13,370	9,737	10,706	43,899	53,589	67,508	56,416			
Bangladesh	13,244	14,511	15,449	22,372	19,967	24,575	36,328							
Barbados	10,777	11,516	12,659	16,349	13,456	12,515	16,332	25,167	15,982	22,212	21,839	21,428	23,845	
Belarus	113	169	344	1,491	2,477	2,335	4,350	7,425	6,560	15,061	6,773	4,641	3,488	
Belgium	293,116	327,233	434,572	502,678	520,914	497,632	496,922	605,927	440,590	409,497	448,233	322,283	378,802	
Belize	181	107	133	263	125	374	376	489	276	336	560	602	599	
Benin	0	81	365	908	1,004	847	29	73	105	61	6	114	74	
Bermuda												2,663	3,162	
Bhutan					24	0	0	86	286	384	112			
Bolivia	2,709	2,106	1,530	2,537	887	1,459	1,997	1,816	796	722	1,179	758		
Bosnia and Herzegovina			61	124	446	704	1,609	2,921	1,301	981	338	1,002	1,169	
Botswana	125	475	209	326	143	207	113	518	1,223	609	90	71	197	
Brazil	35,081	34,135	22,768	27,763	29,961	27,591	28,668	77,678	52,189	44,621	47,206	63,330	157,951	
Brunei Darussalam	2,804	2,376	1,926	4,193		7,999				12,808	15,181	9,086	10,721	
Bulgaria	269	1,066	522	904	2,499	6,266	5,661	4,939	4,218	4,270	4,104	6,128	6,082	
Burkina Faso	9	155	851	2,274	1,550		88	483	481	1,224	1,440	3,796		
Burundi	0	0	0	0	135	293	62	0	0	3	0	7	0	
Cabo Verde	0	0	0	0	3	23	3		1	2	4	88	2	
Cambodia	1,137	481	1,928	376	2,632	322	981	2,528	0	0	2,246	1,337		
Cameroon	88	229	216	17	1,674	3,796	3,824	5,953	8,195	4,654	13,880	16,030		
Canada	338,359	353,906	386,970	414,238	463,293	435,110	476,403	453,732	399,116	434,570	555,967	534,611	499,047	
Central African Republic	0	14	3			0	31	20	65	0	0	9	26	
Chile	27,897	17,799	18,560	25,172	40,948	46,601	44,311	61,086	34,322	35,573	53,136	65,648	112,437	
China	736,742	803,344	1,023,584	1,413,218	1,325,995	1,314,431	1,538,199	1,892,346	2,477,073	3,763,103	4,980,969	5,810,232	8,252,191	
Colombia	12,283	9,187	2,979	11,253	3,036	4,921	6,696	8,304	5,516	6,561	7,975	8,283	11,667	
Comoros	0	3	0	0	0	0	0	328	234					
Congo							939	3,468	2,124	1,695	2,041	670	3,435	
Cook Islands					60,052									
Costa Rica	1,722	3,035	2,844	1,504	1,646	1,524	2,522	2,533	2,064	2,899	3,149	4,588	3,420	
Côte d'Ivoire	557	984	1,685	3,433	5,173	3,703	3,119	5,717	7,333	16,215	9,341	11,061		
Croatia	1,413	966	3,787	5,158	5,028	5,379	8,390	6,944	5,122	2,808	5,143	6,756	3,576	
Cuba	60,018	39,377	40,680	52,069	58,023	52,049								
Cyprus	5,037	6,155	6,768	11,531	12,117	10,656	13,792	23,146	15,555	13,583	17,194	16,104	9,598	
Czech Republic	7,171	11,671	12,147	7,458	12,220	14,285	15,887	18,891	15,171	18,536	23,690	23,755	30,206	
Denmark	51,891	50,982	100,010	155,770	142,522	128,805	136,485	191,821	102,427	162,607	196,372	92,189	87,914	
Djibouti									120					
Dominica	4	5	0	0	0	1	1	113	135	54	0	68		
Dominican Republic	12,169	14,869	11,462	12,284	10,410	13,916	18,610	20,755	11,770	19,136	18,539	7,899	13,067	
Ecuador	1,022	1,799	3,787	855	1,327	1,305	1,990	3,693	1,034	2,571	4,503	3,065	4,371	
Egypt	51,210	53,090	44,256	36,819	29,603	46,833	77,368	158,444	146,287	148,320	213,881	321,010	312,480	
El Salvador	15,409	11,408	11,415	12,808	12,432	18,518	18,638	19,121	12,869	17,253	14,682	17,039	15,678	
Eritrea			149											
Estonia	6,415	1,624	8,146	3,378	3,711	3,399	3,473	5,150	2,095	3,114	4,325	4,554	4,952	
Ethiopia	1,878	160	1,461	293	270	1,560	2,031	2,803	4,910	4,315	3,047	3,639		
Faroe Islands	1,216	1,412	1,660	1,543	1,881	2,428	2,754	3,772	2,892					
Fiji		162,374	203,986	255,164	289,482	286,992	314,827	300,156	228,156	287,422	300,138	312,330		
Finland	13,454	16,484	19,826	23,339	22,632	29,927	36,430	37,222	10,160	13,576	20,357	14,752	10,864	
France	246,903	302,429	357,076	401,295	459,481	433,168	502,838	521,129	463,383	478,171	527,939	439,614	474,377	
French Polynesia	86,653	94,464	102,917	115,768	116,982	102,554	122,136	134,167	128,683	139,736	138,663	143,574	145,391	
Gabon	346	0	196	741	353	1,027	2,250	2,575	1,615					
