List of importing markets for a product exported by Nicaragua (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	1,130,659	1,095,221	1,235,392	1,543,165	1,955,164	2,240,044	2,572,006	2,939,066	2,720,177	3,378,726	4,928,120	5,185,932	5,568,743	
Albania	0	0	0	35	0	0	0	0	0	28	51	1	5	
Algeria	175	59	11	0	0	0	0	0	28	0	54	41	0	
Andorra	17	25	14	6										
Antigua and Barbuda					0		0		145	140	100	28	13	
Argentina	16	2	72	20	77	21	32	43	22	183	268	211	397	
Armenia	0	0	0	0	0	6	69	57	76	16	57	10	28	
Australia	943	925	2,052	3,263	2,542	3,760	7,117	6,337	8,159	8,032	9,930	13,876	12,877	
Austria	5,143	4,913	3,221	4,231	4,875	3,134	2,376	3,902	768	664	759	348	394	
Azerbaijan	0	0	0	0	0	0	0	0	0	0	0	0		
Bahamas	0	0	38	8	20	15	14	38	60	83	35	385		
Bahrain	0	0	0	0	0	0	0	3	16	0	4			
Bangladesh	57	261	133	51	15	44	2							
Barbados	3	1	3	1	8	5	6	1	61	138	32	4	157	
Belarus	12,502	200	2	6	2,326	43	4,392	55	25	29	12	26	84	
Belgium	5,433	4,061	4,054	5,974	11,626	11,505	13,178	27,955	20,495	33,855	43,941	44,720	32,869	
Belize	137	129	43	41	101	3,924	75	202	418	676	108	12,560	105	
Benin	0	0	0	0	0	2	0	0	0	9	0	0	0	
Bermuda												37	37	
Bolivia	77	50	20	41	130	59	198	162	198	343	391	381		
Bosnia and Herzegovina			0	3	3	0	3	2	17	0	40	39	9	
Botswana	0	0	2	0	0	0	0	0	0	0	0	0	0	
Brazil	8	0	2	0	2	12	421	738	354	249	1,341	2,831	1,306	
Bulgaria	1	15	2	5	16	39	111	123	130	56	45	45	47	
Burkina Faso	0	0	0	0	0		9	0	26	0	0	0		
Burundi	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cambodia	0	56	0	13	714	142	1,793	1,092	0	96	126	97		
