List of importing markets for a product exported by Niger (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	236,494	104,208	119,108	298,870	254,993	388,230	297,441	205,455	442,776	337,125	808,000	940,226	963,089	
Albania	0	0	19	206	6	0	0	0	9	0	0	30	3	
Algeria	0	0	9	0	702	0	30	401	131	2	26	125	0	
Andorra	0	0	1	0										
Antigua and Barbuda					33		4		0	0	4	1	0	
Argentina	0	0	0	0	8	0	217	0	0	0	196	9	5	
Armenia	0	0	0	0	0	0	0	3	3	1	2	1	2	
Australia	14	153	117	17	894	5,939	6,669	6,094	2,494	3,265	2,811	3,043	887	
Austria	108	329	232	7	4	10	7	78	86	11	28	74	29	
Azerbaijan	0	0	0	0	0	0	0	0	0	0	1	0		
Bahrain	0	0	1	0	0	0	0	2	0	31	62			
Bangladesh	0	62	499	6,270	200	212	463							
Barbados	133	8	0	6	0	0	5	7	0	0	0	0	3	
Belarus	0	0	0	0	0	0	0	0	0	0	563	1	27	
Belgium	10,364	10,439	79	32	9	316	2,213	98	63	14	52	85	274	
Belize	0	0	0	0	0	0	0	33	0	0	198	0	0	
Benin	13	0	132	219	371	365	543	3,022	934	792	1,417	397	3,295	
Bolivia	0	0	9	1	1	28	0	4	2	2	19	6		
Bosnia and Herzegovina			0	1	2	0	1	2	0	0	0	0	0	
Botswana	0	2	1,592	0	61	27	1	48	4	2	1	0	0	
Brazil	1,424	0	1	0	1	16	8	191	43	16	45	176	147	
Bulgaria	0	0	0	1	32	17	0	0	0	0	0	0	0	
Burkina Faso	545	333	2,691	1,743	4,759		1,267	2,768	2,352	1,453	4,971	13,218		
Burundi	0	0	0	1	0	89	0	3	7	2	14	21	6	
Cabo Verde	4	0	0	1	0	8	0		37	0	23	0	755	
Cambodia	0	0	0	0	0	1	0	6	0	0	0	0		
Cameroon	0	1	0	0	1	0	0	0	0	0	1	3		
Canada	907	892	995	1,686	2,531	2,061	928	725	996	837	1,247	476	1,097	
Central African Republic	0	0	0			0	0	4	57	0	0	12	11	
Chile	0	0	0	0	0	0	0	0	0	1	0	1	0	
China	0	0	0	12	1	927	45	68	48	171	2,105	37,163	15,875	
Colombia	0	0	0	0	130	0	5	80	79	24	21	24	7	
Comoros	0	0	0	0	0	0	0	0	0					
Congo							0	4	0	0	0	0	0	
Costa Rica	0	0	0	0	0	0	0	0	0	4	0	0	0	
Côte d'Ivoire	8	35	148	530	1,716	1,298	1,708	591	422	708	921	3,737		
Croatia	0	0	0	1	0	1	1	22	1	15	1	1	1	
Cuba	18	2	2	0	0	0								
Cyprus	0	2	1	2	1	0	0	0	8	1	19	0	0	
Czech Republic	2	7	17	3,498	127	1,657	811	293	147	285	591	1,562	1,520	
Denmark	36	5	17	26	10	54	231	20	1	14	43	10	6	
Dominican Republic	23	0	1	0	0	0	0	2	2	17	23	2	10	
Ecuador	29	0	0	0	0	0	0	0	0	24	6	153	3	
Egypt	0	0	0	0	0	0	65	0	0	11	0	169	3	
El Salvador	0	0	0	0	0	96	0	16	0	0	15	0	0	
Eritrea			6											
Estonia	0	2	0	47	98	196	25	7	0	0	2	9	38	
Ethiopia	253	315	541	68	102	810	46	108	10	407	253	84		
Faroe Islands	0	2	0	0	0	2	0	0	0					
Fiji		0	18	0	0	0	3	30	0	1	2	0		
Finland	28	28	3	8,930	4	33	4	22	6	2	435	2	3	
France	91,993	59,108	75,224	138,521	159,022	163,533	243,387	51,216	304,454	260,171	400,015	551,458	791,288	
