List of importing markets for a product exported by Nigeria (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	20,548,136	16,894,461	25,064,630	34,864,997	46,742,812	61,509,074	70,332,423	90,669,745	54,144,568	81,599,160	110,894,990	112,035,744	96,276,470	
Albania	17	0	0	0	0	0	30	1	0	1	0	0	2	
Algeria	899	2,369	5,513	2,428	3,275	1,492	954	1,215	374	514	616	1,055	923	
Andorra	0	0	545	0										
Anguilla	0	1	0											
Antigua and Barbuda					50		63		41	47	40	58	27	
Argentina	114,271	20,776	37,689	15,362	477	589	613	1,387	1,023	2,598	207,437	57,082	256,342	
Armenia	0	0	0	0	0	0	3	3	0	201	699	423	687	
Australia	339	15	67	76	133	128	148	698	194,201	722,230	2,110,200	2,724,225	1,804,843	
Austria	277,541	290,749	284,516	207,724	545,424	650,858	162,937	262,204	239,479	482,226	1,069,540	1,167,839	1,269,965	
Azerbaijan	5	0	12	16	0	2	4	4	16	5	7	0		
Bahamas	3	0	0	0	5	6	19	185	421	410	675	947		
Bahrain	4	51	12	74	64	2	0	132	0	149	204			
Bangladesh	8,445	4,903	11,765	8,483	15,070	13,223	18,275							
Barbados	0	2	0	2	3	38	4	6	6	30	7	2	7	
Belarus	9	283	18	175	12	75	10	3,386	98	12,123	22,612	19,290	18,960	
Belgium	39,297	67,625	92,601	62,023	93,346	124,304	112,006	159,156	169,925	153,739	137,189	74,206	117,799	
Belize	0	0	0	0	0	0	0	874	69	0	0	0	0	
Benin	29,243	27,708	37,976	35,929	26,780	41,269	70,378	61,936	48,507	56,193	78,861	102,700	76,289	
Bermuda												1	1	
Bolivia	17	115	15	7	0	9	12	3	17	23	9	0		
Bosnia and Herzegovina			0	0	18	3	29	22	13	58	42	29	37	
Botswana	66	188	1,122	145	149	209	320	251	267	292	306	196	560	
Brazil	1,376,174	1,094,550	1,521,662	3,501,030	2,643,016	3,883,714	5,273,247	6,706,282	4,760,355	5,919,700	8,386,359	8,012,214	9,647,535	
Brunei Darussalam	0	18	1	24		27				34	1	2	0	
Bulgaria	46	116	46	24	309	3,394	8,838	622	85	0	91	1,650	1,125	
Burkina Faso	6,851	4,640	3,340	2,973	2,648		9,212	27,096	23,623	26,364	84,058	62,789		
Burundi	339	52	12	22	60	15	4	3	8	28	213	99	13	
Cabo Verde	16	0	0	2	0	12	0		1,099	311	0	39	32	
Cambodia	0	0	0	0	2	0	0	77	1	0	0	0		
Cameroon	258,240	200,625	170,205	292,793	605,464	735,422	1,237,315	13,516	9,670	933,725	19,944	1,157,667		
Canada	137,373	129,960	316,049	72,538	145,929	649,089	271,056	870,309	402,858	1,620,816	2,517,969	2,008,009	1,149,003	
Central African Republic	35	6	38			2	286	124	40	28	520	439	186	
Chile	122,639	115,343	107,090	376,340	259,575	454,144	278,188	884	9,469	1,070	102	92	176	
China	227,157	121,308	71,659	463,216	526,879	277,747	537,080	508,381	896,526	1,071,622	1,583,680	1,273,793	1,543,016	
Colombia	8,236	2	62	274	21,248	242	40,780	452	525	460	467	401	137	
Congo							475,824	50,655	117,918	123,394	894,736	224,326	218,356	
Costa Rica	0	65	27	1	55	0	1	6,567	8,785	4	32	12	9	
Côte d'Ivoire	478,786	366,769	508,426	956,913	1,438,845	1,603,556	1,607,700	2,313,447	1,434,777	2,064,384	1,570,467	2,510,786		
Croatia	92	70	155	120	110	59	85	284	159	348	217	88,871	60,927	
Cyprus	13	3	9	60	199	31	12	13	551	34	386	641	445	
Czech Republic	11,836	12,614	13,770	8,967	1,406	2,873	4,701	32,440	610	1,438	2,340	4,618	6,136	
Denmark	1,536	554	942	759	619	3,626	1,919	488	122	1,666	599	91,421	811,295	
Dominica	0	0	0	0	0	0	6	0	0	0	0	1		
Dominican Republic	0	0	0	15	9	0	0	46	11	22	2,032	36	3	
Ecuador	3	0	133	53	30,289	65,204	32,663	18,098	57,390	46,872	56,814	118	14	
Egypt	511	481	75	96	607	111	1,590	144	669	1,203	1,553	6,072	2,927	
El Salvador	0	0	0	0	0	4,973	6,783	34,932	3,089	18,154	6,577	12,388	0	
Eritrea			45											
Estonia	3,225	12,687	6,476	826	876	340	576	912	1,228	4,354	16,324	14,467	15,240	
Ethiopia	195	55	70	99	387	790	78	216	56	50	66	773		
Faroe Islands	53	0	10	16	0	0	7	0	0					
Fiji		0	0	0	0	0	0	0	0	48	9	0		
Finland	104	76	124	269	167	266	432	231	72	31	2,424	913	882	
France	1,095,763	1,071,860	1,401,709	1,135,483	1,467,491	2,493,083	1,814,462	4,807,701	2,625,884	3,376,437	5,940,301	4,784,382	5,040,514	
French Polynesia	0	0	1	0	12	2	0	1	3	1	25	39	26	
Gabon	3,294	0	426	1,436	3,028	3,907	1,692	5,446	8,417					
Gambia	271	293	303	424	492	358	2,715	4,765	2,180	201	449			
Georgia	0	0	0	0	7	0	0	43	40	1	33	8	19	
Germany	637,905	535,545	758,544	373,891	888,110	1,762,463	1,245,735	2,652,588	1,646,734	2,656,316	4,737,131	5,698,903	5,460,595	
Ghana	349,881		599,740		570,693	509,998	502,550	744,987	135,141	34,630	54,008	285,614		
Greece	186	276	5,466	16,156	25,166	18,814	60,329	105,646	7,185	8,518	30,436	44,794	14,890	
Greenland	0	0	0	0	0	59	0	0	0	0	0	0	0	
Grenada	0	0	0	0	0	0	0	1						
Guatemala	1	13	0	20	25	17,919	26,930	37,715	2,585	42,019	11,691	24,072	340	
Guinea	1,275	1,288		4,118	1,325	782	1,242	3,292		4,121	4,084	4,143		
Guyana	0	0	0	27	0	0	0	1	0	0	0	0	0	
Honduras	6,313	1,416	1,954	3,436	2,299	3,144	3,613	10,575	1,015	2,666	2,114	2,191	27	
Hong Kong, China	4,716	7,217	6,304	19,211	25,408	52,621	48,569	43,440	31,884	40,043	56,798	51,976		
Hungary	505	888	163	69	139	8	30	263	44	396	25	32	1,672	
Iceland	0	0	0	0	6	8	20	2	2	17	86	18	5	
India	74,871	77,623	86,977	52,987	62,364	5,682,236	7,017,395	10,124,669	5,645,077	10,257,572	13,604,802	13,962,157	13,759,369	
Indonesia	445,487	1,131,630	861,969	1,076,504	953,256	4,613	607,205	114,820	508,849	921,593	1,626,871	2,770,664	3,122,441	
Iran (Islamic Republic of)	0	0	0	31	5	70				58	0			
Ireland	676	654	518	1,694	1,200	703	823	505	12,542	524	469,416	271,993	280,961	
Israel	1,301	597	5,207	901	745	349	306	1,601	2,363	1,772	434	2,947	10,353	
Italy	408,220	470,627	522,398	589,850	753,981	1,018,495	1,198,525	1,604,800	1,091,970	723,495	2,181,291	2,165,337	2,644,843	
Jamaica	5	0	2	65	21,485	3,004	31,030	7,417	3	32	0	4		
Japan	275,427	743,784	896,624	1,421,220	973,750	809,965	661,460	1,770,598	535,504	541,346	1,657,069	4,775,618	3,541,882	
Jordan	9	2	0	41		0	17	43	185	137	26	893	2	
Kazakhstan	12	223	66	173	17	64	344	778	13	448	33	22	49	
Kenya	1,073	1,354	1,341	1,790	1,481	1,054	1,814	2,453	2,363	1,585	1,917			
Korea, Republic of	75,582	72,687	108,438	551,188	365,528	625,688	442,762	109,428	229,556	572,000	799,214	1,465,607	2,307,248	
Kuwait	1,098	797	526	315		414	1,344	3						
Kyrgyzstan	0	0	0	0	2	5	6	6	14	0	0	5		
Latvia	12	0	56	0	53	19	13	27	120	78	107	96	156	
Lebanon	674	364	415	2,537	2,495	868	583	2,381	3,710	2,523	2,492	2,710	3,848	
Lesotho	0	0	0					0	0	8				
Libya							194	478	542	441				
Lithuania	56	147	180	10	115	129	16	28	129	58	60	52	19	
Luxembourg	11	20	104	122	14	115	31	53	32	5	1,731	44	44	
Macao, China	0	2	0	0	0	0	0	0	0	1		0		
Macedonia, The Former Yugoslav Republic of	0	0	47	0	2	119	91		135	259	87	327	105	
Madagascar	64	36	171	128	101	157	40	35	26	73	1	3,373	2,378	
Malawi	46	50	55	97	82	94	39	77	26	236	753	197	70	
Malaysia	4,257	3,060	1,542	3,036	13,100	21,030	27,164	39,633	33,845	104,619	89,426	96,184	303,210	
Mali	3,297	2,970	4,923	5,045	33,609	2,414	1,718	2,670		7,831	5,816	2,470		
Malta	10	2	0	1	1	0	3	60	38	5	3	2	6	
Mauritania	0	1	87	266	33		0	501	6	12	568	1,101		
Mauritius	80	46	125	63	15	30	1	60	1	171	18	120	361	
Mayotte	16	0	4	2	0	0	1	0	11					
Mexico	21,784	4,399	29,311	5,880	12,254	127,874	253,947	444,515	325,422	334,110	279,532	117,789	448,195	
Montenegro						1	12	2	0	19	9	13	1	
Morocco	6,387	4,289	3,444	38,408	6,140	29,927	10,320	14,878	13,132	171,211	243,403	213,052	77,372	
Mozambique	6	54	28	19	48	5,558	200	101	518	84	2,430	81	165	
Namibia	350	83	60	18	117	29	485	210	109	303	120	215	158	
Nepal			0						0	0	254			
Netherland Antilles					0	1	0	7						
Netherlands	406,939	159,833	506,672	187,960	953,915	1,174,756	1,197,147	1,557,023	1,986,462	3,120,070	5,112,604	10,030,786	7,514,071	
New Caledonia	1	0	2	4	5	1	0	0	9	11	23	0	2	
New Zealand	46	27,860	60,918	42,657	95,454	51	61,378	103	50,355	10	10	135,593	123,562	
Nicaragua	0	25	1	2	0	1,610	974	6,971	659	2,281	1,594	2	3	
Niger	35,794	30,618	41,360	48,783	40,101	52,296	45,381	57,120	81,979	88,389	88,879	101,483	87,759	
Norway	114	279	197	279	181	1,199	1,462	1,369	1,207	1,132	141,963	1,647	306,284	
Oman	136	123	2,197	6	13	7	46	99	186	7	41	10	246	
Pakistan			4,336	14,346	11,362	12,064	9,613	42,167	16,242	14,025	3,577	14,430	22,092	
Palestine, State of							0	0	332	498	945	719		
Panama	0	0	0		0	0	0	0	0	0	0			
Papua New Guinea	9	51	0	0							249	3		
Paraguay	0	0	0	1	0	0	0	1	1	0	71	1	0	
Peru	123,323	128,837	156,147	37,357	115,105	271,499	292,520	73,324	435,781	649,801	336,345	922,722		
Philippines	0	5,080	12	5	46	70	4,206	109	91	834	3,098	9,842	1,688	
Poland	4,168	1,323	1,089	3,021	3,804	1,918	2,426	5,375	6,717	11,099	22,949	18,074	23,042	
Portugal	724,159	524,114	752,851	848,780	1,204,846	967,520	1,381,849	2,549,359	1,737,132	1,824,580	2,128,629	1,193,399	992,944	
Qatar	52	20	50	29	116	57	136	53	207	106	199	88	1,158	
Republic of Moldova	0	0	12	7	1	10	1	19	1	1	2	31	40	
Romania	141	145	3,299	1,675	681	247	2,381	1,358	3	995	2,406	4,688	3,526	
Russian Federation	6,938	2,227	6,712	7,339	1,879	1,612	2,600	6,701	4,994	4,129	24,667	25,294	31,197	
Rwanda	282	182	112	135	34	7	23	20	133	24	22	158	105	
Saint Kitts and Nevis	0	0	0	0	0	0	0	0	4	3	4			
Saint Lucia	4	11	0	0	5	0	0	0						
Saint Vincent and the Grenadines	2	0	1	3	2	0	296	4	0	0	2	0		
Samoa	0	0	0	0	0	1	0	0	0	0	0	0	0	
Sao Tome and Principe	69	205	43	120	96	549	206	2,554	316	330	1,052	483	940	
Saudi Arabia	639	872	1,364	1,834	2,054	1,552	806	759	1,119	548	926	1,798		
Senegal	168,935	385,401	281,526	333,215	362,373	117,390	411,205	773,717	415,066	488,929	541,237	757,772	705,368	
Serbia					457	624	159	324	55	274	448	4,098	1,952	
Serbia and Montenegro	849	1,460		652										
Seychelles	0	0	0		1	0		1						
Sierra Leone		2,580												
Singapore	539	23,263	12,265	39,847	2,484	4,123	5,707	7,047	3,685	36,840	64,158	4,409	3,027	
Slovakia	4	6	26	8	82	74	188	41	47	1,097	5,291	7,318	5,472	
Slovenia	22	117	33	93	19	22	130	501	20	39	31	82	68	
Solomon Islands								0	0	1	0			
South Africa	236,195	344,110	405,068	807,528	653,859	1,366,675	1,771,839	1,892,426	1,838,965	2,200,835	3,118,969	3,724,947	3,616,782	
Spain	1,925,563	1,390,004	2,266,563	2,561,577	3,919,353	4,757,578	5,025,700	6,934,186	3,895,915	5,754,354	8,433,305	9,074,047	7,529,752	
Sri Lanka	240	326	303	557	764	165	274	1,301	140	5	923	198		
Sudan (North + South)	2	46	0	6	436	621		417	1,956	1,907	1,878			
Suriname	0			0	0	0	0		1	76	17			
Swaziland	0	0	0	0	116	2	0							
Sweden	53,151	31,223	781	29,728	59,641	2,916	285	215,816	125,340	82,248	28,391	1,063,671	1,552,841	
Switzerland	297,443	275,831	267,943	464,202	466,464	835,338	281,271	130,744	219,935	247,556	224,295	527,543	834,431	
Syrian Arab Republic	9,599	4,912	6,259	10,024	17,191	17,052	18,853	24,879	46,092	38,239				
Taipei, Chinese	297,094	239,857	282,832	290,364	142	63,164	350,493	842,065	510,434	436,682	1,034,807	1,440,791	727,994	
Tanzania, United Republic of	443	632	1,059	1,463	1,115	1,900	1,477	1,284	1,577	484	1,203	388	1,031	
Thailand	30,765	80,555	62,390	48,897	70,712	33,460	35,463	22,546	51,334	68,532	343,506	519,986	552,609	
Timor-Leste				0	0									
Togo	5,065	4,561	5,952	6,300	4,922		11,951	23,310	28,078	10,936	15,779	16,725	16,155	
Trinidad and Tobago	105	87,712	108,429	90,869	288,808	384,077	304,099	233,173	69,805	18,652				
Tunisia	2	171	11	19	24	109	774	867	328	95	194	3,191	1,889	
Turkey	228,200	181,760	223,315	194,397	234,272	380,207	493,967	521,916	604,675	602,557	365,549	113,175	149,383	
Uganda	741	236	494	534	601	279	473	955	903	406	697	1,499	3,159	
Ukraine	1,577	580	675	1,193	1,894	1,147	604	734	3,999	13,572	12,718	6,737	9,628	
United Arab Emirates					32,693		82,448	94,266						
United Kingdom	80,591	116,536	122,481	191,221	276,062	355,445	647,663	1,644,949	977,655	1,234,985	3,652,239	5,975,151	4,861,860	
United States of America	9,180,003	6,219,096	10,948,544	17,111,894	25,109,245	28,959,184	33,740,486	39,217,292	19,737,386	31,357,508	34,348,098	19,523,408	11,984,789	
Uruguay	36,842	5	27,274	152,881	227,915	0	0	120	1,102	160,557	129,813	342,548	583,075	
Venezuela	155,034	5,876	1,211	631	316	496		114	40	497	1,527	260	0	
