List of importing markets for a product exported by Norway (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	52,637,577	53,381,293	70,441,806	87,205,834	102,845,199	121,166,348	128,963,790	173,793,154	121,811,259	135,780,409	164,854,921	162,195,571	133,760,775	
Afghanistan								42	35	690	312	0		
Albania	4,976	289	302	645	866	2,254	2,452	4,821	1,570	2,427	2,702	2,266	1,920	
Algeria	8,937	18,704	9,445	5,009	8,973	20,005	11,367	27,857	86,607	32,089	22,158	26,914	30,766	
Andorra	104	148	323	575										
Anguilla	109	1	28											
Antigua and Barbuda					915		1,018		867	697	589	357	394	
Argentina	21,644	10,540	13,081	24,053	15,639	22,625	26,982	64,364	26,979	67,428	52,053	180,934	89,681	
Armenia	36	500	10	36	128	540	1,109	1,254	1,091	1,032	1,073	1,454	1,748	
Aruba					39				0	0	0	0		
Australia	116,492	132,452	137,016	160,725	210,974	164,385	339,032	376,783	322,414	361,919	520,067	296,031	396,313	
Austria	212,138	194,853	278,167	359,799	452,704	761,099	750,461	868,215	81,815	85,438	122,338	82,677	96,748	
Azerbaijan	3,646	20,235	33,627	73,219	29,943	14,705	14,062	14,013	7,113	9,634	37,479	21,316		
Bahamas	139	6	109	25	36	5,358	134	0	18	103	36	219		
Bahrain	5,425	6,693	4,198	5,640	5,881	4,589	7,451	39,318	56,094	6,623	16,206			
Bangladesh	15,251	6,736	8,914	30,210	26,418	21,202	34,923							
Barbados	2,516	2,964	3,130	4,471	1,137	1,274	1,145	1,869	988	1,468	1,376	1,374	1,410	
Belarus	24,798	19,896	25,443	27,214	43,679	74,926	85,541	96,852	91,988	93,369	97,628	115,118	177,120	
Belgium	1,958,196	1,566,625	2,174,962	2,673,914	5,116,301	5,153,421	4,383,165	6,469,493	4,334,155	4,623,446	6,372,840	6,854,379	9,017,675	
Belize	66	65	28	33	0	581	2,198	888	455	6	0	0	15	
Benin	170	983	1,502	7,974	13,888	12,377	21,028	12,154	18,175	14,931	9,180	8,843	5,656	
Bermuda												252	115	
Bhutan					3,772	2,520	168	425	564	6,932	1,424			
Bolivia	1,505	500	1,016	393	726	598	553	485	604	584	942	3,110		
Bosnia and Herzegovina			1,222	3,402	4,727	3,647	3,262	5,815	2,608	2,123	3,493	3,376	3,624	
Botswana	2,694	684	1,428	589	227	1,840	83	234	468	73	248	175	96	
Brazil	221,852	214,643	265,510	340,542	295,251	348,699	528,228	631,654	495,914	704,159	799,590	870,889	973,767	
Brunei Darussalam	598	1,982	1,278	1,149		3,595				7,486	12,145	6,388	9,157	
Bulgaria	4,469	6,911	10,879	11,174	10,329	21,544	18,478	25,523	29,290	11,215	15,812	10,156	20,896	
Burkina Faso	206	155	191	335	412		4,107	558	1,130	738	1,391	2,411		
Burundi	341	54	56	79	817	1,495	72	59	110	480	307	321	185	
Cabo Verde	445	45	4	1,603	268	329	345		124	88	522	156	261	
Cambodia	407	22	14	188	841	648	344	133	54	48	7	68		
Cameroon	3,072	3,461	4,863	2,621	5,761	5,633	13,709	6,796	26,614	21,648	9,775	32,065		
Canada	2,263,553	2,506,995	3,084,942	3,813,916	4,997,465	4,803,714	5,009,866	5,856,881	3,139,762	2,763,844	4,389,850	3,750,859	3,660,347	
Central African Republic	17	47	1			0	28	150	0	51	0	0	20	
Chile	50,398	24,116	29,584	63,496	61,205	61,809	108,444	126,418	59,836	78,075	73,157	160,883	80,091	
China	570,676	923,228	865,382	1,397,798	1,143,960	1,250,356	1,614,859	2,147,995	3,059,495	3,230,463	3,621,479	3,067,639	3,479,028	
Colombia	33,850	12,057	12,686	17,078	18,046	20,169	24,020	54,413	34,594	27,328	52,766	41,724	53,449	
Comoros	16	1	9	0	0	20	0	0	0					
Congo							126,779	48,403	28,888	18,730	23,223	20,496	34,532	
Cook Islands					1									
Costa Rica	3,104	1,228	1,174	5,728	6,831	4,597	9,115	28,515	1,533	8,247	15,911	9,471	13,881	
Côte d'Ivoire	3,937	6,154	6,701	12,056	46,990	6,188	5,593	12,556	23,807	6,595	4,069	9,927		
Croatia	38,791	41,414	72,632	59,630	59,824	72,528	86,229	83,313	75,037	55,778	54,669	48,467	45,448	
Cuba	1,854	1,673	1,041	1,168	1,380	3,144								
Cyprus	8,154	12,219	4,525	6,076	9,916	7,490	9,194	67,730	11,108	9,344	41,015	40,809	40,250	
Czech Republic	360,033	694,079	432,439	96,921	585,800	624,627	203,634	807,812	734,446	1,036,758	293,609	230,780	208,907	
Denmark	1,997,131	2,345,893	2,533,721	3,143,591	3,355,900	3,933,602	4,096,101	5,152,498	5,786,094	4,824,882	5,912,828	6,106,997	6,968,562	
Djibouti									26					
Dominica	632	643	290	271	281	65	221	340	376	178	188	44		
Dominican Republic	19,759	24,359	17,234	16,464	25,094	24,181	31,177	38,157	39,266	40,527	44,214	41,904	43,213	
Ecuador	9,041	3,555	5,150	26,693	11,590	8,253	7,295	12,742	17,018	7,111	19,670	24,201	15,721	
Egypt	22,649	24,263	14,502	9,987	25,966	15,705	38,607	164,020	130,191	103,548	235,824	152,133	170,260	
El Salvador	294	834	424	9,937	19,533	19,572	19,857	16,966	21,156	15,955	49,299	33,214	40,750	
Eritrea			1,256											
Estonia	48,824	48,925	57,023	77,165	110,126	112,144	137,507	145,361	193,105	237,768	209,065	240,428	136,984	
Ethiopia	1,629	1,114	4,546	3,950	10,620	3,493	3,959	4,497	2,664	2,787	2,464	2,959		
Faroe Islands	115,758	92,568	171,404	115,137	129,736	158,873	181,402	204,235	141,968					
Fiji		146	97	3,102	351	185	25	222	74	36	343	12		
Finland	1,044,231	1,046,146	1,098,253	1,209,544	1,294,003	2,131,231	1,686,465	2,441,038	1,201,637	1,263,252	2,382,930	2,397,772	1,271,400	
France	6,283,572	5,712,478	6,707,697	8,595,418	8,029,679	8,538,360	8,660,117	12,381,513	6,629,929	6,490,585	9,451,824	7,187,070	7,063,332	
French Polynesia	4,500	366	508	2,019	520	440	4,271	842	386	978	1,003	1,082	1,508	
Gabon	10,164	33,879	6,787	1,118	10,327	1,662	2,383	2,564	3,436					
Gambia	258	109	83	66	93	73	95	265	183	223	235			
Georgia	196	258	592	1,010	2,457	4,033	2,588	3,391	3,776	5,135	7,279	10,340	11,649	
Germany	6,547,729	6,631,142	15,039,156	16,371,899	18,725,785	24,681,264	24,296,465	32,784,175	23,550,086	22,662,618	28,664,230	33,659,885	11,858,590	
Ghana	16,332		12,020		16,677	12,013	24,882	35,840	20,558	39,268	52,582	42,944		
Greece	104,042	77,176	114,649	106,524	158,468	140,835	171,469	575,002	202,189	263,303	133,910	335,876	192,369	
Greenland	49,711	34,148	64,992	9,243	283	13,003	11,718	26,661	15,757	18,120	24,323	32,090	6,036	
Grenada	1,064	1,069	1,294	893	897	1,478	1,718	1,511						
Guatemala	4,139	7,320	14,139	13,543	110,735	64,488	55,067	60,323	40,661	70,909	113,214	129,852	125,926	
Guinea	302	1		894	757	646	41	289		164	201	35		
Guyana	1,392	1,563	571	487	149	698	182	157	141	126	197	420	36	
Honduras	204	188	2,436	1,579	1,109	780	1,635	2,779	5,153	3,762	8,981	10,589	10,409	
Hong Kong, China	122,789	113,993	138,605	178,338	215,351	247,368	271,248	219,593	174,878	222,209	224,578	202,734		
Hungary	44,885	56,322	69,629	51,954	43,584	23,092	53,749	41,715	35,692	29,466	24,591	20,780	23,076	
Iceland	177,854	181,795	195,929	354,838	347,484	431,267	308,081	690,507	467,459	354,482	772,790	793,497	744,388	
India	45,874	60,906	217,851	296,723	215,938	607,600	1,117,140	1,636,750	740,405	946,525	867,012	913,374	661,872	
Indonesia	30,494	27,692	46,414	123,862	53,073	58,129	76,244	152,560	103,347	298,082	241,971	234,837	226,260	
Iran (Islamic Republic of)	9,678	9,801	16,646	54,442	26,532	23,366				21,039	30,629			
Ireland	844,689	624,218	707,310	1,165,556	1,844,524	2,338,176	2,128,486	1,928,130	1,206,613	1,712,124	1,619,841	1,418,763	1,465,540	
Israel	74,782	69,475	79,136	79,847	65,697	70,742	63,789	51,844	51,182	105,820	122,901	110,530	129,939	
Italy	782,243	1,247,353	1,545,466	1,223,697	1,273,152	1,823,117	1,803,475	2,240,092	2,934,693	2,068,572	2,646,134	2,152,124	2,044,849	
Jamaica	13,493	17,047	15,178	14,611	16,839	15,785	16,249	21,657	21,439	21,171	25,075	23,260		
Japan	1,042,114	1,067,599	1,285,368	1,220,614	1,139,364	1,217,996	1,665,209	2,064,018	1,641,781	1,942,214	2,349,298	2,299,307	1,984,324	
Jordan	3,707	11,092	4,758	5,246		3,726	3,888	89,289	6,853	5,970	6,480	15,124	8,103	
Kazakhstan	5,616	4,640	15,772	18,360	26,532	23,275	103,454	695,004	274,924	85,627	54,887	45,717	45,103	
Kenya	17,256	4,544	4,036	7,243	22,906	7,370	11,189	25,320	22,451	28,862	30,118			
Korea, Republic of	401,710	609,710	537,972	560,308	638,794	856,746	1,535,639	2,202,396	2,868,694	3,673,173	2,594,864	5,094,367	3,655,683	
Kuwait	5,823	14,742	19,403	12,356		13,556	14,952	13,666						
Kyrgyzstan	57	248	1,230	339	273	886	1,584	1,870	1,239	3,266	2,500	3,060		
Latvia	44,031	50,965	67,870	86,448	116,470	230,165	157,572	120,592	131,993	116,959	131,667	89,258	79,008	
Lebanon	6,892	6,708	6,368	11,065	7,830	4,735	9,194	7,111	11,713	10,071	13,110	12,391	11,985	
Lesotho	12	0	1					0	0	82				
Libya							11,178	2,891	9,281	17,444				
Lithuania	61,256	113,749	118,483	108,671	95,018	94,984	117,626	179,065	86,829	79,278	119,206	113,293	124,797	
Luxembourg	7,526	6,851	7,056	4,613	3,844	5,655	6,276	52,379	26,006	35,251	37,784	50,409	40,132	
Macao, China	783	1,071	1,113	1,394	2,306	2,210	2,213	2,093	3,635	2,616		5,288		
Macedonia, The Former Yugoslav Republic of	1,655	1,560	762	419	836	2,548	3,302		3,019	2,986	4,165	3,617	2,775	
Madagascar	523	217	179	800	304	380	1,019	1,485	98	409	2,740	646	1,193	
Malawi	305	2,503	2,866	588	2,774	3,389	592	202	772	5,830	7,197	10,309	6,476	
Malaysia	51,514	53,553	55,467	62,835	71,091	100,319	163,279	172,245	153,011	198,931	177,434	228,592	394,913	
Maldives	446	333	736	439	3,437	1,400	4,089	1,066	2,709	2,943	766	223	469	
Mali	393	410	51	173	220	1,324	1,548	2,292		1,285	1,618	3,125		
Malta	3,356	2,199	2,953	7,020	4,088	23,669	8,048	3,534	1,906	2,338	5,823	2,850	83,727	
Mauritania	7	1,468	0	684,469	12,749		7,477	3,170	3,447	744	1,523	3,136		
Mauritius	834	445	377	435	706	752	1,170	1,747	1,213	848	1,159	1,808	4,967	
Mayotte	17	26	49	34	42	46	95	97	169					
Mexico	142,364	93,022	95,869	146,758	215,796	260,008	261,788	274,065	157,448	252,532	142,646	166,067	197,146	
Mongolia	159		241	368	584	278	50						2,161	
Montenegro						1,157	6,282	1,917	764	2,514	723	605	573	
Montserrat	1	0	1	7	1	0	0	0	0			0	0	
