List of importing markets for a product exported by Oman Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	11,036,616	11,127,328	12,196,358	13,380,753	18,691,546	21,585,733	24,691,545	37,719,141	27,650,631	36,599,577	47,091,873	52,138,226	19,142,949	
Afghanistan	1,213	4,727	6,320	6,620	3,466	3,000	0	953	5,077	3,406	622	347	93	
Albania	0	0	67	67	0	0	27	0	0	234	577	0	516	
Algeria	13,977	841	759	2,026	2,392	2,502	3,836	5,991	6,784	63,806	78,934	32,458	19,969	
Andorra	0	0	0	0	0	40	0	0	0	0	0	0	0	
Angola	2,341	1,124	87	1,644	2,160	11,434	6,184	25,345	15,696	7,329	8,143	8,589	9,029	
Area Nes	7,848,040	7,427,334	10,796,387	1,013,295	2,037,680	895,018	3,299,590	5,562,954	4,258,885	6,131,663	5,791,685	40,313,768	4,373,487	
Argentina	31	0	183	206	145	1,017	2,176	66	317	7,903	28,347	573	1,112	
Armenia	122	70	459	459	446	1,229	2,067	4,625	587	1,056	267	245	0	
Australia	1,037	2,581	847	2,775	3,501	7,304	3,483	15,762	64,547	28,429	42,601	20,046	80,486	
Austria	64	74	520	532	417	339	546	727	427	548	153	408	510	
Azerbaijan	988	2,364	9,434	9,520	9,919	12,816	39,552	54,059	6,910	11,736	7,192	160	248	
Bahamas	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bahrain	15,352	22,434	2,810	20,561	20,490	19,888	26,334	49,198	49,198	36,860	29,417	63,089	121,961	
Bangladesh	414	805	196	1,159	1,018	2,049	12,984	12,566	12,117	35,158	25,243	24,065	43,311	
Barbados	0	0	0	0	0	0	0	0	0	0	0	2	0	
Belarus	0	0	0	0	113	0	99	508	1,503	2,401	2,567	2,100	2,148	
