List of importing markets for a product exported by Oman (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	9,961,194	9,372,455	10,581,530	12,321,694	16,704,084	21,781,995	22,156,188	33,762,453	22,777,190	30,730,455	43,091,876	47,417,271	47,793,980	
Albania	0	0	0	0	0	0	0	0	4	0	14	65	384	
Algeria	896	1,508	1,304	2,152	1,269	1,062	1,902	7,429	4,596	12,220	43,476	40,580	47,629	
Andorra	0	2	0	0										
Argentina	2	38	181	4	0	228	0	3	84	5,104	24,295	654	1,437	
Armenia	59	0	1	0	0	81	48	292	24	222	380	242	1,086	
Australia	743	1,294	6,477	1,470	1,630	2,348	2,851	11,718	77,041	31,476	63,887	23,881	76,149	
Austria	64	150	1,823	637	591	356	537	671	2,832	964	8,251	3,923	7,908	
Azerbaijan	117	978	208	94	152	482	180	3,346	228	36	153	164		
Bahrain	12,765	20,484	19,804	17,089	21,225	23,364	31,740	52,889	37,507	39,787	41,589			
Bangladesh	563	797	790	998	1,772	2,019	14,474							
Barbados	2	0	4	13	229	57	38	0	30	17	0	0	1	
Belarus	111	0	0	0	0	0	12	551	1,984	2,012	3,249	2,386	2,530	
Belgium	2,667	17,912	6,874	12,167	22,094	6,136	4,875	30,365	21,119	56,193	78,945	87,651	120,072	
Benin	0	0	109	12	0	0	0	0	0	0	244	45	206	
Bolivia	1	0	0	0	0	0	43	103	1	575	180	0		
Bosnia and Herzegovina			0	0	0	26	39	0	238	204	598	6	129	
Botswana	0	0	0	21	0	9	3	0	136	319	211	632	527	
Brazil	21	19	3	13	328	734	5,431	7	516	12,174	42,210	3,800	64,757	
Brunei Darussalam	272	89	95	178		119				203	1,660	467	596	
Bulgaria	0	0	0	33	12	2	5	17	4,058	11,131	6,134	13,451	13,184	
Burkina Faso	0	0	0	10	0		0	0	0	124	9	0		
Burundi	27	13	1	2	10	152	98	5	59	7	829	2,747	3,104	
Cabo Verde	17	12	0	0	0	0	0		0	0	109	0	0	
Cambodia	0	147	30	96	50	63	92	170	141	5	0	128		
Cameroon	1	15	374	759	1,385	197	118	3,488	232	624	1,810	1,260		
Canada	1,740	1,908	5,007	5,605	3,847	5,408	3,088	4,223	5,440	20,162	19,462	30,722	7,719	
Chile	330	281	407	116	82	122	75	51	110	439	14,024	803	369	
China	1,609,582	1,446,471	1,985,754	4,278,487	4,138,913	6,129,474	6,722,949	11,626,847	5,409,904	9,779,204	14,876,688	16,974,957	21,003,803	
Colombia	2	63	46	27	13	341	8	110	38	108	100	8	1,161	
Comoros	3	5	44	17	31	0	0	73	317					
Congo							34	37	43	43	50	162	4,151	
Costa Rica	0	0	0	0	45	18	17	2	18	254	135	59	2	
Côte d'Ivoire	86	97	99	352	312	910	1,628	718	2,118	940	1,520	3,175		
Croatia	32	108	1	562	263	560	163	605	909	343	727	906	129	
Cyprus	429	417	1,266	2,355	2,186	1,631	2,716	3,250	2,359	3,606	2,484	1,404	890	
Czech Republic	6	34	14	249	19	76	275	672	9,609	10,821	25,824	20,443	16,404	
Denmark	695	284	277	658	864	384	305	24,867	384	833	1,993	4,447	6,945	
Djibouti									5,917					
Dominica	0	0	0	0	0	0	3	0	0	0	0	0		
Dominican Republic	493	0	0	0	29	97	64	8	78	0	51	0	20	
Ecuador	0	0	8	49	4	27	105	67	197	88	69	9	44	
Egypt	4,404	3,147	1,731	1,497	1,075	988	2,778	24,503	52,511	64,786	106,094	135,350	182,386	
El Salvador	0	0	0	0	0	0	139	193	1	67	144	228	71	
Eritrea			441											
Estonia	1	0	3	5	4	0	22	0	0	59	7,345	3,506	374	
Ethiopia	1,667	1,710	3,891	2,382	2,804	4,748	20,667	6,447	7,706	9,579	27,651	7,759		
Faroe Islands	0	0	0	0	0	0	0	0	1					
Fiji		57	99	76	68	180	22	0	0	0	40	602		
Finland	27	6	60	144	15	50	25	70	756	3,257	5,945	2,334	337	
France	5,044	62,289	13,024	35,166	29,308	23,036	28,474	120,017	41,500	60,489	101,969	37,631	256,945	
French Polynesia	0	7	1	4	50	8	19	0	0	0	0	19	31	
Gabon	6	0	0	36	3	26	50	39	273					
Gambia	0	0	0	0	0	0	0	0	0	12	20			
Georgia	3	280	367	404	525	380	590	3,517	1,673	1,567	615	106	78	
Germany	6,445	6,482	9,884	14,490	17,273	32,215	30,987	19,584	22,916	24,132	52,489	66,835	65,918	
Ghana	9		81		559	753	550	449	113	11,436	3,149	19,120		
Greece	3,900	4,289	11,392	7,064	7,361	6,709	6,035	5,714	3,902	5,667	6,435	3,643	122,601	
Greenland	0	0	0	0	0	0	0	0	8	7	0	0	101	
Grenada	0	0	0	0	0	24	76	0						
Guatemala	13	0	0	0	4	2	0	27	95	1	43	46	305	
Guinea	0	31		21	19	0	0	9		0	323	612		
Guyana	0	0	0	0	0	0	37	12	0	0	1	2	0	
Hong Kong, China	26,055	29,824	27,578	36,098	30,956	53,042	77,192	78,161	91,742	155,200	217,924	195,720		
Hungary	9	11	18	34	78	308	68	239	778	4,117	5,767	16,276	16,434	
Iceland	0	0	0	0	0	0	0	0	0	0	0	0	7	
India	7,758	12,888	47,424	19,235	201,490	422,893	677,264	1,462,095	2,475,694	3,622,556	4,497,856	1,913,767	3,057,041	
Indonesia	919	2,488	2,673	703	345	12,508	4,992	13,372	63,217	203,404	464,400	226,185	252,952	
Iran (Islamic Republic of)	3,452	2,207	4,130	5,633	3,168	0				71,257	79,635			
Ireland	1,921	1,366	1,474	1,831	2,430	3,058	14,538	3,318	2,180	8,877	9,724	7,276	7,516	
Israel	0	0	0	2	3	1,362	1,422	3	0	0	0	0	9	
Italy	8,743	12,386	15,075	17,012	22,163	38,333	30,616	24,078	59,115	103,950	174,505	119,844	187,540	
Jamaica	0	0	0	0	0	0	0	0	0	0	0	0		
Japan	2,359,897	2,098,508	2,537,242	1,626,879	2,733,456	2,673,570	3,583,852	5,583,074	3,294,385	4,532,165	5,145,081	6,862,728	5,631,042	
Jordan	10,329	8,605	7,957	9,244		14,415	15,926	20,664	19,281	20,726	74,938	33,863	30,964	
Kazakhstan	1,256	1,702	2,392	1,805	3,607	8,106	12,986	15,447	16,831	22,439	13,477	17,078	4,017	
