List of importing markets for a product exported by Pakistan Product: TOTAL All products
"Importers"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	11,930,076	13,379,015	16,050,201	16,932,873	17,838,407	20,279,046	17,554,698	21,413,103	25,343,769	24,613,676	25,120,883	
Afghanistan	408,203	464,572	1,064,748	991,503	837,678	1,447,620	1,373,863	1,684,666	2,660,295	2,099,282	1,998,110	
Albania	273	142	237	290	27	208	554	1,365	2,030	1,995	2,806	
Algeria	8,186	8,592	12,664	16,287	26,782	22,302	24,490	37,382	27,512	39,382	35,768	
America not elsewhere specified	3,593	0	2,476	1,923	19	0	0	0	0	0	0	
Andorra	0	0	0	7	24	0	0	1	3	0	0	
Angola	7,971	9,354	10,162	5,332	6,113	14,745	10,165	13,315	16,334	24,761	34,273	
Anguilla	0	2	3	0	0	0	71	0	3	3	0	
Antigua and Barbuda	0	42	0	2	5	45	6	39	10	6	10	
Area Nes	0	495	0	0	0	0	0	0	0	0	0	
Argentina	13,958	27,319	35,032	40,282	46,883	51,183	30,690	51,784	56,316	45,878	56,826	
Armenia	108	256	411	225	33	514	301	382	267	155	112	
Aruba	28	82	20	102	43	2	122	26	142	35	4	
Australia	115,433	125,312	120,348	124,859	124,991	141,156	118,294	148,162	166,560	177,387	261,579	
Austria	26,047	26,278	30,660	33,729	29,876	17,289	15,771	17,584	19,047	15,985	21,577	
Azerbaijan	1,089	1,963	2,320	3,935	7,489	8,464	5,476	3,942	14,789	15,413	49,694	
Bahamas	1,896	2,134	1,371	1,948	32	225	48	33	20	125	30	
Bahrain	39,429	44,123	41,672	46,437	70,431	80,278	65,693	74,257	77,407	68,331	94,168	
Bangladesh	166,235	197,656	234,411	266,835	279,252	422,337	367,379	636,809	947,228	696,009	718,382	
Barbados	153	81	51	103	240	318	392	352	377	315	513	
Belarus	827	437	508	1,087	909	245	227	278	725	479	569	
Belgium	255,352	272,842	342,052	340,864	361,034	428,316	396,464	518,872	657,628	494,860	571,934	
Belize	146	429	40	274	369	89	37	24	32	64	126	
Benin	3,976	2,693	32,098	30,802	41,259	55,361	78,590	75,286	56,806	41,954	83,147	
Bermuda	7	20	127	41	89	121	148	136	100	103	47	
Bhutan	285	173	242	51	30	19	0	0	0	1	0	
Bolivia	287	260	258	680	339	427	250	375	471	452	690	
Bosnia and Herzegovina	152	724	949	435	260	262	165	140	366	31	72	
Botswana	404	510	1,234	3,860	1,254	301	2,329	1,352	1,747	1,827	3,578	
Brazil	4,536	6,440	11,683	31,397	50,439	78,477	36,691	70,077	88,814	83,372	86,895	
British Antarctic Territories	0	130	0	0	0	0	0	0	0	0	0	
British Indian Ocean Territories	0	0	0	14	0	0	0	0	0	1	0	
British Virgin Islands	0	0	6	42	0	66	72	6	23	3	2	
Brunei Darussalam	4,659	663	1,815	1,783	385	288	403	390	779	506	404	
Bulgaria	2,390	2,306	6,933	4,199	7,579	15,268	11,875	10,155	16,168	13,445	12,667	
Burkina Faso	121	101	26	0	8	19	597	282	57	56	100	
Burundi	80	361	441	568	59	15	5	10	76	40	88	
Cabo Verde	0	2	0	210	0	42	2	391	130	86	90	
Cambodia	6,007	11,856	13,164	19,255	21,853	25,045	23,279	23,107	22,618	40,941	48,001	
Cameroon	4,299	8,237	46,633	15,107	10,395	37,033	29,000	30,190	34,548	20,761	24,139	
Canada	199,796	177,696	211,706	211,630	195,119	188,497	174,864	227,880	213,468	222,312	233,910	
Cayman Islands	0	25	98	15	16	33	48	22	15	7	40	
Central African Republic	57	76	381	318	35	144	8	33	4	0	0	
Chad	329	2,711	526	1,286	2,117	44	379	17	82	99	139	
Chile	37,161	46,711	51,121	64,872	69,277	75,200	49,372	78,270	75,844	84,020	86,150	
China	259,637	300,581	435,682	506,642	613,759	726,711	997,854	1,435,944	1,678,959	2,619,944	2,652,223	
Christmas Islands	26	0	5,531	5	0	0	0	3	0	0	0	
Cocos (Keeling) Islands	0	0	15	0	0	0	0	0	0	0	0	
