List of importing markets for a product exported by Pakistan (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	8,899,427	9,065,731	10,169,127	11,751,799	13,035,373	14,599,884	16,641,395	19,838,136	16,136,682	19,423,795	23,935,981	22,042,344	20,077,546	
Afghanistan								482,427	307,469	597,503	877,754	883,021		
Albania	0	30	27	15	40	207	591	594	456	1,257	1,600	2,562	2,502	
Algeria	1,839	1,932	2,737	4,105	4,972	8,429	13,710	17,397	12,000	17,283	25,487	31,061	32,025	
Andorra	122	295	536	490										
Anguilla	0	12	0											
Antigua and Barbuda					0		30		11	28	28	26	45	
Argentina	30,770	5,017	17,426	27,291	29,542	40,190	45,478	53,421	37,954	48,762	64,408	52,463	61,111	
Armenia	753	122	59	648	274	3,468	5,620	3,820	2,787	4,137	5,000	3,403	3,792	
Aruba					20				0	0	0	0		
Australia	96,345	110,696	113,626	114,245	106,374	114,086	126,242	142,955	129,105	146,036	178,131	189,654	186,979	
Austria	50,218	47,003	55,914	65,037	70,006	77,969	86,644	91,178	43,402	48,615	61,418	48,715	56,613	
Azerbaijan	763	1,051	1,111	1,586	2,265	1,459	2,485	6,318	5,948	2,543	3,015	1,348		
Bahamas	0	0	7	0	0	0	0	0	0	0	0	11		
Bahrain	48,519	44,900	40,910	40,890	42,151	33,868	50,616	91,807	74,723	85,450	88,524			
Bangladesh	94,380	114,363	124,406	142,379	156,659	155,962	189,115							
Barbados	270	256	254	315	238	315	486	518	459	478	565	418	693	
Belarus	143	1,153	1,739	3,093	4,676	7,753	10,780	20,250	8,549	15,656	13,398	11,907	15,808	
Belgium	169,037	194,027	227,890	277,836	292,514	314,566	362,592	401,926	340,940	390,778	498,865	383,469	454,256	
Belize	0	10	1	8	3	6	56	84	83	38	24	93	146	
Benin	1,951	773	103	223	894	1,305	4,459	2,278	3,218	7,449	11,142	5,686	6,371	
Bermuda												124	103	
Bhutan					0	0	0	0	0	161	27			
Bolivia	553	335	201	228	206	345	359	1,127	664	565	585	618		
Bosnia and Herzegovina			852	1,337	3,148	3,676	4,687	6,598	6,338	5,483	6,825	6,035	7,258	
Botswana	174	302	379	104	554	394	315	343	814	853	1,721	2,255	3,001	
Brazil	6,952	5,650	4,480	6,525	10,876	29,747	50,022	72,499	44,634	62,061	79,790	92,332	85,400	
Brunei Darussalam	321	1,166	366	403		542				482	1,089	674	506	
Bulgaria	466	453	1,034	2,424	2,848	3,061	9,031	18,746	10,963	10,879	18,860	14,765	13,723	
Burkina Faso	6,443	1,477	11	215	13,393		17,749	5,401	13,291	16,418	17,432	1,987		
Burundi	97	19	31	51	38	12,173	4,910	233	1,833	89	1,532	3,302	429	
Cabo Verde	1	0	12	6	91	167	4		48	523	163	63	95	
Cambodia	4,507	6,569	6,020	9,201	10,959	13,185	15,282	16,540	20,528	17,307	15,696	34,677		
Cameroon	11,412	1,818	1,751	4,884	20,052	32,726	18,481	31,495	22,479	22,475	44,236	14,790		
Canada	177,779	184,413	196,679	188,527	204,475	248,331	226,867	231,260	213,317	263,292	263,481	277,929	286,055	
Central African Republic	463	0	0			0	2	71	296	302	2	246	291	
Chile	36,741	36,603	36,910	40,695	46,304	60,578	64,848	68,548	49,430	70,209	75,901	81,792	82,793	
China	581,874	557,497	574,936	594,749	833,169	1,007,214	1,104,226	1,006,800	1,260,256	1,730,949	2,118,460	3,140,394	3,207,103	
Colombia	12,606	9,575	7,477	5,954	20,586	34,121	43,801	36,950	34,395	44,244	61,990	68,325	58,239	
Comoros	1,697	22	0	23	2,732	3,796	4,830	9,021	26,604					
Congo							1,298	1,091	912	850	1,051	1,489	515	
Cook Islands					20									
Costa Rica	1,243	1,942	1,028	1,569	5,368	10,076	17,446	13,461	2,515	2,318	3,060	4,693	4,334	
Côte d'Ivoire	16,916	1,476	960	4,326	21,027	57,064	34,579	60,651	38,370	50,477	93,130	28,421		
Croatia	1,787	5,877	6,164	8,711	9,458	13,978	19,667	24,124	19,152	17,513	21,483	20,772	7,047	
Cuba	2,098	1,301	2,721	3,325	4,216	3,169								
Cyprus	5,890	5,334	6,761	6,672	6,608	6,243	7,191	9,111	5,434	5,195	5,984	4,300	3,319	
Czech Republic	17,247	24,045	23,573	28,826	31,806	42,170	61,311	86,350	56,481	81,705	105,617	93,859	103,249	
Denmark	46,333	37,793	50,006	57,330	51,228	61,724	74,559	104,032	75,889	74,542	93,909	86,987	95,383	
Djibouti									16,707					
Dominica	15	1	2	14	2	8	10	8	19	10	8	0		
Dominican Republic	2,882	2,096	1,228	2,017	3,003	8,154	10,534	19,397	15,849	17,123	13,722	15,163	8,053	
Ecuador	2,365	3,955	1,465	2,546	3,574	2,892	3,249	5,990	6,699	6,377	26,670	6,962	9,596	
Egypt	10,220	10,703	11,686	9,636	11,831	10,951	30,944	76,646	98,898	94,857	153,469	220,455	139,198	
El Salvador	872	1,156	1,462	1,247	16,924	19,914	22,472	25,232	12,615	11,563	4,244	3,200	1,730	
Eritrea			1,547											
Estonia	7,817	13,140	15,469	15,946	13,906	17,132	15,983	26,587	18,404	16,786	17,906	16,458	20,244	
Ethiopia	1,211	3,266	4,898	4,209	5,146	9,181	74,036	177,444	253,041	53,891	108,930	40,000		
Faroe Islands	200	180	245	218	267	258	393	310	292					
Fiji		1,119	1,546	1,804	1,084	749	1,083	2,799	1,419	2,404	2,660	2,601		
Finland	19,697	20,230	25,430	30,361	27,779	33,774	42,195	55,211	27,494	29,956	37,138	28,750	29,604	
France	338,988	355,218	445,476	520,271	509,002	523,887	619,283	705,379	622,392	682,517	868,718	708,667	800,083	
French Polynesia	616	695	654	849	578	669	792	822	753	670	698	925	569	
Gabon	522	0	166	280	236	283	167	415	405					
Gambia	60	81	151	176	3,923	1,612	1,611	2,572	5,147	4,091	2,478			
Georgia	0	0	16	605	93	446	288	156	270	1,960	4,943	5,791	5,409	
Germany	522,474	543,766	671,784	782,498	723,829	773,835	880,047	1,010,963	921,980	1,133,176	1,563,516	1,260,953	1,401,095	
Ghana	1,531		2,287		3,918	6,262	3,944	8,720	3,965	10,557	9,584	6,280		
Greece	47,550	58,972	77,642	99,090	82,097	74,265	89,145	91,123	72,656	58,875	55,783	44,302	52,645	
Greenland	0	0	164	0	0	158	31	236	445	454	388	275	292	
Grenada	62	32	7	11	62	84	155	615						
Guatemala	1,459	2,385	2,779	5,865	17,001	15,475	11,969	14,494	25,150	13,507	17,985	10,353	9,303	
Guinea	1,396	162		565	28,522	52,915	17,645	17,307		64,222	60,112	19,350		
Guinea-Bissau			0	0	0									
Guyana	62	77	61	126	22	251	456	1,283	348	614	819	763	647	
Honduras	128	806	2,384	1,921	1,048	872	656	2,038	309	1,029	1,159	3,513	3,929	
Hong Kong, China	539,234	496,750	499,367	601,666	583,776	653,127	633,493	456,451	366,576	500,461	446,545	427,065		
Hungary	17,412	20,908	25,052	21,364	17,539	19,578	17,279	21,053	13,779	14,746	14,991	12,394	11,193	
