List of importing markets for a product exported by Palau (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	30,368	28,752	16,762	22,759	32,821	42,810	32,752	30,153	18,387	17,943	19,703	23,749	16,445	
Australia	0	0	1	416	2	7	26	3	0	232	0	0	6	
Austria	0	13	30	0	19	0	0	0	1	0	1	0	0	
Bahrain	0	0	0	0	0	0	0	0	0	15	0			
Bangladesh	0	62	0	0	0	0	0							
Belgium	0	0	0	0	0	0	0	0	0	113	0	0	0	
Benin	0	0	0	0	1	0	0	0	0	0	0	0	0	
Bolivia	0	0	0	0	0	0	0	0	16	0	0	0		
Brazil	65	8	1	147	60	0	0	0	0	6	1	51	1	
Bulgaria	0	1	0	0	0	0	0	0	0	0	0	0	0	
Cambodia	0	0	0	0	0	0	20	13	0	0	0	0		
China	0	0	0	0	0	5	1	60	0	32	5	28	14	
Colombia	1	0	70	14	0	1	0	0	0	0	25	1	2	
Cook Islands					2									
Costa Rica	0	0	15	0	0	0	0	0	0	3	1	0	0	
Côte d'Ivoire	0	0	0	0	0	0	0	0	0	0	0	263		
Croatia	0	0	0	0	0	0	0	1	0	0	0	0	0	
Czech Republic	0	1	0	0	0	0	0	7	1	1	2	6	0	
Denmark	0	5	0	0	0	0	0	14	0	0	0	0	0	
Dominican Republic	0	0	0	10	0	0	24	0	4	26	0	2	0	
Ecuador	0	0	0	0	0	0	0	0	0	0	0	0	0	
Estonia	0	0	0	0	94	0	10	0	0	0	0	0	0	
Ethiopia	0	0	0	0	0	26	2	0	0	0	0	0		
Fiji		0	0	6	0	0	0	6	1	0	2	0		
Finland	0	0	0	0	0	0	0	0	0	0	0	0	0	
France	3	0	27	0	0	23	3	0	0	13	0	0	8	
French Polynesia	3	0	0	0	0	0	0	0	0	0	0	0	0	
Gambia	3	0	0	0	0	0	0	0	0	0	0			
Germany	98	3	5	2	314	16	8	10	7	12	75	87	150	
Ghana	24		0		0	0	0	0	0	0	0	0		
Greenland	0	0	0	0	0	0	0	0	1	0	0	0	0	
Guatemala	0	0	75	2	0	0	0	0	0	0	0	0	0	
Hungary	0	51	0	0	0	0	0	0	0	0	0	0	0	
India	0	0	0	0	0	0	0	21	12	0	8	5	0	
Indonesia	0	3	0	0	0	0	0	0	0	0	47	0	0	
Ireland	56	0	0	0	0	1	0	0	0	0	0	0	0	
Italy	0	0	0	0	13	21	0	0	0	0	0	0	0	
Japan	13,297	9,194	13,385	18,014	30,015	40,435	28,873	26,197	17,107	16,227	18,382	21,710	14,992	
Kenya	0	0	0	0	0	0	0	0	0	0	0			
Korea, Republic of	24	17	664	204	284	199	243	117	76	24	62	40	114	
Kuwait	0	0	0	0		0	0	1						
Latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lebanon	0	0	43	0	0	0	0	0	0	0	0	0	0	
Madagascar	0	7	0	1	0	0	0	0	0	0	0	0	0	
Malawi	23	0	0	0	0	0	0	0	0	0	0	0	0	
