List of importing markets for a product exported by Panama Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	
World	857,400	798,628	798,747		963,764	8,033,926	8,820,595	9,816,620	10,716,687	10,986,603	14,554,816	
Africa not elsewhere specified	0	0	0		0	136	22	1	54	0	0	
Albania	0	0	0		0	351	0	0	354	265	604	
Algeria	61	57	0		0	0	362	309	5	0	0	
America not elsewhere specified	0	0	0		0	0	0	0	0	0	72	
Andorra	0	0	0		0	0	0	0	0	0	0	
Angola	0	95	119		21	543	392	1,521	523	380	243	
Antigua and Barbuda	26	1	0		396	9,926	10,209	11,629	9,058	7,550	6,060	
Area Nes	132	205	43		0	17,208	22,735	21,619	15,704	20,605	28,992	
Argentina	1,179	221	87		15	30,770	40,650	38,420	43,815	55,654	71,910	
Armenia	0	0	0		0	13	0	0	0	0	0	
Aruba	1,201	901	774		654	29,533	32,399	37,291	38,331	60,117	64,498	
Australia	0	0	150		181	10,162	9,124	4,244	1,058	3,277	3,752	
Austria	0	0	0		0	16	58	46	12	53	1,022	
Azerbaijan	0	0	0		0	0	0	0	12	0	0	
Bahamas	299	12,779	235		451	25,492	23,395	25,844	25,680	28,788	31,415	
Bahrain	0	0	0		0	87	0	0	0	55	0	
Bangladesh	0	0	0		5,453	316	618	824	777	51	0	
Barbados	36	39	123		196	27,234	30,382	30,294	28,612	32,007	36,091	
Belarus	0	0	0		0	0	0	0	0	0	0	
Belgium	36,517	32,778	24,340		24,907	38,877	45,135	13,222	7,315	4,606	3,358	
Belize	452	431	145		576	63,097	72,820	79,533	43,219	40,457	47,756	
Benin	0	0	0		0	0	0	0	0	238	334	
Bermuda	1	74	70		57	5,812	5,711	6,203	5,236	5,545	7,325	
Bhutan	0	0	0		0	0	0	0	1	0	0	
Bolivia	1,740	1,561	202		320	42,878	25,614	28,000	33,863	37,589	40,662	
Bosnia and Herzegovina	0	0	0		0	0	0	0	65	0	0	
Brazil	665	180	51		2,138	146,788	155,004	170,620	186,060	241,895	258,397	
British Indian Ocean Territories	0	0	0		0	0	0	0	0	0	11,782	
Brunei Darussalam	0	0	0		0	0	0	0	0	0	0	
Bulgaria	0	0	0		165	9	0	10	0	0	0	
Burkina Faso	0	0	0		0	0	6	0	0	0	0	
Cambodia	0	0	0		0	0	100	18	242	245	0	
Cameroon	0	0	0		0	0	0	0	36	0	0	
Canada	4,180	5,342	3,766		1,959	6,939	9,508	8,211	14,728	82,766	130,095	
Central African Republic	0	0	0		0	0	0	0	0	0	135	
Chile	941	840	340		119	140,920	139,753	151,318	158,122	208,948	246,464	
China	3,199	2,005	12,216		10,210	16,049	71,988	52,102	22,515	38,037	40,525	
Colombia	7,296	6,549	8,579		15,465	1,284,794	1,361,862	1,409,745	1,302,797	1,718,194	1,863,864	
Congo	75	0	0		0	0	0	0	0	0	0	
Costa Rica	43,757	39,839	33,462		38,748	405,175	504,068	499,789	451,963	557,414	647,432	
Côte d'Ivoire	0	0	0		0	12	33	2	360	44	60	
Croatia	0	0	0		8	0	1,141	0	0	0	11	
Cuba	4,627	3,059	685		473	216,456	223,298	303,500	193,765	187,855	231,602	
Cyprus	0	0	0		0	29	78	62	0	125	592	
Czech Republic	10	0	0		90	4	85	2	0	6	5	
Democratic Republic of the Congo	0	0	0		0	0	3	1	85	0	0	
Denmark	0	10	29		46	2,125	3,120	2,167	25	8	2,978	
Dominica	79	35	73		362	13,993	14,417	15,155	12,708	4,062	2,322	
Dominican Republic	9,728	17,137	8,264		16,441	420,340	452,024	466,238	425,190	554,639	547,538	
Ecuador	5,303	4,956	3,881		5,302	343,174	362,161	460,722	349,520	453,680	583,109	
Egypt	0	0	0		0	6,801	5,461	3,260	4	21	774	
El Salvador	6,774	10,381	9,402		9,335	219,008	240,393	220,920	201,271	259,665	292,695	
Eritrea	0	0	0		0	0	0	0	0	0	35	
Estonia	0	0	0		0	81	0	0	42	0	11	
Ethiopia	0	0	0		0	0	0	0	0	0	0	
Europe Othr. Nes	0	0	0		0	0	0	0	0	0	0	
Falkland Islands (Malvinas)	0	0	0		0	12	11	12	1	73	2	
Faroe Islands	0	0	0		0	0	557	495	0	89	0	
Fiji	0	0	0		0	0	0	0	0	12	0	
Finland	0	0	0		0	594	10	148	80	453	54	
France	1,543	1,702	3,130		2,106	17,659	21,489	31,511	28,815	25,633	23,815	
Free Zones	26,989	28,826	9,833		13,114	0	0	0	0	0	0	
Gambia	0	0	0		0	0	0	0	53	96	9	
Georgia	0	0	0		0	0	706	0	62	2	116	
Germany	25,868	6,453	3,636		1,992	22,462	21,813	14,513	9,938	14,386	14,454	
Ghana	0	0	0		0	0	140	1,123	603	356	12	
Gibraltar	0	0	0		0	16	0	0	0	0	0	
Greece	32	16	1,441		1,581	4,586	2,817	254	741	1,414	1,948	
Greenland	0	14	0		0	41	0	0	4	70	0	
Grenada	0	0	0		13	2,727	2,815	3,055	2,403	2,313	2,779	
Guatemala	18,806	17,328	13,251		21,390	444,845	444,049	397,099	355,380	424,425	462,425	
Guinea-Bissau	0	0	0		0	0	0	4	0	0	0	
Guyana	435	224	251		127	27,699	27,885	31,394	32,543	40,180	50,427	
Haiti	1,057	699	1,783		3,820	131,615	134,236	148,299	145,780	143,855	118,807	
Honduras	21,661	33,914	13,359		15,620	253,274	301,210	292,760	244,956	311,641	366,081	
Hong Kong, China	6,364	5,221	5,122		6,595	20,546	17,135	23,106	17,399	17,846	19,737	
Hungary	0	0	0		0	0	116	85	12	11	20	
Iceland	2	0	0		6	147	122	32	14	302	0	
India	417	2,864	4,546		6,552	7,253	9,297	7,885	5,366	7,599	19,101	
Indonesia	0	0	0		727	2,695	2,874	3,389	403	76	1,296	
Iran (Islamic Republic of)	0	0	0		1,359	0	0	0	409	1,368	138	
Iraq	0	0	0		0	0	0	0	0	279	645	
Ireland	220	0	608		6,329	4,345	577	749	380	499	0	
Israel	1	27	12		100	949	944	904	435	1,150	475	
Italy	22,143	7,667	9,517		15,153	32,928	21,686	31,681	19,163	17,182	21,260	
Jamaica	4,607	4,807	3,280		7,399	117,160	131,601	131,102	112,188	105,265	122,302	
Japan	12,071	10,132	6,039		3,412	6,708	9,277	6,425	426,297	94,816	290,478	
Jordan	0	134	145		0	2,133	2,091	299	58	93	181	
Kazakhstan	0	0	0		0	0	0	0	0	0	0	
Kenya	0	0	0		0	0	69	27	1	5	4	
Kiribati	0	0	0		0	0	0	0	0	0	1	
Korea, Republic of	360	50	52		2,256	29,113	37,332	36,038	28,713	24,637	44,669	
Kuwait	0	0	0		0	5,155	3,194	1,524	0	0	0	
LAIA not elsewhere specified	0	0	0		0	0	0	0	0	7,937	0	
Latvia	0	0	0		0	0	233	0	0	22	0	
Lebanon	0	0	0		0	5,831	4,554	877	188	77	88	
Liberia	0	0	0		0	0	0	2	0	0	0	
Libya	0	0	72		0	332	0	0	0	0	0	
Lithuania	0	0	15		0	0	0	138	5	0	0	
Luxembourg	0	0	0		0	0	0	0	0	5	0	
Macao, China	0	0	0		0	0	0	0	0	3	121	
Madagascar	0	0	0		29	0	7	0	0	0	0	
Malaysia	0	0	0		7	1,966	3,579	1,718	605	3,260	2,731	
Malta	0	0	0		0	210	0	0	0	111	0	
Mauritius	0	0	0		0	0	0	0	14	0	149	
Mexico	17,240	16,128	12,060		17,112	181,013	123,099	164,126	146,540	154,482	212,437	
Micronesia (Federated States of)	0	0	0		0	0	0	0	0	0	0	
Morocco	0	0	0		0	0	82	337	1	2	65	
Mozambique	0	0	0		0	38	0	5	17	0	0	
Myanmar	0	0	0		0	0	0	0	0	4	0	
Namibia	0	0	0		0	73	389	0	0	0	0	
Nepal	0	0	0		0	0	0	0	0	0	0	
Netherland Antilles	6,549	1,616	1,222		1,293	63,375	72,375	85,890	81,880	57,261	61,865	
Netherlands	12,036	12,882	15,378		47,056	78,473	121,368	131,142	61,983	61,924	57,848	
New Zealand	244	68	25		24	65	55	284	81	25	275	
Nicaragua	42,610	21,549	24,813		21,380	139,855	159,281	172,546	284,223	184,522	227,668	
Niger	0	0	0		0	0	0	0	0	0	27	
Nigeria	0	19	2		0	64	1	531	548	829	1,087	
Norway	530	851	0		0	0	305	3	1	9	73	
Oceania Nes	6	10	0		0	0	37	0	0	0	9	
Oman	0	0	0		0	68	433	0	10	42	51	
Pakistan	0	0	0		0	439	954	263	102	72	118	
Papua New Guinea	0	0	0		0	0	0	0	0	5	0	
Paraguay	36	36	5		20	28,225	43,535	71,429	81,405	112,930	89,718	
Peru	782	868	332		1,364	137,822	151,548	155,850	145,144	156,490	192,247	
Philippines	0	0	0		0	8,144	4,546	2,667	1,952	961	806	
Poland	160	0	5,896		1,260	4	0	708	0	283	349	
Portugal	13,994	28,627	27,469		12,645	11,925	13,317	3,816	4,923	4,771	9,137	
Qatar	0	0	0		0	424	1,356	0	0	0	0	
Republic of Moldova	0	0	0		0	0	0	20	0	0	0	
Romania	0	0	0		2	281	711	287	0	10	14	
Russian Federation	0	506	976		165	386	26	21	114	381	4,888	
Rwanda	0	0	0		0	0	0	0	451	0	2	
Saint Kitts and Nevis	0	0	0		0	0	0	0	7	956	1,366	
Saint Lucia	0	0	0		0	0	0	0	39	7,568	8,562	
Saint Vincent and the Grenadines	0	0	0		0	0	0	0	36	2,375	2,544	
Samoa	0	0	0		0	0	0	0	0	8	0	
Sao Tome and Principe	0	0	0		0	0	0	0	0	640	1,380	
Saudi Arabia	29	0	0		8	14,181	17,339	2,172	264	15	83	
Senegal	0	0	0		0	26	242	26	0	0	0	
Serbia	0	0	0		0	18	142	226	0	0	0	
Serbia and Montenegro	26	0	0		0	0	0	0	0	0	0	
Ship stores and bunkers	0	0	0		0	0	0	0	0	0	0	
Singapore	62	264	113		73	8,921	12,841	15,356	21,677	17,472	15,265	
Slovakia	0	0	0		0	0	0	0	0	0	2	
Slovenia	0	0	0		0	11	14	28	31	13	82	
Somalia	0	0	0		0	0	0	0	0	18	0	
South Africa	8	0	0		0	1,484	2,973	187	418	765	10	
Spain	18,192	22,009	45,593		85,626	86,993	59,099	59,281	53,999	23,179	19,079	
Sri Lanka	0	0	3		0	91	685	11	774	175	770	
St. Pierre and Miquelon	0	0	0		0	0	0	0	0	4	0	
Sudan (North + South)	0	0	0		0	0	0	0	0	0	47	
Suriname	4	105	414		264	14,612	15,244	18,557	18,753	24,555	27,790	
Swaziland	0	0	0		0	0	0	0	0	23	0	
Sweden	30,306	44,255	48,262		54,332	56,856	62,191	62,716	48,774	50,025	55,041	
Switzerland	364	495	0		98	3,473	3,912	2,925	4,519	15,245	16,022	
Syrian Arab Republic	0	0	337		0	24	1,087	29	35	34	0	
Taipei, Chinese	11,734	4,507	6,618		20,046	45,348	74,862	53,918	27,093	37,427	35,365	
Tajikistan	0	0	0		0	0	0	0	0	0	0	
Tanzania, United Republic of	0	0	0		0	32	22	34	0	0	0	
Thailand	0	15	0		950	7,737	8,883	7,856	624	3,148	6,155	
Togo	0	0	0		0	0	0	14	13	0	47	
Trinidad and Tobago	1,796	2,420	2,493		3,540	96,039	115,826	133,560	129,398	146,160	165,763	
Tunisia	25	0	0		120	1	0	215	7	1	0	
Turkey	0	0	0		0	5,572	7,845	1,355	1,500	2,734	4,301	
Uganda	0	0	0		0	0	0	0	0	0	6	
Ukraine	0	0	0		0	0	148	82	0	0	620	
United Arab Emirates	0	0	0		219	5,914	12,697	1,708	2,103	2,825	4,705	
United Kingdom	2,739	7,684	5,953		18,430	37,471	62,872	63,928	13,138	10,007	13,220	
United States Minor Outlying Islands	0	0	3		0	0	0	0	0	237	1,216	
United States of America	407,134	364,851	415,579		432,643	718,959	756,710	1,074,065	2,710,136	2,172,087	3,831,231	
Uruguay	127	86	5		0	29,744	44,210	64,539	71,854	98,807	128,502	
Vanuatu	0	0	0		0	0	0	0	0	1	0	
Venezuela	19,813	9,227	2,064		1,272	1,578,783	1,797,038	2,229,113	1,787,055	1,771,612	2,572,685	
Viet Nam	0	0	5		50	2,776	3,733	5,032	7,728	10,807	15,083	
Yemen	0	0	0		0	34	7	276	1,200	291	344	
Zambia	0	0	0		0	0	0	0	0	0	0	
