List of importing markets for a product exported by Panama (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	2,815,515	2,940,497	3,223,514	3,455,178	4,807,747	5,466,932	4,749,965	7,356,876	6,171,932	6,735,721	7,717,448	8,300,337	7,580,128	
Albania	317	392	1,049	283	19	460	30	161	737	1,110	843	759	117	
Algeria	680	2,121	6,793	1,658	3,733	1,234	586	470	3,724	290	1,232	19	30	
Andorra	5	14	157	23										
Anguilla	7	11	37											
Antigua and Barbuda					2,707		4,000		2,741	2,601	1,653	2,150	1,893	
Argentina	1,108	558	348	358	13,182	367	886	1,601	118	590	1,800	228	2,111	
Armenia	19,331	3,294	38,289	54,051	71,264	80	1,654	227	82	23	12	992	1,813	
Aruba					23,812				34,897	33,522	41,258	36,411		
Australia	1,647	154	183	238	446	3,773	2,019	1,378	1,567	2,138	3,494	5,445	6,509	
Austria	11,306	11,119	12,273	12,915	19,179	14,776	13,109	11,282	626	392	1,811	1,220	1,951	
Azerbaijan	0	0	72	18	2	1,103	6,315	12,615	5,933	12,406	9,010	21,717		
Bahamas	4,288	5,651	5,486	5,496	12,556	13,234	9,885	7,964	7,412	16,012	15,031	11,624		
Bahrain	48	7	0	0	0	1	4	277	0	16	200			
Bangladesh	3,644	1,921	31	3	10,772	1,908	1,052							
Barbados	1,882	2,777	3,289	3,016	5,388	4,311	5,373	5,386	5,175	6,314	7,166	7,025	7,214	
Belarus	138	467	250	257	74	511	341	954	511	207	277	302	2,253	
Belgium	53,557	62,091	120,154	77,922	97,891	61,452	103,079	19,914	12,550	57,400	26,892	70,955	80,343	
Belize	34,751	5,042	5,063	4,097	7,014	63,503	66,734	74,456	39,894	37,738	39,216	34,659	25,840	
Benin	8	0	35	11	3,665	3,950	58	85	123	0	106	79	548	
Bermuda												1,794	4,197	
Bolivia	6,841	5,041	4,350	6,377	5,519	6,683	3,571	3,002	4,964	3,796	5,977	4,744		
Bosnia and Herzegovina			265	404	664	984	662	223	89	947	124	341	248	
Botswana	0	1	1	0	0	0	0	0	0	0	0	130	0	
Brazil	24,157	13,146	6,568	23,883	13,625	12,973	16,972	25,527	10,435	14,438	20,893	16,226	11,873	
Brunei Darussalam	0	0	43	40		3				1,339	3	1	0	
Bulgaria	743	575	778	724	5,410	781	10,577	745	311	242	270	47	108	
Burkina Faso	3	2	0	0	0		0	0	0	0	2	309		
Burundi	0	0	0	0	42	28	0	0	0	0	202	2	40	
Cabo Verde	0	0	0	0	139	2	1,806		0	52	107	808	126	
Cambodia	7	17	55	95	0	0	22	0	97	0	0	5		
Cameroon	1,509	198	142	0	0	0	992	3,690	1,185	0	1,757	98		
Canada	6,707	7,745	90,986	36,105	36,878	31,285	26,791	20,000	35,794	81,790	125,433	122,095	71,003	
Central African Republic	0	0	0			0	0	0	0	5	0	0	0	
Chile	4,869	3,418	60,810	33,913	21,018	33,022	33,620	41,102	39,004	56,032	68,749	84,304	77,376	
China	1,951	3,715	28,615	14,915	22,197	14,302	7,888	49,744	28,809	25,287	42,858	53,026	44,085	
Colombia	58,747	41,204	21,572	28,660	62,526	92,143	139,090	156,258	160,366	180,078	122,885	74,562	59,188	
Congo							375	13	0	0	84,178	36	1,422	
Costa Rica	110,005	122,913	114,486	103,486	111,998	162,028	223,253	240,684	204,577	235,572	398,147	530,786	331,257	
Côte d'Ivoire	18	2	4,336	624	35	2,080	1,508	9	379	34	0	91		
Croatia	435	1,126	1,417	1,632	1,157	826	1,871	256	258	692	1,667	5,798	2,690	
Cuba	22,864	30,046	36,030	41,974	46,980	50,569								
Cyprus	57	249	140	29	109	2	4	22	75	22	6	5	41	
Czech Republic	11,290	15,891	11,495	20,985	38,075	16,115	20,101	16,523	10,372	13,276	10,838	6,776	12,574	
Denmark	77,818	1,142	27,366	36,861	62,711	962	4,396	93,648	10,688	31,280	2,798	9,042	11,364	
Djibouti									5					
Dominica	1,211	1,343	1,028	991	1,301	1,292	1,871	1,909	1,085	1,867	2,422	1,469		
Dominican Republic	129,036	127,779	97,895	99,378	153,967	214,936	235,458	183,181	118,506	108,376	60,646	66,435	84,887	
Ecuador	50,286	267,947	78,564	82,954	342,557	462,517	489,082	471,811	394,045	1,027,241	1,471,602	1,662,995	1,293,769	
Egypt	7	0	15	49	156	0	1	2	453	339	23,543	2,388	1,279	
El Salvador	135,141	156,172	126,014	146,306	164,556	221,764	194,281	202,112	179,727	225,176	202,956	179,369	159,257	
Estonia	1,132	634	2,050	5,605	7,112	6,015	7,929	10,222	4,956	4,884	5,725	2,312	607	
Ethiopia	3	81	2	61	408	658	2,174	163	191	1	23	46		
Faroe Islands	32	5	9	7	10	17	26	38	230					
Fiji		3	41	12	0	0	0	0	6	73	4,243	313		
Finland	13,157	6,048	5,302	7,417	7,976	11,747	14,447	24,371	193	852	290	171	65	
France	18,264	8,700	20,105	14,463	7,805	25,581	43,860	72,723	11,963	9,217	31,847	16,680	22,803	
French Polynesia	0	0	1	0	33	0	62	0	1	0	0	9	1	
Gabon	347	0	1,533	1	0	0	0	0	28					
Gambia	0	0	34	4	6	17	2	0	8	176	9			
Georgia	0	48	186	228	239	156	793	2,188	956	1,284	326	846	1,462	
Germany	87,572	161,885	186,374	187,588	274,030	263,136	321,025	363,735	92,285	78,156	72,440	45,360	71,434	
Ghana	5,021		1,227		1,327	336	761	1,727	82,286	5,068	1,155	1,482		
Greece	61,826	142,091	33,502	36,831	76,688	25,003	63,561	147,082	370,456	392,611	21,536	132,178	137,887	
Greenland	0	0	104	0	0	0	0	0	5	5	14	2	32	
Grenada	533	740	579	695	922	1,121	996	808						
Guatemala	69,499	81,812	322,127	398,016	132,945	363,331	399,562	412,007	78,096	438,373	476,969	543,402	584,875	
Guinea	0	26		0	0	1	0	375		88	70	3,618		
Guinea-Bissau			279	0	29									
Guyana	3,968	4,546	5,493	5,538	4,632	4,560	7,248	7,750	8,845	8,822	14,623	15,451	17,210	
Honduras	119,919	147,006	115,627	98,711	133,853	222,967	144,784	347,045	158,542	89,591	42,412	30,556	30,292	
Hong Kong, China	18,940	14,282	17,520	15,445	18,083	21,902	29,021	24,421	26,610	24,802	25,035	30,817		
Hungary	1,461	3,249	4,836	2,451	386	354	275	103	126	45	67	36	350	
Iceland	2,789	1,426	1,693	2,853	3,207	776	2,053	3,414	3,919	7,766	588	339	1,386	
India	9,015	38,423	9,681	92,741	165,090	219,915	138,167	224,792	390,381	283,868	213,786	114,068	36,842	
Indonesia	56,131	20,445	18,694	17,510	38,618	22,357	787	36,617	171,434	47,383	75,544	225,226	13,696	
Iran (Islamic Republic of)	0	0	0	36	1,522	10				1,096	3,504			
Ireland	149	97	465	1,684	276	2,610	1,074	1,225	937	893	1,359	482	498	
Israel	690	3,613	10,554	8,072	7,189	15,251	9,792	32,437	14,181	20,471	33,477	34,330	3,124	
Italy	50,811	53,489	66,437	63,015	61,693	123,777	115,385	219,646	77,873	47,365	49,704	41,518	32,446	
Jamaica	27,199	33,249	35,508	42,333	52,072	46,125	48,160	46,909	42,308	42,132	38,076	39,553		
Japan	56,556	78,519	106,144	115,997	43,228	35,054	13,435	17,782	177,646	413,721	296,427	312,561	324,768	
Jordan	339	9	392	58		124	43	9	222	64	10	20	18	
Kazakhstan	0	50	15	10	257	961	1,619	2,530	1,233	689	792	323	440	
Kenya	97	44	0	101	605	691	121	4,310	197	22	9			
Korea, Republic of	141,879	143,255	179,125	293,866	247,921	241,088	333,926	872,781	1,090,543	573,460	393,860	594,848	516,357	
Kuwait	0	23	109	35		338	316	325						
Kyrgyzstan	0	0	0	27	17	0	19	0	154	59	298	140		
Latvia	108	14	258	75	69	113	26	3	0	510	428	304	37	
Lebanon	120	6,043	61	0	4	10	85	5	25	127	48	22	4	
Libya							0	0	0	119				
Lithuania	123	3,815	6,042	6,915	8,834	8,680	362	110	40	469	7	1,129	57,580	
Luxembourg	44	6	1	6	4	1	1	125	20	13	7	66	46	
Macao, China	0	0	0	2	5	22	37	10	5	11		84		
Macedonia, The Former Yugoslav Republic of	4,780	4,729	870	198	565	497	509		322	248	236	46	2	
Madagascar	12	0	552	28	90	1	47	0	0	0	1	0	0	
Malawi	276	0	381	12	68	0	0	0	3	9	46	252	0	
Malaysia	2,187	77,598	12,717	555	34,730	18,201	2,829	8,199	5,332	12,772	41,459	85,554	169,099	
Maldives	0	0	0	0	0	0	0	1	0	0	0	0	0	
Mali	0	0	0	0	34	158	1	3		2	8	1,406		
Malta	235	235	444	32	1,029	17	0	21	442	25,219	56	4,518	2,129	
Mauritania	0	0	0	0	0		0	0	0	1,098	1,411	84		
Mauritius	214	217	857	141	559	358	909	2,456	4	1,535	75	1,957	412	
Mayotte	0	48	0	294	214	0	5	0	0					
Mexico	58,741	35,232	37,752	43,910	78,839	60,593	114,181	116,128	94,870	32,352	120,808	83,066	17,391	
Mongolia	0		0	0	230	165	0						5	
Montenegro						934	355	337	5	22	120	38	69	
Montserrat	2	2	5	2	19	42	55	24	1			235	8	
Morocco	2,932	8,050	4,514	6,913	2,848	13	39	1,226	25	222	2,446	849	905	
Mozambique	206	15	71	263	2,502	9	566	51	253	155	386	863	1,549	
Myanmar										0				
Namibia	65	84	0	40	325	1,041	1,311	893	2,309	1,829	6	65	3,432	
Nepal			0						0	0	1			
Netherland Antilles					30,772	35,140	40,648	51,849						
Netherlands	8,518	12,272	14,053	21,112	16,722	60,472	61,674	83,607	62,145	38,075	60,598	85,330	82,053	
New Caledonia	50	3	1	36	4	1,303	0	0	0	21	3	35	25	
New Zealand	381	65	31	783	119	191	296	209	99	209	108	92	138	
Nicaragua	69,457	69,189	17,086	13,558	12,361	21,246	14,121	15,277	11,927	12,609	17,678	11,236	9,429	
Niger	0	0	0	0	0	0	3	0	0	0	0	834	44	
Nigeria	8,459	2,463	223,811			3,512	4,577	5,681	2,162	13,616	55,258	2,939		
Norway	59,864	904	13,803	28,759	26,139	7,555	47,743	16,231	12,456	18,827	75,003	6,999	50,163	
Oman	173	0	0	0	0	0	0	1	0	4	0	6	23,757	
Pakistan			846	226	233	51	68	13,938	55	119	226	149	7,810	
Palau												2		
Palestine, State of							74	0	3	2	7	0		
Papua New Guinea	13	6	4	12							57	52		
Paraguay	2,177	404	592	1,285	1,163	807	1,613	4,421	3,143	7,844	8,615	8,245	14,095	
Peru	4,669	11,376	47,916	19,376	9,567	23,218	83,760	292,424	126,917	292,595	344,803	54,875		
Philippines	3,283	3,199	4,959	1,641	2,718	44,073	5,795	23,179	4,807	1,032	4,538	13,676	1,953	
Poland	44,498	113,978	65,755	145,891	61,683	97,461	58,308	156,230	38,735	28,160	158,036	12,738	280,976	
Portugal	13,652	15,402	14,220	12,507	16,863	4,127	8,030	7,376	4,801	5,174	4,506	4,607	9,422	
Qatar	4	268	39	394	2,013	588	11	390	660	30,569	1,351	24	98	
Republic of Moldova	33	19	0	0	20	60	66	380	334	539	540	1,150	698	
Romania	767	1,023	388	302	105	873	3,116	2,278	763	1,024	159	888	1,736	
Russian Federation	911	23,576	3,543	2,409	3,629	21,592	11,167	9,067	6,100	2,554	11,270	4,207	959,933	
Rwanda	0	3	0	0	0	0	31	0	1	0	34	28	4	
Saint Kitts and Nevis	381	526	586	664	412	906	1,160	1,633	762	902	582			
Saint Lucia	966	1,271	1,259	1,613	2,487	4,667	7,204	8,790						
Saint Vincent and the Grenadines	1,544	1,621	1,150	1,477	230	168	433	497	725	621	553	826		
Samoa	0	0	0	0	0	1	2	0	0	0	0	0	0	
Sao Tome and Principe	0	1	0	0	0	0	0	0	0	10	0	0	0	
Saudi Arabia	315	33	119	9,651	2,951	80,101	36,219	73,564	18,335	1,655	461	10,175		
Senegal	0	0	10	0	0	47	52	0	29	188	225	134	296	
Serbia					243	725	2,682	3,227	702	1,582	2,373	2,122	765	
Serbia and Montenegro	1,574	1,659		2,098										
Seychelles	0	0	8		4	16		3						
Singapore	2,518	9,669	5,303	11,162	43,681	2,405	5,012	19,915	14,196	5,992	2,120	6,420	7,102	
Slovakia	6,152	5,820	4,036	9,276	9,573	8,382	9,047	4,707	3,844	2,545	1,766	550	1,104	
Slovenia	44	3,221	49	102	139	297	378	933	373	543	617	840	686	
South Africa	623	113	1,542	5,247	63,396	10,376	1,459	1,169	847	257	475	1,434	938	
Spain	30,665	42,349	46,625	46,520	306,930	573,346	108,304	102,514	65,660	74,252	78,196	72,799	57,013	
Sri Lanka	0	0	91	46	1,553	0	2	0	18,350	119	520	643		
Sudan (North + South)	187	680	392	5	0	0		1,154	2	0	0			
Suriname	4,979			6,629	8,109	13,825	13,856		11,134	16,669	21,383			
Sweden	27,640	57,562	54,590	29,408	10,022	24,507	25,944	35,551	39,896	45,749	36,488	38,309	19,427	
Switzerland	24,203	28,553	30,883	28,721	63,520	64,640	82,760	132,611	101,721	107,783	44,755	61,879	106,736	
Syrian Arab Republic	0	0	316	0	0	2,380	334	348	365	646				
Taipei, Chinese	4,212	4,810	6,006	22,620	24,376	36,294	53,863	68,437	23,547	44,891	44,000	35,423	40,440	
Tanzania, United Republic of	38	8	7	194	180	26	42	3,770	184	574	3,639	4,241	2,187	
Thailand	2,224	2,231	63,987	26,237	51,870	14,118	3,122	15,345	26,310	10,601	85,039	199,135	42,175	
Timor-Leste				0	0									
Togo	9	53	422	0	9		0	6	245	32	117	192	115	
Tonga	0	0	0					0	0	0	0	0		
Trinidad and Tobago	182,210	4,018	4,159	4,024	6,605	11,157	8,608	9,217	8,186	7,366				
Tunisia	978	380	0	203	410	966	166	205	32	68	1,752	9	55	
Turkey	2,477	16,718	20,222	30,684	9,896	10,050	22,889	21,042	12,028	20,670	38,908	38,519	47,828	
Turks and Caicos Islands	27	0	14	0							188	93		
Uganda	44	0	32	0	8	1	255	57	168	492	438	27	152	
Ukraine	2,654	477	1,021	451	3,952	2,788	4,045	5,568	27,409	5,804	11,190	19,742	16,548	
United Arab Emirates					32		41	53						
United Kingdom	10,799	9,764	9,839	21,500	32,561	31,392	26,226	17,621	21,817	28,182	24,155	27,613	47,699	
United States of America	311,922	320,702	318,639	335,605	349,428	404,643	390,974	401,652	321,991	400,434	409,816	564,724	468,440	
Uruguay	3,080	891	768	1,573	798	1,238	2,231	4,407	5,479	5,512	3,111	2,880	2,240	
Vanuatu						25	0		0	0	0			
Venezuela	375,721	192,040	123,082	276,927	847,577	548,022		1,018,396	930,727	737,889	1,372,335	1,609,664	927,599	
Viet Nam	6,565	6,000	4,557	22,636	171	54,334	148,421	66,036	12,969	11,976	19,374	6,831		
Yemen				0	16	0	810	28	26	4	19	0		
Zambia	0	0	0	0	0	13	0	21	76	0	19	1,082	55	
Zimbabwe	62	0		86	26	13	265	1,503	908	351	213	1,427	1,527	
