List of importing markets for a product exported by Papua New Guinea (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	1,704,440	1,686,811	2,458,146	2,670,217	3,492,584	4,247,354	4,909,138	6,047,154	5,105,331	6,418,431	8,302,908	7,824,435	6,801,239	
Albania	0	0	0	5	0	1	0	0	0	0	0	0	2	
Algeria	0	0	83	0	157	0	0	0	0	0	0	0	0	
Argentina	0	0	0	14	0	8	17	4	20	1	16	45	13	
Armenia	0	0	0	0	0	6	3	167	13	0	0	52	0	
Australia	643,483	667,079	988,225	1,187,484	1,523,848	1,734,404	2,099,344	2,478,394	2,313,364	2,711,268	3,791,897	3,547,526	2,893,935	
Austria	641	438	558	1,374	1,148	1,362	696	489	252	151	8	349	1,379	
Azerbaijan	0	0	0	0	0	0	0	0	1	1	0	0		
Bahrain	0	1	0	0	0	0	0	0	0	45	0			
Bangladesh	102	84	781	602	2,457	898	996							
Barbados	0	0	0	0	0	0	0	0	0	0	0	0	0	
Belarus	0	5	0	0	4	3	10	25	0	2	5	71	1	
Belgium	8,079	14,827	15,461	16,616	30,452	20,079	43,162	59,979	40,551	47,036	41,133	50,066	47,803	
Belize	0	0	0	0	0	0	0	0	0	0	0	0	0	
Benin	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bhutan					0	0	0	0	7	0	1,832			
Bolivia	0	0	0	0	0	0	2	6	0	0	0	7		
Bosnia and Herzegovina			0	0	0	2	2	0	0	3	1	123	0	
Botswana	0	0	0	0	0	0	0	0	0	0	4	0	0	
Brazil	0	0	0	18	0	3	0	1	0	10	3	0	0	
Brunei Darussalam	17	4	1	1		0				1	1	1	0	
Bulgaria	318	9	1	37	27	16	1	23	0	33	0	1,371	0	
Burkina Faso	173	164	11	0	0		0	0	0	0	0	0		
Burundi	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cabo Verde	0	0	0	0	0	0	0		0	0	0	0	3	
Cambodia	0	0	3	10	9	54	76	3	8	4	1	1		
Cameroon	1,338	661	1,125	781	3,306	81	2	1	0	0	8	0		
Canada	5,069	637	2,220	1,264	2,355	2,893	3,089	1,879	1,785	1,599	1,639	1,606	1,619	
Chile	0	0	0	1	0	19	201	193	173	146	8	0	4	
China	122,383	159,665	231,108	243,856	309,464	391,849	468,392	515,208	357,725	777,486	815,220	642,259	800,265	
Colombia	0	3	0	62	0	2	0	7	3	0	6	0	0	
Congo							1	0	0	0	0	0	0	
Cook Islands					250									
Costa Rica	2	0	0	0	0	2	2	0	0	0	13	0	16	
Côte d'Ivoire	3	3	95	0	0	0	0	0	0	0	0	0		
Croatia	0	16	10	22	13	59	19	15	29	39	117	218	14	
Cuba	0	0	6	5	1	0								
Cyprus	1	175	100	0	173	105	47	0	0	0	0	0	0	
Czech Republic	59	173	106	119	163	2,361	1,384	1,358	173	328	72	1,023	1,965	
Denmark	501	542	1,533	754	3,258	4,154	2,982	1,489	4,524	1,364	1,659	2,892	1,043	
Dominican Republic	0	63	0	1	0	0	0	4	5	0	0	0	0	
Ecuador	0	0	0	0	5	18	0	44	40	0	0	8,374	11	
