List of importing markets for a product exported by Paraguay Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	990,205	950,600	1,305,733	1,553,515	1,655,111	1,843,244	2,817,188	4,463,309	3,167,021	6,504,798	7,763,530	7,271,300	9,432,252	
Afghanistan	0	0	0	0	0	0	0	0	1,047	2,008	321	159	0	
Albania	43	75	2,580	2,484	2,674	1,034	2,522	697	2,177	2,213	865	1,995	971	
Algeria	0	0	0	125	0	0	3	17,846	12,837	28,101	20,915	24,409	75,897	
Andorra	0	0	0	0	0	0	0	0	0	0	0	0	0	
Angola	142	410	4,228	6,410	6,712	20,124	17,643	32,688	15,367	22,128	20,279	35,416	26,496	
Antigua and Barbuda	0	0	0	0	0	0	0	0	0	0	0	5	0	
Area Nes	26	11	0	140	52	0	288	1,018	1,361	1,323	327	1,279	649	
Argentina	60,827	34,720	69,807	93,388	102,586	149,137	518,593	727,038	343,129	555,698	692,099	604,295	777,912	
Armenia	0	0	0	75	162	0	171	71	0	41	0	0	84	
Aruba	296	103	1,898	2,731	215	1,692	2,017	4,342	3,902	10,952	24,775	43,918	27,801	
Australia	23	23	105	92	69	156	232	486	455	610	86	124	1,300	
Austria	45	11	137	139	109	266	153	145	220	574	986	932	1,327	
Azerbaijan	0	0	0	0	52	0	13	0	0	0	188	0	0	
Bahamas	0	0	0	0	3	0	0	0	0	0	0	0	0	
Bahrain	0	0	1	234	425	412	392	333	751	995	286	340	1,827	
Bangladesh	572	120	439	752	16	0	3,566	7,369	1,942	45,560	47,144	29,507	103,460	
Barbados	0	4	0	0	0	0	0	0	0	0	0	0	0	
Belarus	0	0	0	0	0	0	0	0	0	0	0	0	0	
