List of importing markets for a product exported by Paraguay (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	1,248,616	1,251,241	1,624,068	1,890,178	1,838,510	2,146,586	3,092,401	4,898,930	3,468,145	4,670,788	5,849,308	5,455,764	7,006,568	
Albania	0	0	868	1,851	779	2,138	2,020	2,203	1,217	1,817	496	123	1,043	
Algeria	0	1,668	4	4,956	2,280	0	7,704	14,116	27,055	31,694	20,941	39,000	77,077	
Antigua and Barbuda					0		10		13	0	0	0	0	
Argentina	302,804	255,397	294,712	380,497	455,387	505,183	1,056,420	1,782,956	698,956	436,802	515,026	470,830	527,761	
Armenia	0	0	0	72	183	1	192	71	133	315	7	5	267	
Aruba					258				2,916	11,756	23,921	47,553		
Australia	35	36	91	164	172	279	259	551	729	676	379	213	765	
Austria	198	227	404	376	660	832	890	993	311	431	1,111	475	1,426	
Azerbaijan	0	0	0	0	142	292	102	10	6	0	7	0		
Bahamas	4	7	24	95	73	389	58	99	0	0	39	143		
Bahrain	0	0	0	0	457	0	0	524	203	946	1,938			
Bangladesh	541	177	576	1,310	0	0	0							
Barbados	0	7	0	0	0	0	3	0	0	0	0	0	2	
Belarus	0	4	0	0	8	1	75	34	1	64	167	1	15	
Belgium	626	2,590	2,609	4,014	4,053	3,601	11,023	8,543	5,887	30,688	22,914	17,273	27,917	
Belize	0	0	0	0	0	1	29	183	37	1,217	4,173	4,198	3,853	
Benin	14	0	4	0	0	0	77	72	0	0	0	0	0	
Bermuda												1	1	
Bhutan					0	0	0	0	0	2	0			
Bolivia	22,966	18,106	16,730	19,135	22,775	23,726	42,910	45,744	26,816	32,196	57,715	84,497		
Bosnia and Herzegovina			0	482	0	60	31	240	704	698	1,580	2,165	470	
Botswana	0	0	0	0	0	0	0	0	0	0	0	0	0	
Brazil	300,207	383,088	474,750	297,825	318,936	295,904	434,039	657,496	585,441	611,173	715,890	987,565	1,039,737	
Bulgaria	1,255	2	154	304	250	324	317	40	0	7	41	13	11	
Burkina Faso	0	0	0	0	0		0	0	0	0	1,100	0		
Burundi	0	22	0	0	0	56	0	0	0	0	0	0	0	
Cabo Verde	0	0	14	33	43	2	0		300	4	3	9	5,505	
Cambodia	76	80	0	0	0	0	0	0	0	0	142	0		
Cameroon	0	7	0	4,729	792	69	0	0	2,621	580	620	0		
Canada	2,141	6,706	8,841	14,167	12,607	12,289	14,941	16,326	8,245	9,072	6,366	9,909	11,912	
Chile	90,087	78,223	40,736	97,025	117,920	182,504	223,071	379,313	426,443	624,417	611,201	211,220	573,208	
China	2,832	7,874	12,739	58,289	58,549	53,669	19,676	25,323	27,454	45,615	44,493	47,842	60,707	
Colombia	45,060	70,546	66,460	60,257	10,664	15,073	20,184	9,044	22,376	27,740	82,117	92,194	84,009	
Comoros	0	0	0	68	151	113	29	0	24					
Congo							100	1,747	2,112	915	2,086	1,278	1,649	
Costa Rica	25	128	121	41	205	191	262	741	299	580	1,584	1,276	87,363	
Côte d'Ivoire	18	87	0	143	348	290	594	232	3,278	2,120	292	550		
Croatia	701	2	313	3,030	470	443	495	110	573	1,877	325	81	3	
Cuba	0	94	138	48	64	49								
Cyprus	0	4	572	32	20	8	43	6,610	649	564	553	33	34	
Czech Republic	146	655	156	128	230	283	335	203	398	711	598	157	267	
Denmark	125	478	538	595	1,358	375	1,001	4,396	5,133	1,359	218	143	8,423	
Dominican Republic	212	489	850	516	623	699	7,026	1,570	1,802	9,480	11,335	20,167	29,381	
Ecuador	2,676	3,913	31,910	28,240	4,544	8,800	6,503	2,063	3,090	5,815	30,530	12,252	31,611	
Egypt	385	1,372	1,065	143	4,056	2,603	9,618	12,728	13,660	5,212	34,512	738	62,481	
El Salvador	28	81	136	207	348	1,076	1,625	1,709	1,871	624	159	441	389	
Estonia	0	3	0	6	30	5	15	0	0	2	1	192	366	
Ethiopia	108	5	77	0	15	0	0	0	0	0	0	0		
Faroe Islands	6	0	2	0	1	1	2	4	110					
Fiji		2	0	0	0	1	0	0	0	0	0	101		
Finland	256	146	120	148	85	200	139	215	0	0	129	142	30	
France	10,250	13,051	15,347	19,399	16,978	20,639	22,638	37,851	28,069	60,513	108,931	19,223	115,913	
French Polynesia	3	13	26	2	181	886	2,234	1,641	249	2	2	2	2	
Gabon	89	0	115	98	0	721	1,473	2,950	3,480					
Gambia	0	0	0	0	0	0	0	0	0	11	307			
Georgia	0	0	0	0	0	0	139	0	0	0	0	90	449	
Germany	35,669	21,725	80,141	86,158	96,636	85,846	186,898	112,607	58,952	230,315	310,946	380,001	312,872	
Ghana	14		101		13	396	476	414	12	152	445	159		
Greece	404	62	1,700	16,533	23,116	23,076	24,738	30,872	60,768	74,803	61,319	76,404	95,177	
Greenland	0	0	0	0	0	0	0	2	1	2	2	0	2	
Grenada	0	1	0	5	0	0	1	0						
Guatemala	525	497	941	957	510	282	900	958	1,139	1,201	2,433	1,206	2,150	
Guinea	71	0		0	0	0	0	0		25	100	399		
Guyana	0	3	0	0	0	0	0	0	0	0	0	0	0	
Honduras	15	126	138	195	90	99	179	158	131	1,524	1,216	1,475	2,950	
Hong Kong, China	17,480	21,863	20,061	18,967	14,384	8,075	8,315	6,959	6,947	3,986	12,186	21,647		
Hungary	797	187	14	16	0	7	4	16	0	3	55	6	11	
Iceland	53	89	107	204	131	42	58	29	25	14	31	29	25	
India	16,923	2,155	754	2,789	3,300	2,958	918	505	5,063	5,314	11,701	8,760	5,218	
Indonesia	3,129	842	759	11,213	4,902	272	260	1,361	15,080	7,610	28,608	19,554	103,362	
Iran (Islamic Republic of)	12,853	0	24	0	3,141	5,008				7,942	6			
Ireland	231	76	57	93	777	413	141	40	54	387	1,911	44	45	
Israel	1,081	1,240	801	13,070	17,540	19,061	22,645	20,350	22,597	56,942	53,734	22,736	181,304	
Italy	39,832	39,407	96,341	149,993	93,097	100,794	113,129	123,467	144,336	281,487	298,002	222,395	295,296	
Jamaica	26	104	14	1,819	29	2	19	0	0	0	24	157		
Japan	21,337	23,261	28,478	18,117	18,330	26,029	34,501	92,610	44,919	27,246	63,580	35,700	79,456	
Jordan	0	0	1	0		96	14	558	5,701	11,230	379	17	500	
Kazakhstan	0	0	0	0	1	17	0	20	0	259	2,294	6,743	6,005	
Kenya	0	0	42	11	0	0	0	9	0	2,810	19,270			
Korea, Republic of	403	563	947	4,952	4,176	5,594	1,852	2,845	5,471	3,638	52,394	105,738	74,537	
Kuwait	0	2,040	200	580		656	343	660						
Kyrgyzstan	0	0	0	0	0	22	0	0	0	0	0	0		
