List of importing markets for a product exported by Peru Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	
World	6,825,601	7,665,214	9,026,639	12,726,497	17,114,289	23,764,897	28,084,585	31,288,212	26,738,260	35,205,068	45,636,085	45,946,180	
Afghanistan	0	0	0	85	16	0	0	2	5	7	11	187	
Albania	0	1	0	33	172	0	75	0	0	107	182	263	
Algeria	7,851	15,375	14,288	18,219	28,528	58,735	61,484	30,893	25,308	46,644	47,283	28,077	
Andorra	77	150	128	279	491	0	0	0	0	0	0	0	
Angola	24	8,523	725	4,865	239	732	438	969	1,053	296	2,056	5,759	
Anguilla	0	0	0	0	27	0	0	46	24	25	59	0	
Antigua and Barbuda	42	125	160	294	315	253	387	855	323	498	854	512	
Area Nes	33,320	24,023	44,746	46,579	65,947	82,228	66,371	126,163	118,148	181,970	176,045	226,308	
Argentina	20,472	13,206	19,322	36,343	53,538	74,012	119,667	147,290	83,975	151,393	191,832	194,126	
Armenia	0	0	8	0	34	0	0	7	3	0	0	0	
Aruba	627	2,238	1,270	1,645	1,832	1,932	1,856	2,296	2,838	2,268	4,283	3,552	
Australia	35,730	34,586	53,129	49,503	54,562	38,286	97,850	79,927	114,755	117,616	115,078	99,500	
Austria	4,471	759	498	583	1,350	1,031	2,120	2,201	3,066	3,750	8,026	2,470	
Azerbaijan	0	0	0	37	3	1	1	6	21	150	0	53	
Bahamas	1,179	14,550	5,760	3,227	2,630	3,092	5,387	5,593	2,756	3,967	27,957	6,242	
Bahrain	5	47	157	144	83	70	425	783	244	277	750	940	
Bangladesh	622	445	643	796	287	4,665	1,408	910	574	2,050	1,423	1,744	
Barbados	166	123	128	416	579	876	681	1,009	988	1,456	1,291	1,723	
Belarus	0	0	113	983	0	30	0	0	0	0	0	1	
Belgium	107,364	103,066	95,852	169,025	227,049	509,451	558,587	411,784	381,887	581,798	777,631	704,884	
Belize	34	0	277	702	543	959	1,144	488	506	564	1,179	1,904	
Benin	0	44	10	100	361	433	488	136	121	541	3,443	726	
Bermuda	771	2	37	40	40	20	47	204	108	11	0	0	
Bhutan	0	0	0	0	0	0	0	0	0	0	0	0	
Bolivia	97,634	90,537	105,340	131,291	154,862	189,505	223,984	350,922	321,810	382,761	452,220	560,111	
Bosnia and Herzegovina	1	0	0	24	413	1,880	0	0	0	14	0	34	
