List of importing markets for a product exported by Peru (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	6,263,840	7,676,517	8,836,915	12,785,843	17,040,472	23,026,182	27,347,599	30,029,883	24,182,490	33,301,416	42,674,387	42,426,310	41,243,777	
Albania	0	0	0	0	2	0	106	109	282	134	400	929	756	
Algeria	5,139	2,656	3,027	8,875	16,058	15,736	25,178	11,777	9,568	16,952	15,966	15,814	19,921	
Andorra	38	90	51	12										
Anguilla	5	2	2											
Antigua and Barbuda					372		475		969	1,026	870	937	850	
Argentina	21,336	14,018	17,078	33,292	54,372	51,736	116,020	120,514	68,202	120,920	163,212	161,589	132,251	
Armenia	0	0	31	0	0	34	130	47	29	51	88	155	289	
Aruba					1,982				3,009	2,521	3,400	2,819		
Australia	32,758	39,950	52,659	41,254	43,764	49,953	112,824	82,529	109,823	137,383	107,452	104,197	132,460	
Austria	5,668	7,285	7,541	8,517	5,824	18,785	22,338	26,878	8,389	12,769	9,396	6,720	9,016	
Azerbaijan	1	0	29	0	0	17	12	53	21	21	26	75		
Bahamas	36	57	421	273	390	482	460	919	2,154	2,412	3,489	3,928		
Bahrain	34	37	140	399	115	52	285	648	361	512	933			
Bangladesh	593	302	1,865	888	3,437	3,621	1,581							
Barbados	305	211	315	500	858	890	1,064	1,668	1,416	1,662	759	1,577	1,497	
Belarus	4,868	1,395	1,357	465	1,337	979	1,763	1,859	1,448	3,562	2,981	3,631	5,171	
Belgium	82,331	71,803	90,311	150,762	180,812	389,474	565,691	401,145	370,899	549,266	742,435	605,443	671,224	
Belize	0	2	291	921	1,454	1,959	1,499	1,792	1,708	1,352	1,338	1,841	1,334	
Benin	0	0	22	0	0	0	77	19	9	36	214	11	12	
Bermuda												21	85	
Bolivia	107,820	94,943	104,286	127,263	152,355	189,417	234,601	353,602	316,668	389,123	472,343	557,552		
Bosnia and Herzegovina			166	1,657	2,908	2,262	1,368	1,417	1,253	750	718	702	1,058	
Botswana	0	0	0	1	0	0	0	0	0	88	56	0	2	
Brazil	230,732	217,783	235,237	349,384	459,109	788,140	995,900	956,369	484,016	906,938	1,376,751	1,287,505	1,772,402	
Brunei Darussalam	11	3	24	14		9				8	7	11	3	
Bulgaria	9,786	36,400	39,863	76,360	106,475	164,539	175,527	225,400	178,810	305,808	84,481	106,228	12,403	
Burkina Faso	342	396	902	447	363		1,828	982	602	309	571	1,223		
Burundi	0	0	0	0	0	0	0	0	1	0	0	0	0	
Cabo Verde	13	76	459	397	184	574	1,450		867	142	1,132	238	642	
Cambodia	0	0	0	6	68	7	0	0	81	112	154	49		
Cameroon	1,730	1,433	1,645	1,690	2,483	4,145	3,752	976	26	6	5,761	883		
Canada	162,384	186,847	187,806	351,563	1,121,105	1,847,744	1,993,411	2,312,891	2,529,163	3,543,454	4,455,185	3,686,962	2,985,923	
Central African Republic	0	0	228			0	0	0	0	0	0	0	0	
Chile	285,291	251,701	477,471	704,235	1,121,837	1,447,629	1,708,009	1,874,480	725,138	1,368,558	2,058,029	2,072,360	1,758,109	
China	498,019	731,614	760,008	1,522,896	2,277,994	2,907,850	4,337,890	4,492,113	4,323,889	6,368,186	7,864,277	8,454,698	8,490,350	
Colombia	159,240	160,310	193,370	244,672	350,106	517,428	607,676	731,529	623,286	786,249	1,024,539	911,955	870,181	
Congo							30	0	25	23	307	354	233	
Costa Rica	7,881	9,275	9,732	10,178	10,186	25,486	21,634	26,356	23,824	35,373	91,947	140,233	44,655	
Côte d'Ivoire	162	166	118	500	338	415	1,107	1,876	285	495	1,074	3,747		
Croatia	6,227	3,516	3,574	3,207	3,319	2,897	3,114	2,313	1,964	1,796	1,972	1,928	379	
Cuba	4,334	1,236	3,204	3,170	4,364	3,681								
Cyprus	1,152	224	694	1,223	630	289	947	2,173	834	76	566	830	516	
Czech Republic	10,290	7,093	8,150	9,898	11,580	13,505	18,522	16,715	13,930	15,779	19,280	17,565	18,125	
Denmark	12,559	16,361	16,909	28,234	52,714	86,494	107,918	86,967	81,050	108,264	127,633	190,187	91,311	
Dominica	3	2	24	297	99	71	389	966	783	486	64	286		
Dominican Republic	9,598	13,953	21,367	12,995	17,841	24,712	34,822	42,289	77,662	93,515	60,382	56,463	70,828	
Ecuador	91,620	154,761	153,633	205,945	364,862	347,253	481,089	572,934	665,684	1,035,594	915,136	1,127,950	995,155	
Egypt	1,014	1,146	376	764	2,386	1,749	3,426	6,374	3,039	3,610	9,762	6,535	5,568	
El Salvador	13,115	24,777	12,901	20,658	55,906	30,838	62,492	27,416	23,414	30,157	26,030	72,539	28,176	
Estonia	991	907	1,322	1,382	1,426	1,209	2,008	2,457	3,431	2,761	3,473	2,314	2,562	
Ethiopia	97	0	0	45	1,575	66	16	408	0	52	227	164		
Faroe Islands	59	69	20	9	19	690	2,676	9,993	10,875					
Fiji		119	0	0	1	242	741	1,061	45	2	106	700		
Finland	13,856	50,472	39,925	74,797	116,160	208,948	287,108	220,955	205,563	356,741	459,933	486,820	486,798	
France	128,292	123,079	137,770	153,241	197,049	279,334	305,219	353,048	295,855	383,549	468,290	429,138	405,722	
French Polynesia	79	111	77	271	161	65	220	56	117	185	531	430	543	
Gabon	100	0	0	36	112	679	392	465	209					
Gambia	0	0	0	0	0	0	0	0	0	609	660			
Georgia	0	46	39	0	0	311	1,338	196	121	0	2	85	178	
Germany	219,937	285,813	294,624	464,794	665,733	926,470	1,203,499	1,297,128	1,213,940	1,716,591	1,972,976	1,885,759	1,296,957	
Ghana	324		407		643	3,589	3,703	913	435	810	3,223	1,353		
Greece	9,047	15,530	18,695	6,303	13,005	20,420	28,394	14,245	2,929	3,231	30,679	30,235	15,467	
Greenland	0	0	12	0	0	11	0	10	20	8	13	19	6	
Grenada	10	30	27	89	35	34	251	377						
Guatemala	15,149	23,960	15,232	17,757	62,037	46,567	105,806	183,672	80,725	67,440	102,224	115,477	91,732	
Guinea	0	30		566	831	607	977	572		1,252	535	611		
Guyana	738	978	1,027	1,293	2,066	1,783	2,310	2,852	1,811	2,248	4,088	2,612	1,239	
Honduras	7,517	8,169	9,319	14,296	27,965	24,104	90,684	26,310	60,437	118,335	34,456	65,337	197,694	
Hong Kong, China	21,824	27,686	37,629	37,149	47,752	37,823	53,021	57,811	54,915	73,816	92,278	94,958		
Hungary	17,968	13,876	12,340	1,915	1,427	2,051	2,415	1,072	648	830	1,698	2,230	883	
Iceland	57	127	137	249	306	434	1,001	2,489	1,331	2,212	6,522	12,586	22,389	
India	28,379	21,983	25,982	40,108	23,372	104,819	129,088	297,995	69,232	211,605	429,160	420,763	692,904	
Indonesia	45,605	27,840	19,496	25,776	36,422	31,175	27,972	38,642	36,472	31,457	51,389	72,679	51,801	
Iran (Islamic Republic of)	22,268	7,646	27,884	1,161	1,003	271				382	175			
Ireland	1,600	2,822	3,544	4,445	6,246	6,295	6,833	12,372	7,079	12,824	17,122	18,612	19,226	
Israel	6,728	4,169	4,259	4,138	6,823	4,010	3,375	4,663	4,210	9,434	8,431	7,876	12,813	
Italy	137,921	176,859	199,321	306,912	379,437	695,545	981,722	941,621	646,768	955,479	1,345,760	998,271	1,037,417	
Jamaica	2,606	684	708	2,168	2,333	3,190	3,560	5,419	4,135	3,801	4,550	6,793		
Japan	424,737	428,423	432,646	682,557	704,316	1,322,531	2,237,269	2,115,519	1,663,021	2,182,218	2,343,489	2,818,695	2,645,018	
Jordan	1,037	957	826	1,406		534	492	844	1,063	1,811	2,328	1,693	2,598	
Kazakhstan	25,619	13,225	9,704	31,218	15,615	30,914	6,488	940	1,658	3,090	1,298	1,737	4,937	
Kenya	234	792	1,214	1,950	1,143	41	55	99	46	120	46			
Kiribati					0		31	0	0	0	0	0		
Korea, Republic of	116,345	204,570	194,417	283,116	249,489	675,897	1,039,888	903,894	919,364	1,038,932	1,950,462	1,639,407	1,983,016	
Kuwait	866	865	1,726	1,756		1,410	3,716	7,160						
Kyrgyzstan	42	45	2	0	0	1	0	0	4	10	5	19		
Latvia	712	105	12	25	773	800	255	236	160	107	97	135	312	
Lebanon	1,512	1,684	1,579	1,878	1,471	2,228	2,910	3,645	3,636	4,143	6,290	6,185	5,548	
Libya							160	658	61	284				
Lithuania	7,651	3,448	6,859	1,884	1,670	613	1,640	2,468	1,926	1,381	2,820	2,895	2,734	
Luxembourg	86	24	115	43	5	5	31	920	857	869	626	917	2,484	
Macao, China	50	62	313	135	40	62	589	525	539	775		747		
Macedonia, The Former Yugoslav Republic of	889	2,735	1,472	70	106	231	125		121	423	385	352	647	
Madagascar	586	396	365	694	750	1,033	1,244	939	2,210	223	445	51	91	
Malawi	1	5	15	0	2	0	0	8	2	3	0	0	464	
Malaysia	18,248	9,509	5,463	8,287	5,299	7,850	6,958	9,562	11,603	11,662	7,816	25,237	75,373	
Maldives	0	0	0	0	0	0	0	5	0	0	0	0	0	
Mali	2,177	1,299	2,543	1,571	4,573	6,276	2,432	3,573		5,035	2,757	1,279		
Malta	103	165	147	151	51	125	142	176	146	90	207	169	70	
Mauritania	0	0	201	447	111		579	988	372	74	57	50		
Mauritius	844	1,033	876	614	577	819	742	788	961	811	1,123	1,523	1,259	
Mayotte	3	28	116	96	3	1	9	290	127					
Mexico	141,188	152,230	131,080	282,124	445,359	470,175	382,986	426,238	355,367	337,136	582,354	439,973	585,353	
Mongolia	0		0	0	4	0	0						536	
Montenegro						69	43	49	63	95	190	306	206	
Montserrat	1	1	5	42	56	62	64	71	114			0	0	
Morocco	1,685	637	854	2,036	2,475	7,141	35,381	32,509	8,944	41,199	24,879	28,472	12,918	
Mozambique	14	0	12	1	5	4	415	940	0	19	0	86	9	
Myanmar										252				
Namibia	0	3,974	0	167	16	2	26	534	0	0	0	29	49,904	
