List of importing markets for a product exported by Philippines Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	32,150,203	35,208,159	36,231,205	39,680,520	41,254,683	47,410,117	50,465,711	49,077,540	38,435,802	51,497,515	48,042,129	51,995,224	53,978,268	
Afghanistan	30	89	343	99	32	174	158	328	113	4,897	3,537	2,443	3,441	
Africa not elsewhere specified	30	282	82	32	45	40	0	0	4	0	32	0	0	
Albania	1	45	243	1	0	0	0	0	48	334	290	166	66	
Algeria	2,912	2,798	2,544	1,677	681	809	2,166	1,434	1,528	1,288	2,291	2,616	4,060	
Andorra	681	301	323	272	255	1,993	10,886	4,815	10,053	6,090	146	0	416	
Angola	596	344	403	348	478	201	997	1,624	3,528	404	675	592	671	
Anguilla	0	0	0	0	0	0	0	2	0	1	0	1	0	
Antigua and Barbuda	717	90	213	31	32	6	173	5	619	24	89	575	55	
Area Nes	0	0	0	0	0	0	0	0	0	0	0	4	0	
Argentina	6,293	776	4,380	6,294	11,199	25,198	28,329	31,014	42,978	36,777	64,433	50,074	50,120	
Armenia	0	4	0	0	0	5	44	105	47	38	56	19	45	
Aruba	807	830	312	546	412	182	119	125	150	217	240	255	254	
Australia	225,244	356,279	406,801	481,737	455,055	488,213	528,414	470,770	296,290	349,626	384,526	387,253	807,222	
Austria	37,799	43,069	24,089	21,056	21,032	53,490	69,188	49,809	38,295	77,046	97,729	98,166	138,842	
Azerbaijan	0	51	131	447	544	178	29	29	23	844	586	111	113	
Bahamas	770	2,495	909	1,475	763	961	1,641	2,149	1,961	1,292	1,636	1,542	2,967	
Bahrain	3,303	2,755	2,520	2,810	3,259	5,479	16,446	24,190	7,621	4,843	7,186	5,015	6,361	
Bangladesh	7,963	6,232	10,202	6,649	19,066	31,359	22,820	69,956	29,090	50,572	42,972	26,358	7,935	
Barbados	5,099	5,253	5,440	1,344	1,110	236	242	143	123	101	154	129	186	
Belarus	0	21	0	0	0	4	0	0	0	0	126	148	801	
Belgium	195,838	267,989	276,529	264,685	270,086	734,010	666,285	639,842	492,514	347,977	386,202	302,081	227,161	
Belize	3,379	1,022	2,247	69	69	83	21	0	106	326	88	169	527	
Benin	545	533	775	46	371	562	1,190	187	0	36	40	85	43	
Bermuda	1,592	382	723	199	984	71	113	307	137	1,309	203	282	101	
Bhutan	425	855	1,570	1,149	11	59	0	0	0	9	4	0	386	
Bolivia	135	75	31	318	58	31	664	551	158	502	349	1,372	336	
