List of importing markets for a product exported by Philippines (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	41,782,969	45,962,413	51,718,265	58,125,996	63,812,564	71,618,540	78,480,886	73,924,870	54,617,719	74,248,521	76,452,743	76,066,690	66,750,111	
Afghanistan								0	0	44	0	0		
Albania	0	484	49	255	303	305	352	280	405	328	525	249	354	
Algeria	2,000	5,368	2,263	4,651	5,284	5,778	7,264	11,541	5,794	8,237	17,670	12,737	17,815	
Andorra	1,010	1,202	1,872	2,637										
Antigua and Barbuda					51		361		245	81	130	74	97	
Argentina	27,084	7,922	14,049	20,682	12,370	41,413	47,267	54,386	57,309	58,781	78,834	88,425	104,328	
Armenia	0	0	0	12	0	445	1,048	1,926	1,805	2,720	2,179	2,267	1,875	
Aruba					306				0	0	0	0		
Australia	262,467	420,076	526,506	541,211	560,416	570,493	661,362	604,898	371,354	419,769	450,303	505,354	686,528	
Austria	64,473	62,277	175,234	189,110	89,276	140,673	181,475	206,902	90,428	140,085	151,430	94,775	95,949	
Azerbaijan	0	55	47	88	128	321	400	70	124	345	380	221		
Bahamas	52	1,950	64	12	8	0	0	0	0	0	7	45		
Bahrain	9,650	8,851	9,300	8,843	10,380	9,380	12,945	20,000	20,569	19,306	21,264			
Bangladesh	6,826	5,134	18,122	13,918	30,873	41,542	33,642							
Barbados	810	892	1,505	655	1,135	1,078	568	1,286	811	355	735	570	557	
Belarus	932	840	1,257	2,084	2,256	3,418	5,147	7,661	5,725	7,985	8,457	16,179	21,413	
Belgium	192,091	236,560	230,214	279,620	371,289	498,201	406,695	441,456	278,024	238,207	332,576	210,534	192,794	
Belize	2	10	4	3	38	9	4	3	10	47	122	333	78	
Benin	2	0	0	0	0	0	0	26	23	0	13	10	358	
Bermuda												346	625	
Bhutan					20	20	5	102	115	152	0			
Bolivia	576	404	428	450	899	436	977	1,829	1,692	3,440	1,412	2,578		
Bosnia and Herzegovina			213	918	1,666	1,054	2,049	2,682	2,454	2,577	1,733	1,858	1,711	
Botswana	0	10	60	33	5	10	76	115	16	522	1,728	178	8	
Brazil	120,651	186,222	241,462	209,003	283,226	343,065	335,965	497,341	294,405	330,131	298,015	309,708	330,200	
Brunei Darussalam	3,323	2,443	2,563	4,141		5,640				6,799	9,411	10,801	12,548	
