List of importing markets for a product exported by Poland Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	35,367,141	40,253,902	52,755,502	73,778,928	89,378,069	109,584,113	138,784,983	171,859,898	136,641,305	157,064,948	188,105,090	179,603,599	199,657,622	
Afghanistan	2,934	1,536	3,129	2,585	5,244	20,000	3,403	6,027	10,324	11,076	16,040	33,226	30,974	
Africa not elsewhere specified	0	0	0	45	288	0	286	1,589	452	397	1,095	461	899	
Albania	0	530	2,978	5,145	6,174	7,057	15,989	21,209	26,355	25,759	27,478	44,492	53,854	
Algeria	106,114	72,320	85,023	84,437	119,576	115,827	202,812	250,563	216,203	232,350	353,554	320,310	349,174	
America not elsewhere specified	0	0	0	0	0	0	0	0	0	0	0	0	0	
Andorra	398	435	0	130	374	193	234	1,347	2,449	2,872	1,229	1,509	1,675	
Angola	2,045	837	1,460	1,180	1,417	3,062	5,747	11,281	27,165	11,072	12,377	17,454	36,599	
Anguilla	0	0	0	52	0	228	309	396	33	22	10	71	69	
Antigua and Barbuda	55,349	29,376	33,435	56,930	14,940	6,132	84,843	81,331	178,719	72,328	95,028	109,979	153,252	
Area Nes	4,487	1,172	3,512	57,786	89,310	85,263	103,167	108,810	83,571	49,646	62,969	110,357	145,350	
Argentina	15,360	9,122	23,151	33,627	76,856	62,913	67,416	106,279	47,350	82,843	101,557	114,979	143,647	
Armenia	1,758	1,984	2,841	6,258	7,464	8,226	10,172	23,385	19,551	18,804	22,718	32,099	39,254	
Aruba	0	0	0	252	871	486	1,134	302	4,795	1,261	691	375	231	
Australia	17,024	31,267	28,206	174,384	179,547	139,040	201,514	297,474	238,232	284,426	374,637	470,372	515,523	
Austria	716,260	734,922	894,065	1,456,128	1,863,287	2,008,199	2,609,325	3,366,618	2,591,376	3,010,611	3,614,728	3,389,337	3,528,452	
Azerbaijan	23,782	21,665	26,712	45,337	52,533	69,896	69,361	104,925	82,892	134,277	126,300	122,826	133,384	
Bahamas	21,499	8,596	42,815	42,297	238,584	209,840	288,266	318,836	161,204	159,499	286,076	207,833	301,254	
Bahrain	849	1,017	1,263	7,598	3,092	7,500	15,264	19,729	19,121	14,421	11,146	19,313	12,495	
Bangladesh	3,212	2,626	2,431	1,283	6,455	5,209	3,094	7,044	10,854	21,736	26,585	22,225	34,161	
Barbados	166	16,142	103	139	109	256	135	89	185	200	405	661	15,387	
Belarus	252,730	237,982	372,137	565,157	722,074	977,425	1,121,485	1,602,385	1,213,793	1,605,218	1,856,240	2,014,938	2,431,174	
Belgium	1,097,212	1,311,911	1,710,995	2,358,287	2,663,163	3,025,751	3,721,586	4,382,766	3,291,527	3,725,913	4,364,167	3,691,654	4,388,754	
Belize	92	735	598	1,226	6,699	1,708	3,272	3,249	2,673	4,119	9,011	11,890	21,247	
Benin	393	707	907	1,593	729	1,204	2,078	6,180	18,708	16,712	27,218	36,283	44,123	
Bermuda	26,943	47,309	7,411	290	65,996	464	652	94,644	16	267	100,064	15,283	189	
Bhutan	0	0	0	311	20	1	0	45	98	25	862	283	118	
Bolivia	211	107	435	500	266	77	1,197	529	667	873	1,381	2,905	4,628	
Bosnia and Herzegovina	38,445	69,964	83,402	84,302	120,084	66,668	89,787	113,206	120,034	112,260	152,097	218,414	206,844	
Botswana	1,762	316	443	57	129	269	444	1,280	1,233	542	978	317	1,228	
Brazil	86,252	98,048	96,588	112,594	133,551	175,396	274,935	465,006	200,311	368,135	376,064	478,693	578,944	
British Indian Ocean Territories	96	194	156	167	46	237	332	160	0	0	0	0	1	
British Virgin Islands	304	900	554	2,592	11,257	19,324	40,368	16,365	17,083	38,127	13,808	23,886	16,162	
Brunei Darussalam	0	65	0	20	4	504	766	13	900	220	895	16	6,802	
Bulgaria	80,784	72,501	112,083	177,630	256,728	399,143	541,047	754,845	481,596	526,824	591,315	642,020	961,999	
Burkina Faso	820	426	367	507	601	1,477	381	386	2,028	2,305	1,967	3,094	1,127	
Burundi	0	0	0	21	7	4	11	63	1,212	35	23	5	202	
Cabo Verde	0	343	0	8	11	26	185	936	78	3,980	698	1,134	943	
Cambodia	0	995	2,146	10,066	9,343	11,631	3,707	382	6,878	8,574	5,475	3,118	1,865	
Cameroon	781	1,556	2,882	4,241	7,402	3,957	8,310	7,580	6,862	6,904	15,443	13,035	15,170	
Canada	160,056	170,879	221,927	263,991	489,030	431,268	514,178	660,112	631,726	934,120	792,910	940,264	1,008,013	
Cayman Islands	2,246	189	145	68	3,377	326	36	4,219	5,927	36,075	7,956	40,666	18,399	
Central African Republic	0	0	55	18	62	129	32	0	8	403	370	10	134	
Chad	696	209	517	551	366	583	617	258	849	2,607	1,366	2,124	2,455	
Chile	5,452	17,755	14,451	15,773	31,421	37,971	45,331	37,059	24,052	54,903	48,227	70,826	97,116	
China	176,170	202,496	248,044	555,779	590,613	762,595	986,458	1,278,423	1,469,610	1,627,488	1,860,864	1,748,875	2,119,905	
Christmas Islands	0	381	63	168	5	161	0	0	0	0	0	0	0	
Cocos (Keeling) Islands	0	0	345	164	19	0	0	0	0	0	13	0	0	
Colombia	6,360	8,176	15,595	19,687	18,165	25,288	32,503	31,357	20,492	21,769	52,867	46,502	49,009	
Comoros	0	0	0	0	0	0	68	79	3	210	265	501	165	
Congo	2,259	64	54	745	2,667	1,358	4,822	3,576	10,461	6,697	10,037	12,606	24,556	
Cook Islands	0	0	0	368	17	0	1,183	0	0	0	1,780	0	1,463	
Costa Rica	2,172	2,066	2,126	5,205	5,666	4,146	5,318	4,720	4,759	6,462	8,137	8,442	10,756	
Côte d'Ivoire	2,291	4,110	2,943	7,122	11,853	11,070	22,238	17,641	8,324	26,831	11,703	10,864	20,726	
Croatia	97,118	114,022	161,565	229,261	279,643	338,163	474,993	534,017	394,256	349,486	446,857	393,341	428,055	
Cuba	2,582	8,702	16,083	7,676	14,130	12,193	18,430	8,771	12,200	11,678	14,059	22,059	16,793	
Cyprus	51,191	94,214	53,760	67,682	31,377	46,195	94,461	147,482	221,826	101,482	316,031	256,434	252,758	
Czech Republic	1,396,586	1,604,693	2,136,280	3,188,535	4,076,858	6,066,938	7,683,774	9,803,720	8,005,680	9,319,733	11,674,788	11,140,720	12,208,249	
Democratic Republic of the Congo	51	236	406	1,052	342	345	762	1,528	2,130	1,123	3,203	17,944	7,309	
Denmark	913,670	1,114,537	1,247,497	1,649,047	1,878,781	2,155,870	2,659,149	3,333,952	2,533,062	2,893,373	3,412,322	3,005,414	3,210,746	
Djibouti	6,032	4,907	7,133	9,448	871	1,050	1,083	1,581	1,388	1,072	1,199	2,190	3,994	
Dominica	102	0	4,577	5,460	5	415	1,573	3,261	214	561	438	1,940	1,394	
Dominican Republic	3,072	5,185	9,825	16,995	24,143	5,485	22,959	8,025	1,980	3,326	9,271	18,709	9,823	
Ecuador	2,710	4,587	2,993	4,503	4,722	6,077	5,316	6,212	7,968	11,394	13,905	17,152	17,346	
Egypt	91,334	86,275	66,742	57,235	125,894	164,866	149,930	224,173	275,559	233,254	195,788	203,364	275,913	
El Salvador	597	880	841	592	444	1,503	1,818	1,696	703	610	1,266	996	2,190	
Equatorial Guinea	0	0	0	159	188	2,649	550	1,533	3,104	3,347	2,170	1,573	1,796	
Eritrea	1,117	387	566	568	1,179	78	213	154	79	0	10	42	0	
Estonia	91,536	108,050	155,926	258,943	409,128	561,927	793,157	910,181	589,204	717,047	1,046,025	1,086,530	1,059,238	
Ethiopia	2,626	1,555	2,655	4,470	3,882	5,079	3,553	2,346	5,352	5,339	3,155	10,813	17,509	
Europe Othr. Nes	0	0	0	17,751	33,565	21,693	39,302	58,066	40,399	1,759	30,411	29,979	4,053	
Falkland Islands (Malvinas)	213	103	0	31	0	69	3	0	0	347	0	19	0	
Faroe Islands	1,371	0	82	12,609	232	2,214	4,034	426	416	4,646	5,160	1,775	4,323	
Fiji	97	0	0	76	40	158	45	55	33	64	251	101	51	
Finland	287,729	272,338	343,566	584,601	693,160	741,265	994,784	1,478,727	1,111,665	1,127,817	1,406,917	1,340,350	1,515,193	
