List of importing markets for a product exported by Portugal Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	24,086,406	25,825,580	31,833,581	44,354,989	38,085,645	43,358,437	51,516,958	55,940,691	43,396,539	48,743,552	58,932,195	58,378,986	62,857,743	
Afghanistan	104	15	310	75	139	127	0	209	14	139	496	498	903	
Africa not elsewhere specified	2,829	2,346	1,761	1,106	4,307	25,071	11,459	10,857	1,549	1,954	15,920	12,044	21,931	
Albania	661	999	1,494	1,021	2,632	2,102	1,708	3,188	3,239	2,173	2,627	2,778	3,948	
Algeria	41,355	38,064	47,362	52,135	68,251	90,039	105,549	251,966	259,125	278,749	498,853	550,092	703,264	
Andorra	2,632	2,831	3,090	4,085	4,324	3,986	4,629	7,876	5,795	6,588	6,387	5,478	5,046	
Angola	450,631	536,888	738,560	833,541	995,963	1,518,506	2,302,117	3,339,145	3,126,669	2,532,932	3,245,086	3,855,416	4,133,905	
Anguilla	34	9	162	137	162	447	1,485	150	45	0	2	4	57	
Antigua and Barbuda	505	131	247	693	3,073	29,379	105,765	61,850	61,947	29,236	647	961	177	
Area Nes	35,128	58,331	42,283	7,677,667	186,139	189,824	229,702	233,044	130,963	106,591	143,082	138,962	143,941	
Argentina	49,108	24,526	29,284	36,613	44,714	61,471	81,137	50,670	41,792	68,649	62,911	68,267	118,976	
Armenia	332	721	1,005	829	274	408	778	2,265	881	2,302	3,143	4,349	4,699	
Aruba	65	156	120	54	65	78	86	134	135	226	203	133	302	
Australia	86,138	117,527	133,298	131,776	100,300	80,573	81,413	75,074	57,892	89,219	98,758	101,554	119,641	
Austria	165,351	160,614	192,925	212,282	204,793	220,801	250,587	261,264	257,716	271,739	320,617	327,745	341,071	
Azerbaijan	915	987	524	1,122	1,115	4,468	536	1,646	2,508	1,154	2,189	3,488	3,215	
Bahamas	511	377	393	768	461	5,478	392	1,526	133	193	174	683	863	
Bahrain	1,627	5,846	4,545	5,402	2,366	3,818	6,040	6,417	3,442	4,283	6,340	5,434	4,805	
Bangladesh	1,332	873	1,070	2,104	873	3,050	1,241	2,219	2,060	10,681	7,256	8,984	12,923	
Barbados	861	336	719	1,275	336	174	437	718	1,141	2,374	1,825	1,266	1,179	
Belarus	1,485	650	925	2,513	1,612	1,762	3,954	3,195	2,396	5,200	6,708	7,315	14,456	
Belgium	1,280,033	1,112,711	1,410,125	1,542,763	1,402,060	1,338,589	1,250,339	1,310,871	1,045,286	1,382,150	1,849,314	1,822,207	1,791,279	
Belize	196	469	81	152	0	8	102	24	38	14	28	29	370	
Benin	1,193	1,096	1,805	1,400	1,072	651	1,178	6,356	9,193	9,790	17,956	7,670	12,208	
Bermuda	933	560	589	583	682	1,238	1,178	957	865	1,584	2,657	702	797	
Bhutan	0	12	20	42	0	12	0	0	0	0	0	0	1	
Bolivia	705	578	128	174	414	1,011	2,608	2,247	2,410	1,796	2,520	2,770	8,075	
Bosnia and Herzegovina	557	981	3,046	387	3,204	7,829	14,647	14,070	1,335	4,819	2,539	2,174	1,473	
Botswana	13,853	16,452	14,041	5,907	2,260	2,097	15,483	9,897	8,078	7,550	1,094	174	866	
Brazil	201,115	154,685	146,202	191,857	220,391	319,257	351,565	468,180	401,254	575,945	811,040	873,531	1,026,212	
British Indian Ocean Territories	0	0	82	215	92	73	0	6	0	0	0	0	0	
British Virgin Islands	32	167	348	1,107	399	2,446	1,584	3,114	2,976	981	1,620	692	118	
Brunei Darussalam	47	46	28	31	85	0	48	79	83	17	281	289	425	
Bulgaria	16,698	18,169	21,565	25,985	19,743	17,288	23,892	35,864	22,978	81,389	70,869	83,069	69,855	
Burkina Faso	863	1,076	1,518	1,877	1,731	1,216	2,191	1,355	7,993	4,044	6,317	7,162	10,679	
Burundi	205	73	1,223	381	674	193	141	360	253	510	310	2,444	549	
Cabo Verde	120,466	139,697	154,976	173,472	184,244	237,860	311,306	380,908	310,053	348,930	354,919	278,728	269,873	
Cambodia	605	251	392	261	329	202	167	147	217	45	262	904	995	
Cameroon	1,981	1,509	4,296	2,753	2,886	9,755	5,201	11,536	23,943	13,088	15,676	20,364	32,711	
Canada	131,828	131,996	188,810	220,985	170,249	181,534	176,529	252,505	165,340	230,863	280,040	237,129	283,268	
Cayman Islands	17	98	14	203	34	60	74	397	90	30	64	41	51	
Central African Republic	134	172	106	249	39	357	90	185	574	37	120	170	78	
Chad	1,132	10,566	4,263	38,975	19,335	429	1,122	105	267	1,623	1,092	2,313	4,896	
Chile	52,047	41,984	50,348	61,227	63,916	69,827	75,326	90,748	61,660	120,656	110,661	111,051	102,616	
China	53,802	75,979	169,608	125,556	209,563	264,875	235,217	256,582	273,311	306,588	549,534	1,001,356	875,180	
Christmas Islands	168	256	295	8	441	5	0	1	0	5	0	0	0	
Cocos (Keeling) Islands	168	14	3	22	99	100	0	111	0	0	0	0	0	
Colombia	6,875	6,480	6,044	4,648	4,944	8,128	9,044	22,057	9,052	17,280	26,039	36,234	53,889	
Comoros	216	45	31	411	36	57	10	0	13	8	19	42	493	
Congo	2,979	7,457	3,652	3,947	4,982	5,345	6,182	12,546	6,326	13,851	37,260	21,389	44,264	
Cook Islands	217	104	22	26	2	20	3,427	0	0	0	0	0	0	
Costa Rica	4,352	3,263	6,267	5,121	1,728	3,453	3,204	3,062	11,394	10,532	9,540	5,161	5,656	
Côte d'Ivoire	4,090	5,950	5,656	6,019	5,898	7,020	7,581	7,909	14,712	31,634	21,660	18,277	53,342	
Croatia	3,918	5,744	7,234	10,391	9,066	14,241	15,215	22,856	12,599	14,612	21,332	22,828	18,010	
Cuba	5,510	4,252	2,958	3,755	4,906	7,008	12,102	24,899	15,614	23,287	30,895	57,084	46,423	
Cyprus	13,296	13,663	17,459	19,094	19,285	23,214	34,815	48,208	37,195	59,955	44,957	31,405	32,576	
Czech Republic	52,747	55,803	82,134	91,393	105,106	156,232	190,588	266,558	284,532	320,984	384,480	419,526	380,661	
Democratic Republic of the Congo	809	3,637	1,554	4,127	4,729	9,443	9,521	9,259	5,620	8,615	12,949	18,433	16,399	
Denmark	259,804	258,121	281,742	294,362	295,232	291,308	340,491	366,185	315,839	335,923	365,159	397,358	418,594	
Djibouti	40	174	118	139	137	347	657	814	1,122	4,325	1,661	1,174	1,665	
Dominica	156	176	99	24	50	53	168	78	213	135	10	0	4	
Dominican Republic	4,110	6,012	3,943	2,570	2,586	4,384	4,208	6,524	7,350	11,592	10,031	19,373	17,188	
Ecuador	1,447	3,420	2,449	2,708	2,859	3,970	4,256	2,998	6,662	8,714	14,519	17,680	28,566	
Egypt	23,404	23,532	22,644	21,415	41,399	30,767	40,096	44,024	52,916	98,726	98,818	112,426	86,993	
El Salvador	4,128	2,530	1,666	2,199	4,373	9,601	10,225	6,402	5,314	8,331	9,446	9,156	9,336	
Equatorial Guinea	29	581	696	3,109	1,722	12,952	16,311	24,844	19,460	40,098	57,216	54,373	88,778	
Eritrea	30	69	101	0	274	0	133	1,927	319	15	1	5	36	
Estonia	5,456	6,095	7,633	10,029	9,514	12,207	20,878	20,600	13,725	18,075	18,904	29,853	39,222	
Ethiopia	336	711	3,797	337	1,155	994	1,878	12,413	4,147	2,915	3,697	2,439	7,750	
Europe Othr. Nes	757	160	0	0	1,729,800	1,639,183	2,359,616	2,847,577	458,265	350,099	196,493	452	2	
Falkland Islands (Malvinas)	39	1	8	191	6	29	58	18	0	0	0	0	0	
Faroe Islands	1,383	1,730	1,904	2,412	3,741	2,745	2,795	3,067	1,487	1,776	2,640	2,425	2,944	
Fiji	90	139	20	16	1	7	238	4	13	76	34	41	8	
Finland	116,995	114,279	144,718	248,282	269,333	290,872	284,542	339,998	183,071	308,326	327,054	292,349	288,735	
France	3,062,904	3,493,543	4,195,980	5,072,479	4,949,713	5,175,955	6,160,346	6,098,231	5,236,759	5,728,570	7,065,362	6,906,722	7,291,471	
French Polynesia	179	142	383	668	815	1,628	1,635	736	828	755	1,470	1,035	2,462	
French South Antarctic Territories	0	0	19	22	0	7	21	25	2	72	18	2	0	
Gabon	2,494	4,334	20,233	47,489	2,045	2,646	2,266	6,531	2,951	8,814	16,409	8,775	17,673	
Gambia	1,041	416	507	605	980	2,510	1,363	2,730	1,848	3,569	1,737	8,448	4,709	
Georgia	2,373	3,654	1,073	7,401	6,894	1,511	10,454	8,908	2,631	4,060	5,982	7,374	25,526	
Germany	4,573,947	4,565,464	4,704,371	4,909,843	4,438,720	5,532,639	6,446,741	6,878,584	5,643,936	6,262,304	7,969,596	7,172,339	7,319,487	
Ghana	4,126	4,023	4,336	3,487	4,402	11,371	8,977	11,518	8,872	10,632	50,310	15,379	29,843	
Gibraltar	1,352	20,004	15,731	3,952	22,410	34,788	10,536	41,476	119,579	273,154	353,218	401,309	454,727	
Greece	90,670	94,636	138,126	157,162	164,793	153,434	165,119	188,385	151,554	138,732	182,707	352,002	255,702	
Greenland	66	2	8	34	0	52	95	561	436	578	719	1,026	392	
Grenada	18	11	17	8	47	40	403	14	0	5	9	5	26	
Guatemala	3,635	3,136	2,429	2,301	3,492	2,631	2,681	1,782	1,094	2,777	4,082	4,208	7,718	
Guinea	1,356	658	1,944	1,045	7,777	6,462	5,356	6,814	12,568	15,154	21,033	12,626	10,476	
Guinea-Bissau	20,386	19,474	19,230	22,132	29,370	33,992	47,331	59,439	46,693	56,802	89,609	91,632	93,315	
Guyana	28	16	38	37	48	108	190	137	102	88	451	225	299	
Haiti	526	587	1,241	607	363	204	65	54	1,414	423	717	579	557	
Honduras	676	730	923	1,359	2,355	2,024	616	1,057	838	1,608	3,071	2,619	4,198	
Hong Kong, China	77,161	65,366	60,713	74,869	124,324	114,946	74,102	84,740	101,419	149,957	155,482	158,957	174,400	
Hungary	86,868	84,788	106,901	106,144	129,742	173,956	185,872	196,390	124,688	137,992	166,390	198,654	235,923	
Iceland	15,082	9,681	8,540	6,094	9,412	11,745	8,255	5,714	4,091	4,700	5,349	10,020	17,239	
India	14,324	15,616	20,652	22,809	31,636	36,006	40,792	61,492	56,353	80,453	125,089	122,092	155,475	
Indonesia	2,789	4,933	4,560	10,022	7,738	7,488	4,853	5,901	7,666	13,249	15,237	20,088	17,331	
Iran (Islamic Republic of)	9,998	10,142	23,659	21,480	20,730	17,294	16,963	32,427	37,273	41,276	48,809	17,025	9,827	
Iraq	925	337	356	2,027	10,652	573	285	2,542	995	1,606	5,506	11,288	16,071	
Ireland	122,229	140,012	169,094	214,868	197,860	210,494	238,909	324,365	153,948	139,025	169,772	172,247	194,328	
