List of importing markets for a product exported by Qatar (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	11,672,595	10,828,235	13,914,683	18,289,359	25,594,767	34,323,066	40,760,106	67,335,880	45,921,169	67,401,199	109,135,772	125,632,508	127,143,979	
Albania	0	7	0	0	0	0	0	0	421	723	3,749	1,485	3,025	
Algeria	0	1,347	1,813	12,140	10,101	7,842	11,517	12,313	6,910	19,690	29,218	38,096	49,559	
Andorra	0	1	1	0										
Antigua and Barbuda					0		0		0	0	0	0	0	
Argentina	5,968	0	0	1	8	15	24,569	5,086	189	75,284	290,873	448,592	1,050,151	
Armenia	0	0	0	0	5	59	37	426	923	1,123	1,799	772	551	
Aruba					2				0	0	0	0		
Australia	199,088	107,738	109,345	151,934	235,822	232,687	199,078	340,752	350,746	445,943	477,595	674,763	631,766	
Austria	129	68	78	239	3,579	757	936	2,025	1,637	3,358	5,307	4,131	4,965	
Azerbaijan	0	0	1	8	61	82	144	191	6	72	12,042	1,312		
Bahrain	10,459	17,083	24,139	26,565	21,344	39,471	39,462	88,989	45,759	58,123	87,946			
Bangladesh	5,172	2,317	9,367	15,195	13,664	30,776	34,191							
Barbados	0	1	0	0	2	0	0	0	0	0	0	16	1	
Belarus	0	0	0	0	43	69	300	804	456	396	644	2,699	2,578	
Belgium	5,204	19,082	12,999	40,602	120,663	148,392	733,651	1,495,961	1,665,781	1,736,445	2,216,112	1,724,477	1,758,371	
Belize	0	0	0	0	0	0	0	0	0	0	0	3	0	
Benin	0	0	0	1,574	0	0	0	0	124	0	2	63	503	
Bermuda												4	0	
Bhutan					998	1,180	661	2,294	1,028	1,576	1,918			
Bolivia	5	0	0	2	0	0	0	0	5	131	423	133		
Bosnia and Herzegovina			0	17	2	1	63	158	100	79	10	636	1,143	
Botswana	0	0	0	227	0	154	18	161	209	1	0	0	80	
Brazil	0	0	7,287	14	3,263	7,895	63,727	144,397	25,483	219,756	238,433	748,358	581,028	
Brunei Darussalam	0	15	5	2		8				43	150	2	5	
Bulgaria	3	0	0	2	41	128	1,069	550	40	230	502	2,103	4,795	
Burkina Faso	0	85	74	61	205		237	325	408	416	376	677		
Burundi	1	16	0	35	39	25	6	0	0	270	40	5	1	
Cabo Verde	0	0	0	1	2	0	33		0	0	0	74	82	
Cambodia	0	0	2	0	0	0	9	8	0	19	487	457		
Cameroon	0	112	181	554	788	789	644	1,207	889	2,634	1,845	2,469		
Canada	9,258	309	5,487	27,578	38,090	47,599	287	1,303	46,837	97,702	402,090	172,725	178,531	
Central African Republic	0	0	0			0	0	0	0	0	0	0	0	
Chile	2,866	559	713	308	1,328	2,173	22,273	59,076	27,055	92,085	303,738	197	51,844	
China	377,048	174,006	293,078	334,259	472,719	561,981	588,003	1,311,626	1,376,154	2,455,837	4,694,309	7,278,103	8,434,530	
Colombia	259	69	328	89	565	1,113	6,038	1,884	312	2,054	4,116	6,437	5,592	
Comoros	0	0	0	0	10	0	0	0	0					
Congo							132	125	99	91	144	98	208	
Costa Rica	100	44	0	57	57	5	0	11	1,853	225	220	1,350	1,641	
Côte d'Ivoire	0	1,422	2,515	1,463	3,221	3,659	3,871	4,690	3,501	13,377	13,282	16,562		
Croatia	0	4	6	34	77	195	224	8,496	307	433	1,760	5,085	5,030	
Cuba	0	0	0	0	0	232								
Cyprus	421	443	926	1,736	1,208	468	378	316	358	15,333	489	14,304	1,490	
Czech Republic	0	17	91	922	275	457	5,012	193	102	693	787	2,293	3,170	
Denmark	226	2,614	463	1,131	4,284	731	3,958	66,662	13,503	2,416	269,521	262,944	474,043	
Djibouti									0					
Dominica	0	0	0	0	1	0	0	0	0	0	1	0		
Dominican Republic	423	32	117	99	32	40	0	3	156	1,081	2,032	96,920	1,024	
Ecuador	15	71	8	97	112	34,372	28,569	12,712	248	539	1,972	2,504	2,972	
Egypt	12,165	4,454	5,571	8,670	10,813	8,685	11,983	56,203	38,691	59,233	110,349	88,651	41,131	
El Salvador	0	0	1	0	0	58	0	0	0	0	793	1,619	6,860	
Eritrea			200											
Estonia	0	0	0	0	1	0	0	0	0	669	5,483	42	0	
Ethiopia	1,137	5,688	6,138	1,669	7,995	7,946	25,642	22,768	35,754	49,553	14,614	3,788		
Faroe Islands	0	1	6	2	3	1	0	1	0					
Fiji		0	0	0	74	54	0	7	236	485	96	115		
Finland	3	1	3	92	596	927	1,686	3,473	2,579	46,909	18,367	14,472	25,405	
France	22,061	15,962	31,564	13,019	47,720	223,199	50,203	189,635	110,592	1,010,881	1,857,776	1,005,853	1,125,512	
French Polynesia	8	0	0	0	0	0	0	0	0	0	0	0	0	
Gabon	38	0	0	99	0	119	11	24	241					
Gambia	0	0	0	0	0	0	0	0	0	42	22			
Georgia	0	0	0	0	0	0	10	63	0	1	0	192	315	
Germany	3,022	14,034	26,784	37,719	31,732	18,090	29,225	46,994	104,842	155,553	116,768	869,398	305,291	
Ghana	5		27		419	377	944	2,053	1,678	4,150	4,734	5,199		
Greece	14	3,474	16,237	68,476	23,669	27,594	9,877	14,943	19,227	43,343	105,331	60,907	29,137	
Guatemala	0	0	0	0	0	0	0	0	1	0	617	927	319	
Guinea	184	217		1	13	117	377	38		64	378	993		
Guyana	0	0	0	0	0	0	2	0	0	0	1	2,825	0	
Honduras	0	12	0	86	29	0	15	0	0	160	328	529	92	
Hong Kong, China	9,629	11,331	21,732	25,510	21,663	27,632	19,648	23,413	13,621	21,604	37,577	150,995		
Hungary	1	23	69	51	54	417	393	1,154	944	312	7,603	9,038	932	
Iceland	40	25	8	0	0	0	0	0	0	0	7,840	12,321	1	
India	83,963	100,446	158,834	531,683	854,501	1,962,463	2,062,722	3,406,565	4,146,324	6,141,784	11,258,453	16,385,926	14,606,452	
Indonesia	22,006	8,843	10,129	10,791	3,276	24,222	41,847	262,639	238,672	576,103	609,383	1,595,897	1,481,293	
Iran (Islamic Republic of)	4,332	20,436	22,404	65,580	26,953	30,749				25,481	4,655			
Ireland	337	5,791	1,759	960	4,186	1,195	6,699	6,906	4,067	5,514	1,750	7,928	8,190	
Israel	0	17	116	1,755	984	351	2,946	2,141	973	1,889	901	445	46,418	
Italy	4,525	13,244	29,296	52,491	56,495	47,589	60,612	62,557	484,480	2,068,544	2,882,260	3,042,612	2,255,807	
Jamaica	0	0	0	0	0	187	0	0	0	145	589	81		
Japan	6,026,531	5,253,416	6,529,008	7,880,883	10,670,331	14,797,669	16,922,173	26,580,834	15,897,411	21,747,700	30,082,973	35,890,933	36,945,298	
Jordan	15,673	12,157	11,043	5,489		6,242	8,147	9,451	9,524	14,240	22,627	36,542	37,012	
Kazakhstan	4	0	40	8	0	606	735	312	255	407	493	843	694	
Kenya	6,044	5,328	8,621	13,533	35,766	22,612	15,154	24,746	17,076	31,993	23,823			
Korea, Republic of	2,572,109	2,173,041	3,139,809	3,649,698	5,599,252	6,985,170	8,453,894	14,374,568	8,386,492	11,915,450	20,749,364	25,504,675	25,873,843	
Kuwait	15,147	15,939	11,990	12,167		14,617	31,280	50,219						
Kyrgyzstan	0	0	0	0	0	0	9	118	134	7	0	18		
Latvia	0	0	0	95	0	0	0	0	0	0	0	0	0	
Lebanon	8,472	2,195	12,510	21,932	19,497	11,004	16,145	17,218	13,600	23,358	33,042	24,451	32,230	
Libya							533	1,914	1,363	2,406				
Lithuania	1	0	1	0	0	104	483	1,137	973	525	941	711	1,046	
Luxembourg	0	0	10	0	2	69	46	8	5	1	2	8	186	
Macao, China	0	0	0	0	17	2	1	0	0	0		0		
Macedonia, The Former Yugoslav Republic of	0	0	1	3	3	0	596		724	509	504	544	1,229	
Madagascar	28,709	17,613	480	542	1,176	388	463	597	223	3,812	15,092	29,150	64,676	
Malawi	0	1,014	2,429	4,316	9,537	2	785	3,114	42	61	531	2,877	7,478	
Malaysia	47,641	16,655	14,087	20,211	54,008	79,855	23,663	268,824	327,726	237,986	1,512,506	1,336,487	1,026,967	
Maldives	9	0	0	2	8	42	92	1,072	82	586	1,364	621	130	
Mali	1	168	54	142	290	231	178	609		577	862	231		
Malta	0	0	0	0	0	160	61	340	153	530	765	667	157	
Mauritania	24	30	0	2	29		384	181	57	184	695	797		
Mauritius	0	0	0	0	117	7,808	128	100	330	648	757	2,399	2,495	
Mexico	19,118	134	93	381	2,630	35,371	157	44,435	32,713	166,258	245,184	221,140	301,730	
Mongolia	0		0	0	0	0	185						0	
Montenegro						0	0	0	0	0	63	196	42	
