List of importing markets for a product exported by Republic of Moldova Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	568,127	643,905	790,297	985,173	1,091,255	1,051,601	1,341,798	1,591,416	1,282,981	1,541,487	2,216,815	2,161,879	2,399,028	
Afghanistan	0	5	0	0	0	32	0	486	708	644	5,448	8,215	989	
Africa not elsewhere specified	0	0	0	0	0	0	0	0	0	0	0	0	0	
Albania	273	217	500	619	527	668	1,368	835	1,208	3,600	1,688	139	168	
Algeria	0	45	5	0	1	0	0	0	0	0	0	1,461	32	
Andorra	0	0	0	0	0	0	0	0	0	0	0	0	0	
Angola	198	99	569	2	487	46	263	107	2	52	69	53	58	
Anguilla	0	8	0	0	0	0	0	0	0	0	0	0	0	
Antigua and Barbuda	0	0	0	0	0	0	0	0	0	0	0	0	0	
Area Nes	0	0	0	0	109	0	0	28	0	56	159	90	0	
Argentina	0	0	0	0	0	0	0	0	21	720	0	9	0	
Armenia	417	821	2,194	2,741	2,244	1,922	1,613	3,520	1,260	1,396	2,887	1,384	1,112	
Australia	92	38	151	114	147	246	380	151	127	97	258	451	186	
Austria	8,501	7,225	11,321	10,033	11,685	13,145	30,882	12,461	7,833	10,788	12,507	17,914	20,257	
Azerbaijan	328	1,099	993	1,232	3,718	4,766	8,740	7,128	3,768	7,480	5,720	5,367	6,467	
Bahamas	0	0	0	0	0	62	0	0	16	0	0	0	2	
Bahrain	0	0	0	68	1	0	0	0	0	0	0	0	0	
Bangladesh	0	0	0	0	0	0	231	0	0	52	0	0	0	
Barbados	0	0	0	0	0	0	0	0	0	0	0	0	0	
Belarus	30,165	39,020	41,076	58,653	71,161	73,973	81,956	92,663	80,694	80,284	75,635	80,724	90,317	
Belgium	4,589	6,230	7,250	11,783	14,564	14,124	11,217	9,656	5,559	7,493	9,268	9,503	8,274	
Belize	0	0	0	0	2	108	0	11	0	4,066	22,098	7,837	6,814	
Benin	0	0	0	0	15	55	0	850	0	0	0	0	0	
Bermuda	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bhutan	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bolivia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bosnia and Herzegovina	126	550	405	115	303	47	476	464	1,233	657	583	1,033	938	
Botswana	0	0	0	0	0	0	0	0	2	0	0	0	0	
Brazil	0	0	30	46	299	2,088	1,386	5,918	261	128	232	130	32	
British Indian Ocean Territories	0	0	0	0	0	0	0	0	0	0	0	0	0	
British Virgin Islands	1,941	2,475	5	2,195	740	2	0	539	235	0	2,462	68	0	
Brunei Darussalam	0	0	5	0	0	0	0	0	0	0	0	0	0	
Bulgaria	3,669	3,390	6,193	5,499	7,639	14,107	27,274	22,336	13,915	18,828	33,826	33,847	32,905	
Burkina Faso	0	102	0	0	0	0	0	956	0	0	0	0	0	
Burundi	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cabo Verde	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cambodia	0	0	0	0	0	0	0	35	0	0	0	0	0	
Cameroon	0	0	0	0	0	0	0	938	26	0	0	0	0	
Canada	2,330	6,340	4,423	1,147	961	442	452	901	464	463	345	1,045	1,196	
Central African Republic	0	0	0	0	0	16	0	0	0	0	0	0	0	
Chad	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chile	0	0	0	0	53	191	12	0	0	0	0	75	0	
China	14	1,323	71	78	628	367	989	2,247	922	2,301	3,897	8,295	6,533	
Cocos (Keeling) Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Colombia	0	0	0	0	0	0	0	6	0	153	0	0	37	
Comoros	0	0	0	0	0	0	0	0	0	0	0	0	0	
Congo	0	3	60	73	256	119	7	124	128	170	192	71	317	
Cook Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Costa Rica	0	0	0	0	0	0	0	0	0	73	58	2	0	
Côte d'Ivoire	0	0	0	0	0	0	0	72	110	272	263	346	272	
Croatia	102	279	204	7	704	153	86	789	159	78	102	509	196	
Cuba	0	0	0	1	1	0	0	0	0	0	36	5	0	
Cyprus	532	647	915	783	1,281	1,292	1,842	747	720	129	1,438	4,506	8,805	
Czech Republic	564	893	1,524	1,867	4,432	5,601	5,933	5,333	5,214	7,788	11,286	16,913	25,643	
Democratic Republic of the Congo	0	0	0	70	0	0	0	22	0	0	0	0	45	
Denmark	76	18	146	457	24	49	154	157	181	297	600	943	1,052	
Djibouti	0	0	0	0	50	20	0	0	0	0	0	0	0	
Dominica	0	0	0	10	0	0	0	0	0	0	0	0	0	
Dominican Republic	0	0	0	0	0	0	0	0	0	0	93	0	0	
Ecuador	0	26	0	0	0	0	4	0	7	0	0	0	0	
Egypt	0	1	5	840	834	1,938	1,308	426	1,537	2,657	442	394	379	
El Salvador	0	0	0	0	0	0	0	0	0	0	0	0	0	
Equatorial Guinea	0	0	0	0	136	5	16	0	157	447	0	0	0	
Eritrea	0	5	6	1	16	0	0	0	0	0	0	0	0	
Estonia	1,362	794	677	1,110	1,854	1,898	1,554	1,715	1,877	2,177	2,618	3,046	3,371	
Ethiopia	0	0	0	0	0	0	1,261	546	0	0	0	0	8	
Falkland Islands (Malvinas)	0	0	0	0	0	0	0	0	0	0	0	0	0	
Faroe Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Finland	2	0	307	126	50	95	44	572	785	668	1,010	1,157	778	
France	8,384	11,356	9,346	11,396	16,492	23,855	24,770	21,367	22,234	23,314	24,028	30,168	35,477	
Free Zones	0	0	0	0	0	0	0	0	0	0	0	0	0	
French Polynesia	0	0	0	0	0	0	0	0	74	0	0	0	2	
French South Antarctic Territories	0	0	0	0	0	0	0	0	0	0	0	0	0	
Gabon	0	0	0	0	0	0	0	0	0	0	0	0	0	
Gambia	0	0	0	0	0	0	45	0	0	0	0	0	0	
Georgia	664	407	1,078	2,067	5,248	4,061	3,407	6,350	8,582	12,361	13,214	18,399	28,046	
Germany	40,009	46,139	56,177	71,284	47,425	51,919	86,277	63,774	75,474	75,426	106,484	70,195	113,121	
Ghana	0	0	0	0	0	145	151	579	258	386	694	568	936	
Gibraltar	870	542	127	212	213	648	509	50	6	515	353	283	310	
Greece	2,720	3,112	3,727	3,421	4,831	5,881	9,630	9,004	16,004	17,744	24,027	13,340	25,311	
Greenland	0	0	0	0	0	0	0	0	0	0	0	0	0	
Grenada	0	0	0	0	0	0	0	0	0	0	0	0	0	
Guatemala	0	0	0	0	0	0	0	0	0	110	102	97	0	
Guinea	0	5	0	0	0	76	0	23	0	0	0	0	0	
Guinea-Bissau	0	0	0	0	0	0	0	0	0	0	0	0	0	
Guyana	0	0	0	0	0	0	0	0	0	0	0	0	0	
Haiti	0	0	0	0	0	0	0	0	0	802	0	0	0	
Honduras	0	0	0	0	33	0	0	0	0	0	0	0	0	
Hong Kong, China	4	0	504	24	5	14	477	1,056	215	249	2,270	242	1,966	
Hungary	7,232	9,166	8,008	14,461	14,744	14,625	5,068	18,476	13,212	8,134	23,324	28,750	15,715	
Iceland	0	51	211	3	0	0	0	23	0	0	0	0	0	
India	386	961	805	264	239	1,270	2,554	1,065	547	3,413	5,586	3,668	720	
Indonesia	0	0	18	227	158	170	616	85	176	200	20	343	1,776	
Iran (Islamic Republic of)	2	0	0	95	0	189	102	291	852	3,085	1,046	1,223	913	
Iraq	0	0	0	1,393	1,970	1,653	1,566	3,845	5,513	10,169	9,411	22,705	13,325	
Ireland	200	753	0	21	49	142	114	319	168	161	78	46	96	
Israel	558	487	758	1,394	688	1,273	1,393	1,343	3,927	2,845	1,673	2,231	4,686	
Italy	45,448	56,822	82,435	136,438	133,453	116,869	140,204	168,520	138,647	150,770	217,269	205,118	186,672	
Jamaica	0	0	0	0	0	0	0	0	0	0	0	0	0	
Japan	58	22	13	68	269	686	667	1,890	554	412	934	1,076	458	
Jordan	1,363	2,128	1,811	1,783	979	321	803	46	3,212	456	1,171	270	127	
Kazakhstan	4,471	6,520	9,206	15,424	17,298	24,164	45,542	44,509	26,455	30,547	45,450	50,302	39,250	
Kenya	2	0	0	3	3	232	0	0	0	0	0	128	38	
Kiribati	0	0	0	0	0	0	0	0	0	0	0	0	0	
Korea, Democratic People's Republic of	0	0	0	0	0	0	0	0	0	0	0	0	35	
Korea, Republic of	11	14	0	34	18	39	47	35	90	30	215	21	396	
Kuwait	0	0	0	2	0	0	0	0	0	0	56	0	2	
Kyrgyzstan	262	756	1,258	1,253	1,721	1,068	2,264	3,562	2,722	2,521	2,888	2,836	3,252	
Lao People's Democratic Republic	0	0	0	0	0	27	0	0	0	0	1	0	0	
Latvia	2,264	2,553	2,549	2,231	3,077	3,765	3,492	2,474	1,863	3,379	4,238	4,846	4,969	
Lebanon	153	1,431	1,991	2,360	1,545	1,405	2,129	351	887	3,405	2,614	1,669	2,145	
Lesotho	0	0	0	0	0	0	0	0	0	0	0	0	0	
Liberia	12	82	0	0	0	0	0	17	14	13	8	8	9	
Libya	0	0	0	215	252	0	0	0	355	3,640	509	4,616	4,382	
Lithuania	3,226	6,024	5,252	2,414	6,322	8,551	10,170	8,057	10,462	11,755	18,696	14,899	15,264	
Luxembourg	0	3	2	0	5	9	1	0	21	1	1	8	0	
Macao, China	0	0	0	0	0	0	0	0	0	0	0	0	0	
Macedonia, The Former Yugoslav Republic of	98	138	102	82	58	170	400	1,424	753	817	809	773	799	
Madagascar	0	0	0	0	36	0	0	0	0	0	0	0	0	
Malawi	0	0	0	0	0	0	0	0	0	0	0	0	0	
Malaysia	0	0	4	0	0	0	0	6	3	48	27	1	1,163	
Maldives	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mali	0	0	0	0	0	0	0	0	6	0	0	0	0	
Malta	0	0	0	0	0	0	0	0	48	33	56	41	595	
Marshall Islands	0	0	0	0	0	0	0	0	0	0	0	0	1	
Mauritania	0	0	0	0	0	0	0	515	0	0	0	0	0	
Mauritius	0	0	0	0	0	0	0	0	0	0	0	3	0	
Mayotte	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mexico	0	0	0	1	0	0	20	0	0	0	0	12	22	
Micronesia (Federated States of)	0	0	0	0	0	0	0	0	0	0	0	0	10	
Mongolia	0	20	0	1	12	83	139	190	21	184	60	128	107	
Montenegro	0	0	0	0	0	0	1	52	28	0	0	0	97	
Montserrat	0	0	0	0	0	0	0	0	0	0	0	0	0	
Morocco	0	0	0	0	10	100	0	2,054	0	13	0	14	47	
Mozambique	0	0	0	0	0	0	0	0	0	0	0	0	0	
Myanmar	0	0	0	0	0	0	0	0	0	0	0	0	0	
Namibia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Nauru	0	0	0	0	0	0	0	0	0	0	0	0	0	
Nepal	0	0	0	0	20	0	0	0	0	0	0	4	190	
Netherland Antilles	0	0	0	0	0	0	0	0	0	0	0	0	0	
Netherlands	3,993	3,045	2,891	5,515	6,525	9,286	14,395	13,159	10,948	10,584	17,322	16,653	15,792	
Neutral Zone	0	0	0	0	0	107	0	0	0	0	0	0	0	
New Caledonia	0	0	0	0	0	0	0	0	0	0	0	0	25	
New Zealand	0	0	0	11	0	0	0	0	63	26	5,309	26,735	32,461	
Nicaragua	0	0	0	0	0	0	0	0	0	0	0	0	0	
Niger	0	0	0	0	0	0	0	0	0	5	0	0	54	
Nigeria	103	0	30	0	0	0	0	0	98	317	953	1,163	1,854	
Niue	0	0	0	0	0	0	0	0	0	0	0	0	0	
Norway	297	551	0	0	1	2	18	271	75	79	231	99	85	
Oman	0	0	0	0	0	0	0	0	0	0	0	1	0	
Pakistan	0	0	2	261	88	454	0	0	15	55	137	0	1,949	
Palau	0	0	0	0	0	0	0	0	0	0	0	0	0	
Palestine, State of	0	0	0	0	0	20	0	0	0	0	0	0	0	
Panama	0	0	0	0	3,603	3,543	85	4,598	4,694	2,200	5,892	421	1,146	
Papua New Guinea	0	0	0	0	0	0	0	0	0	0	0	0	0	
Paraguay	0	0	0	0	0	0	0	0	0	0	0	0	0	
Peru	0	0	0	0	0	0	3	6	15	11	0	13	242	
Philippines	0	0	0	12	0	0	0	0	0	0	0	63	1,238	
Pitcairn	0	0	0	0	0	0	0	0	0	0	0	0	0	
Poland	1,675	2,674	4,471	6,551	25,300	39,222	48,345	56,138	33,706	46,729	85,923	74,174	85,346	
Portugal	60	85	88	503	409	187	224	133	71	0	3,478	5,645	2,774	
Qatar	0	0	0	1	0	0	0	0	0	0	0	3	0	
Romania	37,941	56,720	90,245	98,924	111,666	155,559	211,184	335,827	239,626	246,409	376,397	356,717	413,071	
Russian Federation	248,417	238,938	308,498	353,344	347,482	182,011	232,741	313,692	286,492	403,978	625,509	655,132	631,993	
Rwanda	1	26	0	0	0	30	0	18	0	0	0	0	0	
Saint Helena	0	0	0	0	0	0	0	0	0	0	0	0	0	
Saint Kitts and Nevis	0	0	0	0	0	0	0	0	0	0	0	0	0	
Saint Lucia	0	0	0	0	0	13	0	0	0	0	0	0	0	
Samoa	0	0	0	0	0	0	0	0	0	0	0	0	0	
Sao Tome and Principe	10	855	0	370	318	0	0	124	0	0	13	0	0	
Saudi Arabia	0	0	0	74	0	37	12	76	23	44	0	110	65	
Senegal	0	0	0	0	0	300	477	378	225	390	286	248	269	
Serbia	0	0	0	0	0	3,008	6,452	11,121	4,300	1,833	3,617	3,504	2,055	
Serbia and Montenegro	309	786	347	421	523	0	0	0	0	0	0	0	0	
Seychelles	0	0	0	500	1,968	1,237	57	0	0	0	0	0	0	
Sierra Leone	0	0	0	0	18	0	10	22	0	0	0	0	0	
Singapore	8	0	7	25	0	433	1	21	2	81	249	5	744	
Slovakia	397	1,204	1,155	1,705	15,061	22,718	8,866	7,619	6,689	5,327	6,260	5,862	7,838	
Slovenia	2,664	3,517	2,099	807	841	1,244	1,104	1,465	629	765	657	931	430	
Somalia	0	0	0	0	0	0	0	0	0	0	0	0	0	
South Africa	1	0	0	0	1	304	280	19	1,625	79	0	1,220	526	
Spain	1,266	3,182	5,283	2,979	4,068	6,004	1,663	1,250	1,213	702	1,925	15,035	10,939	
Sri Lanka	0	0	0	2,503	17	0	0	0	0	0	0	38	0	
