List of importing markets for a product exported by Romania Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	11,384,994	13,875,709	17,618,059	23,485,343	27,729,597	32,336,030	40,264,716	49,538,878	40,620,890	49,413,386	62,692,001	57,904,330	65,881,442	
Afghanistan	0	429	1,923	2,844	362	6,684	11,535	15,113	15,844	17,688	41,322	10,944	12,350	
Africa not elsewhere specified	0	0	0	0	0	0	0	0	0	0	0	0	0	
Albania	12,886	20,659	14,656	19,549	15,417	30,830	50,470	56,037	42,795	62,866	60,836	57,259	51,236	
Algeria	18,255	28,177	51,566	61,052	70,016	84,130	103,939	155,115	185,238	233,596	287,475	488,195	506,189	
Andorra	34	221	242	309	244	355	366	413	623	631	435	547	543	
Angola	837	877	2,148	3,951	1,552	1,333	1,582	34,013	360	2,591	10,668	27,537	23,129	
Anguilla	0	0	0	0	0	0	0	0	0	0	0	0	0	
Antigua and Barbuda	22	128	60	241	182	366	51,228	18,679	331	27,582	96	18	41	
Area Nes	21,821	24,933	27,267	26,432	31,345	27,636	10,993	31,977	35,275	31,522	16,173	24,936	19,822	
Argentina	21,134	3,973	7,128	14,657	17,516	18,149	26,431	40,184	9,540	8,849	16,291	27,565	26,217	
Armenia	1,545	322	390	2,363	6,065	7,066	7,937	7,761	2,235	13,013	8,798	7,255	7,911	
Aruba	165	0	0	25	48	32	0	7	2	0	6	12	6	
Australia	3,508	4,124	4,804	8,993	9,579	6,867	18,666	39,507	21,003	19,391	34,750	33,755	35,522	
Austria	341,650	421,433	567,124	731,546	861,270	853,776	1,033,784	1,123,233	958,415	1,140,653	1,397,301	1,325,266	1,563,285	
Azerbaijan	4,912	6,095	5,782	7,533	5,478	5,105	8,524	17,480	20,345	42,110	33,316	22,595	43,794	
Bahamas	26	12,558	10,615	79	77	460	1,925	1,303	82	24	124	43	11	
Bahrain	2,258	4,530	8,248	4,387	6,396	9,390	6,329	2,717	2,248	4,513	4,504	4,511	6,266	
Bangladesh	678	211	6,664	5,978	20,424	24,607	1,975	12,170	4,529	52,035	4,191	4,180	13,534	
Barbados	4	0	0	12	29	106	102	288	14	0	11	0	2	
Belarus	2,304	1,984	1,922	4,555	4,782	9,293	12,120	28,339	22,817	31,441	25,222	27,137	39,313	
Belgium	193,270	218,591	279,570	465,091	484,482	533,628	642,570	812,172	725,710	963,285	1,242,088	1,014,391	1,240,349	
Belize	121	117	143	229	30	14	86	587	9	47	6	10	5	
Benin	91	105	514	3,852	553	18	54	100	2,488	561	636	606	782	
Bermuda	0	0	1	17	14	8	902	55	2	3	9	13	11	
Bhutan	0	0	0	0	0	0	0	2	0	0	0	0	0	
Bolivia	23	296	403	250	114	167	14	0	21	44	366	90	4,178	
Bosnia and Herzegovina	12,262	14,598	17,231	40,068	127,687	178,961	72,045	106,406	72,645	93,200	123,201	104,110	110,951	
Botswana	4	7	82	3	4	4	50	59	118	247	586	1	27	
Brazil	15,784	9,359	5,501	10,332	17,286	14,666	69,653	106,075	59,641	91,223	204,859	219,053	377,925	
British Antarctic Territories	0	35	0	401	0	0	0	0	0	0	0	0	0	
British Indian Ocean Territories	0	2	12	0	0	0	454	3	12	0	0	0	0	
British Virgin Islands	100	38	905	739	90	314	10	1	704	0	73	104	259,281	
Brunei Darussalam	15	8	0	0	0	1,106	4	199	231	196	226	362	298	
Bulgaria	202,159	176,605	289,182	451,242	735,150	911,176	1,302,554	2,062,606	1,534,538	1,771,007	2,270,265	2,231,553	2,254,353	
Burkina Faso	64	48	113	3,081	1,280	245	103	1,093	3,057	4,338	1,315	1,252	7,087	
Burundi	7	3	16	10	35	23	0	166	61	24	51	17	80	
Cabo Verde	663	339	629	190	0	0	0	0	44	189	17	129	37	
Cambodia	182	382	916	72	58	116	218	244	1,275	53	793	150	416	
Cameroon	2,914	4,939	6,787	7,394	10,289	14,312	10,265	16,767	2,039	1,731	3,704	6,459	5,686	
Canada	35,868	47,913	49,782	74,091	96,406	74,732	55,837	64,514	30,654	123,370	205,514	145,476	160,432	
Cayman Islands	6	7	58	60	88	57	89	0	83	0	2	0	74	
Central African Republic	0	0	0	30	87	0	157	18	18	1	2	157	98	
Chad	0	13	2	585	115	6	0	0	108	0	0	0	0	
Chile	10,713	8,351	3,184	2,141	17,628	6,611	7,009	39,583	2,716	2,234	26,188	20,030	10,705	
China	89,151	208,879	282,188	195,285	207,385	217,578	213,401	237,278	296,544	410,081	543,968	494,395	663,628	
Cocos (Keeling) Islands	6	0	0	0	0	0	0	0	0	0	0	0	0	
Colombia	4,303	6,521	3,850	7,276	36,495	75,619	96,656	67,740	42,463	71,573	92,173	181,901	142,203	
Comoros	29	55	73	59	54	157	175	757	86	193	31	12	1	
Congo	85	511	273	565	1,018	1,098	1,249	3,756	1,689	329	11,988	14,002	27,291	
Cook Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Costa Rica	951	1,143	126	285	259	99	119	752	873	395	3,587	304	839	
Côte d'Ivoire	1,967	5,290	20,982	6,434	2,387	2,912	4,334	3,269	5,092	51,945	8,205	12,276	10,216	
Croatia	17,256	35,881	124,204	188,755	233,224	147,755	163,419	144,267	114,887	135,066	170,268	152,396	149,766	
Cuba	1,334	1,771	321	307	2,582	69	952	296	154	299	2,627	257	305	
Cyprus	26,954	13,598	9,267	66,043	110,597	62,455	56,399	160,728	91,490	125,059	110,004	168,786	93,679	
Czech Republic	35,989	52,161	95,861	168,055	264,865	368,013	557,092	775,073	671,293	758,773	1,052,385	1,043,696	1,313,781	
Democratic Republic of the Congo	34	8	38	1	0	1,859	59	78	18	1,811	1,045	7,105	495	
Denmark	28,635	25,600	31,064	52,520	60,675	79,977	86,298	108,591	105,055	142,557	233,427	262,133	281,025	
Djibouti	34	65	58	160	79	136	0	196	162	441	931	389	389	
Dominica	81	924	8	0	0	0	0	2	218	3,566	53	0	1	
Dominican Republic	230	988	173	552	2,729	863	4,675	5,380	4,843	3,989	2,113	2,459	3,118	
Ecuador	853	291	1,195	1,160	2,865	1,138	775	1,107	14,648	13,697	7,103	20,724	25,027	
Egypt	112,728	118,447	118,905	206,777	192,092	218,455	234,206	272,579	259,714	240,464	381,240	491,662	617,280	
El Salvador	0	293	619	0	396	89	4	35	11	71	19	38	222	
Equatorial Guinea	126	16	0	528	0	46	95	28	92	3,221	332	201	717	
Eritrea	878	1,369	211	8,105	262	25	12	0	0	133	265	119	318	
Estonia	1,669	1,464	2,171	4,786	5,217	7,956	16,764	28,563	26,665	32,354	45,866	51,812	79,585	
Ethiopia	836	1,939	1,514	492	2,041	725	404	71,255	35,079	2,463	1,045	1,098	13,614	
Europe Othr. Nes	0	0	0	0	0	0	732	3,588	1,205	1,079	114	254	4,682	
Falkland Islands (Malvinas)	0	0	32	0	52	233	421	121	90	55	0	0	13	
