List of importing markets for a product exported by Romania (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	12,241,955	14,602,802	18,600,270	24,385,098	28,059,579	32,486,939	36,201,023	44,267,718	37,403,519	47,518,577	59,879,503	56,171,613	63,034,526	
Afghanistan								0	0	0	224	0		
Albania	11,916	15,800	15,253	9,936	18,981	52,712	18,003	28,435	36,700	57,344	55,592	55,114	46,040	
Algeria	21,321	39,908	60,195	52,242	60,234	71,627	107,271	173,733	227,057	294,590	354,261	603,603	623,119	
Andorra	849	1,386	1,938	1,242										
Anguilla	1	1	0											
Antigua and Barbuda					0		61		49	58	45	43	33	
Argentina	15,297	5,989	9,424	23,820	24,968	25,776	41,766	46,971	18,934	22,561	41,844	57,968	57,336	
Armenia	196	7,228	317	644	3,795	83,776	68,375	96,902	72,791	85,713	105,033	87,980	118,026	
Aruba					33				0	0	0	0		
Australia	6,554	7,633	13,730	22,871	25,996	20,153	33,031	66,336	41,971	44,046	67,632	70,008	77,090	
Austria	377,998	477,580	671,188	897,641	914,820	995,337	901,391	1,087,201	714,513	1,057,862	1,406,670	1,268,038	1,359,237	
Azerbaijan	3,738	3,926	6,184	8,034	5,549	39,258	3,025	40,373	10,084	22,940	14,896	23,989		
Bahamas	0	0	0	0	7	0	0	0	0	0	0	0		
Bahrain	4,269	8,839	12,937	5,330	9,423	3,553	7,550	11,027	5,250	9,605	10,915			
Bangladesh	163	1,894	1,657	1,520	21,331	35,637	31,494							
Barbados	34	52	24	11	39	116	27	99	20	41	60	10	32	
Belarus	3,674	4,325	4,250	9,124	9,907	18,110	23,138	36,490	30,901	45,677	42,017	38,964	53,314	
Belgium	280,120	277,748	426,822	682,868	657,937	580,617	467,784	607,834	585,996	719,876	930,476	786,375	1,083,460	
Belize	24	2	27	24	7	31	15	5	2	18	1	19	0	
Benin	85	53	936	103	0	25	26	26	37	38	98	109	114	
Bermuda												219	144	
Bolivia	19	49	62	113	149	184	272	340	357	707	2,238	1,483		
Bosnia and Herzegovina			22,595	41,480	153,165	232,627	83,314	104,866	73,449	90,297	133,768	113,419	125,095	
Botswana	0	2	0	5	5	8	40	105	68	113	397	256	55	
Brazil	11,326	7,206	6,991	9,822	16,274	30,625	49,199	126,757	75,979	116,909	210,249	301,589	411,706	
Brunei Darussalam	37	404	0	6		7				101	280	307	264	
