List of importing markets for a product exported by Russian Federation (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	103,222,163	109,413,591	141,303,403	194,033,104	248,867,500	305,219,072	352,923,627	464,451,938	313,133,349	402,946,532	532,435,960	536,674,147	499,642,964	
Afghanistan								97,020	197,918	181,394	804,168	0		
Albania	17,292	38,973	52,684	64,446	105,509	124,571	171,200	229,663	122,618	101,647	104,558	124,474	96,062	
Algeria	239,950	267,605	315,271	329,149	369,436	203,161	178,787	211,756	384,778	163,606	268,155	1,207,493	1,017,861	
Andorra	88	83	110	55										
Anguilla	11	5	2											
Antigua and Barbuda					11		23		39	48	12	3	11	
Argentina	108,957	78,004	110,967	135,707	165,808	244,050	430,308	755,894	109,819	397,842	791,881	1,124,051	1,717,370	
Armenia	166,155	187,147	197,661	173,390	250,567	299,855	482,700	835,035	788,377	828,315	885,436	1,052,372	1,104,450	
Aruba					69				0	0	0	0		
Australia	11,649	24,562	25,328	43,300	76,967	48,122	104,882	508,514	285,129	332,663	1,032,729	895,354	991,815	
Austria	1,026,555	974,590	1,495,885	1,698,183	2,811,440	3,013,455	2,547,625	3,668,726	455,023	700,952	1,336,712	1,444,178	1,245,062	
Azerbaijan	152,994	280,943	383,900	569,410	717,211	1,181,584	1,003,886	1,349,744	1,070,947	1,145,009	1,641,095	1,378,417		
Bahamas	4,517	4	14	0	30	0	0	0	0	2	1	0		
Bahrain	1,263	769	590	1,851	3,768	4,900	3,945	5,720	1,790	1,772	132,422			
Bangladesh	68,180	73,573	63,246	99,670	208,567	324,484	308,071							
Barbados	11	67	85	21	73	122	3	45	54	52	27	125	36	
Belarus	5,437,888	5,922,296	7,601,917	11,142,572	10,093,613	13,084,338	17,204,876	23,507,356	16,726,300	18,080,615	24,709,836	27,268,577	22,509,509	
Belgium	1,699,335	1,748,284	2,553,322	3,896,557	5,233,438	5,962,797	6,720,826	8,097,970	5,577,818	8,216,431	12,387,444	10,944,837	14,861,336	
Belize	59	627	176	169	10	4	11	103	434	0	504	744	762	
Benin	874	5,780	0	61	118	25	108	352	146	385	4,130	6,003	8,012	
Bermuda												0	3	
Bhutan					3,682	19,275	11,098	4,777	131	0	0			
Bolivia	517	741	282	501	2,124	1,713	1,004	2,317	2,425	6,666	8,661	13,529		
Bosnia and Herzegovina			35,132	112,577	203,369	169,007	194,351	256,759	585,660	805,218	1,163,630	981,101	1,021,884	
Botswana	5	112	12	18	39	2	171	225	476	344	1,274	48	20,330	
