List of importing markets for a product exported by Rwanda (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	66,248	115,196	112,502	349,107	108,975	112,832	133,216	192,159	206,311	198,979	347,259	332,382	328,005	
Albania	0	0	0	0	0	0	0	0	0	0	0	0	0	
Andorra	0	0	0	0										
Argentina	0	0	0	0	2,080	0	0	0	0	0	0	0	0	
Armenia	0	0	0	0	0	0	1	137	0	0	0	0	0	
Australia	78	66	28	0	174	129	68	9	10	35	427	962	760	
Austria	413	749	459	419	2,613	5,034	8,522	3,964	1,158	0	1,401	2,484	427	
Azerbaijan	0	0	0	0	0	0	0	0	0	0	0	5		
Bahrain	0	0	0	0	0	0	0	0	0	0	0			
Bangladesh	0	0	1,912	0	1,877	0	32							
Barbados	0	0	0	0	0	0	0	0	0	0	0	0	0	
Belarus	0	41	0	0	0	0	0	0	2	4	3	1	0	
Belgium	2,704	4,861	2,471	4,221	7,988	7,827	4,758	13,752	18,647	13,441	20,962	19,859	11,664	
Benin	0	0	0	0	0	0	5	12	3	1	14	6	12	
Bolivia	0	0	0	0	0	4	6	0	0	0	0	5		
Bosnia and Herzegovina			0	0	1	0	10	0	0	14	0	0	0	
Botswana	0	3	0	0	158	2	0	0	0	3	0	9	0	
Brazil	0	6	0	3	1	0	526	2	876	0	2	44	12	
Bulgaria	0	0	0	0	0	0	4	217	0	1	0	0	150	
Burkina Faso	0	0	59	21	15		4	0	135	29	8	179		
Burundi	535	847	692	741	842	965	2,089	3,499	1,790	2,549	6,821	29,674	10,577	
Cambodia	0	0	0	0	0	1	0	0	0	0	0	0		
Cameroon	0	0	0	0	0	0	0	0	0	0	0	0		
Canada	0	526	16	43	298	137	271	458	277	442	1,126	1,747	1,901	
Central African Republic	0	0	0			0	0	0	0	0	22	0	0	
China	6,370	5,191	7,117	16,026	11,532	21,888	23,634	29,579	25,698	38,674	78,129	71,465	108,658	
Colombia	0	0	0	0	0	50	1,482	576	71	9,458	1,886	634	0	
Comoros	0	0	3	0	0	0	0	0	0					
Congo							0	43	0	0	0	0	0	
Costa Rica	0	0	0	0	4	2	0	0	2	0	0	0	0	
Côte d'Ivoire	8	14	21	34	15	11	2	6	0	0	11	17		
Croatia	0	1	0	0	0	2	2	1	0	1	0	0	0	
Cuba	2	0	0	0	591	0								
Cyprus	2	0	1	5	0	0	0	0	0	0	0	0	0	
Czech Republic	51	31	96	4	27	0	112	12	17	25	29	11	25	
Denmark	471	529	1,041	1,134	561	895	697	15	75	84	77	69	888	
Dominican Republic	0	0	0	0	0	0	0	0	2	0	1	3	0	
Ecuador	0	0	0	0	0	0	0	12	0	0	0	80	0	
Egypt	0	2	0	0	5,269	0	10	203	3,506	1,617	263	856	430	
El Salvador	0	0	0	0	0	3,211	0	0	0	0	0	0	0	
Eritrea			15											
Estonia	11	0	0	0	1,361	439	99	491	3,941	929	5,682	9,320	0	
Ethiopia	159	19	33	147	84	28	22	14	20	0	62	4		
Fiji		0	0	0	1	0	0	0	0	0	0	32		
Finland	0	5	11	1	161	2	24	58	305	693	3,448	919	677	
France	773	943	718	1,458	3,284	5,668	2,663	3,878	3,403	3,550	5,155	4,636	3,995	
French Polynesia	0	0	0	0	0	0	1	0	0	0	0	0	0	
Gabon	0	0	0	0	0	0	0	0	0					
Georgia	0	0	0	0	1	0	0	0	0	0	0	0	0	
Germany	4,852	4,948	8,133	11,601	18,584	20,801	17,993	23,864	16,847	16,228	18,930	15,552	8,632	
Ghana	0		0		4	0	2	0	36	522	196	103		
Greece	111	161	214	93	80	3	0	0	0	7	7	3	10	
Grenada	0	0	0	0	0	0	5	0						
Guatemala	0	0	0	168	0	0	0	0	4	0	0	0	0	
Guinea	1	0		24	0	0	0	0		5	40	0		
Guyana	0	0	0	0	0	0	0	0	0	0	0	2	10	
Honduras	0	0	3	0	0	0	0	0	0	0	0	0	0	
Hong Kong, China	13,548	10,121	4,226	3,615	4,606	523	12,706	7,445	10,603	15,885	10,378	4,329		
Hungary	445	232	362	466	578	485	391	0	0	0	0	0	0	
Iceland	29	0	0	0	1	1	0	0	7	0	6	2	119	
India	23	0	0	688	46	804	592	2,521	140	196	151	248	202	
Indonesia	0	58,959	66,106	271,743	0	68	0	91	0	20	8	42	118	
Iran (Islamic Republic of)	0	0	0	0	0	0				0	0			
Ireland	308	37	261	133	64	36	38	20	94	21	197	501	518	
Israel	0	0	0	74	6	129	293	556	3	68	92	3	5	
Italy	653	1,077	681	327	439	682	1,187	3,150	948	816	4,319	2,917	854	
Jamaica	0	0	0	0	0	0	0	0	38	0	0	0		
Japan	2,257	12	344	5	65	84	648	1,901	526	541	1,369	2,457	2,355	
Jordan	0	0	0	0		0	0	0	0	0	0	0	0	
Kazakhstan	361	4,831	0	595	5,025	428	0	15,805	6,821	0	0	13,891	41,103	
Kenya	30	65	128	273	1,529	2,917	1,318	366	3,109	5,422	4,717			
Korea, Republic of	30	25	2	70	0	1	97	79	34	116	641	493	648	
Kuwait	0	0	0	0		0	4	1,334						
Kyrgyzstan	0	0	0	0	0	0	0	6	0	27	0	0		
Latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lebanon	10	50	86	70	77	124	2	0	0	0	0	23	0	
Lithuania	0	0	0	0	0	0	0	0	0	0	0	57	0	
Luxembourg	13	5	0	10	0	1	0	1	0	1	0	1	2	
Macao, China	0	0	0	0	1	0	0	0	0	0		0		
Macedonia, The Former Yugoslav Republic of	0	0	0	0	0	0	0		0	0	47	8	0	
Madagascar	0	0	0	15	0	22	0	58	0	0	2	12	15	
Malawi	11	1	0	0	0	0	8	6	0	11	35	6	116	
Malaysia	1,730	915	471	7,040	5,196	288	6,086	8,486	233	19,345	95,962	63,020	58,212	
Mali	0	0	25	19	3	8	1	106		0	0	0		
Malta	0	0	0	0	0	0	0	1	0	0	0	0	0	
Mauritania	0	0	0	0	0		0	0	0	0	0	7		
Mauritius	0	1	4	0	0	0	1	0	14	0	0	0	0	
Mayotte	0	0	0	1	0	0	0	0	0					
Mexico	0	0	0	1	0	7	11	9	1,167	4	9	161	3,547	
Montenegro						5	0	2	6	0	0	0	0	
Morocco	0	22	37	99	435	0	96	533	177	239	422	328	67	
Mozambique	0	0	4	5	0	0	0	0	0	0	0	0	45	
Namibia	1	0	0	0	10	0	2	0	0	14	9	3	0	
Nepal			0						1	0	0			
Netherland Antilles					0	1	37	0						
Netherlands	6,916	3,106	3,291	4,406	4,862	6,493	4,903	1,222	904	144	1,772	1,599	930	
