List of importing markets for a product exported by Saint Helena (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	10,628	23,092	19,838	16,594	14,297	14,171	17,098	43,920	23,751	21,616	25,466	18,363	21,490	
Albania	0	0	0	0	0	28	4	0	0	0	4	0	0	
Australia	1	10	10	7	0	162	78	126	14	4	255	818	32	
Austria	5	14	9	2	20	20	4	0	0	30	36	91	1	
Bahrain	0	0	0	0	0	0	0	0	0	17	1			
Bangladesh	0	12	16	5	59	69	200							
Barbados	393	164	342	757	151	2	0	5	0	0	0	0	21	
Belarus	0	0	0	0	0	0	0	0	0	0	0	0	2	
Belgium	6	0	0	1	0	0	0	6	0	0	2	3	0	
Belize	0	0	0	0	3	0	0	0	0	0	0	0	0	
Benin	0	0	0	4	0	37	0	3	0	0	0	17	0	
Bolivia	0	0	0	0	0	0	0	0	0	0	0	7		
Bosnia and Herzegovina			39	0	11	2	1	1	3	0	0	0	0	
Botswana	0	0	0	0	0	0	0	0	0	0	0	0	0	
Brazil	0	0	0	1	0	0	22	0	90	0	1	0	0	
Bulgaria	0	0	0	0	0	0	2	0	0	0	0	0	0	
Burkina Faso	0	0	0	0	0		0	21	0	1	0	0		
Burundi	0	8	0	0	107	13	0	0	0	0	182	0	0	
Cabo Verde	0	0	134	0	0	0	0		0	0	0	0	0	
Cambodia	0	0	0	0	0	0	0	91	462	66	0	11		
Cameroon	0	0	0	0	0	0	86	0	1	0	0	0		
Canada	55	119	145	110	100	30	212	95	18	30	113	39	181	
Colombia	0	0	0	0	0	0	0	0	0	0	0	0	0	
Costa Rica	0	0	0	0	0	0	0	0	0	0	0	0	2	
Côte d'Ivoire	0	0	0	0	0	0	0	0	11	0	85	0		
Croatia	0	0	0	0	1	4	0	2	2	0	4	0	0	
Cuba	0	0	0	0	1	2								
Cyprus	0	0	0	0	12	0	0	0	0	20	4	0	0	
Czech Republic	5	1	69	2	174	88	12	24	0	1	10	31	42	
Denmark	21	4	26	1	49	0	1	1,219	295	1	5	5	9	
Dominican Republic	0	0	0	0	0	0	2	0	0	0	0	1	2	
Ecuador	0	0	0	0	0	0	0	0	0	0	0	0	11	
Estonia	1	0	5	8	26	1	7	0	0	0	0	0	0	
Ethiopia	9	6	10	43	153	16	0	0	0	0	0	0		
Fiji		1	3	23	18	8	1	42	239	32	1	10		
Finland	2	0	0	4	1	0	0	0	0	0	0	0	0	
France	217	14	55	195	139	163	23	50	162	219	175	225	307	
Gambia	0	0	0	0	0	0	0	0	0	24	0			
Georgia	0	0	0	0	0	2	0	0	0	0	0	0	0	
Germany	30	20	66	349	43	557	17	0	409	466	25	0	0	
Ghana	0		0		0	0	0	80	0	0	27	0		
