List of importing markets for a product exported by Saint Lucia Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	
World	44,808	62,058	62,533	79,782	64,220	93,746	52,455	164,022	
Afghanistan	0	0	0	0	0	0	0	0	
Albania	0	1	1	0	0	5	0	0	
Andorra	0	0	0	0	0	259	62	1	
Anguilla	31	121	134	30	92	58	12	36	
Antigua and Barbuda	1,385	1,080	740	1,004	1,968	1,951	1,927	3,736	
Area Nes	215	243	172	842	1,394	166	0	1	
Argentina	0	0	0	5	0	0	0	0	
Aruba	17	3	6	0	1	3	0	2	
Australia	0	0	0	1	4	1	0	29	
Austria	0	0	1	0	0	4	0	0	
Bahamas	0	114	64	171	357	23	36	211	
Bahrain	0	0	0	0	0	0	0	0	
Bangladesh	14	23	31	0	34	133	0	0	
Barbados	6,008	5,977	5,362	6,448	6,464	6,169	6,399	13,894	
Belgium	0	0	0	8	8	0	0	27	
Belize	125	115	146	134	172	143	185	554	
Bermuda	0	0	1	5	12	7	11	4	
Bolivia	0	0	0	0	0	0	0	2	
Bosnia and Herzegovina	0	0	0	0	0	0	0	0	
Botswana	0	0	0	0	0	0	0	1,619	
Brazil	15	11	24	5	0	6	0	87	
British Indian Ocean Territories	0	0	0	0	0	0	0	0	
British Virgin Islands	30	22	22	157	34	26	70	636	
Brunei Darussalam	0	0	0	0	0	0	0	0	
Bulgaria	0	0	0	0	0	0	0	0	
Burkina Faso	0	0	0	0	0	0	0	0	
Burundi	0	0	0	0	0	0	0	0	
Cabo Verde	0	0	0	0	0	0	0	0	
Cameroon	0	0	0	0	0	0	0	0	
Canada	116	206	460	245	214	128	113	566	
Cayman Islands	0	16	417	134	71	36	1	8	
Central African Republic	0	0	0	0	0	0	0	7	
Chad	0	0	0	0	0	0	0	0	
Chile	7	9	0	3	2	0	0	0	
China	124	4	49	17	151	84	167	954	
Christmas Islands	0	0	0	0	0	0	0	0	
Cocos (Keeling) Islands	0	0	0	0	0	0	0	0	
