List of importing markets for a product exported by Saint Vincent and the Grenadines (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	152,804	184,516	89,418	255,430	186,762	239,256	149,922	258,133	293,071	155,070	98,587	57,313	53,159	
Albania	0	0	0	2	0	0	0	29	0	8	0	0	0	
Algeria	1,066	0	82	2,193	3	7	0	9	0	73	17	107	188	
Andorra	0	0	3	0										
Anguilla	13	88	60											
Antigua and Barbuda					2,371		2,401		3,351	2,707	4,227	5,357	5,778	
Argentina	0	0	0	0	0	0	0	0	0	2	0	0	0	
Aruba					30				0	0	0	0		
Australia	0	0	4	1	0	4	40	219	2	43	4	82	0	
Austria	10	1	3	26	7	8	0	2	1	28	11,729	0	1	
Bahamas	0	0	0	0	0	0	0	0	0	0	0	0		
Bangladesh	0	31	0	0	0	0	0							
Barbados	3,750	4,423	3,559	4,036	4,621	4,911	3,873	4,200	4,501	4,582	4,869	6,494	9,727	
Belarus	0	0	0	0	0	0	0	0	0	0	0	0	0	
Belgium	12,093	0	2,231	7	5	0	2	2	2	0	2	0	37	
Belize	3	0	0	0	0	0	0	0	0	27	1	21	27	
Benin	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bolivia	50	0	0	0	4	0	0	0	0	0	0	0		
Bosnia and Herzegovina			0	0	2	0	0	0	0	0	0	0	0	
Botswana	0	0	0	0	0	0	0	0	6	0	0	0	0	
Brazil	0	0	0	0	0	1	62	43	18	0	56	6	0	
Brunei Darussalam	0	0	0	0		0				6	10	21	16	
Bulgaria	3	0	5	0	14	16	12	14	10	6	22	4	3	
Burundi	0	0	0	0	0	0	0	0	0	0	0	0	2	
Cabo Verde	55	0	0	0	1	0	0		0	0	0	0	0	
Cambodia	0	0	0	0	15	0	0	1	0	0	1	0		
Cameroon	0	0	0	0	0	0	2	762	35,284	1,895	19,174	0		
Canada	200	395	89	95	103	262	531	128	192	157	262	170	168	
Chile	1	0	0	0	0	0	0	0	0	0	6	0	0	
China	0	24	0	0	0	0	0	26,199	104	22	24	2	0	
Colombia	0	0	0	77	0	0	0	1,523	362	0	0	1,122	32	
Congo							0	0	0	0	3,025	8	0	
Costa Rica	132	0	1	16	0	0	1	23	0	1	0	0	0	
Côte d'Ivoire	4,183	219	0	0	0	0	0	0	0	0	0	0		
Croatia	4,480	112	239	472	1,814	335	109	3	210	0	0	4	2	
Cuba	0	22	0	0	0	0								
Cyprus	0	0	0	0	0	0	0	0	0	0	0	0	1	
