List of importing markets for a product exported by Saudi Arabia Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	
World	67,974,520	72,453,749	93,243,786	125,997,727	180,737,249	211,305,812	234,950,759	313,462,235	192,314,122	251,143,033	364,697,697	388,401,064	
Afghanistan	27	0	221	0	3,164	2,311	2,149	0	0	0	0	0	
Africa not elsewhere specified	2,206,976	2,874,626	0	3,246,007	0	0	5,083,807	6,611,135	3,826,912	4,277,708	6,836,636	9,798,137	
Albania	119	0	114	0	32	84	208	0	0	0	0	0	
Algeria	12,777	0	36,092	0	49,468	87,928	68,197	0	0	0	0	0	
America not elsewhere specified	438,415	1,180,859	0	22,637,634	0	0	982,628	54,188,502	24,272,797	35,187,655	52,483,453	57,746,639	
Andorra	0	0	0	0	0	0	9	0	0	0	0	0	
Angola	505	0	354	0	1,272	4,169	3,980	0	0	0	0	0	
Anguilla	0	0	0	0	0	0	16	0	0	0	0	0	
Antigua and Barbuda	0	0	0	0	29	0	0	0	0	0	0	0	
Area Nes	1,278,304	12,983	8,839	77,217	4,833	3,671	6,633	53,691,823	19,961,837	25,640,246	57,822,306	33,691,096	
Argentina	2,107	0	3,166	0	240	252	19,019	0	0	0	0	0	
Armenia	1	0	0	0	223	203	192	0	0	0	0	0	
Aruba	0	0	0	0	0	0	1,303	0	0	0	0	0	
Australia	178,301	0	351,181	0	372,053	338,770	417,696	0	0	0	0	0	
Austria	554	0	319,844	0	26,041	2,835	989	0	0	0	0	0	
Azerbaijan	407	0	1,406	0	1,353	1,755	3,701	0	0	0	0	0	
Bahamas	2	0	288,144	0	0	0	0	0	0	0	0	0	
Bahrain	134,330	0	2,161,311	0	4,974,363	6,065,893	1,205,709	0	0	0	0	0	
Bangladesh	30,942	0	179,148	0	359,400	361,059	70,312	0	0	0	0	0	
Barbados	0	0	76	0	1	20	0	0	0	0	0	0	
Belarus	0	0	0	0	0	9	17	0	0	0	0	0	
Belgium	120,612	0	1,184,117	0	2,276,336	2,869,452	905,424	0	0	0	0	0	
Belize	0	0	0	0	0	0	0	0	0	0	0	0	
Benin	222	0	0	0	3,409	4,357	10,328	0	0	0	0	0	
Bermuda	5	0	0	0	0	0	0	0	0	0	0	0	
Bolivia	0	0	0	0	0	47	0	0	0	0	0	0	
Bosnia and Herzegovina	31	0	2	0	323	70	62	0	0	0	0	0	
Botswana	5	0	33	0	27	51	26	0	0	0	0	0	
Brazil	4,847	0	866,308	0	1,382,100	1,595,954	135,630	0	0	0	0	0	
British Indian Ocean Territories	0	0	0	0	0	0	17	0	0	0	0	0	
British Virgin Islands	0	0	0	0	0	223	354	0	0	0	0	0	
Brunei Darussalam	124	0	93	0	2,139	1,624	466	0	0	0	0	0	
Bulgaria	58	0	205	0	2,394	1,328	2,241	0	0	0	0	0	
Burkina Faso	2	0	3	0	0	0	0	0	0	0	0	0	
Burundi	9	0	77	0	1	0	1,645	0	0	0	0	0	
Cabo Verde	0	0	0	0	0	0	7	0	0	0	0	0	
Cambodia	1	0	53	0	578	2,691	75	0	0	0	0	0	
Cameroon	3,837	0	861	0	4,541	8,099	11,515	0	0	0	0	0	
Canada	22,318	0	608,435	0	1,290,282	1,448,794	15,864	0	0	0	0	0	
Cayman Islands	0	0	0	0	0	0	0	0	0	0	0	0	
Central African Republic	116	0	29	0	111	600	307	0	0	0	0	0	
Chad	1,709	0	2,566	0	4,844	997	3,268	0	0	0	0	0	
Chile	83	0	215	0	1,488	866	2,631	0	0	0	0	0	
China	368,632	0	4,097,835	0	10,814,945	13,232,721	2,667,315	0	0	0	0	0	
Colombia	5	0	3,815	0	4,131	4,006	9,060	0	0	0	0	0	
Comoros	9	0	62	0	3,587	810	722	0	0	0	0	0	
Congo	91	0	258	0	980	3,235	2,861	0	0	0	0	0	
Cook Islands	0	0	0	0	0	0	19	0	0	0	0	0	
Costa Rica	73	0	23	0	442	188	97	0	0	0	0	0	
Côte d'Ivoire	2,264	0	2,280	0	4,021	14,205	14,372	0	0	0	0	0	
Croatia	3	0	43	0	256	412	377	0	0	0	0	0	
Cuba	30	0	716	0	581	508	327	0	0	0	0	0	
Cyprus	3,146	0	9,006	0	10,900	7,352	58,958	0	0	0	0	0	
Czech Republic	45	0	71	0	298	242	8,859	0	0	0	0	0	
Democratic Republic of the Congo	62	0	19	0	0	0	0	0	0	0	0	0	
Denmark	986	0	676	0	16,452	3,544	24,092	0	0	0	0	0	
Djibouti	27,437	0	281,213	0	676,795	939,578	640,110	0	0	0	0	0	
Dominica	99	0	19	0	18	0	0	0	0	0	0	0	
Dominican Republic	0	0	0	0	0	2,265	26,802	0	0	0	0	0	
East Europe not elsewhere specified	0	9,929	0	0	0	0	0	0	0	0	0	0	
Ecuador	4	0	12,690	0	72,828	57,725	66,673	0	0	0	0	0	
Egypt	230,329	0	913,841	0	2,046,206	2,755,678	2,818,700	0	0	0	0	0	
El Salvador	94	0	0	0	0	0	0	0	0	0	0	0	
Equatorial Guinea	0	0	0	0	0	0	69	0	0	0	0	0	
Eritrea	8,553	0	27,665	0	15,858	15,477	7,608	0	0	0	0	0	
Estonia	7	0	7	0	251	132	47	0	0	0	0	0	
Ethiopia	8,638	0	25,193	0	18,583	22,417	30,959	0	0	0	0	0	
Europe Othr. Nes	0	1,339,547	0	20,681,729	0	0	11,215,157	33,428,181	17,979,308	24,085,397	44,063,205	47,321,516	
European Union Nes	2,591,960	1,963,364	0	0	0	0	0	0	0	0	0	0	
Falkland Islands (Malvinas)	0	0	0	0	0	0	18	0	0	0	0	0	
Fiji	104	0	26	0	204	63	315	0	0	0	0	0	
Finland	688	0	555	0	682	1,123	2,449	0	0	0	0	0	
