List of importing markets for a product exported by Saudi Arabia (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	70,155,888	67,214,903	88,685,635	117,289,485	163,260,573	205,917,875	219,987,440	326,742,015	180,061,469	240,498,683	351,747,199	378,925,179	356,394,522	
Afghanistan								26,589	44,113	53,695	50,976	0		
Albania	900	974	1,784	546	791	1,362	458	299	1,471	4,781	5,570	1,752	1,838	
Algeria	37,543	29,819	39,739	62,547	63,839	94,709	119,393	141,242	169,263	362,885	448,009	482,631	608,920	
Andorra	2	0	1	0										
Anguilla	0	3	0											
Antigua and Barbuda					94		68		0	5	1	2	0	
Argentina	13,772	11,974	4,989	10,539	688	387	23,616	26,997	1,993	28,874	33,763	75,290	19,573	
Armenia	0	0	26	83	212	744	1,661	2,412	2,993	5,165	5,047	3,173	3,439	
Aruba					36				0	0	0	0		
Australia	671,940	657,239	597,744	770,446	1,026,869	915,918	831,120	754,583	499,676	364,592	399,620	495,892	200,701	
Austria	125,277	156,981	339,706	381,234	421,700	381,248	307,196	381,499	139,446	3,630	669,930	672,240	470,444	
Azerbaijan	1,875	1,902	1,632	927	1,275	1,149	1,377	1,644	1,214	1,568	392	23,932		
Bahamas	149	0	13	0	143	5	0	2	32	6	0	1,093		
Bahrain	247,316	292,171	325,302	381,896	388,477	470,627	552,189	780,366	604,838	483,624	8,090,864			
Bangladesh	151,957	98,761	96,955	78,758	184,693	207,599	197,166							
Barbados	1	17	130	52	106	77	53	51	76	200	183	135	176	
Belarus	15	132	425	391	843	4,341	1,775	1,931	5,824	28,991	82,500	92,355	70,561	
Belgium	204,712	244,430	305,812	578,483	765,321	1,172,290	1,390,005	1,466,006	982,865	1,559,726	1,753,596	1,643,521	2,010,896	
Belize	5	0	1	1	0	0	0	308	0	0	0	2	8	
Benin	6,531	4,671	1,809	9,876	1,457	45	1,305	164	3,984	7,729	2,847	779	1,517	
Bermuda												5	0	
Bhutan					1,526	1,742	1,790	2,090	1,533	2,175	2,504			
Bolivia	13	19	36	43	3	54	8	21	143	163	651	762		
Bosnia and Herzegovina			131	758	1,418	1,640	1,716	1,067	777	2,939	3,719	6,373	1,952	
Botswana	0	50	12	194	136	70	105	210	133	196	79	399	115	
Brazil	815,911	654,569	894,614	1,232,029	1,339,504	1,616,965	1,708,845	2,911,979	1,597,422	2,059,255	3,093,033	3,192,911	3,194,222	
Brunei Darussalam	238	808	1,260	1,036		664				2,422	2,539	1,700	1,710	
Bulgaria	361	635	529	787	2,643	3,923	2,527	6,974	6,865	10,411	16,401	11,517	14,869	
Burkina Faso	9,423	729	929	4,321	899		568	1,056	1,283	1,372	2,148	3,015		
Burundi	15,267	3,669	1,128	239	847	1,794	116,086	1,476	4,359	2,305	270,007	82,317	88,753	
Cabo Verde	39	35	0	2,168	4,607	68	787		24	1	106	216	50	
Cambodia	28	117	842	332	479	1,690	339	1,824	62	670	327	3,984		
Cameroon	16,995	12,127	2,965	3,888	6,622	6,122	8,713	9,020	5,761	21,367	17,129	11,010		
Canada	517,016	477,333	657,389	945,226	1,404,728	1,516,742	1,748,627	2,073,083	1,348,962	1,964,820	2,765,290	2,851,617	2,631,715	
Central African Republic	48	192	172			69	281	628	324	880	1,366	649	36	
Chile	5,252	4,077	473	1,727	5,824	1,739	33,789	61,735	7,905	28,706	70,503	74,740	52,742	
China	2,715,895	3,435,351	5,172,322	7,522,645	12,245,715	15,084,532	17,560,476	31,022,698	23,620,244	32,829,048	49,467,520	54,861,126	53,488,557	
Colombia	618	1,055	3,408	1,028	4,791	3,150	1,987	7,724	9,323	19,827	39,512	54,265	62,216	
Comoros	223	132	287	348	292	678	717	709	1,997					
Congo							573	254	133	128	1,491	1,441	958	
Cook Islands					0									
Costa Rica	6,629	44	29	22	402	177	419	2,621	1,826	11,484	16,878	5,809	6,559	
Côte d'Ivoire	23,503	15,668	18,628	19,186	25,297	22,651	26,472	26,173	21,780	45,028	38,166	39,975		
Croatia	1,055	1,905	3,510	8,804	13,813	18,804	7,622	17,098	25,931	35,443	77,781	44,693	24,489	
Cuba	214	89	13,046	42	13	680								
Cyprus	16,240	11,415	19,543	18,023	14,698	19,994	62,414	17,895	7,995	19,554	22,898	17,996	8,703	
Czech Republic	1,163	3,472	4,159	7,552	8,838	10,765	14,497	14,775	6,574	10,925	14,938	23,118	14,731	
Denmark	4,002	4,992	3,271	4,745	30,254	25,361	4,789	55,582	11,744	25,356	49,078	77,093	87,762	
Djibouti									38,701					
Dominica	0	0	0	7	0	26	0	3	0	9	0	34		
Dominican Republic	507	108	3	406	2,372	1,289	473	225	487	1,065	1,135	1,835	708	
Ecuador	17,180	112	381	20,208	47,271	69,431	125,469	31,224	26,772	6,462	24,958	20,687	28,558	
