List of importing markets for a product exported by Serbia Product: TOTAL All products
"Importers"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	4,481,782	6,427,892	8,824,701	10,972,082	8,345,076	9,794,516	11,779,478	11,353,056	14,613,752	
Afghanistan	274	617	768	4	2,980	28,438	9,975	3,454	4,950	
Albania	21,289	33,276	80,055	76,565	69,835	131,199	126,618	87,263	116,763	
Algeria	13,042	7,017	7,078	13,633	21,918	10,773	8,010	25,999	13,755	
Andorra	0	0	43	0	0	0	0	16	7	
Angola	152	974	536	462	3,795	7,919	1,735	4,816	8,534	
Antigua and Barbuda	0	0	0	0	0	0	0	0	0	
Area Nes	0	3	5	0	0	0	0	0	4,730	
Argentina	378	200	55	65	112	290	464	490	2,447	
Armenia	921	769	2,323	998	674	649	660	1,076	1,797	
Aruba	1	0	2	0	0	0	0	0	0	
Australia	3,825	4,650	5,987	7,111	3,603	4,653	6,604	8,057	9,565	
Austria	118,555	184,889	301,416	458,108	290,753	338,418	371,641	283,582	371,382	
Azerbaijan	225	1,217	1,345	3,593	4,212	5,764	3,925	31,609	56,084	
Bahamas	208	61	0	0	14	13	5	0	0	
Bahrain	329	395	867	2,201	2,820	681	6,225	1,787	2,698	
Bangladesh	119	104	84	2,319	436	5,049	7,396	533	31,542	
Barbados	52	3	0	0	0	0	0	0	0	
Belarus	9,836	15,075	12,865	15,665	19,829	40,769	51,841	69,529	81,806	
Belgium	64,538	86,440	98,475	115,590	113,696	131,539	132,491	126,426	169,866	
Belize	25	0	264	83	328	266	681	836	1,475	
Benin	0	0	0	20	0	5	18	0	160	
Bermuda	2	0	0	0	0	0	0	0	0	
Bhutan	0	0	0	0	0	0	0	0	0	
Bolivia	0	1	0	0	1	53	765	5	0	
Bosnia and Herzegovina	744,039	748,963	1,042,136	1,338,745	1,015,613	1,088,979	1,191,424	1,082,479	1,179,523	
Botswana	145	90	0	531	8,723	157	437	367	33	
Brazil	748	709	6,320	215	688	2,585	6,023	11,249	25,855	
British Indian Ocean Territories	0	0	0	0	0	0	0	97	0	
