List of importing markets for a product exported by Serbia (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	0	0	0	0	0	6,107,247	8,549,389	10,003,676	7,808,364	9,411,546	11,771,027	11,372,710	14,286,489	
Albania	0	0	0	0	0	41,504	146,028	244,857	121,335	215,644	239,212	262,607	200,987	
Algeria	0	0	0	0	0	10,180	20,397	25,044	21,396	29,733	10,709	31,994	43,121	
Argentina	0	0	0	0	0	553	456	473	408	643	831	1,133	1,012	
Armenia	0	0	0	0	0	421	910	1,077	897	1,185	1,107	1,784	2,538	
Australia	0	0	0	0	0	2,938	3,707	3,250	3,418	4,004	5,846	7,622	9,415	
Austria	0	0	0	0	0	191,197	316,259	455,862	428,125	454,847	537,812	405,353	501,266	
Azerbaijan	0	0	0	0	0	0	0	0	1,235	1,781	2,758	22,349		
Bahamas	0	0	0	0	0	0	0	202	1	0	0	0		
Bahrain	0	0	0	0	0	197	56	1,314	1,241	228	174			
Bangladesh	0	0	0	0	0	24,229	14,149							
Barbados	0	0	0	0	0	42	1	0	0	0	0	0	0	
Belarus	0	0	0	0	0	20,952	21,226	23,422	28,185	45,302	59,795	76,148	93,043	
Belgium	0	0	0	0	0	84,596	115,210	147,636	73,618	98,639	142,022	137,040	160,987	
Belize	0	0	0	0	0	0	0	0	0	0	1	1	0	
Benin	0	0	0	0	0	2	0	40	125	42	48	51	59	
Bermuda												3	11	
Bolivia	0	0	0	0	0	2	33	33	7	51	1,019	84		
Bosnia and Herzegovina			0	0	0	740,970	989,836	1,295,655	867,788	967,637	1,042,824	939,814	1,007,658	
Botswana	0	0	0	0	0	51	1	485	44	50	757	103	56	
Brazil	0	0	0	0	0	570	5,146	3,681	1,341	4,533	22,868	34,516	24,881	
Brunei Darussalam	0	0	0	0		0				0	25	0	6	
Bulgaria	0	0	0	0	0	211,563	239,363	281,064	209,299	276,432	355,733	325,316	349,295	
Burkina Faso	0	0	0	0	0		0	11	2	0	0	0		
Burundi	0	0	0	0	0	1	0	0	0	0	0	0	0	
Cabo Verde	0	0	0	0	0	0	0		0	171	85	1,105	0	
Cambodia	0	0	0	0	0	2	0	9	11	0	0	0		
Cameroon	0	0	0	0	0	82	180	0	124	128	52	68		
Canada	0	0	0	0	0	11,166	12,883	12,170	9,084	12,469	15,173	14,046	55,785	
Central African Republic	0	0	0			0	0	0	0	0	0	30	0	
Chile	0	0	0	0	0	119	99	886	2,521	1,052	1,033	5,283	17,579	
China	0	0	0	0	0	6,981	13,116	12,281	28,643	55,116	77,891	101,566	180,690	
Colombia	0	0	0	0	0	829	1,302	113	38	390	2,220	1,082	2,025	
Congo							0	0	61	67	0	0	75	
Costa Rica	0	0	0	0	0	13	5	8	33	5	49	126	2	
Côte d'Ivoire	0	0	0	0	0	173	2,027	28	3,859	253	6	10		
Croatia	0	0	0	0	0	243,320	329,479	428,151	281,788	305,048	400,594	362,372	407,570	
Cuba	0	0	0	0	0	385								
Cyprus	0	0	0	0	0	24,017	12,916	6,776	12,198	17,412	25,079	5,417	3,655	
Czech Republic	0	0	0	0	0	104,100	127,441	260,785	153,634	182,784	272,734	240,542	428,814	
Denmark	0	0	0	0	0	8,486	10,284	16,992	9,760	17,311	25,679	25,607	32,313	
Djibouti									7					
Dominican Republic	0	0	0	0	0	0	0	0	0	19	141	109	505	
Ecuador	0	0	0	0	0	2	0	19	18	30	126	37	15	
Egypt	0	0	0	0	0	5,909	4,918	23,324	24,861	41,612	21,121	42,071	21,265	
El Salvador	0	0	0	0	0	0	0	13	9	12	78	20	30	
Estonia	0	0	0	0	0	208	2,999	2,030	1,839	3,449	1,793	3,696	3,449	
Ethiopia	0	0	0	0	0	248	973	0	0	1,029	66	4,993		
Faroe Islands	0	0	0	0	0	39	36	10	11					
Fiji		0	0	0	0	0	0	1	0	0	0	1		
Finland	0	0	0	0	0	6,860	12,314	14,460	9,607	10,153	13,760	13,112	11,270	
France	0	0	0	0	0	217,854	287,932	266,395	208,935	246,178	284,267	265,823	377,114	
French Polynesia	0	0	0	0	0	19	29	47	41	44	55	34	40	
Gabon	0	0	0	0	0	47	69	8	487					
Gambia	0	0	0	0	0	0	0	59	0	5	10			
Georgia	0	0	0	0	0	1,975	2,143	2,074	1,268	1,558	3,732	1,934	1,892	
Germany	0	0	0	0	0	658,729	910,194	1,146,582	830,778	985,660	1,270,615	1,274,172	1,638,568	
Ghana	0		0		0	35	1	0	28	0	0	25		
Greece	0	0	0	0	0	164,915	192,114	223,758	144,005	207,242	251,074	165,113	235,086	
Greenland	0	0	0	0	0	13	3	6	0	0	56	5	2	
Grenada	0	0	0	0	0	42	0	0						
Guatemala	0	0	0	0	0	102	0	0	364	0	242	48	1	
Guinea	0	0		0	0	9	10	2,481		0	0	0		
Guyana	0	0	0	0	0	0	0	0	0	1	5	38	0	
Honduras	0	0	0	0	0	88	15	0	3	0	18	27	62	
Hong Kong, China	0	0	0	0	0	427	175	335	869	2,881	19,769	76,985		
Hungary	0	0	0	0	0	196,151	255,005	359,064	320,896	368,481	506,312	450,642	624,164	
Iceland	0	0	0	0	0	860	404	783	374	945	471	761	1,253	
India	0	0	0	0	0	2,877	3,033	11,572	8,585	2,807	3,212	4,113	11,393	
Indonesia	0	0	0	0	0	16	1,317	129	2,129	392	7,565	11	3,307	
Iran (Islamic Republic of)	0	0	0	0	0	1,372				15,572	15,899			
Ireland	0	0	0	0	0	16,437	12,672	14,214	1,429	4,002	640	3,240	3,347	
Israel	0	0	0	0	0	12,493	11,152	10,312	4,247	7,424	12,157	10,040	12,982	
Italy	0	0	0	0	0	936,825	1,125,825	1,096,206	919,620	1,146,958	1,312,390	1,214,942	2,215,019	
Jamaica	0	0	0	0	0	830	1	0	3	0	0	17		
Japan	0	0	0	0	0	3,268	9,448	37,980	4,288	3,986	12,545	47,837	18,887	
Jordan	0	0	0	0		1,466	812	6,524	588	597	3,010	20,958	9,840	
Kazakhstan	0	0	0	0	0	9,616	17,927	19,962	17,220	8,032	10,598	18,349	18,172	
Kenya	0	0	0	0	0	1,283	275	0	232	34	5,116			
Korea, Republic of	0	0	0	0	0	616	1,871	951	532	40,523	161,082	224,773	70,598	
Kuwait	0	0	0	0		1,460	1,635	2,459						
Kyrgyzstan	0	0	0	0	0	62	927	88	212	96	244	66		
