List of importing markets for a product exported by Serbia and Montenegro (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	1,599,594	1,938,538	2,461,325	4,066,084	4,692,565	0	0	0	0	0	0	0	0	
Albania	6,114	12,974	10,259	16,655	25,871	0	0	0	0	0	0	0	0	
Algeria	0	18,925	0	0	16,684	0	0	0	0	0	0	0	0	
Andorra	6	6	4	3										
Anguilla	1	2	0											
Argentina	751	203	487	364	161	0	0	0	0	0	0	0	0	
Armenia	621	205	200	522	392	0	0	0	0	0	0	0	0	
Australia	842	724	1,725	1,798	2,707	0	0	0	0	0	0	0	0	
Austria	33,240	66,132	89,257	136,301	139,210	0	0	0	0	0	0	0	0	
Azerbaijan	0	257	0	0	0	0	0	0	0	0	0	0		
Bahamas	38	3	4	3	6	0	0	0	0	0	0	0		
Bahrain	60	127	147	78	272	0	0	0	0	0	0			
Bangladesh	26	0	3,421	8,043	8,468	0	0							
Barbados	0	8	1	7	63	0	0	0	0	0	0	0	0	
Belarus	6,409	7,646	4,797	7,709	12,311	0	0	0	0	0	0	0	0	
Belgium	20,331	23,914	32,350	52,201	64,790	0	0	0	0	0	0	0	0	
Belize	0	0	0	0	0	0	0	0	0	0	0	0	0	
Benin	292	395	2	0	1	0	0	0	0	0	0	0	0	
Bolivia	0	0	6	3	6	0	0	0	0	0	0	0		
Bosnia and Herzegovina			84,763	616,150	717,386	0	0	0	0	0	0	0	0	
Botswana	23	18	63	1	1	0	0	0	0	0	0	0	0	
Brazil	305	45	335	519	623	0	0	0	0	0	0	0	0	
Brunei Darussalam	1	3	0	0		0				0	0	0	0	
Bulgaria	20,529	24,324	34,255	52,545	86,475	0	0	0	0	0	0	0	0	
Burkina Faso	523	68	36	59	0		0	0	0	0	0	0		
Burundi	18	0	58	499	89	0	0	0	0	0	0	0	0	
Cabo Verde	7	15	0	0	0	0	0		0	0	0	0	0	
Cambodia	0	0	0	0	0	0	0	0	0	0	0	0		
Cameroon	156	183	49	59	69	0	0	0	0	0	0	0		
Canada	3,448	5,510	5,385	7,712	10,959	0	0	0	0	0	0	0	0	
Chile	28	15	41	1	7	0	0	0	0	0	0	0	0	
China	9,985	2,631	13,931	12,559	21,414	0	0	0	0	0	0	0	0	
Colombia	268	173	545	0	61	0	0	0	0	0	0	0	0	
Costa Rica	2	38	9	0	92	0	0	0	0	0	0	0	0	
Côte d'Ivoire	1,199	626	5,037	2,389	290	0	0	0	0	0	0	0		
Croatia	39,265	53,237	76,726	140,916	169,039	0	0	0	0	0	0	0	0	
Cuba	22	41	0	51	474	0								
Cyprus	1,679	6,920	2,744	3,575	15,842	0	0	0	0	0	0	0	0	
Czech Republic	17,600	27,015	28,974	45,614	64,719	0	0	0	0	0	0	0	0	
Denmark	3,265	5,635	5,905	7,277	8,199	0	0	0	0	0	0	0	0	
Dominica	78	12	9	2	12	0	0	0	0	0	0	0		
Dominican Republic	0	0	0	0	0	0	0	0	0	0	0	0	0	
Ecuador	89	147	17	158	0	0	0	0	0	0	0	0	0	
Egypt	2,853	727	293	1,495	6,920	0	0	0	0	0	0	0	0	
El Salvador	167	0	0	0	0	0	0	0	0	0	0	0	0	
Estonia	806	199	1,614	1,167	372	0	0	0	0	0	0	0	0	
Ethiopia	2,648	332	87	1,548	78	0	0	0	0	0	0	0		
Faroe Islands	9	21	7	4	19	0	0	0	0					
Fiji		0	0	0	0	0	0	0	0	0	0	0		
Finland	1,603	2,458	3,451	3,877	5,132	0	0	0	0	0	0	0	0	
France	58,763	77,392	123,683	129,003	157,471	0	0	0	0	0	0	0	0	
French Polynesia	5	8	144	28	11	0	0	0	0	0	0	0	0	
Gabon	913	0	0	2	64	0	0	0	0					
Gambia	237	0	0	0	2	0	0	0	0	0	0			
Georgia	427	971	875	1,451	1,168	0	0	0	0	0	0	0	0	
Germany	266,911	295,480	333,220	408,360	470,368	0	0	0	0	0	0	0	0	
Ghana	2,973		166		6	0	0	0	0	0	0	0		
Greece	91,071	104,626	111,342	163,055	165,004	0	0	0	0	0	0	0	0	
Grenada	0	2	0	38	78	0	0	0						
Guatemala	78	63	0	0	674	0	0	0	0	0	0	0	0	
Guinea	472	126		18	252	0	0	0		0	0	0		
Guyana	0	0	0	0	2	0	0	0	0	0	0	0	0	
Honduras	4,975	49	2	476	115	0	0	0	0	0	0	0	0	
Hong Kong, China	2,665	698	520	137	155	0	0	0	0	0	0	0		
Hungary	55,426	66,839	74,615	107,970	135,504	0	0	0	0	0	0	0	0	
Iceland	115	252	74	184	510	0	0	0	0	0	0	0	0	
India	1,916	1,426	1,752	5,743	1,103	0	0	0	0	0	0	0	0	
Indonesia	666	750	1,272	2,808	800	0	0	0	0	0	0	0	0	
Iran (Islamic Republic of)	2,381	4,984	2,863	3,199	1,779	0				0	0			
Ireland	71	186	2,566	1,839	1,633	0	0	0	0	0	0	0	0	
Israel	3,792	4,841	3,957	11,848	14,480	0	0	0	0	0	0	0	0	
Italy	379,482	483,276	597,531	709,326	855,582	0	0	0	0	0	0	0	0	
Jamaica	0	0	8	0	2	0	0	0	0	0	0	0		
Japan	3,200	1,863	2,133	2,039	3,113	0	0	0	0	0	0	0	0	
Jordan	651	316	341	309		0	0	0	0	0	0	0	0	
Kazakhstan	1,028	2,425	985	1,553	3,780	0	0	0	0	0	0	0	0	
Kenya	0	0	483	60	15	0	0	0	0	0	0			
Korea, Republic of	63	150	329	406	2,547	0	0	0	0	0	0	0	0	
Kuwait	655	384	401	896		0	0	0						
Kyrgyzstan	67	189	264	366	24	0	0	0	0	0	0	0		
Latvia	1,500	1,719	654	4,350	2,225	0	0	0	0	0	0	0	0	
Lebanon	999	1,086	1,574	2,015	1,334	0	0	0	0	0	0	0	0	
Lesotho	6	0	0					0	0	0				
Lithuania	1,047	813	1,458	865	4,770	0	0	0	0	0	0	0	0	
Luxembourg	317	414	0	889	2,133	0	0	0	0	0	0	0	0	
Macao, China	0	0	0	1	17	0	0	0	0	0		0		
Macedonia, The Former Yugoslav Republic of	157,197	185,191	212,631	243,217	264,206	0	0		0	0	0	0	0	
Madagascar	81	35	147	420	75	0	0	0	0	0	0	0	0	
Malawi	1	4	1	1	23	0	0	0	0	0	0	0	0	
Malaysia	3,189	2,594	2,171	3,697	880	0	0	0	0	0	0	0	0	
Maldives	0	0	5	0	0	0	0	0	0	0	0	0	0	
Mali	12	17	18	0	0	0	0	0		0	0	0		
Malta	217	318	442	1,301	660	0	0	0	0	0	0	0	0	
Mauritania	0	6	1,744	3,043	2,183		0	0	0	0	0	0		
Mauritius	11	65	58	10	374	0	0	0	0	0	0	0	0	
Mayotte	4	0	2	0	0	0	0	0	0					
Mexico	555	181	7,616	8,044	1,232	0	0	0	0	0	0	0	0	
Mongolia	145		50	69	7	0	0						0	
Montserrat	0	0	0	1	0	0	0	0	0			0	0	
Morocco	0	886	2,947	1,104	1,485	0	0	0	0	0	0	0	0	
Mozambique	40	9	21	3	321	0	0	0	0	0	0	0	0	
Namibia	1	31	7	11	0	0	0	0	0	0	0	0	0	
Nepal			0						0	0	0			
Netherlands	42,155	51,264	61,939	55,760	62,627	0	0	0	0	0	0	0	0	
New Caledonia	2	3	16	89	23	0	0	0	0	0	0	0	0	
New Zealand	105	223	407	235	562	0	0	0	0	0	0	0	0	
Nicaragua	0	1	0	1	0	0	0	0	0	0	0	0	0	
Niger	1	36	2,841	82	94	0	0	0	0	0	0	0	0	
Nigeria	15,754	2,604	1,858			0	0	0	0	0	0	0		
Norway	2,508	2,896	3,278	3,368	6,300	0	0	0	0	0	0	0	0	
Oman	1	0	0	0	0	0	0	0	0	0	0	0	0	
Pakistan			351	373	77	0	0	0	0	0	0	0	0	
Panama	18	0	0		0	0	0	0	0	0	0			
Papua New Guinea	0	1	0	1							0	0		
Paraguay	0	0	3	18	0	0	0	0	0	0	0	0	0	
Peru	8	15	35	60	19	0	0	0	0	0	0	0		
Poland	8,407	9,061	16,728	28,872	48,414	0	0	0	0	0	0	0	0	
Portugal	3,986	480	2,564	885	26,025	0	0	0	0	0	0	0	0	
Qatar	40	25	25	14	0	0	0	0	0	0	0	0	0	
Republic of Moldova	1,155	1,712	1,917	2,891	3,214	0	0	0	0	0	0	0	0	
Romania	34,170	25,527	29,781	57,085	106,263	0	0	0	0	0	0	0	0	
Russian Federation	65,325	89,565	114,701	166,067	259,766	0	0	0	0	0	0	0	0	
Rwanda	5	262	0	48	0	0	0	0	0	0	0	0	0	
Saint Lucia	0	19	70	43	197	0	0	0						
Saint Vincent and the Grenadines	22	7	4	34	1	0	0	0	0	0	0	0		
Saudi Arabia	420	234	0	263,972	1,630	0	0	0	0	0	0	0		
Senegal	1,134	299	1,422	785	943	0	0	0	0	0	0	0	0	
Seychelles	2	5	1		7	0		0						
Singapore	1,493	490	0	0	0	0	0	0	0	0	0	0	0	
Slovakia	15,567	14,625	15,414	23,264	35,188	0	0	0	0	0	0	0	0	
Slovenia	47,842	58,756	78,879	144,039	236,644	0	0	0	0	0	0	0	0	
South Africa	1,425	1,621	1,692	1,630	1,873	0	0	0	0	0	0	0	0	
Spain	42,789	56,085	57,959	28,643	69,437	0	0	0	0	0	0	0	0	
Sudan (North + South)	182	0	3,797	660	89	0		0	0	0	0			
Sweden	10,386	11,524	18,696	22,541	24,285	0	0	0	0	0	0	0	0	
Switzerland	10,350	11,444	13,926	16,916	20,712	0	0	0	0	0	0	0	0	
Syrian Arab Republic	0	0	3,102	5,653	8,165	0	0	0	0	0				
Taipei, Chinese	183	216	231	197	10,964	0	0	0	0	0	0	0	0	
Tanzania, United Republic of	57	23	15	0	0	0	0	0	0	0	0	0	0	
Thailand	515	629	422	67	200	0	0	0	0	0	0	0	0	
Togo	2,850	3,090	62	19	18		0	0	0	0	0	0	0	
