List of importing markets for a product exported by Seychelles (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	258,350	388,366	396,880	413,520	485,732	456,605	421,847	421,298	360,872	399,498	386,071	467,676	551,493	
Albania	0	0	0	26	15	105	11	12	0	0	0	0	39	
Algeria	0	342	18	1	3,016	41	232	0	14	4	0	31	3	
Andorra	7	0	0	0										
Antigua and Barbuda					0		1		5	0	0	0	0	
Argentina	0	0	0	0	0	75	50	38	63	15	60	69	60	
Armenia	0	0	103	45	8	81	0	63	0	0	1	1	0	
Australia	540	690	94	725	1,729	2,624	2,723	1,461	1,710	4,343	3,656	2,373	2,171	
Austria	1,597	1,516	1,173	929	6,069	5,766	8,657	6,333	63	24	333	52	16	
Azerbaijan	0	0	98	63	1,302	749	270	0	0	29	659	702		
Bahrain	0	10	0	0	76	31	0	0	0	0	41			
Bangladesh	0	5	0	5	191	25	24							
Barbados	0	0	1	1	4	0	0	0	26	0	6	0	0	
Belarus	0	243	0	0	51	0	0	26	10	1	0	0	9	
Belgium	750	2,489	95	7,328	5	544	968	140	164	25	137	324	2,399	
Belize	0	0	14	0	0	3	0	0	4	2	3	0	0	
Benin	0	0	6	0	0	0	0	0	32	15	0	124	145	
Bermuda												0	2	
Bolivia	0	2	0	1	2	0	0	0	0	0	234	7		
Bosnia and Herzegovina			184	284	418	144	49	11	38	3	2	285	19	
Botswana	0	16	91	0	0	11	0	0	0	1	1	1	0	
Brazil	0	1	6	6	1	93	464	4,863	109	1,191	523	67	143	
Brunei Darussalam	0	4	1	8		0				0	0	2	4	
Bulgaria	6	1	0	11	12	2	28	37	177	206	124	563	82	
Burkina Faso	0	0	0	0	10		0	0	0	0	13	0		
