List of importing markets for a product exported by Sierra Leone (Mirror) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Total	97,659	167,774	205,940	237,241	230,618	289,780	402,087	366,416	310,836	363,490	507,565	1,045,049	1,865,646	
Albania	0	18	56	37	28	23	8	4	87	27	166	1	16	
Algeria	0	0	0	1	16	41	2	215	251	1,002	1,318	99	20	
Andorra	2	0	10	0										
Antigua and Barbuda					8		226		0	0	0	0	3	
Argentina	12	0	2	1	0	238	169	337	654	190	9	4	649	
Armenia	0	0	178	0	0	242	166	13	326	3	120	77	189	
Australia	97	9	38	184	490	2,869	2,097	2,102	4,364	5,675	9,249	2,830	15,875	
Austria	1,666	527	941	120	12	89	134	165	8	1	17	1	1	
Azerbaijan	0	0	0	0	0	0	39	67	0	0	0	0		
Bahrain	0	0	0	0	0	0	0	0	0	10	0			
Bangladesh	0	18,111	181	11,762	322	283	918							
Barbados	73	116	107	46	60	10	1	6	16	2	7	1	21	
Belarus	0	2	0	0	493	38	108	0	77	1	50	393	198	
Belgium	23,330	45,041	94,093	125,752	142,224	119,739	145,978	99,167	63,813	97,188	110,743	180,732	175,742	
Belize	0	0	0	0	0	0	0	5	0	0	0	0	0	
Benin	8	336	329	1,190	0	858	0	253	0	0	0	0	0	
Bermuda												4	5	
Bolivia	0	1	0	2	0	0	0	4	1	0	1	36		
Bosnia and Herzegovina			49	97	120	391	339	208	22	34	65	31	27	
Botswana	0	1	2	1	1	0	11	0	1	3	0	511	0	
Brazil	0	0	1	15	0	47	254	316	212	66	128	212	1,089	
Brunei Darussalam	0	0	0	0		0				13	0	7	14	
Bulgaria	6	7	0	0	2	5	544	216	0	0	0	0	0	
Burkina Faso	0	7	0	120	1		1,695	2,805	0	0	0	262		
Burundi	0	0	0	0	0	0	0	0	0	1	14	24	11	
Cabo Verde	0	2	0	0	0	0	0		7	0	0	0	0	
Cambodia	0	0	0	0	0	33	0	3	3	58	0	0		
Cameroon	0	11	4	1	0	843	37	8	35	22	20	31		
Canada	1,872	1,574	2,354	2,900	2,005	1,641	11,016	1,365	3,553	1,830	4,952	949	1,041	
Central African Republic	0	0	0			0	0	0	0	0	7	0	0	
Chile	0	0	0	0	1	1	236	263	262	183	425	1,195	346	
China	3	157	0	1,603	1,361	979	5,705	5,317	10,541	10,770	28,003	502,909	1,432,819	
Colombia	0	2	0	2	3	1	8	31	3	24	16	9	46	
Congo							0	0	0	0	17,305	0	1,199	
Costa Rica	0	0	0	0	0	0	0	0	0	1	0	0	2	
Côte d'Ivoire	163	361	11	596	2,300	796	3	26	14,063	764	539	2,566		
Croatia	176	42	86	14	14	125	2	10	3	32	16	19	0	
Cuba	0	3	4	0	0	1								
Cyprus	0	0	171	70	2	480	25	8	5	0	0	0	0	
Czech Republic	644	755	505	6,866	1,750	1,805	4,690	5,626	3,026	1,042	1,847	1,271	2,912	
Denmark	1,076	1,383	1,374	263	47	395	197	144	13	1,450	21	64	109	
Dominica	21	1	53	39	1	11	0	0	9	0	0	0		
Dominican Republic	0	0	0	0	0	0	0	0	33	111	43	21	1	
Ecuador	0	0	0	0	1	3	0	0	0	0	36	0	19	
Egypt	27	0	0	0	0	45	49	347	573	482	444	532	256	
El Salvador	0	0	0	0	0	0	0	0	0	0	0	0	0	
Estonia	285	80	227	224	632	140	384	653	68	151	595	1,517	479	
Ethiopia	3	11	231	281	1	2	2	337	157	29	106	4		
Faroe Islands	0	0	0	0	0	0	2	0	0					
Fiji		10	0	0	0	0	0	0	0	0	84	1		
Finland	153	4	57	38	281	2,918	3,976	1,792	36	11	20	1,750	48	
France	31,706	37,293	43,385	24,915	13,860	20,174	34,118	32,436	30,499	14,685	16,949	30,246	22,791	
French Polynesia	0	0	2	0	36	287	76	20	6	0	22	0	4	
Gabon	2	0	0	5	16	64	0	0	0					
Gambia	73	90	27	119	206	425	297	24	75	55	303			
Georgia	0	0	0	0	0	0	0	0	47	14	480	102	0	
Germany	10,462	38,308	20,581	24,076	28,821	23,693	31,840	14,240	40,051	20,046	19,626	16,437	12,192	
Ghana	258		336		82	316	282	136	1,238	1,330	2,047	10,522		
Greece	1,076	185	204	33	0	5	11	3,169	9,728	2,414	3,818	17	139	
Greenland	0	0	28	0	0	2	3	1	1	1	8	3	2	
Grenada	37	11	23	8	5	26	5	21						
Guatemala	1	0	0	0	1	0	0	0	6	0	0	0	0	
Guinea	995	3		591	92	0	445	71		777	10,392	12,742		
Guyana	0	67	6	33	20	0	0	0	0	0	59	0	0	
Honduras	0	14	0	13	21	0	0	32	0	0	0	3	7	
Hong Kong, China	13	123	172	913	800	74	215	20	19	2,124	2,571	1,077		
Hungary	368	126	106	245	21	66	35	0	7	1	0	0	20	
Iceland	0	0	0	0	0	0	0	0	0	0	0	0	0	
India	514	1,546	8,023	3,061	3,380	2,016	3,670	50,446	3,921	6,937	5,231	5,329	5,792	
Indonesia	9	47	163	79	62	0	62	258	527	1,605	7,622	2,701	178	
Iran (Islamic Republic of)	0	0	0	0	0	0				27	0			
Ireland	1,698	719	465	352	476	357	238	229	397	1,383	913	323	333	
Israel	0	0	7	3	1	48	7	8	119	44	27	0	159	
Italy	453	3,309	1,593	2,503	137	1,173	362	507	2,963	1,109	2,706	652	1,540	
Jamaica	10	0	0	0	0	0	0	0	5	0	0	0		
Japan	2,927	851	30	160	254	929	3,376	2,393	4,315	4,479	4,896	76,395	14,928	
Jordan	0	0	0	0		0	0	0	0	0	7	11	8	
Kazakhstan	277	64	0	0	0	0	2,429	7	11	106	420	70	52	
Kenya	604	184	895	507	295	451	77	147	157	80	362			
Kiribati					0		0	5	16	21	44	56		
Korea, Republic of	504	540	54	59	498	510	742	710	658	5,003	1,375	3,485	4,282	
Kuwait	0	66	47	0		734	380	1						
Kyrgyzstan	0	0	0	0	0	1	0	0	0	0	0	0		
Latvia	0	0	0	4	0	0	136	8	0	0	1	0	0	
Lebanon	182	18	65	228	99	260	263	703	661	783	611	2,849	1,689	
Libya							0	0	13	0				
Lithuania	0	0	0	0	0	0	0	0	0	0	0	0	0	
Luxembourg	13	33	67	32	0	3	0	99	327	55	29	328	90	
Macao, China	0	0	1	0	0	0	0	0	0	0		0		
Macedonia, The Former Yugoslav Republic of	9	8	14	5	1	6	124		16	2	153	38	28	
Madagascar	1	2	0	0	1	54	4	31	0	2	2	41	20	
Malawi	26	0	22	1	107	31	27	53	0	17	89	1	91	
Malaysia	202	223	394	321	102	169	78	329	1,509	2,437	820	2,349	974	
Mali	5	12	0	0	2	27	63	5		29	6	28		
