List of importing markets for a product exported by Singapore Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	121,753,789	125,177,091	159,963,348	198,632,635	229,652,339	271,809,169	299,297,446	338,175,938	269,832,461	351,867,167	409,503,631	408,393,020	410,466,111	
Afghanistan	2,539	1,342	1,934	1,315	3,767	5,990	8,156	4,941	6,776	19,187	0	12,811	10,339	
Africa not elsewhere specified	0	0	123,227	148,664	122,208	125,201	155,616	311,736	412,900	185,157	4,591,179	123	3,702	
Albania	224	139	0	0	0	0	0	0	0	0	672	1,119	1,318	
Algeria	7,945	4,207	4,740	16,332	12,799	26,071	43,796	44,064	44,777	146,778	144,998	35,367	49,808	
America not elsewhere specified	0	0	24,896	42,754	54,334	64,781	83,290	126,369	97,632	148,829	1,801	37	57	
American Samoa	0	0	0	0	0	0	0	0	0	0	0	0	64,422	
Andorra	2,591	1,519	0	0	0	0	0	0	0	0	634	1,872	5,437	
Angola	37,274	34,944	50,595	56,736	63,732	93,910	101,282	171,139	330,211	319,532	250,568	393,732	263,244	
Anguilla	0	11	0	0	0	0	0	0	0	0	0	116	16	
Antigua and Barbuda	43,933	34,603	48,562	99,131	113,974	133,117	194,122	408,744	284,899	435,448	533,248	460,366	348,275	
Area Nes	0	0	0	0	2	16	718	0	0	0	0	0	1	
Argentina	65,307	19,333	36,319	158,892	69,103	77,472	124,754	170,893	77,665	165,203	162,510	164,893	134,762	
Armenia	411	885	0	0	0	0	0	0	0	0	3,530	3,759	1,522	
Aruba	416	136	0	0	0	0	0	0	0	0	170	146	132	
Australia	3,160,179	3,370,709	4,678,728	6,609,681	8,432,112	10,192,177	11,179,502	13,857,943	10,566,979	12,573,453	16,026,934	17,061,044	15,767,910	
Austria	111,873	105,346	120,460	155,739	116,699	113,252	116,903	158,310	91,624	124,951	167,400	129,948	137,894	
Azerbaijan	1,064	3,335	0	0	0	0	0	0	0	0	27,198	33,062	27,287	
Bahamas	164,379	144,778	154,274	161,753	249,956	296,391	477,103	801,349	529,463	743,340	1,023,893	1,048,567	991,129	
Bahrain	20,900	30,022	31,484	38,278	171,432	55,572	53,617	92,134	82,728	91,254	78,211	102,257	100,513	
Bangladesh	846,646	751,048	682,536	741,057	695,432	930,734	936,000	1,250,023	1,411,580	1,703,296	2,270,757	2,089,726	2,536,921	
Barbados	1,292	1,668	0	0	0	0	0	0	0	0	25,698	16,502	6,668	
Belarus	367	364	206	471	247	486	7,562	5,882	7,523	10,509	6,870	6,548	3,437	
Belgium	673,823	694,754	626,774	688,561	827,628	1,324,132	1,593,731	2,046,774	2,449,777	3,385,344	3,987,885	4,252,968	4,463,979	
Belize	10,473	10,892	0	0	0	0	0	0	0	0	17,260	45,729	13,114	
Benin	12,467	14,364	15,110	26,257	57,630	92,830	55,892	68,515	35,240	49,375	46,636	18,761	18,588	
Bermuda	21,395	19,530	16,835	21,218	27,751	60,516	95,729	241,236	138,135	147,916	243,601	294,640	351,178	
Bhutan	1,438	1,363	0	0	0	0	0	0	0	0	4,008	2,766	9,010	
Bolivia	597	389	0	0	0	0	0	0	0	0	3,176	2,296	2,687	
Bosnia and Herzegovina	238	178	0	0	0	0	0	0	0	0	2,024	1,266	2,989	
Botswana	1,335	1,955	0	0	0	0	0	0	0	0	4,457	2,886	2,688	
Brazil	261,460	276,793	234,354	366,439	848,566	1,276,446	1,258,085	1,641,400	1,192,458	1,461,210	1,395,486	1,381,072	2,735,836	
British Indian Ocean Territories	22,654	42,708	0	0	0	0	0	0	0	0	43,191	89,880	11,154	
British Virgin Islands	422	752	0	0	0	0	0	0	0	0	545,058	1	1,521	
Brunei Darussalam	410,254	455,181	462,160	488,570	495,683	573,663	696,123	871,112	867,755	945,108	1,574,144	1,542,266	2,206,969	
Bulgaria	30,878	4,729	8,172	8,404	7,646	20,060	4,949	13,740	8,753	15,370	15,365	15,484	14,366	
Burkina Faso	1,047	3,041	0	0	0	0	0	0	0	0	0	1,707	1,667	
Burundi	0	72	0	0	0	0	0	0	0	0	333	30,278	40	
Cabo Verde	24	254	1,656	1,171	964	122	267	628	130	9,140	521	1,222	697	
