List of importing markets for a product exported by Slovakia Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	12,635,923	14,477,417	21,916,964	27,864,034	31,852,134	41,686,247	58,036,003	70,188,697	55,553,022	63,998,613	78,487,243	79,866,996	85,436,199	
Afghanistan	645	849	507	164	440	30,574	48,770	43,421	1,152	26,939	9,599	18,172	2,271	
Africa not elsewhere specified	0	0	0	0	0	6,733	3,360	3,631	6,927	4,709	1,073	537	173	
Albania	434	352	1,255	3,962	5,821	3,867	3,678	36,187	72,861	24,177	42,073	29,196	53,954	
Algeria	1,698	3,753	5,463	9,952	15,392	36,480	20,138	37,530	27,410	19,085	10,063	141,184	67,947	
Andorra	110	815	68	92	283	294	18	352	230	314	267	69	149	
Angola	4,062	614	1,130	493	5,309	8,504	8,807	8,247	905	1,707	2,411	2,518	1,343	
Anguilla	0	0	14	0	0	0	0	0	0	0	0	23	0	
Antigua and Barbuda	0	0	0	8	0	2	246	0	0	0	43	7	15	
Area Nes	18,189	13,795	21,116	11,817	640	2,033	3,713	1,018	7,302	50	220	201	250	
Argentina	9,278	934	2,966	8,363	5,787	13,728	15,410	37,152	28,960	35,346	33,004	32,865	58,764	
Armenia	1,124	3,270	2,780	4,209	4,953	4,315	5,868	6,319	2,555	6,100	7,004	4,159	5,500	
Aruba	1	0	0	36	31	66	41	72	61	415	233	498	399	
Australia	9,819	11,240	43,411	39,918	32,943	77,803	94,609	155,946	74,110	105,001	131,872	165,889	295,000	
Austria	1,026,971	1,112,074	1,632,896	2,192,113	2,271,548	2,524,741	3,366,365	4,003,101	3,286,655	4,336,800	5,504,663	5,270,019	5,193,601	
Azerbaijan	1,074	444	641	3,085	5,007	13,804	14,292	32,134	17,909	23,486	28,058	27,078	36,836	
Bahamas	357	4	68	95	141	122	7	204	5	0	33	23	1	
Bahrain	100	338	1,606	1,278	2,482	5,266	4,654	6,166	4,173	8,623	7,247	8,002	12,153	
Bangladesh	1,779	2,282	1,017	7,040	557	1,752	2,550	3,717	11,210	7,019	2,676	820	3,644	
Barbados	135	3	50	42	50	66	173	105	53	42	14	4	9	
Belarus	10,638	12,958	20,938	36,884	40,191	64,068	102,423	124,328	87,476	107,696	146,091	144,681	166,261	
Belgium	304,031	300,535	436,601	583,228	625,467	765,036	1,238,221	1,254,475	926,465	1,031,859	1,311,013	1,185,131	1,308,153	
Belize	242	189	51	0	44	1	0	0	43	265	590	25	0	
Benin	184	633	794	283	377	690	418	1,303	791	1,032	1,551	2,783	2,972	
Bermuda	0	0	9	6,026	19	59	30	6	5	0	0	0	1	
Bhutan	0	0	1	0	0	0	0	0	10	0	0	0	0	
Bolivia	1	2	4	7	17	179	127	242	324	561	2,097	1,152	2,369	
Bosnia and Herzegovina	14,967	27,207	29,600	44,064	52,465	49,723	75,768	89,166	61,755	67,956	93,547	86,811	110,680	
Botswana	0	0	25	2	0	9	0	1	38	8,456	162	69	360	
Brazil	3,291	3,577	7,136	15,223	24,705	34,352	64,566	81,533	44,166	193,516	103,144	102,790	166,948	
British Indian Ocean Territories	174	42	0	0	0	0	0	0	0	0	19	0	0	
British Virgin Islands	456	609	824	364	1,344	2,646	749	2,028	2,996	3,921	604	2,781	132	
Brunei Darussalam	56	8	10	761	1,596	1,104	2,125	1,791	2,237	1,549	2,166	1,563	481	
Bulgaria	34,122	40,650	61,924	80,744	95,389	124,296	217,332	352,521	355,523	358,543	488,195	429,685	466,316	
Burkina Faso	101	224	149	856	73	110	60	28	34	51	158	35	59	
Burundi	3	18	300	993	294	269	1,216	300	176	309	66	164	253	
Cabo Verde	1	77	3	62	13	27	229	3	53	16	397	165	32	
Cambodia	6	0	44	0	880	31	429	1,084	14	777	123	907	215	
Cameroon	395	468	530	80	456	53	277	2,209	4,800	2,245	339	669	786	
Canada	16,053	23,164	85,375	60,488	63,450	111,437	119,715	134,255	118,920	118,740	182,211	177,922	200,231	
Cayman Islands	0	0	0	0	0	79	123	305	199	244	82	147	75	
Central African Republic	1	2	2	0	1,558	674	500	291	0	169	1,658	6	5	
Chad	295	0	0	0	0	23	52	102	101	183	1,353	1,892	61	
Chile	511	570	636	1,935	2,690	4,989	3,583	57,423	62,159	15,853	16,056	24,789	41,049	
China	12,633	40,184	140,410	77,910	127,044	218,699	439,912	613,234	770,748	1,287,942	2,075,224	1,733,466	2,120,897	
Christmas Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cocos (Keeling) Islands	3	0	0	5	1	0	0	0	0	0	0	0	0	
Colombia	2,550	2,188	2,528	1,578	3,165	4,990	6,850	13,274	13,202	10,989	13,646	15,664	18,420	
Comoros	1	0	1	12	0	0	0	0	0	0	92	94	89	
Congo	1,021	176	22	142	742	260	477	522	205	874	1,700	5,298	11,972	
Cook Islands	0	0	0	1	30	0	39	0	0	0	0	0	76	
Costa Rica	943	1,664	3,454	2,054	3,608	4,250	1,946	4,618	860	2,675	3,605	3,729	2,868	
Côte d'Ivoire	0	17	86	155	932	1,532	1,510	1,964	2,515	571	2,817	3,217	1,647	
Croatia	64,753	91,064	126,874	140,313	129,258	201,349	222,868	321,057	245,797	245,569	281,907	304,443	327,267	
Cuba	1,092	373	6,310	19,817	13,193	8,382	26,623	8,099	10,289	14,051	17,854	6,655	3,038	
Cyprus	11,062	4,499	10,411	18,373	60,055	42,138	57,906	69,712	68,005	80,122	78,203	77,329	101,321	
Czech Republic	2,100,986	2,199,376	2,805,070	3,776,747	4,520,938	5,952,601	7,517,864	9,161,182	7,380,980	8,766,945	11,127,250	11,191,918	11,625,836	
Democratic Republic of the Congo	0	6	139	529	288	1,261	346	206	425	273	1,041	2,487	993	
Denmark	59,688	108,280	143,801	218,109	224,322	352,711	571,799	612,821	428,436	418,687	527,523	690,268	759,256	
Djibouti	2	0	0	11	246	76	32	114	22	8	0	94	13	
Dominica	0	0	1	0	0	0	0	0	0	0	0	3	0	
Dominican Republic	199	211	388	1,767	5,074	5,372	5,186	6,890	1,726	2,668	3,588	1,699	2,192	
Ecuador	2,331	1,247	1,515	226	1,866	1,600	449	2,120	1,174	5,636	1,856	1,538	2,682	
Egypt	30,611	13,972	13,843	11,885	29,882	32,264	55,240	67,685	41,746	62,732	45,889	107,224	126,364	
El Salvador	501	241	978	29	218	90	171	163	268	318	14	344	267	
Equatorial Guinea	0	0	49	193	6	0	36	0	612	29	25	1	3,619	
Eritrea	0	4	19	1,059	20	34	39	14	0	0	0	0	0	
Estonia	4,786	5,675	11,695	16,917	28,271	37,856	69,582	62,800	25,391	34,257	49,716	66,150	74,040	
Ethiopia	219	36	318	4,247	9,573	6,761	3,395	3,145	1,899	2,147	4,487	5,489	2,983	
Europe Othr. Nes	0	0	0	2,467	9,754	4,347	42,168	543	166	6	292	138	456	
Falkland Islands (Malvinas)	0	0	0	0	11	0	0	12	9	1	0	0	0	
Faroe Islands	357	20	28	52	53	60	171	233	661	25	204	62	280	
Fiji	50	13	22	0	0	1	0	7	0	1	88	0	6	
Finland	49,122	69,794	148,105	194,281	227,084	442,150	355,379	964,974	158,542	209,915	249,895	226,211	214,701	
France	498,528	604,092	770,871	1,012,895	1,230,148	1,782,741	3,780,649	4,764,509	4,319,758	4,380,642	5,052,992	4,308,650	4,316,536	
Free Zones	0	0	0	470	0	0	0	1,029	69	0	0	0	0	
French Polynesia	0	4	0	535	502	458	464	789	419	184	237	221	358	
French South Antarctic Territories	2	0	8	0	221	0	0	10	0	2	42	467	32	
Gabon	26	89	4	377	542	1,335	588	1,043	675	532	531	1,106	1,104	
Gambia	249	0	11	40	313	62	839	444	339	512	204	152	31	
Georgia	481	424	1,697	2,235	5,589	2,442	4,197	9,275	2,599	7,643	8,915	17,595	27,786	
Germany	3,423,690	3,764,264	6,770,164	7,969,109	8,215,003	9,638,475	12,245,406	14,178,505	10,986,974	12,319,188	15,995,202	17,061,891	18,027,359	
Ghana	1,181	1,253	1,505	1,727	3,073	2,867	6,544	6,944	3,746	2,001	2,943	3,268	3,858	
Gibraltar	9	35	32	3,504	1,053	15	102	42	20	9	36	45	1,230	
Greece	81,313	48,275	67,443	100,585	117,264	224,512	352,012	428,126	360,787	237,867	206,989	194,611	196,050	
Greenland	0	0	0	0	0	0	4	46	96	0	228	1	2	
Grenada	0	0	0	0	0	0	0	0	413	66	69	30	0	
Guatemala	354	1,353	1,295	1,259	998	2,724	2,225	3,226	3,104	4,594	5,266	12,558	11,625	
Guinea	60	64	65	81	18	207	77	317	2,250	34	35	655	153	
Guinea-Bissau	0	0	4	0	11	0	0	0	0	6	89	0	0	
Guyana	14	0	0	0	595	41	946	23	548	90	101	68	103	
Haiti	8	49	0	11	8	2	17	1	167	2,547	2,186	778	541	
Honduras	48	318	1,359	1,213	900	1,040	1,198	2,281	1,610	1,201	1,960	643	730	
Hong Kong, China	6,946	6,797	15,734	19,407	37,861	50,180	31,343	40,775	34,946	49,138	69,673	58,737	55,187	
Hungary	679,574	789,130	1,067,965	1,431,353	1,891,778	2,486,491	3,648,001	4,327,430	3,828,648	4,255,321	5,547,528	5,581,013	5,339,928	
Iceland	541	659	792	2,818	6,810	5,965	8,961	6,622	1,031	5,005	7,919	8,820	8,514	
India	35,763	30,588	24,609	33,792	39,404	25,955	57,585	100,611	80,452	95,042	95,925	71,246	43,301	
Indonesia	3,572	1,571	763	1,464	4,624	4,278	5,078	13,467	10,664	14,634	14,163	15,890	11,294	
Iran (Islamic Republic of)	4,357	3,010	4,089	6,507	8,204	6,191	10,331	17,899	11,068	16,842	15,349	13,257	8,249	
Iraq	1,138	415	1,032	6,114	7,565	2,880	6,469	18,018	7,268	2,432	9,147	8,078	22,653	
Ireland	14,936	17,958	24,547	63,849	56,080	94,560	136,649	142,220	43,346	63,790	90,574	109,153	114,928	
Israel	6,621	9,013	19,953	22,498	28,416	26,566	32,960	50,818	41,893	59,561	76,060	67,633	146,068	
Italy	1,124,920	1,558,427	1,647,356	1,777,415	2,112,889	2,691,540	3,661,068	4,155,119	3,338,924	3,553,582	3,915,132	3,715,524	3,874,479	
Jamaica	427	279	437	23	92	186	550	704	230	1,712	3,146	1,076	499	
Japan	11,210	145,728	80,667	89,199	87,909	111,907	128,467	137,537	36,026	57,226	91,711	144,330	179,942	
Jordan	2,425	1,243	2,263	1,612	8,017	13,343	2,677	6,446	2,130	4,524	5,196	6,631	37,843	
Kazakhstan	14,698	14,508	21,931	0	31,065	50,469	74,974	61,769	44,561	43,751	73,925	79,292	111,710	
Kenya	256	433	804	1,129	2,504	2,873	2,622	4,342	5,767	3,895	5,632	5,406	4,001	
Kiribati	0	57	0	0	0	0	0	0	0	0	0	0	0	
Korea, Democratic People's Republic of	481	50	12	682	5,020	583	2	1,721	120	143	0	49	0	
Korea, Republic of	5,087	9,723	12,441	22,433	29,640	55,354	55,204	88,767	74,872	122,641	137,420	117,568	110,972	
Kuwait	943	955	7,880	22,867	15,066	27,059	19,870	48,174	37,846	26,909	36,025	51,246	72,111	
Kyrgyzstan	330	443	645	833	1,006	2,443	6,002	2,831	2,234	2,280	2,766	2,146	1,923	
Lao People's Democratic Republic	2	28	9	29,141	7	340	279	1	0	0	48	0	110	
Latvia	22,064	24,971	34,038	53,402	57,131	84,378	141,387	201,191	90,944	121,184	162,648	212,722	188,430	
Lebanon	7,342	11,259	12,570	19	10,622	10,315	10,119	21,797	11,287	11,392	11,435	13,567	53,865	
Lesotho	6	0	1	0	0	129	5	0	0	8	50	0	6	
Liberia	349	33	9	1	93	95	18	31	0	30	240	20	79	
Libya	2,714	4,555	2,964	1,105	725	2,350	2,761	15,284	6,426	5,514	3,459	8,702	10,051	
Lithuania	25,537	39,888	63,656	67,768	74,838	115,727	139,491	145,001	97,016	148,467	167,549	142,814	159,079	
Luxembourg	39,522	17,051	50,808	33,941	37,363	39,465	40,072	39,161	35,203	64,441	134,275	94,267	152,310	
Macao, China	0	0	12	31	15	367	302	251	175	178	79	148	77	
Macedonia, The Former Yugoslav Republic of	0	4,322	3,794	10,844	13,557	16,123	22,696	38,440	44,094	47,830	68,055	49,085	47,583	
Madagascar	32	14	18	128	335	426	627	2,914	920	875	2,639	2,366	2,530	
Malawi	25	57	0	0	173	68	193	321	671	2,390	1,148	1,683	1,605	
Malaysia	3,464	7,365	8,106	20,898	33,893	17,929	28,384	23,546	23,840	14,343	21,208	36,866	19,341	
Maldives	0	0	0	0	0	0	375	188	771	1,551	230	240	256	
Mali	29	108	5	12	59	33	450	593	432	123	519	480	1,544	
Malta	6,792	1,415	1,566	2,790	1,646	1,205	3,253	10,176	11,408	9,368	15,137	25,857	22,114	
Marshall Islands	0	0	2	483	672	619	846	0	0	0	0	0	0	
Mauritania	42	0	71	176	534	10	0	0	1,320	253	3,139	632	654	
Mauritius	99	43	72	844	380	289	824	615	1,571	2,933	590	555	489	
Mayotte	0	0	0	0	0	0	0	49	0	19	0	0	51	
Mexico	7,274	5,924	31,636	40,022	36,651	61,005	83,220	134,735	49,561	77,654	91,206	109,434	115,172	
Micronesia (Federated States of)	0	0	7	0	0	0	0	0	0	0	0	8	0	
Mongolia	190	247	150	659	596	847	869	1,063	1,133	1,774	1,823	2,318	2,529	
Montenegro	0	0	0	0	0	2,669	4,388	10,048	9,813	6,601	11,060	23,022	44,692	
Montserrat	0	0	0	0	0	3	0	0	0	0	0	33	0	
Morocco	2,504	6,342	3,811	7,757	29,789	24,925	34,963	80,615	95,111	50,758	66,835	61,399	84,012	
Mozambique	96	2	7	402	624	550	572	1,584	612	82	403	3,879	452	
Myanmar	5,393	786	68	0	2	0	0	0	0	133	127	29	410	
Namibia	55	20	34	12	33	177	106	214	511	43	1,196	69	577	
Nauru	0	0	5	9	0	0	38	0	0	0	0	0	0	
